Estimated daily crossings,Latitude,Longitude,Name
185,38.429188,-83.991961,Maysville Rd
160,38.521567,-84.179777,US Hwy 62
160,38.532122,-84.044008,US Hwy 62/
185,38.532082,-84.038874,Robertson Sq/W Walnut St
160,38.526677,-84.098036,State Hwy 1504
160,38.543352,-84.085818,/Chapel Rd
160,38.534701,-84.028785,US Hwy 62/N Main St
160,38.457539,-84.069874,Waterworks Rd
160,38.466861,-83.977450,Mount Pleasant Rd
185,38.493186,-83.959876,/Alhambra Rd
160,38.536154,-84.033173,Brierly Ridge Rd
160,38.536088,-84.033210,Brierly Ridge Rd
390,38.531818,-84.037154,US Hwy 62/E Walnut St/N Main St
160,38.532163,-84.043502,US Hwy 62/W Walnut St
276,38.531509,-84.036328,E Walnut St/Court St
185,38.524724,-84.038425,State Hwy 165/S Main St
185,38.513897,-84.005764,Ogden Ridge Rd/State Hwy 616
216,38.432054,-83.995149,Lodge Ave/Lodge Parking Lot
246,38.531959,-84.035954,Court St
390,38.531765,-84.037197,US Hwy 62/W Walnut St/S Main St
216,38.531952,-84.055846,/US Hwy 62
160,38.532117,-84.044101,US Hwy 62
160,38.429505,-83.992701,River Rd/
160,38.534552,-84.031290,N Main St
185,38.535237,-84.033411,Brierly Ridge Rd/N Main St
362,38.531898,-84.037087,N Main St
160,38.521188,-84.180335,Batte Ln/Cr-1033
160,38.547929,-84.009095,Henson Ridge Rd/State Hwy 616
160,38.427963,-83.992343,Maysville Rd
160,38.521429,-84.180222,State Hwy 19/US Hwy 62/Cr-1033
216,38.534680,-84.031682,N Main St
160,38.532699,-84.047387,/US Hwy 62
160,38.532829,-84.038466,Robertson Sq
276,38.531686,-84.056371,/US Hwy 62/State Hwy 539
