Estimated daily crossings,Latitude,Longitude,Name
968,30.424324,-91.217251,Sun Plus Pkwy
160,30.483109,-91.211287,la Highway 1 N
216,30.490987,-91.261511,Catherine Rd//Hwy 190
445,30.444390,-91.244108,/I- 10 Frontage Rd
185,30.461052,-91.218418,Eleanor St/Moody St
445,30.422894,-91.217877,State Rte 1/Hwy 1 S
334,30.412350,-91.226426,Riverside Dr
334,30.456113,-91.210527,Maryland Ave/N Alexander Ave
246,30.451911,-91.217872,Court St/N 15th St
246,30.453237,-91.210812,California Ave
185,30.383794,-91.243159,Gleason St/Floyd St
185,30.502617,-91.316585,Felps Rd/Hwy 190 W
276,30.453017,-91.202732,Roosevelt St
216,30.500281,-91.310065,Young Ave/US Hwy 190
185,30.488602,-91.266095,Cajun Dr
246,30.373994,-91.258495,New Prosperity Ln/Belle Vale Dr
246,30.489723,-91.278891,/Westover Rd/Hwy 190
445,30.453090,-91.270708,I- 10 Frontage Rd
472,30.364046,-91.260886,/State Rte 1/Port Allen-Plaquemine Hwy/Parker St
334,30.413185,-91.226107,Britany E
276,30.448428,-91.327322,I- 10
216,30.383624,-91.253618,Jr Ln
579,30.440383,-91.212940,I- 10
390,30.441543,-91.217830,Bridgeview Dr
788,30.445451,-91.243537,/S Westport Dr
216,30.398254,-91.252007,N Labauve Ave
185,30.351065,-91.264418,1st St
418,30.423099,-91.218281,State Rte 1
216,30.359597,-91.257865,Karen Dr/Kim Ave
472,30.372048,-91.255544,la Highway 1 S//Gladys Dr
160,30.512135,-91.335100,Bueche Rd
943,30.440057,-91.207165,I- 10
185,30.460698,-91.237222,Suggs Rd
472,30.446378,-91.210841,Leblanc Rd/Ave G
276,30.451940,-91.217093,14th St/Court St/S 14th St
185,30.451607,-91.217072,S 14th St
246,30.454416,-91.206838,Florida Ave/6th St
185,30.362643,-91.251213,Plantation Ridge Dr
160,30.386468,-91.235236,Julien St/Gwin St
246,30.452558,-91.204455,Alabama Ave/Court St
418,30.446471,-91.244225,/State Rte 415
305,30.438473,-91.364805,I- 10
472,30.377759,-91.251361,la Highway 1 S
160,30.387733,-91.238611,St Luke St/Gwin St
185,30.354876,-91.267695,Molaison St/Ed Lejeune St
185,30.474300,-91.250449,Lobdell Hwy
160,30.557237,-91.364699,Cane Bayou Rd/Rougon Rd
216,30.398708,-91.251795,N Labauve Ave
246,30.396846,-91.252736,Allene St/N Labauve Ave
246,30.390382,-91.237480,Lee Dr
160,30.506295,-91.207583,Airline Hwy/W Svc Rd
445,30.453651,-91.270720,I- 10
160,30.456377,-91.218167,N 15th St
684,30.533673,-91.407961,Poydras Bayou Dr/Hwy 190 W
305,30.374366,-91.259884,New Prosperity Ln
472,30.386529,-91.244908,la Highway 1 S/E Saint Francis St
362,30.415560,-91.223246,W Shore Ave/Hwy 1 S
246,30.430976,-91.212055,State Rte 1
160,30.461101,-91.269010,Rebelle Ln/Jules Ln
472,30.360319,-91.260684,/la Highway 1 S
160,30.350121,-91.258462,6th St
276,30.387114,-91.236923,St Matthew St/Gwin St
160,30.475997,-91.395764,Margaret Ln
160,30.351383,-91.269326,Myrle Dr/Hubert Dupuy St
185,30.376347,-91.258455,Monte Vista Dr
276,30.371839,-91.256571,Belle Vale Dr
185,30.525135,-91.383891,US Hwy 190
160,30.354164,-91.267617,Guidry St
160,30.352613,-91.266350,Foret St/Ray Rivet Dr
216,30.438481,-91.209413,I-10 Ramp
305,30.441316,-91.209995,I-10 Ramp
968,30.424120,-91.216971,State Rte 1
160,30.460475,-91.215077,N 12th St/Louisiana Ave
160,30.460957,-91.205957,N Jefferson Ave/Louisiana Ave
362,30.444214,-91.343209,I- 10
160,30.548006,-91.390770,Landry Ln
362,30.377015,-91.251901,la Highway 1 S
246,30.460543,-91.213794,Louisiana Ave/N 11th St
185,30.454339,-91.208127,Florida Ave/7th St
160,30.488671,-91.253638,Plantation Ave
362,30.355294,-91.259950,State Rte 990/6th St
185,30.448774,-91.212361,Bluebell St/Ave D
185,30.482425,-91.250837,Access Dr/Plantation Ave Lp
362,30.456159,-91.209561,Maryland Ave/8th St
160,30.548899,-91.382497,Tonawanda St/Iroquois St
160,30.347663,-91.277992,Amelia St
216,30.387010,-91.238963,Bourgeois St/St Luke St
917,30.439613,-91.208434,/State Rte 1
216,30.438380,-91.209069,I-10 Ramp
334,30.440260,-91.360494,I- 10
160,30.534577,-91.411628,US Hwy 190
216,30.461613,-91.249600,Lobdell Hwy
160,30.451672,-91.222811,Allendale Dr/Key West Dr/Court St
334,30.456101,-91.210873,Maryland Ave/N Alexander Ave
185,30.450080,-91.217656,Gladiolus St/Ave B
185,30.470757,-91.250346,S Pacific Rd
185,30.374675,-91.258410,New Prosperity Ln/Belle Vale/Belle Vale Dr/Sugar Plantation Pkwy
605,30.384362,-91.246603,Hwy 1 S
