Estimated daily crossings,Latitude,Longitude,Name
631,44.710505,-67.455485,/O'Brien Ave/Downeast Dr
185,45.168261,-67.243267,River Rd
160,44.841989,-68.071023,State Rte 9/Atv Trail Old State Route 193
160,44.905682,-66.990980,Chapel St/Boynton St
160,44.708587,-67.419478,Elm St/Port Rd
160,44.957682,-67.047951,Warrior Rd/County Rd/State Rte 190
160,45.257713,-67.981055,/E Shore Rd
185,45.656958,-67.887589,Snowfarm Rd
160,45.213701,-67.549091,Main St/Laplant Ln
160,44.655371,-67.579928,Bagley Rd
246,44.717173,-67.453813,Main St
160,44.957139,-67.041746,Iron Cross Rd
160,44.701554,-67.468433,Dublin St/Kennebec Rd
160,45.160704,-67.297035,Dicenzo
160,45.188174,-67.280654,Monroe St/Buick
788,44.710705,-67.456866,/Kimball Loop
160,44.814239,-67.072030,State Rte 189/County Rd/Crows Neck Rd
185,44.465062,-67.905208,Barnes Way
160,45.157755,-67.288462,Neilds Ave/Baring St/Higgins Farm Rd
160,45.161189,-67.410678,Access Rd/Main St
160,44.905764,-66.984880,Washington St/Water St
246,44.615141,-67.809510,Mill St/Frye St
445,44.709734,-67.455517,/Downeast Dr
160,44.706305,-67.469183,Smithfield Dr
160,45.186440,-67.267566,Barker St
160,45.186378,-67.267639,Barker St
185,44.717496,-67.464882,Valley View Rd
160,44.514659,-67.591546,/Alleys Bay Rd
160,44.654026,-67.727985,Tibbettstown Rd/Church Hill Cir
160,44.538738,-67.883856,Main St/Maple St
160,44.530913,-67.884243,Washington St/Main St
160,44.651273,-67.743484,Main St/US Rte 1
216,44.963145,-67.434499,Jackson Ln
185,44.705519,-67.470290,Smithfield Dr
246,44.537913,-67.881475,Main St
160,44.661999,-67.543378,Roque Bluffs Rd/Great Cove Rd
216,45.665375,-67.862680,/Calais Rd
160,44.959231,-67.041901,Soctomah Rd/Treatment Plant Rd
160,45.155419,-67.415655,Houlton Rd/Ryan Rd
160,44.956447,-67.042499,Stanley Ln
246,45.123250,-67.349539,Houlton Rd/Airline Rd/US Hwy 1
160,45.226430,-67.577334,Kennebasis Rd/US Hwy 1
160,44.622595,-67.820881,Main St/Sharon Ln
160,45.138437,-67.303485,US Hwy 1
160,44.712318,-67.458058,Ames Ave/Dublin St
160,45.180621,-67.287415,Union St
185,44.602913,-67.924938,N Main St
276,44.957789,-67.042150,Wapap Rd/Middle Rd
246,44.718929,-67.451874,Main St/Court St
160,44.505722,-67.989717,/Village Rd
160,44.902460,-67.238816,/The Lane/King St
160,45.217440,-67.558444,Main St/US Hwy 1
216,45.182040,-67.284682,North St/Pleasant St
160,44.969798,-67.068907,Thunder Rd/Fox Ln
185,45.155306,-67.408892,Broadway/3rd Ave
160,44.634804,-67.822240,Sacarap Rd/Maple Rd
160,44.479044,-67.875066,/Bar Island Rd
160,44.910090,-66.986469,Wilson St/Favor St
160,45.166312,-67.292506,/Baring St
160,45.234723,-67.584704,Mihku Lodge Rd/US Hwy 1
160,44.959113,-67.042138,Soctomah Rd
160,45.204573,-67.527388,/Main St
390,45.190830,-67.283053,Main St/Customs St
160,44.706199,-67.293632,Cutler Rd
160,44.617752,-67.811558,Mill St
334,45.190283,-67.282780,Main St/Whitney St
160,44.535122,-67.880836,Mill St/Main St
390,45.190646,-67.282960,/Main St
185,45.178303,-67.265605,Cedar Ln/Spruce Ln
216,44.905164,-66.986625,Kilby St/Boynton St
185,44.718600,-67.452520,Court/Court St
185,44.717437,-67.465337,Valley View Rd
160,44.515463,-67.589838,Alleys Bay Rd/Old School Rd
160,44.711440,-67.458251,/Grove St/Dublin St
160,45.157364,-67.407211,Main St
185,45.188526,-67.278503,North St/
160,44.601830,-67.675721,Indian River Rd/Airport
185,45.187272,-67.279710,North St/Washington St
160,44.508959,-67.944598,Stanwood Ln/Main St
160,44.543555,-67.882566,Kennedy Hwy/Bayview St
160,44.969622,-67.068570,Deer Ln
160,45.179648,-67.256277,/Main St
160,45.182661,-67.277417,Lincoln St/Germain St
216,45.181767,-67.285784,Oneil Ln/Garfield St
160,45.000571,-67.618932,State Rte 9/
160,45.181670,-67.275450,Lincoln St/Downes St
160,44.712719,-67.457433,Dublin St/Elm St
160,45.135326,-67.315547,Trott St/Main St/Front
185,45.161381,-67.290970,Baring St
160,45.170059,-67.286184,Graham
160,45.210812,-67.634469,Ash Cir/Peter Dana Pt Rd
246,44.735347,-67.388771,New Hill Rd/Cutler Rd
216,45.212409,-67.603971,Long Lake Camp Rd
160,45.165247,-67.241995,Blue Devil Hill
216,44.601852,-67.924104,Spruce Hill Ln
160,45.166806,-67.288620,Chapel St/King St
160,44.956608,-67.042892,Wapap Rd/Back Rd
160,45.661770,-67.731471,/Forest City Rd
160,45.433832,-67.737705,Upper Codyille Rd/North Rd
160,44.723478,-67.432070,Main St
160,45.658531,-67.866844,Depot St/Central St
160,45.163419,-67.241579,/Blue Devil Hill
160,45.182393,-67.263142,Gregory Ln
160,44.956393,-67.041676,Stanley Ln
160,45.181088,-67.270402,Palmer St/South St
216,44.861082,-66.983440,Water St
160,45.129874,-67.316183,/US Hwy 1
160,44.599218,-67.876109,Chase Ln/Old County Rd
160,45.566230,-67.429943,3rd St/Water St
185,45.188939,-67.278868,Salem St/Main St
334,44.707642,-67.456562,/University Way
160,45.168489,-67.290768,/Chase St
160,44.657558,-67.204380,/Cutler Rd/State Rte 191 S
185,44.601732,-67.924708,Spruce Hill Ln/N Main St
160,45.167965,-67.242923,River Rd
160,45.157210,-67.409390,4th Ave/Summit St
276,45.188912,-67.281847,Main St/Buick St
160,45.161317,-67.410777,Main St/Access
246,44.537704,-67.881217,/Main St
160,44.712596,-67.458088,Dublin St
160,45.138225,-67.303800,Farm Ln/US Hwy 1
160,45.182830,-67.270867,Washington St/Barker St
160,44.625843,-67.789267,/US Rte 1
160,44.706415,-67.462218,Harwood St/Dublin St
160,44.510641,-67.965349,Village Rd/Smithville Rd
185,44.960986,-67.057031,Gulls Way
185,44.717414,-67.465516,Jerrolds Pl/Valley View Rd
216,44.958121,-67.042749,Nation Ground Ln/Side Rd
160,45.424474,-67.735851,Lower Codyville Rd
160,44.904187,-66.989694,Key St/High St
160,44.661258,-67.543888,Evergreen Pt Rd
216,45.664614,-67.862784,Houlton Rd/Calais Rd
185,45.659823,-67.865771,Houlton Rd/Depot St/Springfield Rd/Calais Rd
185,45.179876,-67.286697,/North St
246,44.537356,-67.880995,W Manor Rd/Main St
160,44.931095,-67.423900,/Camp Dr
160,44.607500,-67.925328,Willey District Rd
216,44.713065,-67.463120,High St
185,44.537072,-67.881729,/Cottage St
185,44.705683,-67.470083,Hudson Blvd/Smithfield Dr
185,44.509355,-67.946158,Oak Ridge Rd/Main St
552,44.709566,-67.457955,O Brien Ave
185,44.613088,-67.924336,Adfer Ln/Main St
160,44.713155,-67.455430,/Elm St
160,44.740972,-67.387227,Factory Rd
160,44.527106,-67.615153,Bridge St
160,45.008063,-67.200418,/Carlisle Ln
160,45.661756,-67.731784,/Grove Rd
160,45.160301,-67.294085,Neilds Ave
160,45.566335,-67.429972,Water St
160,44.959116,-67.047426,Indian Rd/
160,45.130210,-67.315641,/US Hwy 1
246,44.537193,-67.880940,Main St/Cottage St
160,44.856318,-66.987767,South St
185,44.713938,-67.460914,Broadway/High St/Colonial Way
160,45.183883,-67.284718,Monroe St/Chandler St
160,45.000680,-67.618000,State Rte 9
160,45.159406,-67.290012,Baring St/Whitlock Ln
276,44.709055,-67.460061,Bedford St
160,44.713020,-67.470051,Emery Ln/US Hwy 1 Alt
160,45.669293,-67.870785,Bancroft Rd
160,44.905203,-66.986982,Middle St/Boynton St
160,44.597778,-67.925706,River Rd/Wilson Hill Rd/Milbridge Rd
160,44.956319,-67.043452,Wapap Rd
160,44.674242,-67.545474,Harrington Rd
160,44.519754,-67.616027,Elm St
160,44.661758,-67.543063,Quarry Rd/Roque Bluffs Rd/Great Cove Rd/Evergreen Pt Rd
160,44.561956,-67.855205,/Strout Rd
160,44.619644,-67.809589,Harrington Rd/Glover Pl/Main St
160,44.905360,-66.988554,Boynton St
246,44.905764,-66.985101,/Washington St
160,45.185737,-67.269554,Main St
216,44.704852,-67.464281,/Dublin St
160,44.601508,-67.675337,/Indian River Rd
160,45.168902,-67.292621,North St/Boardman St
160,45.182353,-67.263187,Gregory Ln
160,45.134340,-67.315518,Boom Rd
160,44.904814,-66.989771,Byram St/High St
160,44.969530,-67.069099,Deer Ln/Thunder Rd
160,45.658357,-67.867801,Depot St/Doc Day Ln
160,44.505675,-67.989268,/Village Rd
160,45.230630,-67.563469,Mill St/Down River Camp Rd
160,45.216426,-67.555962,Eastern Cutoff Rd/Main St
160,44.936264,-67.139542,/Garnet Head Rd
160,44.519321,-67.607218,Church St
160,44.661655,-67.543219,/Evergreen Pt Rd
160,44.713826,-67.465509,Louise Dr/Court St
160,45.186466,-67.280495,North St/High St
216,45.664365,-67.862838,Houlton Rd
160,44.723002,-67.407818,Main St
160,44.547594,-67.620205,Hadley Court Rd/Seafarers Rest
160,45.180550,-67.269172,Palmer St/Franklin St
185,44.515434,-67.590643,/Alleys Bay Rd
216,44.538870,-67.882590,/School St/Bridge St
185,45.187425,-67.282292,McLean St/High St
160,44.713526,-67.466879,West St/Court St
160,44.904551,-66.984376,Water St/Furniture Ave
160,44.712329,-67.457716,Ames Ave/Ames Way/Dublin St
334,44.710010,-67.458982,Dublin St
160,44.906531,-66.989920,Sullivan St/Orange St/High St
160,44.502617,-67.601858,/Carver Industry Rd
160,44.935502,-67.737790,State Rte 9//Airline Rd
160,44.519783,-67.616474,Macks Point Rd/Barneys Cove Rd/Elm St
579,44.734634,-67.389032,Academy Hill Rd/Cutler Rd
185,44.861399,-66.984668,Main St
160,44.750565,-67.280297,US Hwy Rte1/Barneyfield Rd
160,44.502323,-67.602073,Carver Industry Rd
160,45.217629,-67.557215,Seavey Ln
246,44.535749,-67.880726,Harbor Ln/Main St
185,44.524034,-67.891194,/Main St
216,45.153457,-67.412136,S Princeton Rd/Spring St
216,44.714449,-67.458897,/Colonial Way
160,45.189585,-67.278247,Salem St/Union St
160,44.911273,-66.985866,Water St/Capen Ave
276,44.705860,-67.462946,M & M St/Dublin St
160,44.713931,-67.465132,Court St
160,44.904555,-66.988657,School St
160,45.157585,-67.408587,4th Ave/Hillside St
160,44.654157,-67.725231,Town Landing Rd/Main St
160,44.860700,-66.983322,School St/Water St
160,45.607949,-67.802725,/Calais Rd
276,44.521172,-67.615660,Cemetary Rd/Barneys Cove Rd
160,44.702601,-67.397534,Port Rd
246,44.708727,-67.459397,Dublin St
185,45.181030,-67.284253,School Dr/Garfield St
185,45.178306,-67.263978,Palmer St
160,44.743480,-67.760415,/Montegail Rd
160,44.763610,-67.210038,River Rd/Hilltop Ln
276,44.715719,-67.459582,Cooper St/Court St
160,44.491579,-67.856266,/Tom Leighton Point Rd/Wyman Rd
160,44.739221,-67.389352,Main St/Factory Rd
160,45.113800,-67.411294,Airline Rd/Bear Cove Rd
160,44.531248,-67.605386,Main St/Port St
552,44.709530,-67.458169,O Brien Ave//University Way
185,45.187209,-67.286348,Union St/Poole
472,44.734147,-67.389677,Academy Hill Rd
160,45.160482,-67.293688,Neilds Ave
160,44.531709,-67.605154,Ball Diamond
216,44.714327,-67.459661,Free St/Colonial Way
160,44.951512,-67.663963,Airline Rd/Jr Williams Rd
185,45.167757,-67.288256,Fowker St/Chapel St
185,44.673586,-67.734467,Tibbettstown Rd/Ben Allen Rd
160,44.531095,-67.606753,Arks St/Main St
160,44.718373,-67.454111,Quoddy Ln
334,44.709140,-67.459081,Bedford St/Dublin St
160,44.707329,-67.460987,/Berry Ave/Dublin St
216,44.717318,-67.455385,Lyons St/Court St
160,44.957747,-67.048029,County Rd
