Estimated daily crossings,Latitude,Longitude,Name
246,38.611904,-76.548340,/Stinnett Rd
185,38.527135,-76.613172,/Hidden Spring Trl
246,38.711596,-76.607876,/Solomons Island Rd N
305,38.340404,-76.461686,Leeward Way
305,38.717038,-76.611603,Crosspoint Dr
185,38.665519,-76.597492,/Dalrymple Rd
160,38.358936,-76.401744,Hollis Ct
185,38.453601,-76.557933,Red Berry Dr
160,38.705898,-76.543030,S San Francisco Ave
160,38.461568,-76.477263,Plateau Rd/Calvert Blvd/Plateau Cir
684,38.703873,-76.573621,Chesapeake Beach Rd/Horace Ward Rd
185,38.558873,-76.536034,Cassell Blvd/Dares Beach Rd
185,38.374979,-76.421205,Mesquite Ln
445,38.702625,-76.534792,Dayton Ave/1st St
813,38.711105,-76.535753,Sea Shell Ct/Frederick Ave
160,38.682368,-76.623854,/Skinners Turn Rd
917,38.543036,-76.588860,Commerce Ln/Solomons Island Rd N
445,38.539414,-76.583594,/Main St
276,38.487952,-76.514208,Solomons Island Rd S
658,38.721682,-76.660531,/Penwick Ln/Southern Maryland Blvd
246,38.607873,-76.628994,Hunting Creek Rd/Matthew Dr
185,38.732308,-76.643204,/Ward Rd
276,38.355012,-76.404491,Black Mesa Trl/Rimrock Rd
185,38.346089,-76.417692,Towanda Trl/Catalina Dr
216,38.472241,-76.499350,Wood Farm Rd/Calvert Beach Rd
305,38.581574,-76.549081,Bidwell Ln
185,38.346892,-76.454489,Dowell Rd
160,38.750864,-76.651406,Chaney Rd
390,38.746725,-76.662095,Southern Maryland Blvd
246,38.729623,-76.649600,Icehouse Ct/Two Sisters Ln
185,38.467236,-76.492648,Knights Bridge Ct/Kings Creek Dr
185,38.355639,-76.418658,Dalton Trl/Chisholm Trl/Antelope Trl
276,38.711013,-76.607448,Old Solomons Island Rd
968,38.615713,-76.613234,/Old Town Rd
390,38.708454,-76.537458,6th St Exd/6th St/Greenwood Ave
160,38.399740,-76.506714,/Jefferson Patterson Park Entrance Rd
246,38.512216,-76.621821,Hallowing Point Rd/Adelina Rd
160,38.471179,-76.613601,/Adelina Rd
216,38.673339,-76.622172,Busters Ln/Southern Maryland Blvd
216,38.526082,-76.618474,/Barstow Rd
305,38.688817,-76.534694,C St/
185,38.502142,-76.527041,Sharpe's Ct
185,38.558609,-76.549491,Double Oak Rd N/Fawn Ln/Fawn Ct
160,38.760094,-76.640839,/Shields Dr
160,38.750458,-76.627814,Century Manor Dr/Jewell Rd
185,38.585100,-76.538956,Hollyberry Dr
276,38.486636,-76.551103,Mutual Ct
276,38.629863,-76.532534,/Willows Rd/Bayside Rd
334,38.627261,-76.606473,Solomons Island Rd/Walnut Creek Rd
216,38.497419,-76.503345,1st St/Chestnut St
185,38.488469,-76.539225,Broomes Island Rd/Chippingwood Dr
160,38.745921,-76.672946,/Elsie Ln
185,38.658341,-76.624561,/Huntingtown Rd
1772,38.537365,-76.587695,/Church St
216,38.464726,-76.487859,Regency Dr/Majesty Ln
276,38.457033,-76.474125,Maple Rd
334,38.565260,-76.531098,Mayapple Way
1693,38.372566,-76.440487,/Hg Trueman Rd
526,38.371199,-76.422961,Laguna Ct
185,38.430989,-76.535715,/Marshall Rd
418,38.695658,-76.557723,Harrison Blvd
526,38.360731,-76.418650,Silver Rock Rd/Hawkeye Ln
185,38.327182,-76.443086,/Rousby Hall Rd
160,38.676431,-76.570444,Pushaw Station Rd/Trouble Ln
216,38.558360,-76.603322,Theatre Dr
185,38.478828,-76.524303,Balls Graveyard Rd
185,38.750552,-76.629947,Jewell Rd/Cavalier Dr
305,38.509737,-76.656510,/Hallowing Point Rd
185,38.627020,-76.593967,/Ponds Wood Rd
276,38.358279,-76.397999,Lubbock Ln
185,38.531915,-76.573461,Colton Ct/Rachaels Way
216,38.526500,-76.576847,Solomons Island Rd
160,38.703522,-76.654704,Baker St
216,38.505275,-76.657982,Dawn Dr/Seagull Beach Rd
185,38.692361,-76.602849,Shye Dr/Mount Harmony Ln
552,38.697371,-76.535305,29th St/D St
185,38.549718,-76.596572,Cambridge Pl
160,38.340890,-76.453655,Twin Cove Ln/Dowell Rd
185,38.643719,-76.630088,Maxwell Ln
276,38.449106,-76.560735,Shelby Way/Ross Rd
305,38.704962,-76.634022,/Travis Ln
185,38.734930,-76.641423,Owensville Ct
216,38.378546,-76.432368,/Hg Trueman Rd
334,38.635587,-76.604576,/Sheckells Ln
160,38.352219,-76.471828,Spring Cove Dr/Bucks Ln
762,38.707485,-76.531463,/Bay Ave
305,38.419549,-76.459354,/Solomons Island Rd/Pardoe Rd
499,38.337042,-76.465584,/Holiday Dr
160,38.366021,-76.464814,/Coster Rd
160,38.501180,-76.528530,/Hurrey Ln
