Estimated daily crossings,Latitude,Longitude,Name
185,38.646137,-75.799552,/N Tara Rd
334,38.609996,-75.952316,Main St/Myrtle St
813,38.553665,-76.043182,/Ocean Gateway/Bucktown Rd
710,38.563816,-76.080825,Pine St/Washington St
216,38.574131,-76.077339,Mill St/Travers St
185,38.661186,-75.757583,/Eldorado Rd
1123,38.565158,-76.085311,Lincoln Ter/High St
160,38.595531,-75.952041,State Hwy 14
276,38.609577,-75.952507,High St/2nd St
160,38.569454,-75.731582,Wheatley Church Rd
710,38.568103,-76.075691,Muir St/Academy St
334,38.576553,-76.078437,School St/W End Ave
160,38.552246,-75.726730,Galestown Newhart Mill Rd/Sharptown Rd
1174,38.553096,-76.041114,/Ocean Gateway
579,38.540369,-75.945338,Ocean Gateway
160,38.695278,-75.835876,/Hubbard Rd
160,38.538166,-76.110038,Golden Hill Rd
216,38.578372,-75.973632,/Indian Grant Rd
276,38.498584,-75.856689,Ocean Gateway
160,38.619590,-75.897895,/Lords Crossing Rd
362,38.489113,-75.813334,Ocean Gateway
1226,38.570468,-76.075180,/Academy St
334,38.578022,-75.970634,/Springdale Rd
185,38.593303,-75.934349,Heritage Rd/Jill Ct
276,38.519535,-75.918357,Ocean Gateway
246,38.659175,-75.829284,Milligantown Rd/Whiteley Rd
305,38.578525,-75.971076,Mount Holly Rd/
246,38.591560,-75.897926,/Saturn Dr
185,38.531372,-75.828002,/Rhodesdale Vienna Rd
160,38.608673,-75.956474,Sunnyside Rd/State Hwy 14
160,38.697517,-75.861396,Hynson Rd
1355,38.570934,-76.078163,/Glasgow St
216,38.545845,-76.073272,Stone Boundary Rd/
552,38.571491,-76.065780,Radiance Dr/Aurora St
710,38.569484,-76.071052,/Hayward St
418,38.561305,-76.071189,Lake St/Washington St
246,38.633663,-75.708045,Meadowlark Dr/Oriole Dr
246,38.578781,-76.081748,/School St
216,38.627281,-75.852355,/Elizabeth St
710,38.633674,-75.862854,/Middle St
216,38.590156,-75.896942,/Thompsontown Rd
788,38.559333,-76.063079,Washington St
1252,38.553146,-76.041336,/Ocean Gateway
185,38.565831,-76.104153,Pintail Ct/Teal Ln
216,38.635047,-75.861343,Mill St/Railroad Ave
499,38.567844,-76.085823,Rigby Ave/Wood St
246,38.691501,-75.895912,E New Market Ellwood Rd
246,38.494079,-75.825912,/Ocean Gateway
334,38.532272,-75.938779,Ocean Gateway
246,38.548499,-76.071275,/Feather Dr
305,38.568096,-76.097747,Hudson Rd/W Side Byp
160,38.503513,-76.177856,Taylors Island Rd/
1123,38.570178,-76.086158,Edgewood Ave/Fairmount Ave
216,38.596805,-75.913824,E New Market Rhodesdale Rd
736,38.568637,-76.079864,Pine St/Muir St
362,38.557815,-76.074615,Stone Boundary Rd/Shepherd Ave
246,38.591499,-75.934364,/E New Market Byp
160,38.647014,-75.903442,/E New Market Rd
160,38.514617,-75.831489,/Rhodesdale Vienna Rd
246,38.570999,-75.984420,Mount Holly Rd/Belle Aire Rd
