Estimated daily crossings,Latitude,Longitude,Name
216,39.014859,-77.158343,Greentree Rd
891,38.978584,-77.005668,Manor Cir/Carroll Ave
246,39.042331,-77.134017,Cushman Rd/Paxton Rd
305,39.129814,-77.243705,Sioux Ln/Bostwick Ln
160,39.284687,-77.192794,Damascus Rd/
362,38.998558,-77.071815,Preston Pl/Manor Rd
631,39.092029,-76.935897,Childress Ter
762,39.195495,-77.269660,Duck Pond Ct/Duck Pond Dr
246,39.080017,-76.930633,Greencastle Ridge Ter
276,39.037944,-77.061645,Oak Dr/Hillsdale Dr
185,38.971881,-77.155929,Thorne Rd
526,39.077739,-76.934486,Sheffield Manor Ct/Sheffield Manor Dr
362,39.118068,-77.228401,Gatestone Square St/Gatestone St
276,39.135643,-77.243240,Renmark Ct
185,39.130477,-77.228202,Dosh Dr
1020,38.970926,-77.179113,I- 495
185,39.143829,-77.171440,Silver Dollar Ct
216,39.026264,-76.990951,Lagrande Rd/Schindler Dr
185,39.052371,-77.182235,Victory Ln/Harmony Ln
736,39.115692,-77.246353,Darnestown Rd
185,38.971179,-77.081520,W Lenox St/Magnolia Pkwy
246,39.085678,-77.159217,Anderson Ave/Forest Ave
445,39.241372,-77.264458,Farm Bell Ln
276,39.179788,-77.279488,Father Hurley
246,39.063774,-77.000358,Norcross Way/Norcross Ct
334,39.049465,-76.978225,Carriage House Dr
246,39.018428,-77.034591,Dameron Dr/Sanford Rd
472,39.203327,-77.263511,Sojourn Ct
658,39.185058,-77.265609,Locbury Cir
631,38.990337,-77.103515,Old Georgetown Rd/Battery Ln
246,39.141170,-77.412345,/Hoskinson Rd
1278,39.124118,-77.200263,I- 270
390,39.060138,-77.120178,Chapman Ave/Thompson Ave
160,39.166812,-77.417480,Beallsville Rd
276,39.170631,-77.295204,Eternity Rd/Shooting Star Ct
1020,39.056262,-77.153861,/Montrose Rd
334,39.039829,-76.982986,Perimeter Rd
246,39.109737,-77.265762,Scarlet Oak Dr/Norman Dr/Jones Ln
160,39.018093,-76.998428,Big Rock Rd/Waterford Rd
160,39.085121,-77.226402,Stonecutter Ct
246,39.067829,-77.111559,Besley Ct
216,38.982318,-76.999107,Sligo Creek Pkwy/Jackson Ave
