Estimated daily crossings,Latitude,Longitude,Name
160,38.414538,-76.731472,/Burning Oaks Dr
185,38.359908,-76.510305,Steer Horn Neck Rd
216,38.279831,-76.491371,Filmore Dr
185,38.246068,-76.609561,Bird Haven Way/Bird Haven Dr
160,38.225169,-76.493320,/Flat Iron Rd
160,38.325824,-76.768099,Hurry Rd/Grand Ln
160,38.308862,-76.552903,Aster Way
216,38.319294,-76.762541,Jeans Way
160,38.224587,-76.586068,/Tower Hills Rd
185,38.288151,-76.508833,Barefoot Dr
658,38.294125,-76.627896,Meynard Ct
216,38.436520,-76.745996,Mechanicsville Rd
160,38.325800,-76.543239,Clarkes Landing Rd
552,38.470114,-76.773594,Three Notch Rd/Thompsons Corner Rd
418,38.298826,-76.524806,/St Andrews Church Rd
185,38.300233,-76.527912,Wildewood Pkwy/Hollow Ln
246,38.328923,-76.568847,Brickhouse Farm/St Johns Rd
1097,38.286003,-76.477978,National Way
246,38.296222,-76.638163,Duke St/Seymour St
185,38.236909,-76.436632,Hermanville Rd
185,38.222238,-76.584926,Belvidere Farm Rd
216,38.282401,-76.707040,Leonard St/St Marys St
160,38.298132,-76.551680,Crimson Ln/Hollyhock Ln/Sycamore Hollow Dr
276,38.336691,-76.591360,Hillcrest Dr/Hollywood Rd
160,38.154600,-76.518952,St Lukes Ct
1252,38.255089,-76.481693,Edgar Way/Premery Dr
160,38.359872,-76.610013,Riva Ridge Dr
160,38.165043,-76.377522,Three Notch Rd/Toms Way
160,38.375398,-76.765484,Baptist Church Rd
917,38.286710,-76.477909,Three Notch Rd/Hewitt Rd/Rue Purchase Rd
160,38.332350,-76.535868,Mary Max Ln/Clarkes Landing Rd
276,38.257790,-76.466516,Sell Dr/Sydney Dr/Chapman Dr
160,38.288059,-76.444954,/Delalio Rd
160,38.274184,-76.661317,Ferny Hills Ln
445,38.321234,-76.625294,Hollywood Rd
445,38.222113,-76.441555,Amandia St
216,38.242539,-76.562433,Pump House Ln
246,38.292993,-76.638743,Duke St/Barthelme St
160,38.232716,-76.490100,Poppy Way
246,38.439317,-76.739842,Harrisburg Ct
1174,38.312662,-76.534754,Three Notch Rd
865,38.286000,-76.501952,Daugherty Ct/Finnea Way
710,38.260572,-76.475393,/Forest Run Dr
839,38.237028,-76.497149,Physic Ln
216,38.300672,-76.496557,Legerton Ln
334,38.306825,-76.584835,Hungerford Ct/Pembrooke Dr
160,38.420205,-76.725930,Baptist Church Rd/Auction Hall Ln
216,38.285491,-76.482986,Chickadee Cir
185,38.425741,-76.723604,Baptist Church Rd/Brothers Ln
216,38.278526,-76.449620,McLeod Rd
160,38.369425,-76.782261,Token Oak Ln
160,38.345710,-76.805954,/Stonehill Ln
185,38.198350,-76.494486,St Georges Church Rd/Happyland Rd
160,38.406476,-76.669410,Three Notch Rd/Median Xing
305,38.278720,-76.497128,Gardenview Way/Valleyview Dr/Reservoir Way
216,38.347719,-76.516194,Irvin St/Blackstone Rd
418,38.456267,-76.756819,Three Notch Rd/Median Xing
552,38.303118,-76.526150,King Way
185,38.197158,-76.399966,Cherry Ln/Mattapany Rd
216,38.254793,-76.460971,Lee Dr/S Essex Dr
160,38.312629,-76.503820,Wentworth Way
160,38.266110,-76.433746,Priester Rd
246,38.315177,-76.672020,Mitchell Dr/Budds Creek Rd
160,38.287588,-76.600281,Wheatley's Content Farm Ln
246,38.316775,-76.670059,Gunnell Dr/Klear Ct
160,38.323891,-76.526514,Clarks Mill Rd
605,38.253954,-76.481590,Great Mills Rd/Westbury Blvd/Mattapani Blvd
160,38.258442,-76.401115,/Sunburst Dr
605,38.264494,-76.452346,Tulagi Pl/Coral Pl
160,38.318857,-76.688079,/Big Chestnut Rd/Budds Creek Rd
