Estimated daily crossings,Latitude,Longitude,Name
160,39.645650,-78.006600,/Baltimore National Pike
552,39.661580,-77.738260,/Woodpoint Ave/Salem Ave
305,39.644160,-77.575340,/Crystal Falls Dr
160,39.556639,-77.805602,Spielman Rd
185,39.639440,-77.761160,/Tandy Dr
185,39.595290,-77.725510,Bedford Ct
160,39.702666,-77.888898,Saint Paul Rd
390,39.598860,-77.726770,Manassas Dr
418,39.622690,-77.751920,Virginia Ave
160,39.633360,-77.784580,/Blake Rd
160,39.711050,-77.680280,Marsh Pike
418,39.637040,-77.694750,/Professional Ct
684,39.634300,-77.808010,Greencastle Pike
305,39.631770,-77.586210,Orange Blossom Ct
246,39.628590,-77.750270,Linwood Rd/Noland Dr
246,39.688110,-77.642810,/Leitersburg Pike
839,39.644400,-77.733610,S Burhans Blvd/Cushwas Aly
788,39.616950,-77.689890,Langley Dr/N Edgewood Dr
160,39.568030,-77.690180,/Old National Pike
160,39.536240,-77.754740,/Spielman Rd
160,39.681991,-77.930981,Cross Creek Dr/Blairs Valley Rd
305,39.655400,-77.834300,Emory Ln
472,39.608301,-77.802297,Hopewell Rd
499,39.651700,-77.712570,Oak Hill Ave
160,39.718920,-77.472650,Hilltop Rd/Military Rd
445,39.630030,-77.809700,Greencastle Pike/I- 70
160,39.633440,-77.655180,Mockingbird Ln/Bluebird Ave
160,39.546410,-77.839090,Neck Rd
160,39.378620,-77.663850,Boteler Rd
246,39.456690,-77.754380,S Potomac St/N Potomac St/W Main St
418,39.696760,-78.164702,E Main St
185,39.609450,-77.769350,Tamarack Dr/Carlyle Ct
472,39.600002,-77.703326,/I- 70
185,39.599990,-77.766020,Sterling Rd/Downsville Pike
216,39.613010,-77.785470,Tammany Manor Rd
216,39.667960,-77.658620,/Old Forge Rd
246,39.632140,-77.661230,Woodbridge Dr/Robinwood Dr
216,39.649140,-77.594040,/Cave Hill Rd
334,39.613060,-77.754420,Bayberry Ct
605,39.625250,-77.725820,E 1st St/Pope Ave
160,39.566350,-77.637760,/National Pike
216,39.626986,-77.747683,Wellington Rd/Elmwood Rd
216,39.662979,-77.504783,Quirauk School Rd/Hells Delight Rd
552,39.639696,-77.702914,Westwood St
185,39.698830,-78.204570,Western Pike
185,39.654310,-77.582100,Sherri's Way
762,39.638420,-77.735540,Wesel Blvd/S Burhans Blvd/S Burhans Blvd E
334,39.640130,-77.761750,Western Maryland Pkwy/Tandy Dr
160,39.709420,-78.178410,/N Pennsylvania Ave
185,39.648200,-77.855700,/Cedar Ridge Rd
246,39.604870,-77.805450,E Potomac St//Williamsport Pike
276,39.669610,-77.726880,Haven Rd/Outer Dr
160,39.680270,-77.741680,/Maugansville Rd
2035,39.645390,-77.721760,Berkson Ave/Wellers Aly
526,39.647330,-77.724100,W Church St
710,39.651260,-77.706100,Mulberry Ave/E Hillcrest Rd
216,39.326470,-77.705240,Sandy Hook Rd
499,39.637070,-77.735890,S Burhans Blvd
813,39.637410,-77.728810,Park Cir/S Prospect St
305,39.604800,-77.784760,Hastings Dr
445,39.659960,-77.717060,/W Irvin Ave/St Clair St
362,39.609740,-77.750290,Venture Rd/Downsville Pike
762,39.636180,-77.768350,/I- 81
499,39.663481,-77.739887,I- 81/Salem Ave
216,39.576810,-77.688530,Thomas Dr
185,39.442760,-77.686270,Porterstown Rd/Mount Briar Rd
216,39.646290,-77.598760,/Itnyre Rd
216,39.601900,-77.790560,Mikie Dr/Sterling Rd
658,39.630950,-77.725510,Garlinger Ave
305,39.661010,-78.059120,/Park Head Rd
684,39.645420,-77.739580,Buena Vista Ave
246,39.694607,-78.149601,E Main St
813,39.600485,-77.682629,Dual Hwy
276,39.695380,-78.148150,State Hwy 144/I- 70
418,39.603380,-77.684380,/Dual Hwy/National Pike
390,39.618396,-77.691185,Langley Dr
499,39.696970,-78.166480,Tollgate Ridge/E Main St
362,39.627970,-78.016570,Big Pool Rd/I- 70
185,39.607070,-77.618500,/Trotter Dr
