Estimated daily crossings,Latitude,Longitude,Name
160,44.024177,-84.711584,Wagon Ct
305,43.839439,-84.871780,Pinetree Dr
185,43.825609,-84.773289,Dwyer Ave/Mary St
160,43.857243,-85.028584,Cook Ave/Eight Point Lake Rd
305,43.823189,-84.788301,W 5th St/S Grant Ave/Main St
160,43.837213,-84.863397,Ohio St/Potter St
185,43.864754,-84.865858,S Old State Ave/N Scott Dr
160,43.825531,-84.757238,/Schoolcrest Ave
185,44.065566,-84.751621,Lakewood St
216,43.868887,-84.856732,US Hwy 10
185,43.835526,-84.763301,McNeilly Ct
160,44.060275,-84.757996,E Stockwell Dr/Westwood St
362,43.815973,-84.768348,N Mc Ewan St/E 1st St/W 1st St
216,43.872945,-84.808488,Deep Woods Dr/White Birch Dr
216,43.828349,-84.759677,Susan St/Forest Ave
185,43.989796,-84.776634,/US Hwy 27
185,44.071717,-84.786456,Outer Ridge Dr
160,44.060648,-84.772689,E Stockwell Rd
160,43.960361,-84.774064,Barbara Ln/Duffy Rd
160,43.835405,-85.066447,Rock Rd/Fishermans Trl
185,43.857586,-84.851428,Reis Dr/W Surrey Rd
160,44.021325,-84.797604,Lake St/E Beech St
276,43.829211,-84.768317,/N Mc Ewan St/Wilcox Pkwy
160,43.951532,-84.889044,S Finley Lake Ave//S Finley Lake Rd/Cedar Rd
160,43.860368,-84.852094,Anpy Rd/Reis Dr
185,44.096994,-84.763118,Sunrise Ln
216,43.858632,-84.895726,/S Circle E Dr
216,43.858199,-84.909809,/Harding Rd
185,43.828946,-84.817720,Columbus Dr/Washington Rd
185,43.836972,-84.760403,Holbrook Ave/Donette Ct
185,43.959326,-84.939222,/Forest Ave
185,44.065883,-84.823250,Caner Trl/Navajo Trl
185,44.090994,-84.768297,Breeze/W Long Lake Dr/Breeze Rd
160,43.839365,-84.759617,US Hwy 10
216,43.822251,-84.783243,W 5th St/Main St
216,43.824485,-84.773337,John R St/Mary St
160,43.888417,-84.747692,S Eberhart Ave
185,44.071904,-84.788276,US Hwy 27
160,44.017816,-84.804860,W Pine St/S 4th St
160,43.988805,-84.626324,S Hoover Ave/N Hoover Ave/E Gladwin Rd
185,43.987990,-84.768962,/S Clare Ave/N Clare Ave/E Gladwin Rd
216,43.870684,-84.868736,US Hwy 10
160,43.842408,-84.828344,/Harrison Ave
160,43.857166,-84.988918,W Ludington Dr/Mc Kinley Ave
160,44.038048,-84.808203,Clare Ave/Timberlane Rd/Butch Rd/N Clare Ave
185,44.013094,-84.790529,Light House Dr
160,44.009966,-84.754767,Mostetler Rd
185,43.817448,-84.734760,US Hwy 10
160,44.066750,-84.758332,Koch Rd
160,43.837552,-85.066449,Roys Ln/Fishermans Trl
216,43.822384,-84.783922,W 5th St
160,43.814955,-84.731572,Clarabella Rd/US Hwy 10
216,43.861508,-84.914002,Beechtree/Primrose
160,44.095972,-84.765859,E Long Lake Dr
185,44.094305,-85.087497,Clareola Ave
185,43.956078,-84.777228,E Mannsiding Rd/US Hwy 27
160,44.074414,-84.774881,E Arnold Lake Rd/Peggy Dr
216,44.008851,-84.795926,Sandy Cir
305,43.819577,-84.761772,E 5th St/N Rainbow Dr
185,44.017808,-84.803076,W Pine St/S Broad St
418,43.821489,-84.758877,Cleveland St
246,43.834083,-84.865612,Superior St
246,43.925531,-84.727655,S Cornwell Ave
185,44.009041,-84.796029,Sandy Cir
160,43.819751,-84.828408,Harrison Ave
216,43.822339,-84.783681,W 5th St
185,43.870100,-84.861897,US Hwy 10
246,44.027246,-84.804963,Eastlawn Dr/Fairlane St
246,43.835570,-84.754216,Witbeck Dr
276,43.847610,-84.774723,/US Hwy 10
160,43.814797,-84.754856,Clarabella Rd
185,43.846862,-85.008911,Lake Station Ave/Beech St
246,43.823340,-84.771438,W Wheaton Ave/Court St
160,43.822858,-84.778759,Court St/Manee
246,44.024109,-84.790255,Green St/Lansing St
185,43.835941,-84.759130,Lena Dr
160,44.029849,-84.788065,/Van Deusen Rd
160,43.917392,-84.871775,Squirrel Run/Pear Way
334,44.013996,-84.794553,Lake St/S 1st St/E Park/Richard Dr
216,43.859723,-84.866577,/S Old State Ave
216,43.828314,-84.763845,Hemlock St/Forest Ave
160,43.840968,-84.763686,/US Hwy 10
216,43.865507,-84.778114,US Hwy 10/US Hwy 27
246,44.027314,-84.804455,N 1st St/Fairlane St
216,43.849908,-85.030030,Holly
160,44.065050,-84.753778,/Gronda Rd
160,43.942014,-85.039146,/Cadillac Dr
160,44.060619,-84.779977,US Hwy 27
160,44.024311,-84.787961,N Grant Ave/Lansing St
160,44.027422,-84.792998,Lakeview Dr/Wilson Rd
246,43.835823,-84.753804,US Hwy 10
160,43.858020,-84.773957,E Surrey Rd/Surrey Rd
160,43.846348,-84.997412,Perch Lake Rd
160,43.820589,-84.760261,Jackson St/E 6th St
160,44.069344,-84.757575,Jay Woods Rd/Gronda Rd
160,43.930673,-84.646313,Jefferson Ave/S Bailey Lake Ave
160,44.060521,-84.790294,/E Stockwell Rd
390,44.025357,-84.801813,Harrison St
160,43.893425,-84.959389,Bear Lake Dr/S Half Moon Trail (Dr)
216,43.844604,-84.770953,/US Hwy 10
160,43.820550,-84.773965,Ann Arbor Trl/W 6th St
185,43.860710,-85.022257,Virgil St/W Ludington Dr
185,43.879197,-84.814614,US Hwy 10
160,43.878462,-84.803071,/Five Lakes Dr
216,44.115722,-84.798971,X Way/US Hwy 27
160,44.031187,-84.728008,Hayes Rd
216,43.859125,-84.895679,S Circle E Dr
216,43.966067,-85.065381,Cadillac Dr
