Estimated daily crossings,Latitude,Longitude,Name
418,43.226419,-86.259506,Washington Ave/Shoreline Dr
160,43.234209,-85.791783,Apple Rd/W Waterloo St/Probasco St
185,43.400519,-86.366069,Anderson Rd/Cook St
276,43.117938,-86.130071,I- 96
216,43.200897,-86.232247,Mc Ilwraith St/E Broadway Ave/Broadway Ave
185,43.252672,-85.810423,Mill Rd
216,43.213998,-86.299186,Lakeshore Dr
390,43.198144,-86.260895,Fairfield St/W Summit Ave
216,43.194753,-86.275098,Coolidge Rd/Glenside Blvd
246,43.410089,-86.077767,/Marvin Rd
216,43.209374,-86.152477,Skyline St
526,43.214132,-86.234478,E Delano Ave/Wood St
246,43.422037,-86.354668,Stebbins St/Stanton Blvd
160,43.295736,-86.144116,River Rd/Betty Ln
160,43.212614,-86.145303,Greenbriar/Revere Ave/Vagabond St
246,43.410250,-86.078949,Holton-Duck Lake Rd
185,43.191901,-86.243824,E Maplewood Ave/Maffett St
185,43.413613,-86.316217,N Durham Rd
160,43.459409,-86.416903,Meinert Rd/Indian Bay Rd
216,43.207387,-86.210040,Mercy Dr
160,43.248721,-86.183830,Hall Rd/S Sheridan Rd
305,43.206828,-86.239600,Hoyt St/E Hume Ave
579,43.224264,-86.250544,6th St/W Southern Ave
216,43.197759,-86.201621,Klug St/E Summit Ave
160,43.184891,-86.296659,Farmwood Dr/Belmont Dr
185,43.205780,-86.147575,Palm Harbor Ln/Park Estates Ln
185,43.161938,-86.273989,Hendrick Rd
185,43.240192,-86.252845,Shoreline Dr
276,43.208534,-86.226704,/E Hovey Ave
472,43.230959,-86.327956,Fulton Ave
185,43.204858,-86.227174,/Superior St
160,43.167462,-86.198601,Euro Dr
216,43.222073,-86.259965,W Dale Ave/Glade St
390,43.134806,-86.221413,Leeway Rd
631,43.227405,-86.259316,W Muskegon Ave/Seaway Dr
185,43.177543,-86.263728,Henry St
445,43.227434,-86.246684,4th St/Jefferson St
362,43.230294,-86.228167,Evanston Ave/McLaughlin Ave
160,43.192127,-86.165342,S Dangl Rd/Sunset Dr
362,43.199606,-86.254707,Park St/W Columbia Ave
305,43.201433,-86.213572,Mc Dermott St/E Broadway Ave
246,43.245170,-86.228981,Langley St/Marquette Ave
276,43.255934,-86.237726,State Hwy 120
276,43.240745,-86.241925,Ottawa St/Shoreline Dr
276,43.255686,-86.237425,/State Hwy 120
185,43.278169,-85.806659,Bailey Rd/N Elm St
216,43.408356,-86.341162,E Spring St/S Elizabeth St
160,43.191737,-86.283498,Leif Ave/Wickham Dr
445,43.184608,-86.264842,Winslow Ct
216,43.317956,-86.261479,W Tyler Rd/Whitehall Rd
216,43.203089,-86.253405,9th St
246,43.275927,-86.286330,N Hampstead Dr/Cornerstone Dr
185,43.439276,-86.339453,/US Hwy 31
246,43.208788,-86.252014,8th St/W Hovey Ave
305,43.229269,-86.229185,Kenneth St/Catawba Ave
160,43.442573,-86.306290,Weesies Rd
334,43.225499,-86.259741,Seaway Dr
216,43.245804,-86.102368,Grandel Ave/Rahn St
185,43.202998,-86.253365,W Manahan Ave/Manahan Ave
216,43.406196,-86.326585,Timberview Dr/N Timberview Dr/S Timberview Dr
246,43.417881,-86.369569,Osmun St/Green Ave
246,43.144337,-86.166250,I- 96
305,43.163234,-86.264093,Henry St/Brookridge Dr/S Brookside Dr
185,43.272149,-86.202767,US Hwy 31
160,43.391394,-86.352217,Country Club Rd/Carleton St
160,43.308765,-86.096288,River Rd
246,43.180949,-86.304482,Norton Hills Rd/Applewood Ln
160,43.178273,-86.187983,Amanda St/Deanna St
305,43.271605,-86.287897,Bear Lake Rd
185,43.180839,-86.155416,Sheringer Rd
185,43.216389,-86.214484,Roberts St
160,43.385033,-86.326557,W White Lake Dr
160,43.121246,-86.161993,Pine St/Lake St
185,43.412943,-86.080866,Byrne St/2nd St
185,43.202929,-86.232197,Mc Ilwraith St
160,43.216087,-86.195809,E Keating Ave/Port City Blvd
160,43.172329,-86.188707,Brewer St/Emens Dr
276,43.217756,-86.231904,E Holbrook Ave/Mc Ilwraith St
813,43.208571,-86.230820,Jarman St/E Hovey Ave
246,43.406041,-86.345304,E Sophia St
246,43.196995,-86.293355,Mc Cracken St/Southwood Ave
334,43.176635,-86.204993,US Hwy 31
160,43.207665,-86.303125,Philo Ave/Lincoln St
185,43.207019,-86.257047,Temple St/W Hume Ave
160,43.135123,-86.152298,Ida St
276,43.412980,-86.078984,Main St/2nd St
334,43.176876,-86.263747,Henry St
246,43.163724,-86.286871,Laurel St/Shorewood Dr
390,43.189031,-86.277270,Norlock St/Crandall Ave
216,43.291604,-86.210649,/Holton Rd
246,43.270827,-86.276187,Dykstra Rd/Ivanhoe Dr
185,43.203074,-86.252144,8th St
246,43.166047,-86.210324,/US Hwy 31
216,43.253842,-86.276841,3rd St
160,43.208388,-86.276901,Ridge Ave/Beardsley Ave
160,43.136048,-86.152852,Neal St
305,43.204982,-86.209684,Utah St/
160,43.238658,-86.077464,/S Broton Rd
185,43.377990,-86.366017,Terrevita Dr/S Shore Dr
185,43.167109,-86.268359,Dorothy St/Eugene Ave
246,43.383866,-86.279489,W White Lake Dr/US Hwy 31
246,43.185049,-86.243364,Baker St/Lake Shore Blvd
276,43.197983,-86.242279,Baker St
160,43.177298,-86.279988,Forest Park Rd
472,43.155158,-86.220504,Grand Haven Rd
160,43.262424,-86.247028,The Causeway
185,43.263972,-86.261636,Moulton Ave/Nelson St
160,43.363936,-86.088785,/Miller Rd
362,43.193017,-86.155155,/S Mill Iron Rd
160,43.253212,-86.296322,S Bear Lake Rd/N Bear Lake Rd
334,43.367726,-86.160813,Cat St
305,43.405483,-86.361380,Meade St/Roberts St
762,43.190821,-86.268675,Maple Grove Rd/W Norton Ave
499,43.241462,-86.220236,Margaret Ave/Wesley Ave
160,43.419728,-86.367697,Staples Ave/Onsikamme St
160,43.210645,-86.157324,Haight St/Verna Ave
305,43.288938,-86.206946,/US Hwy 31
185,43.221698,-86.191520,Aurora Ave/Wierengo Dr
160,43.235042,-86.064826,Apple Ave
160,43.272040,-86.202776,US Hwy 31
216,43.242857,-86.223982,S Getty St/Ellifson Ave
246,43.211104,-86.285031,Glen Ave
276,43.216288,-86.268490,Franklin St/Young Ave
185,43.252397,-86.193782,S Quarterline Rd/N Quarterline Rd/Stebbins Rd
334,43.184154,-86.291430,Diversey St/Belmont Dr
305,43.205401,-86.270747,Barclay St/W Sherman Blvd
943,43.191614,-86.260370,/Seaway Dr
334,43.325167,-86.260589,W Bard Rd
160,43.154290,-86.116394,Cooley Rd/E Sternberg Rd
160,43.382736,-86.411424,/W Old Channel Trl
276,43.208618,-86.234592,E Hovey Ave/Wood St
216,43.198025,-86.248473,5th St/W Summit Ave
185,43.371022,-86.379405,/S Shore Dr
305,43.380472,-86.356915,Sandy Ln/Shari Dr
185,43.281268,-86.276751,Piper Ave/Sunview St
185,43.339398,-86.242592,E Riley-Thompson Rd/W Riley-Thompson Rd
160,43.190291,-86.297774,W Manitou Cir/N Manitou Cir
246,43.224657,-86.061463,Cranberry Ln
185,43.230574,-86.179587,McLaughlin Ave
160,43.132522,-86.093744,E Pontaluna Rd
160,43.401490,-86.351054,Lake St/W Muskegon Ave
160,43.223264,-86.201913,Shonat St/Southland Dr
160,43.175709,-86.255331,Vineyard Ln
362,43.205013,-86.205200,/US Hwy 31
185,43.326002,-86.295941,W Bard Rd
390,43.443690,-86.346133,Old Hwy 31/Whitehall Rd
216,43.208697,-86.242061,Baker St/E Hovey Ave
334,43.229067,-86.252992,6th St/Monroe Ave
305,43.227162,-86.273146,Lakeshore Dr
246,43.413592,-86.352096,Thompson St/Dowling St
445,43.191853,-86.288454,Leif Ave/Estes St
160,43.385242,-86.333833,W White Lake Dr
160,43.373659,-86.236308,E Baker Rd/Co Hwy B-23
216,43.186806,-86.240720,Lake Shore Blvd/Hoyt St
160,43.429550,-86.366101,Ochs Rd/Eilers Rd/Cook St
246,43.420745,-86.369372,Green Ave/Hunt St
