Estimated daily crossings,Latitude,Longitude,Name
276,43.445485,-84.045777,Ivy Hill Ln
216,43.403957,-83.892334,Renata St
472,43.426357,-83.979725,Adams Blvd/Lockwood St
552,43.415856,-83.974291,Williams St/S Porter St
276,43.312888,-83.734828,Weiss St/Christmas Ln
160,43.304218,-83.768597,Mandy Ln
246,43.348728,-83.885003,Fort Rd
334,43.398559,-83.919424,Bellevue Ave/Fairview St
305,43.469543,-84.004471,Dewberry Dr/Persimmon Dr
362,43.447269,-83.949995,N Michigan Ave/Stoker Dr
362,43.404340,-83.980506,S Michigan Ave/Sylvan St
246,43.308625,-83.953239,East Rd
305,43.433930,-83.915422,I- 675
160,43.308040,-84.146073,Sunview Dr/Bristol Dr
185,43.469724,-84.032409,Crowberry Trl/W Lakecress Dr
160,43.375223,-84.130999,S Graham Rd
185,43.405683,-84.033833,Iota Pl/W Michigan Ave
216,43.416036,-83.929952,S Park Ave/E Remington St
185,43.390589,-83.902981,Snowy Ln
216,43.333784,-83.758532,S Dehmel Rd
185,43.535302,-84.118123,Cottonwood Dr/Laurel Woods Pl
276,43.425938,-83.958588,N Granger St/W Holland St
246,43.426169,-83.984655,Mackinaw Rd/Graham St
246,43.411806,-83.971523,S Michigan Ave/Waller St
994,43.296974,-84.140560,W Belle Ave/E Belle Ave/N Saginaw St/S Saginaw St
216,43.494034,-83.937258,E Kochville Rd/I- 675
216,43.338201,-83.937027,Francis Dr/Orth Rd
185,43.312652,-84.141886,Entrepeneur Dr
185,43.442129,-83.951068,Oak St/Schaefer St
160,43.379006,-83.870565,King Rd/Old King Rd
362,43.421922,-83.932490,Ward St/Martha St
631,43.461781,-83.955905,Piper Dr
216,43.479389,-83.919427,Tittabawassee Rd/N Franklin St/S Franklin St
1667,43.479762,-83.967571,Berl Dr
185,43.379798,-84.037257,Swan Creek Rd
334,43.458133,-83.955296,Bauer Dr
185,43.220025,-83.988444,Gary Rd/Lincoln Rd
160,43.335710,-83.798518,Junction Rd/Maple Rd
160,43.331132,-83.731799,E Tuscola St
160,43.425569,-84.009760,Henry Dr
305,43.457707,-84.009939,Wintergreen Dr W/Dogwood Dr
305,43.421783,-83.974561,S Bates St/Cass St
305,43.402928,-83.952736,Randolph St/Wilkins St
362,43.428887,-83.979668,Goetz St/Court St
305,43.427979,-84.071640,Krisdale Dr/N Miller Rd
246,43.417013,-83.948335,/Hoyt Park Lower Dr
2061,43.250185,-83.780550,/Main St
216,43.414551,-83.870505,E Holland Ave/W Morley Dr
185,43.456944,-84.000921,Walton Pl/Sherwood St
390,43.418900,-83.964191,Hancock St/N Fayette St
216,43.184552,-84.118390,Pearl St/S Chapman St
499,43.423458,-83.977116,South Carolina St/Cass St
185,43.450591,-83.748096,Sahr Rd/M 81
305,43.402410,-83.893462,Salem Ct
472,43.421947,-83.935558,Martha St/Sheridan Ave
390,43.416630,-83.938460,E Remington St/Brown St
334,43.420378,-84.106867,E Mustang Trl
160,43.336758,-83.741207,Rathaus St
160,43.411483,-83.976670,Division St/Braley St
185,43.488845,-84.111216,N Thomas Rd
276,43.409454,-83.971356,Lee St/S Niagara St
472,43.437197,-83.938856,/I- 675
472,43.451792,-83.950048,N Michigan Ave/Homedale St
246,43.423167,-83.985091,Thurman St/Lessur St
246,43.441147,-83.961982,Northmoor Rd/N Woodbridge St
390,43.428322,-84.011135,Brockway Rd/Hawthorne Dr
216,43.135864,-84.168255,S Main St
160,43.455357,-83.955226,Bauer Dr/Atlanta St
246,43.443240,-83.890681,I- 75
968,43.395507,-83.961760,Brianfield Ct
160,43.423869,-83.970230,Hancock St/N Woodbridge St
246,43.433999,-84.028045,Hacienda Ct
305,43.451194,-84.012483,Shattuck Rd
276,43.406396,-83.978035,Huber St/S Michigan Ave
160,43.412375,-83.976843,Braley St/Greenwich St
185,43.447184,-83.919357,N 12th St/N Washington Ave
246,43.447934,-83.998628,Bradford Dr/Valley Dr
362,43.434365,-83.907493,Chamber St
579,43.450927,-83.698700,S Reese Rd
160,43.269082,-83.784283,Walter St/1st St
276,43.433102,-83.918896,Tuscola St/N 13th St
216,43.401762,-83.952733,Williamson St/Wilkins St
917,43.437293,-83.950304,Schaefer St/Davenport Ave
160,43.537966,-84.156048,Northway Pkwy
418,43.405800,-83.944597,Hiland St/Owen St
160,43.270063,-83.784314,Dixie Hwy
160,43.394990,-84.131110,S Graham Rd
362,43.419320,-83.998185,Fairway Dr/el Monte St
216,43.414570,-84.000621,/Davis Dr
216,43.142237,-84.167089,E 1st St/Parshall St
