Estimated daily crossings,Latitude,Longitude,Name
185,46.602090,-94.248370,Ski Chalet Dr
1615,46.363650,-94.246590,Kirkwood Dr N
160,46.169700,-94.362025,Front St
216,46.346350,-94.189820,SE 13th St/St Louis Ave
185,46.511557,-94.136396,Talking Trees Rd
185,46.521250,-94.311740,Harbor Dr
305,46.669410,-94.109500,/Co Rd 3/Co Hwy 66
160,46.613846,-94.153515,/Stewart Bay Dr
160,46.475750,-93.903480,/Clover St
160,46.346720,-94.041950,Burgwald Rd
305,46.592840,-94.232010,Whitebirch Estates Dr
305,46.359130,-94.197610,N 8th St//Kingwood St
160,46.570785,-94.027695,Co Rd 11
276,46.600520,-94.313270,1st St/W Woodman St
305,46.592680,-94.231580,/Whitebirch Estates Dr
160,46.366680,-94.171690,/12th Ave NE/G St NE
160,46.330192,-93.844863,Hwy 18 E
185,46.276482,-94.300017,State Hwy 371
216,46.602680,-94.285090,/Co Rd 11
160,46.470691,-94.267689,Nashway Rd/Sumac Trl
185,46.371430,-94.159820,/Wonderland Park Cir/Hwy 210 E
185,46.512213,-94.287281,Smiley Rd/Clark Lake Rd
160,46.456580,-94.144840,/Sorenson Lake Rd
160,46.581327,-94.131309,/Co Rd 3
160,46.556939,-94.307156,Janco Ln/Abandoned RR
160,46.584408,-94.330624,N Sluetter Rd SW
160,46.280770,-94.313910,60th Ave SW//40th St
160,46.220500,-94.251110,Co Rd 121
276,46.638120,-94.208969,Clear Blue Ave
160,46.301656,-94.267345,Brandon Way
185,46.587980,-94.319860,Coleman Dr/Pequot Blvd
160,46.718270,-94.287680,Co Hwy 15/Co Hwy 1
276,46.360180,-94.197680,/Juniper St
276,46.361930,-94.181580,/C St NE
216,46.647430,-94.335920,3rd St/1st St
185,46.166410,-94.359330,Cannon Dr/Oak Dr S/Oak Dr
160,46.655050,-94.341490,1st St/Hay Creek Trl
160,46.411190,-94.093930,65th Ave NE
216,46.412830,-94.308814,Hartley Dr/Gull Lake Dam Rd NW
160,46.602730,-94.287290,/Co Rd 11
160,46.447180,-93.965190,/Co Hwy 12
160,46.590446,-94.131607,/Co Rd 3
185,46.406920,-94.101760,/Hwy 210 NE
160,46.690430,-93.954300,State Hwy 6/Fletcher Rd
160,46.354550,-94.182520,SE 18th St/Maple St
472,46.367100,-94.178020,Hwy 25 N/H St NE
160,46.351966,-94.075490,Hwy 18 E
390,46.359130,-94.197680,/Kingwood St
185,46.373410,-94.174220,N St NE/10th Ave NE
160,46.310694,-94.234477,Bus 371
185,46.354670,-94.253180,Excelsior Rd N/Firewood Dr
1226,46.357280,-94.244240,Hwy 371 N/
185,46.367981,-93.901373,/Warren Trl
160,46.674500,-93.952170,/State Hwy 6
160,46.654490,-94.261400,/Peoria Rd
160,46.235800,-94.353600,/Legend Ln
246,46.593335,-94.311141,Hwy 371 N
334,46.341490,-94.233840,/Cypress Dr S
160,46.369376,-94.161026,Hwy 210 NE/Hwy 210 E
334,46.358480,-94.226480,Excelsior Rd N/
160,46.349347,-94.154137,State Hwy 25
216,46.357176,-93.862914,Lonesome Pine Trl
185,46.486120,-93.949340,4th St NE
246,46.330820,-94.204000,Buffalo Hills Ln E
160,46.718400,-94.266450,Willow Creek Dr/Co Hwy 1
160,46.485980,-93.957540,4th St NW/Hwy 6 N
160,46.340420,-94.233550,Hinckley Rd/Cypress Dr S
216,46.603210,-94.236610,Dewdrop Cir
246,46.340386,-94.200710,S 6th St
445,46.358500,-94.239300,Golf Course Dr N
216,46.369450,-94.241590,/Woida Rd N
185,46.698738,-94.117962,Co Rd 16/Loveland Harbor
276,46.600500,-94.313460,W Woodman St
216,46.334730,-94.202610,Spruce Dr/Birchridge Dr
246,46.365980,-94.177470,Hwy 25 N/G St NE
185,46.377010,-94.249100,/Hwy 371 N/Novotny Rd
160,46.546070,-93.958740,Co Rd 11
276,46.347275,-94.167525,28th St E/28th St SE
160,46.336310,-94.235560,/Highland Scenic Dr S
160,46.473170,-93.905940,Indian Carry/Forest Rd
276,46.362930,-94.187140,2nd Ave NE/D St NE
185,46.660383,-94.113610,Co Rd 3/Sandy Shores Rd
160,46.345460,-93.869870,/Hwy 6 S
216,46.668757,-94.115062,Sand Point Dr/Sand Pointe Dr
185,46.467759,-94.307743,Holman Point Dr
216,46.690900,-94.110120,Crosscut Way/Log Ldng
160,46.629282,-94.020665,Rocky Shores
160,46.653892,-94.230552,Golf View Trl
1149,46.356200,-94.220220,/NW 7th St
160,46.285841,-93.822259,/US Hwy 169
216,46.362930,-94.187900,D St NE
246,46.347520,-94.199170,S 7th St/Tamarac St
160,46.348860,-94.164470,York Ct
216,46.483360,-94.184840,/Serenity Ln
160,46.354550,-94.181070,SE 19th St/Maple St
160,46.652857,-94.152996,Duck Ln
1798,46.590000,-94.208570,Breezy Point Dr
160,46.602830,-94.319110,Ash St/Brown St
160,46.605770,-94.245410,Scenic Overlook/Cherokee Trl/Ranchette Dr
216,46.477250,-93.970360,Oak St/Glenn Ave
276,46.351160,-94.273890,Knollwood Dr N/Fairmont Ct N
160,46.518090,-94.182340,Hudson St/Red Pine Dr
185,46.370150,-94.185700,/3rd Ave NE/K St NE
246,46.369640,-94.265560,Woida Rd N/Inglewood Dr/Inglewood Dr N
185,46.354440,-94.222410,NW 9th St
