Estimated daily crossings,Latitude,Longitude,Name
160,45.889723,-95.344351,Viking Pl/Lake Park Ave
160,45.831710,-95.157841,Herberger Rd SE/Co Rd 3 SE
246,45.918493,-95.360391,S Le Homme Dieu Dr NE
246,45.884436,-95.339168,Fingal Ct/Fingal Dr
160,45.874785,-95.164918,6th Ave N
185,45.887357,-95.334453,Maple Ln
160,45.885279,-95.333759,State Hwy 27/Lilac Ln
160,45.846820,-95.517888,/Hwy 27 W
160,45.915499,-95.363110,Scenic Ave
185,45.962635,-95.595078,Hayes Ave/Front St E
334,45.899428,-95.369951,City Park Rd
185,45.903784,-95.370004,Bethesda St NW/Trinity St
185,45.860142,-95.371069,34th Ave E
160,45.881637,-95.340999,Victoria Dr
216,45.950301,-95.603537,Co Rd 7 NW
185,45.864963,-95.166013,8th Ave W
160,45.882164,-95.339299,Victoria Dr/Fingal Dr
216,45.860254,-95.340964,Lake Victoria SE/Hazel Hill Rd SE
684,45.921459,-95.377567,Browns Point Ln NW
185,45.831973,-95.243836,I- 94
334,45.888279,-95.377617,4th Ave W/Broadway St/4th Ave E
160,45.885559,-95.403413,Latoka Dr SW/Garden Dr SW
160,45.971369,-95.295465,/3rd St
185,45.948137,-95.607919,I- 94
160,45.892080,-95.347266,Rodeo Rd/Darling Ave E
160,45.865712,-95.336755,Maple Dr SE/Wilderness Ridge Rd
160,45.889634,-95.344352,Viking Pl
185,45.998756,-95.728423,/Co Rd 41/Co Rd 41 NW
390,45.889428,-95.374533,Irving St/3rd Ave E
160,46.007826,-95.746641,I- 94
499,45.885889,-95.368582,6th Ave/6th Ave E/Maple St
160,45.971373,-95.294740,3rd St/Victoria Ave
160,46.005296,-95.678659,Main St
216,45.902150,-95.366537,Northside Dr NE
160,45.918300,-95.330767,Le Homme Dieu Hts NE/Le Homme Dieu Hts
185,46.045341,-95.291681,Co Rd 14 NE/Main St/1st Ave
276,45.833089,-95.156223,Co Rd 3 SE/I- 94/State Hwy 127 SE
246,45.868618,-95.152139,/Central Ave
216,45.897153,-95.383633,Agnes Blvd NW/Kinkead Dr NW
276,45.896645,-95.391841,Co Rd 22 NW/Central Lakes Trl
334,45.842004,-95.388161,State Hwy 29 S
865,45.882438,-95.377686,Broadway St/9th Ave W/9th Ave E
160,45.994805,-95.641391,Stowe Lake Rd
185,45.863018,-95.148624,2nd Ave E
160,45.824463,-95.367679,Co Rd 87 SE/Co Rd 86 SE
185,45.969291,-95.290534,Muyres Ave/5th St E
1020,45.887110,-95.377626,Broadway St/5th Ave E/5th Ave W
160,45.939521,-95.378484,Co Rd 11 NE
216,45.902281,-95.360701,Frontage Rd
605,45.862840,-95.383104,State Hwy 29 N/30th Ave W
472,45.874645,-95.376212,Hawthorne St
216,45.885551,-95.406662,/Latoka Dr SW
185,45.875459,-95.383834,Cedar St/15th Ave W
160,45.979079,-95.312657,Hwy 29 N/S Riverview Dr NE
185,45.941843,-95.490460,Ida St E/East St N
160,45.863757,-95.155682,W Queen St
276,45.914876,-95.386510,S Darling Ln NW
334,45.900561,-95.367925,George St NW
185,45.871593,-95.366062,18th Ave E
160,45.904581,-95.391494,Westbrook Ests
185,45.894793,-95.351722,McKay Ave N/N McKay Ave NE
160,45.969466,-95.593678,Co Rd 7
160,45.823924,-95.399528,Co Rd 28 SW
160,45.958667,-95.620721,Tigen Rd
185,45.874973,-95.469879,I- 94
160,45.820249,-95.336351,Co Rd 86 SE/Meades Addn Dr SE
160,45.907380,-95.372080,Shepard Rd NW/Aldrin Cir NW
362,45.895770,-95.366557,Kenwood Dr/N Nokomis St
160,46.051557,-95.301898,Ash Ave/Co Rd 64 NE
160,45.880061,-95.369830,11th Ave E/Lake St
216,45.892187,-95.365172,Darling Ave/N Oak St
552,45.883597,-95.376106,Hawthorne St/8th Ave E
160,45.946713,-95.355417,Interlachen Dr NE
334,45.892481,-95.379953,Agnes Blvd NW
160,46.027405,-95.443000,Co Rd 5 NW
246,45.955983,-95.376149,Bluffs Rd NW/Co Rd 11 NE
160,45.922615,-95.325672,Crestwood Dr NE/Lakecrest Dr NE
216,45.967189,-95.600531,Prairie Ave/3rd St W
160,45.932207,-95.369606,N Nokomis NE
160,45.901175,-95.409050,E Lake Cowdry Rd
160,45.875743,-95.469181,Baker Rd SW
160,45.969680,-95.439982,Omaha Ln NW
185,45.893862,-95.318392,E Lake Geneva Rd NE
160,45.853431,-95.470872,Hwy 27 W/Englund Rd SW
216,45.903250,-95.401359,Jasmine Dr/Abbygail Dr
216,45.867024,-95.153985,1st Ave W/W Nokomis St
160,46.014280,-95.415725,Gehrkes Pt NW
736,45.892873,-95.391875,Co Rd 22 NW//Co Rd 82 NW/3rd Ave W
160,45.885559,-95.403591,Latoka Dr SW
160,46.088339,-95.323371,State Hwy 29
246,45.907990,-95.368139,Shepard Rd NW
246,46.042026,-95.458335,Co Rd 6 NW/Ellis Lake Rd NW
160,45.827742,-95.630766,/State Hwy 27 W
185,45.898723,-95.346947,Thomas Dr NE
160,45.803747,-95.572252,/Church Rd/Country Ln SW
160,45.887024,-95.362229,Quincy St/5th Ave E
160,45.879216,-95.351739,/McKay Ave S/Douglas County 46
185,45.922790,-95.333197,Crestwood Dr NE/S Crestwood Dr NE
185,45.985454,-95.683380,I- 94
276,45.899384,-95.369302,City Park Rd
160,45.894518,-95.365138,N Oak St/Agnes Ave
160,45.896203,-95.432894,Co Rd 82 NW
185,45.900812,-95.348449,S Oak Knoll Dr NE/Oak Knoll Dr NE
216,45.897673,-95.318428,Watters Rd
160,45.908999,-95.357779,Ridgeview Ter
160,46.045008,-95.312670,Co Rd 102 NE/State Hwy 29
246,45.905224,-95.348533,Oak Knoll Dr/Chipmunk Ln
185,45.878433,-95.346805,Ridgedale Dr/Rosewood Ln SE
216,45.908879,-95.339768,Hwy 29 N
276,45.880053,-95.368326,11th Ave E/Maple St
658,45.875415,-95.374713,Irving St/15th Ave E
216,45.775496,-95.693357,Grand Ave/Andreasen Dr
216,45.787139,-95.387830,Hwy 29 S
160,45.940497,-95.335795,Co Rd 120 NE/Pike Rd NE/Co Rd 120
684,45.890566,-95.366629,2nd Ave/Nokomis St
246,45.864846,-95.145760,E Pike St/4th Ave E
185,45.833864,-95.387930,Hwy 29 S/Cross Country Ln SW
160,45.904349,-95.402819,Co Rd 22 NW
185,45.910938,-95.391476,S Darling Dr NW/S Darling Ct NW
276,45.912380,-95.340619,S Le Homme Dieu Dr NE
216,45.911075,-95.357904,Ridgeview Ter NE/Scenic Heights Rd NE
160,45.892054,-95.346002,Darling Pl/Darling Ave E
185,45.873010,-95.539556,Beauty Point Rd SW
160,45.802431,-95.542837,Rachel Shores SW/E Rachel Rd SW
160,45.976882,-95.663918,I- 94
185,45.910253,-95.383510,N Kinkead Rd/Ridgewood Dr NW
246,45.868110,-95.152158,E Main St/W Main St/Central Ave
160,45.863272,-95.342279,Lake Park Ct SE
185,45.882726,-95.366730,9th Ave E/Nokomis St
276,45.911018,-95.387013,Sherman Dr
390,45.882722,-95.368297,9th Ave E/Maple St
552,45.885886,-95.368245,6th Ave/6th Ave E/Maple St
160,45.905629,-95.395050,Tabbert Rd NW
160,45.900722,-95.351710,N McKay Ave NE
1252,45.875408,-95.373208,Jefferson St/15th Ave E
185,45.918482,-95.363419,Cherry Ln NE/Cherry Lane Ct NE/S Le Homme Dieu Dr NE
185,45.941848,-95.491964,State St/Ida St E/Ida St W
160,45.883186,-95.334411,Lilac Ln
160,45.783942,-95.531101,Pocket Lake Rd/State Hwy 114 SW
160,45.947077,-95.354949,Interlachen Dr NE/Shady Ln NE
185,45.856701,-95.150277,State Hwy 127 SE
276,45.910525,-95.347400,Wildflower Ln
185,45.890645,-95.338002,Carlson Blvd/Elmwood Dr
160,45.895669,-95.362117,Henry Ave/N Quincy St
305,45.899750,-95.369964,City Park Rd
160,45.862883,-95.148623,Rush St/2nd Ave E
160,45.881904,-95.270417,Hwy 27 E
160,45.900994,-95.401085,Jasmine Dr/Benjamin Dr
160,45.886171,-95.343282,Birch Ave/State Hwy 27
1746,45.845979,-95.387968,Frontage Rd/Hwy 29 S/50th Ave W
185,45.893006,-95.412864,E Lake Cowdry Rd
185,45.874296,-95.385344,Bryant St/16th Ave W/16th Ave
276,45.847089,-95.383220,Twin Blvd/Sanibel Dr
185,45.832041,-95.186567,I- 94
160,45.824838,-95.680991,/State Hwy 27 W
160,46.020023,-95.381551,/Co Rd 5 NW
160,46.022487,-95.714894,/Co Rd 82 NW
334,45.888243,-95.351807,McKay Ave N/Central Lakes Trl
160,45.837533,-95.387477,Jackson Pkwy/Franklin Dr
160,45.916139,-95.364987,Parkview Rd NE/Skyline Dr NE
216,45.904265,-95.367282,/N Nokomis NE
160,46.011890,-95.769640,Co Hwy 19
160,45.908979,-95.354522,Royal Dr/Scenic Heights Rd NE
216,45.899528,-95.364215,Sunnyside Dr/Robert St
276,45.872184,-95.380547,Aga Dr
185,45.894297,-95.351722,Geneva Rd/McKay Ave N
216,45.885030,-95.335612,Knut St/State Hwy 27
160,46.027478,-95.400725,Co Rd 5 NW/Krohnfeldt Beach Rd NW
216,45.880085,-95.392051,Ridgeway Dr
160,45.824460,-95.366640,Co Rd 86 SE
552,45.884798,-95.380726,7th Ave W/Elm St
216,45.906205,-95.415027,/Lake Cowdry Rd NW
160,45.879408,-95.443026,Brittneys Pl
185,45.967463,-95.291961,Douglas Ave/Co Rd 9 NE
216,45.910605,-95.385033,N Kinkead Rd/Autumn Dr NW
160,45.891406,-95.316584,Erickson Heritage NE/Heritage Ln NE
160,45.773456,-95.530749,State Hwy 114 SW
246,45.900349,-95.391932,Co Hwy 37/Co Rd 44 NW
160,46.028771,-95.309660,Gold Finch Cir NE
160,45.967981,-95.291965,Douglas Ave/6th St
216,45.933433,-95.579259,I- 94
160,45.892910,-95.416675,Pebble Beach Rd NW/Co Rd 82 NW
185,45.868668,-95.162946,6th Ave N/W Main St
160,45.832222,-95.604185,Hollyhock Ln SW
185,46.005725,-95.689494,First Ave/2nd St
185,45.861638,-95.340988,Lake Victoria SE/Lois Ln SE
160,45.908960,-95.351615,N McKay Ave NE/Scenic Heights Rd NE
160,45.995383,-95.529795,Big Chip Rd NW
276,45.892174,-95.363671,Darling Ave/N Park St
246,45.887129,-95.263851,N Nelson St/Western Ave
160,45.857808,-95.345815,Robins Nest SE
362,45.885804,-95.353877,6th Ave E
185,45.792202,-95.352805,Church Ave SE/4th St SE/Co Rd 87 SE
526,45.876602,-95.374699,Irving St/14th Ave E
160,45.940532,-95.377068,/Co Rd 11 NE
305,45.885924,-95.374580,Irving St/6th Ave E
160,45.903816,-95.400460,Co Rd 22 NW
305,45.890643,-95.371513,Kenwood St
160,45.880866,-95.353776,/Victor St
160,45.952569,-95.416741,Burkeys Ln NW
160,45.884635,-95.343482,Vinland St/Viking Ave/High St
160,45.867707,-95.155797,2nd Ave W
160,46.019926,-95.364398,Chicago Club Ln NE/Co Rd 11 NE/Co Rd 5 NE
216,45.903579,-95.399280,Co Rd 22 NW
185,45.972460,-95.293343,Main Ave/2nd St
246,45.916398,-95.361774,Skyline Dr NE/McCauly Ln NE/Skyline Dr
418,45.890686,-95.377599,Broadway St/2nd Ave W/2nd Ave E
526,45.877754,-95.376191,Hawthorne St/13th Ave E
216,45.864773,-95.164326,W Pike St/7th Ave W
