Estimated daily crossings,Latitude,Longitude,Name
246,48.709686,-94.588125,6th Ave E/2nd St SE
160,48.844082,-94.915800,66th Ave NW/Co Rd 8 NW
160,48.836710,-94.703467,Pickeral Trl NW
185,48.708811,-94.594042,3rd St SE/2nd Ave E
246,48.764757,-94.980475,/78th Ave NW
160,48.707770,-94.585187,8th Ave SE
216,48.708872,-94.597763,Bay Ave SE
160,48.856018,-94.888448,39th St NW
185,48.710507,-94.601625,1st Ave SW/2nd St SW
160,48.718296,-94.592656,International Dr
160,48.855989,-94.889081,/39th St NW
185,48.710502,-94.602301,2nd St SW
160,48.712820,-94.594051,/1st St N/2nd Ave E
160,48.694629,-94.604720,Co Rd 1/
160,48.710833,-94.699383,/State Hwy 11
216,48.710100,-94.598519,1st Ave E
334,48.709715,-94.589631,5th Ave E/2nd St SE
246,48.714446,-94.600107,2nd St NE/Main Ave/2nd St NW
216,48.767932,-94.955264,Meloney Ave
185,48.712370,-94.597124,Main St
362,48.712478,-94.598177,Main St
185,48.710813,-94.594130,1st St SE/2nd Ave E
185,48.707607,-94.594054,4th St S/2nd Ave SE
216,48.708532,-94.601620,4th St SW/1st Ave SW
185,48.708530,-94.598512,4th St S/1st Ave E
185,48.707649,-94.594243,2nd Ave SE/2nd Ave E
160,48.497532,-94.625078,Co Rd 1/13th Ave SW/Co Hwy 1
160,48.836076,-94.706775,State Hwy 172/Lisa Trl NW
185,48.710732,-94.589582,1st St SE/5th Ave E
160,48.838240,-94.697019,Co Hwy 280
160,48.700318,-94.637747,7th St SW/15th Ave SW
216,48.707460,-94.604920,3rd Ave SW/Co Hwy 1/5th St S
305,48.835071,-94.702361,Red Oak Rd NW
160,48.707607,-94.592770,3rd Ave SE/4th St SE/4th St S/3rd Ave E
216,48.708531,-94.600086,4th St SW/Main Ave/4th St S
160,48.709515,-94.598514,3rd St SE/1st Ave E
185,48.712472,-94.607756,5th Ave NW/Main St
185,48.713871,-94.598411,1st Ave NE
160,48.768246,-94.955377,Railroad St NW/Main St/Meloney Ave
185,48.856406,-94.888761,/39th St NW
185,48.840740,-94.698048,Fourmile Bay Dr NW/Cottonwood Rd NW
160,48.828384,-94.716220,State Hwy 172
216,48.767073,-94.955345,94th Ave NW/Meloney Ave
160,48.836180,-94.702290,Red Oak Rd NW
246,48.713133,-94.603215,2nd Ave NW
160,48.711481,-94.600096,1st St S/Main Ave
418,48.713465,-94.600104,Main Ave/1st St NW/1st St NE
216,48.708714,-94.588171,6th Ave SE/3rd St S/6th Ave E/3rd St SE
185,48.708531,-94.598112,4th St S
185,48.769463,-94.964015,94th Ave NW
216,48.834542,-94.703789,Red Oak Rd NW
160,48.822119,-94.708897,30th St NW
160,48.700264,-94.590167,7th St SE
160,48.714525,-94.619511,State Hwy 172/Main St W
160,48.715839,-94.602935,Airport Rd NW
185,48.820965,-94.708423,Riverview Dr NW
160,48.830224,-94.711632,Fishery Rd NW/Bur Oak Rd NW
305,48.711487,-94.598404,1st St S/1st Ave E
216,48.709509,-94.604106,3rd St SW/2nd Ave SW
160,48.714912,-94.619505,State Hwy 172
305,48.713466,-94.601638,1st St NW/1st Ave NW
160,48.770029,-94.956724,Meloney Ave
160,49.345801,-95.000638,Dawson Rd NW
185,48.711478,-94.601628,1st St SW/1st St S/1st Ave SW
276,48.833304,-94.704777,/Bur Oak Rd NW
216,48.815715,-94.705721,/28th St NW
246,48.709512,-94.602973,E Hamilton/3rd St SW
160,48.497532,-94.624564,Co Rd 1
160,48.956236,-95.066872,Townsite Rd/Yellow Birch Ln
216,48.707865,-94.603936,E Hamilton/2nd Ave SW/2nd Ave W
160,48.714429,-94.602957,Airport Rd NW/2nd St NW
185,48.769449,-94.963964,94th Ave NW
305,48.709657,-94.586603,7th Ave E/2nd St SE
185,48.793829,-94.700435,22nd St NW
160,48.709521,-94.597783,Bay Ave SE/3rd St SE
334,48.714422,-94.604721,2nd St NW/3rd Ave NW
216,48.711803,-94.593413,Main St
216,48.712471,-94.606238,Main St/4th Ave NW
246,48.713460,-94.598673,1st St NE/1st Ave NE
185,48.834739,-94.702684,Red Oak Rd NW
160,48.815670,-94.703615,Marina Dr NW/28th St NW
526,48.712480,-94.600100,Main Ave/Main St
216,48.713462,-94.607788,1st St NW/5th Ave NW
160,48.710665,-94.603203,2nd Ave SW
160,48.707617,-94.591249,4th Ave SE/4th St SE/4th Ave E
160,48.834344,-94.704369,Red Oak Rd NW/Bur Oak Rd NW/Bur Oak Rd
160,48.711700,-94.578409,Main St E/Tourist Park Ave
160,48.825641,-94.718226,State Hwy 172/30th Ave NW
216,48.711796,-94.565292,/Main St E
160,48.768352,-94.956613,Main St
334,48.712474,-94.604713,3rd Ave SW/Main St
160,48.956889,-95.067100,/Beach Ave/Townsite Rd
160,48.710801,-94.593402,1st St SE/
160,48.711489,-94.607321,1st St SW
160,48.792597,-95.068162,/94th Ave NW
246,48.709771,-94.592678,2nd St SE/3rd Ave E
160,48.798481,-94.699763,Oak Harbor Dr/Oak Loop NW
276,48.834952,-94.702489,Red Oak Rd NW/Whitefish Ln NW
185,48.768056,-94.955246,Meloney Ave
160,48.709520,-94.597855,Bay Ave SE/3rd St SE
185,48.834356,-94.706323,Lisa Trl NW
216,48.833935,-94.704398,Bur Oak Rd NW
160,48.752638,-94.657745,State Hwy 172
160,48.606155,-94.560686,33rd St SE/51st St SW
160,48.840092,-94.700467,Cottonwood/Wigwam Trl NW/Cottonwood Rd NW
160,48.709327,-94.585110,8th Ave SE
160,48.714406,-94.607808,5th Ave NW/2nd St NW
160,48.830148,-94.777996,Co Hwy 8
160,48.955670,-95.067105,Birch Ave/Townsite Rd
246,48.710675,-94.586559,1st St SE/7th Ave E/7th Ave SE
160,48.781696,-95.002566,/82nd Ave NW
185,48.838503,-94.697007,/Co Hwy 280
160,48.815230,-94.702921,/Marina Dr NW
160,48.711715,-94.576933,Linden Ave NE/Main St E
246,48.835337,-94.702853,/Whitefish Ln NW
160,48.710789,-94.592634,1st St SE/3rd Ave E
160,48.707386,-94.757683,Main St W
216,48.709743,-94.591152,2nd St SE/4th Ave E
160,49.350946,-95.083847,Crow Creek Dr NW/Crow Creek Dr
185,48.841611,-94.698456,Fourmile Bay Dr NW/Wigwam Loop NW
160,48.742128,-94.652310,State Hwy 172
160,48.526542,-94.560753,Wild Rice Rd SE/State Hwy 72
246,48.711516,-94.604711,1st St SW/3rd Ave SW
160,48.771510,-94.952290,Pine St/Zippel Ave
276,48.831867,-94.705815,Bur Oak Rd NW
185,48.842309,-94.698970,Fourmile Bay Dr NW/Trails End Ln NW
185,48.711788,-94.592590,3rd Ave NE/Main St/3rd Ave E
160,48.763499,-94.958507,Co Hwy 2
160,48.711759,-94.591065,Main St/4th Ave E
216,48.710703,-94.588077,1st St SE/6th Ave E
160,48.741458,-94.651082,State Hwy 172/Senske Creek Dr NW
185,48.771453,-94.947697,Pine St
276,48.712478,-94.603155,Main St/2nd Ave SW
276,48.707541,-94.600076,5th St SW/Main Ave/5th St SE
160,48.685539,-94.737083,Co Rd 6 SW/11th St SW
185,48.713399,-94.598126,1st St NE
246,48.815714,-94.705174,Royal Oak Dr NW/28th St NW
160,48.811975,-95.068249,94th Ave NW
160,48.695629,-94.510439,State Hwy 11
160,48.710646,-94.585052,1st St SE/8th Ave SE
185,48.841413,-94.700564,Cottonwood/Wigwam Trl NW/Wigwam Loop NW
185,48.770013,-94.963972,Main St W
160,48.709524,-94.597547,3rd St SE
160,48.711669,-94.586504,Main St/7th Ave SE
160,48.715383,-94.601665,3rd St NW/1st Ave NW
160,48.709618,-94.585098,2nd St SE/8th Ave SE
216,48.838481,-94.695041,Lake Ln NW/River Ln NW
362,48.713464,-94.604716,3rd Ave SW/1st St NW/3rd Ave NW
160,48.624326,-94.560722,51st St SW
160,48.708724,-94.589680,5th Ave E/3rd St S
185,48.708781,-94.592721,3rd Ave E/3rd St SE
472,48.712481,-94.598701,Main St/1st Ave NE
160,48.700304,-94.627018,7th St SW/13th Ave SW
246,48.714430,-94.603188,2nd St NW/2nd Ave NW
216,48.713467,-94.603201,1st St NW/2nd Ave NW
160,48.830258,-94.707074,/Bur Oak Rd NW
185,48.712396,-94.597281,Main St
160,48.717002,-94.595482,International Dr/
216,48.834679,-94.702713,Red Oak Rd NW
160,48.711553,-94.550636,State Hwy 11
160,48.832007,-94.778683,Bostic Rd NW/Cyrus Rd NW
160,48.717358,-94.594941,International Dr
160,48.769370,-94.955376,Meloney Ave
246,48.840653,-94.698930,/Cottonwood Rd NW
160,48.837011,-94.704449,State Hwy 172/Bur Oak Rd/Cottonwood Rd NW
216,49.345332,-94.969813,Young's Bay Dr NW
160,48.769213,-94.955373,Church St/Meloney Ave
305,48.709511,-94.600089,3rd St SW/Main Ave/3rd St SE
185,48.708532,-94.602274,4th St SW
305,48.707515,-94.601614,5th St SW/1st Ave SW
160,48.704423,-94.591059,4th Ave E
160,48.714325,-94.597799,2nd St NE/1st Ave NE
160,48.768235,-94.955220,Railroad St NW/Main St/Meloney Ave
216,48.711821,-94.594091,Main St/2nd Ave E
160,48.763898,-94.958509,Co Hwy 2/Wilderness Ave
160,48.716013,-94.736389,Co Hwy 6 SW/Co Hwy 6
216,48.709512,-94.601622,3rd St SW/1st Ave SW
160,48.737516,-94.825918,State Hwy 11
160,48.843426,-95.068499,94th Ave NW/Co Rd 8 NW
160,49.350953,-95.083883,Crow Creek Dr
160,48.706204,-94.592393,3rd Ave SE
160,48.711473,-94.606220,1st St SW/4th Ave NW
246,48.708483,-94.602983,E Hamilton
276,48.708541,-94.586638,7th Ave E
185,48.837516,-94.700599,State Hwy 172/
160,48.741918,-94.651972,State Hwy 172/18th Ave NW
160,48.698241,-94.526991,State Hwy 11
185,48.717913,-94.593597,International Dr
160,48.837210,-94.703611,State Hwy 172
160,48.830150,-94.777366,Co Hwy 8
160,48.715726,-94.590856,Tower Dr/4th St N/4th Ave E
160,48.837425,-94.702308,Red Oak Rd NW/State Hwy 172
216,48.713698,-94.571412,1st Ave
499,48.712481,-94.601639,Main St/1st Ave SW/1st Ave NW
216,48.828732,-94.707641,Minnzona Dr NW
185,48.717727,-94.594058,International Dr
185,48.771486,-94.950785,Pine St/Park Ave
185,48.711789,-94.566911,4th Ave/Main St E
216,48.707928,-94.603675,E Hamilton
276,48.708693,-94.586636,7th Ave E/3rd St SE
216,48.707478,-94.604009,5th St SW/5th St S/2nd Ave W
160,48.707545,-94.598507,5th St SE/1st Ave E
160,48.497338,-94.625073,13th Ave SW
160,48.930529,-95.056229,64th St NW
390,48.710510,-94.600093,Main Ave/2nd St S/2nd St SW
185,48.709803,-94.594130,2nd St SE/2nd Ave E
216,48.767230,-94.956027,94th Ave NW
246,48.710527,-94.598522,2nd St S/1st Ave E
216,48.770024,-94.964019,Railroad St NW/Main St W
160,48.711645,-94.585005,Main St/8th Ave SE
160,48.710122,-94.597880,Bay Ave SE
160,48.741950,-94.652023,State Hwy 172
185,48.712327,-94.596910,Main St
160,48.708753,-94.591195,4th Ave SE/3rd St S/4th Ave E/3rd St SE
160,48.712559,-94.609281,Main St/Main St W/6th Ave NW
216,48.714438,-94.601631,2nd St NW/1st Ave NW
160,48.713461,-94.606236,1st St NW/4th Ave NW
185,48.821483,-94.718414,State Hwy 172
160,48.526539,-94.560991,Wild Rice Rd SE
160,48.714414,-94.606234,4th Ave NW/2nd St NW
160,48.708121,-94.589709,5th Ave E
160,48.709515,-94.604700,3rd Ave SW/3rd St SW
160,48.792317,-95.067958,94th Ave NW
160,48.707543,-94.599452,5th St SE
216,48.708309,-94.588181,6th Ave SE
246,48.708554,-94.585140,/8th Ave SE
160,48.799260,-94.699971,/Oak Harbor Dr
