Estimated daily crossings,Latitude,Longitude,Name
276,44.231293,-95.267113,/S Elm St
216,44.416208,-94.929080,/Cleveland Ave
185,44.571600,-95.097630,Co Rd 101
185,44.543988,-95.114635,N Lincoln St/E Elm St
160,44.507835,-95.419426,W Centre St/S Pine St/N Pine St
579,44.540958,-95.119576,S Mill St
185,44.535575,-95.123210,/S Ramsey St
160,44.529128,-94.988241,/Co Rd 2
216,44.542686,-95.114637,/N Lincoln St
160,44.220928,-95.469620,Washington St/6th St
160,44.405052,-95.250845,/May St
160,44.442996,-95.472868,270th St/T15/Co Rd 5
246,44.408590,-95.411453,3rd St
160,44.478210,-95.326203,/Front St
160,44.545098,-94.995315,US Hwy 71
390,44.540045,-95.111382,/S Drew St
185,44.351279,-95.248205,Impala Ave/
160,44.225477,-95.477832,/US Hwy 14
185,44.543298,-95.104334,/E Plum St
276,44.535162,-95.110556,E Broadway St
185,44.227020,-95.264457,6th Ave W/S Douglas St
658,44.540010,-95.114643,/S Lincoln St
160,44.401986,-95.253221,Pine St/Main St
185,44.532699,-94.996636,Resvn Hwy 1
160,44.599762,-95.203144,North Ave/Co Rd 9
160,44.410862,-94.926682,Adams St/S Somerville St
185,44.534581,-95.099423,Morten Dr/E Meadow Ln
185,44.229644,-95.260847,S Ash St/4th Ave E
185,44.532712,-95.107884,S Gould St
160,44.224703,-95.461796,1st St
276,44.541388,-95.106598,/E Bridge St/Register Dr
246,44.541674,-95.084361,N Frontage Rd/
160,44.532240,-95.096183,Sunrise Blvd/Covington Dr
160,44.570477,-95.116865,/Co Rd 25
185,44.232902,-95.264642,N Main St
305,44.535104,-95.119437,W Broadway St/E Broadway St/S Mill St
185,44.224444,-95.473011,Co Rd 20
185,44.532584,-94.993599,/Resvn Hwy 3
160,44.506684,-95.413748,S East St/E Front St
276,44.534113,-95.098211,S Dekalb St/Covington Dr
216,44.539339,-95.100230,Fallwood Rd/S Dekalb St
334,44.538750,-95.107902,E 4th St/S Gould St
246,44.548041,-95.100322,Northwood Dr
185,44.404055,-95.258524,/Front St/Dewey St
185,44.543867,-95.095928,Industrial Dr/Co Rd 101
216,44.534134,-95.123141,W Flynn St/S Ramsey St
185,44.534556,-95.098362,E Meadow Ln
185,44.412795,-94.919489,/3rd St
160,44.528631,-95.119462,US Hwy 71
246,44.417012,-94.927973,Cleveland Ave/2nd St
