Estimated daily crossings,Latitude,Longitude,Name
185,31.701953,-91.080014,US Hwy 61
160,31.634330,-91.211470,Cannonsburg Rd/Benard Rd
334,31.692320,-91.075350,State Hwy 33
160,31.638640,-91.197750,/US Hwy 61
160,31.633060,-91.212570,/US Hwy 61
160,31.633758,-91.051311,State Hwy 33
185,31.704310,-91.052820,Cranfield Rd/Gravel Hill Rd
216,31.715211,-91.069962,Hwy 61 Byp
160,31.685470,-90.786580,State Hwy 28
305,31.710010,-91.060830,Gilchrist St
185,31.713730,-91.068220,River Rd/
160,31.645910,-91.163660,/US Hwy 61
160,31.703650,-91.053520,Cranfield Rd
185,31.863170,-91.122240,/State Hwy 552
185,31.702140,-91.188800,/Cannonsburg Rd
185,31.648470,-91.149200,US Hwy 61
160,31.716390,-91.055880,Banks Ln/Joe Jackson St/Old Harriston Rd
418,31.709840,-91.057230,Lehman Ave/Medgar Evers Blvd/Poindexter St
160,31.693950,-91.075390,/State Hwy 33
305,31.707070,-91.058470,Pine St/Church St
246,31.727760,-91.058680,Main St/Polly Beverly Dr
185,31.630390,-91.216050,/US Hwy 61
185,31.853970,-91.105120,/State Hwy 552
160,31.701640,-91.188830,Cannonsburg Rd/Tenner Rd
185,31.735810,-91.035880,Old Hwy 61
185,31.637510,-91.201440,/US Hwy 61
216,31.645780,-91.166560,Hard Times Rd/US Hwy 61
160,31.722350,-91.034330,/Harriston Rd/State Hwy 553
185,31.704140,-91.065400,Johnson St
160,31.725008,-91.032718,Matthew Rd
185,31.704430,-91.071180,Main St
334,31.710070,-91.069850,King St/Cypress St
160,31.695380,-91.091580,/US Hwy 61
185,31.694740,-91.077220,/McNair Rd
276,31.713730,-91.049640,/Harriston Rd
160,31.699640,-91.042210,Snyder Rd
185,31.834880,-91.044810,/State Hwy 552/US Hwy 61
334,31.708568,-91.062130,Church St/Lewis Ave
185,31.702110,-91.075960,/State Hwy 33
246,31.845210,-91.060460,/State Hwy 552
185,31.738210,-91.058130,Sunnyside Rd/US Hwy 61
185,31.711795,-91.071376,US Hwy 61
246,31.685680,-91.075180,State Hwy 33/Sunshine Dr
160,31.697810,-91.077020,McNair Rd
160,31.685490,-91.102950,/US Hwy 61
160,31.666130,-91.122014,Stampley Rd
499,31.711758,-91.061219,/Main St
185,31.709475,-91.058489,Magnolia St/Lott St
160,31.737090,-91.058410,/US Hwy 61
160,31.781730,-91.098050,/Poplar Hill Rd
246,31.703100,-91.065150,Johnson St
160,31.683000,-90.910750,/State Hwy 28
362,31.710490,-91.069900,Frye Ln/Cypress St/Moore Ln
160,31.786600,-91.057520,US Hwy 61/Jessamine Ridge Rd
445,31.706080,-91.066910,Access Rd/Main St
160,31.645920,-91.163560,/US Hwy 61
246,31.712127,-91.069112,Vietnam Rd/Cypress St
305,31.705760,-91.067720,Main St
216,31.730890,-91.058930,Main St
160,31.842620,-91.059270,/Natchez Trace Pkwy
160,31.674840,-91.069040,State Hwy 33
160,31.667120,-91.122030,/Stampley Rd
160,31.850160,-91.094350,Fellowship Rd
160,31.854310,-91.084160,Catherine Bailey Dr/State Hwy 552
276,31.709660,-91.069140,King St
160,31.706837,-91.060062,Lewis Ave
160,31.695590,-91.133010,Geoghegan Rd
216,31.840200,-91.029080,/US Hwy 61
246,31.711558,-91.066656,Faulk Ave
185,31.846990,-91.019390,/US Hwy 61
185,31.703859,-91.078616,Hwy 61 Byp
216,31.701723,-91.075837,State Hwy 33
185,31.681290,-91.073950,/Harris Ln/State Hwy 33
334,31.707520,-91.059540,/Church St/Magnolia St
276,31.709144,-91.057644,Lott St
305,31.718897,-91.057610,Jimmie Jackson Cir
216,31.854774,-91.106729,State Hwy 552
160,31.647450,-91.081710,Stampley Rd
185,31.690150,-91.075310,Our Dr/State Hwy 33
160,31.650450,-91.074660,McNair Rd
160,31.765370,-91.050500,/US Hwy 61
185,31.691050,-91.096650,/US Hwy 61
216,31.635060,-91.208540,US Hwy 61
