Estimated daily crossings,Latitude,Longitude,Name
160,34.254389,-89.039493,Cedar Ln/Hwy 6 W
160,34.281422,-89.137139,/Hwy 6 W
160,34.336331,-89.185042,/Todd Rd
418,34.249069,-89.014925,/W Reynolds St
160,34.350841,-89.145813,Hwy 346
445,34.232099,-89.009296,/Westside Dr
160,34.350711,-89.013559,Industrial Rd/Hwy 345
185,34.321910,-89.040218,/Friendship Rd
160,34.294680,-89.216808,Hwy 6 W
160,34.277181,-88.967748,Wilson Chapel Rd/Charlie King Cv
276,34.309173,-88.965305,/Hwy 9 N/Pitts Loop
160,34.197322,-89.112913,Crudup Ln/Salmon Rd
185,34.234093,-89.035533,Old Airport Rd S
160,34.350569,-88.987616,Hwy 854/Clayton Rd
362,34.248727,-88.998344,E Jefferson St/S Liberty St
160,34.346601,-89.024362,Railroad Ave
390,34.357875,-88.841236,Witt St/E Witt St
160,34.320301,-89.038953,Hwy 15 N
160,34.249035,-89.023053,W Oxford St/W Reynolds St
160,34.257464,-89.048855,Lochinvar Dr/Hwy 6 W
276,34.346671,-88.834308,US Hwy 78
185,34.232594,-89.011854,/W 8th St
216,34.286894,-89.021102,Five Star Rd/McCord Rd
160,34.259573,-88.933126,Longview Rd
216,34.184375,-88.827497,Kings Hwy
160,34.252061,-89.032292,W Oxford St/Vance Rd
185,34.251195,-89.029635,W Oxford St/Keeton Rd
246,34.243262,-88.910298,Pear Tree Rd
216,34.256948,-88.930608,Gordon Bend
276,34.289286,-88.994240,Hwy 76/Hwy 345
160,34.337352,-88.826387,US Hwy 78
160,34.079179,-88.859877,Hwy 41
160,34.221762,-88.993222,Givhan Dr/Hwy 41
185,34.280556,-89.126125,/Hwy 6 W
276,34.235293,-88.831562,Hwy 6 E
160,34.146990,-89.091462,/Cossey Rd
334,34.254774,-88.997579,Warren St
185,34.251444,-88.984744,Hwy 6 E/E Oxford St
160,34.287987,-88.970356,Bridgman Loop
185,34.234957,-88.894830,/Hwy 6 E
185,34.335371,-89.231281,Hwy 346
160,34.372040,-89.226958,Benjamin Rd/Union Church Ln
160,34.275926,-88.865485,/Longview Rd
160,34.227307,-89.083406,Tall Oaks
160,34.276254,-88.947877,Rowland Rd
160,34.223723,-89.015957,Golden Ln/Cruse Dr
185,34.289799,-88.980920,Nixon Rd
185,34.271453,-89.022243,Hwy 15 N
185,34.282118,-89.064552,Hwy 76
390,34.254748,-88.999137,Wilson St/Warren St
185,34.314543,-88.974368,Brassfield Rd
160,34.176113,-89.201156,/Hwy 9 S
185,34.256506,-89.045917,Hwy 6 W
185,34.295912,-88.975098,Kiersten Rd
216,34.322404,-89.039191,Hwy 15 N
185,34.339835,-89.047980,/Q T Todd Dr
160,34.296021,-88.974685,Kiersten Rd/Coles Dr
185,34.199485,-88.943594,/Hwy 342
185,34.261249,-89.060410,Lochinvar Dr/Hwy 6 W
185,34.257611,-88.995796,Spring Cove
246,34.247886,-89.013562,Woodland St/Poyner St
160,34.234969,-89.015154,Lakeview Cove/Lakeshore Dr
160,34.220756,-88.999359,Hwy 15 S
305,34.252263,-89.007500,N Montgomery St
216,34.251016,-88.993848,N Brooks St
160,34.239795,-88.900782,Franklin Ln
160,34.362525,-88.835373,Dove Creek
160,34.206044,-88.849945,Valley Rd/Zachary Dr
246,34.236840,-89.056462,Hwy 9 S
216,34.322680,-88.882978,Hwy 9 N/Poplar Springs Trl
160,34.184232,-88.824940,Kings Hwy
160,34.342366,-89.104821,Friendship Rd
160,34.088123,-88.866199,/Natchez Trace Pkwy
160,34.271435,-88.847225,Dark Taupe Trlr/Crump Rd
276,34.239909,-89.007945,Ridgewood Dr/Oak View Cove
216,34.290199,-88.981442,/Hwy 76
185,34.279406,-89.123319,/Cane Creek Rd S/Hwy 6 W
185,34.292503,-89.201450,Cheney Rd
160,34.115550,-88.883014,Troy Loop/Hwy 41
160,34.228947,-89.005332,Hwy 15 S
472,34.250062,-88.999653,N Liberty St/S Main St
160,34.190067,-89.076402,Johns Ln
160,34.282017,-89.140836,Hwy 6 W
160,34.284992,-89.018971,Five Star Rd
276,34.280596,-89.123280,/Pontotoc Pkwy W/Hwy 6 W/Cane Creek Rd N
160,34.254594,-89.021619,Ridge Dr
246,34.289136,-89.026712,/Hwy 15 N
185,34.242062,-89.006624,Highland Dr/S Margin St
160,34.247526,-89.014685,Nixon St
246,34.293085,-88.969968,Hwy 9 N
305,34.249016,-89.020987,/W Oxford St/Hwy 9 S
160,34.249077,-89.047618,/W Reynolds St
276,34.248886,-88.995505,S Clay St/E Marion St
160,34.252224,-89.033935,Ashcraft Dr
246,34.284656,-89.154510,/Bray Rd
246,34.254181,-89.010434,W Oxford St
185,34.256317,-89.003679,Poplar St
185,34.241142,-88.995745,E 8th St
276,34.230382,-89.022520,Classic Chevy
160,34.285870,-89.092729,/Edd Ln/Hwy 76 W
160,34.365503,-89.098167,/Hwy 346
216,34.257798,-89.000469,Amy Ct
160,34.235290,-88.833123,Hwy 6 E
185,34.244031,-89.016533,Hwy 15 S/Church St
160,34.362143,-88.835892,Dove Creek/Hwy 178
160,34.372678,-89.024873,Locust Dr
160,34.363913,-88.838240,Lamar St/5th Ave
185,34.235785,-89.031742,Marcia St/E Valley Dr
160,34.119267,-88.885253,Rock Hill Rd/Chapman Rd/Hwy 41
185,34.214137,-88.975578,Hwy 342
185,34.235793,-89.032505,Marcia St
160,34.228995,-89.133862,Pickens Rd
160,34.261498,-89.079360,/Gilmer Rd S
216,34.257597,-88.996033,/Spring Cove
160,34.289701,-88.983472,Hwy 76
276,34.248742,-89.022144,/W Oxford St/Spur St
276,34.291168,-88.993269,Hwy 345/Hunters Run
160,34.241250,-88.995325,E 8th St/S Liberty St
246,34.249131,-89.026818,Gene St/W Reynolds St
160,34.325335,-89.171810,Hooker Ln
362,34.252905,-88.998379,E Oxford St
160,34.111753,-88.882997,/Hwy 41
185,34.242641,-89.012011,Genola St
185,34.350887,-89.033793,Hwy 345/Hwy 15 N
605,34.250097,-89.017927,Hwy 15 N
160,34.237495,-89.022944,/Lake Dr
185,34.246079,-89.036971,Open Door Dr
246,34.291204,-89.195833,/Hwy 6 W
185,34.256666,-88.948829,Veterans Hwy E/E Ridge Hts
246,34.291366,-88.993162,Hwy 345
160,34.207658,-88.973488,Cates Cove/Hwy 41
216,34.350827,-88.837420,US Hwy 78
185,34.314304,-88.974289,/Brassfield Rd
160,34.209338,-89.141029,/Hwy 9 S
160,34.174758,-89.099818,/Hwy 341
216,34.253946,-89.038156,Hwy 6 W
216,34.249087,-89.009174,W Reynolds St/S Columbia St/N Columbia St
160,34.195960,-88.969664,/Hwy 41
160,34.217584,-88.984212,Hwy 41
185,34.331588,-89.039136,Hwy 15 N
472,34.254551,-89.018020,Hwy 15 N/Ridge Dr
160,34.257743,-89.015554,Brookwood Dr
216,34.275513,-88.867955,/Longview Rd
160,34.360294,-88.839604,4th Ave/State St
160,34.154207,-88.918129,Pontocola Rd/Hwy 41
160,34.329654,-89.039345,/Hwy 15 N
