Estimated daily crossings,Latitude,Longitude,Name
185,31.715661,-88.633587,Hwy 45 N
246,31.673745,-88.653615,Busby Dr/Magee St
185,31.685707,-88.701566,Hwy 84
185,31.578977,-88.545336,Lacey Rd
160,31.694806,-88.623091,McKay St/McInnis Dr
216,31.753879,-88.660640,Hwy 45 N/US Hwy 45/Pleasant Grove-Chapparal Rd/Chapparal Rd
160,31.673541,-88.656021,Winter St
185,31.673650,-88.638090,Clark Annex St/2nd St
160,31.666526,-88.645071,/Williams Dr/William Dr
185,31.694726,-88.798542,James Boyles Dr
185,31.680731,-88.627973,Tradis St
160,31.634273,-88.660476,Hwy 63
246,31.475358,-88.479884,Chason Eret Rd/Hwy 45 S
185,31.765407,-88.670109,/Sally Gray Rd
160,31.820721,-88.691510,Hwy 45 N
185,31.574079,-88.676716,Big Creek Rd/Chas Cochran Dr
246,31.600814,-88.557124,/Hwy 45 S
160,31.662418,-88.641564,Turner St
185,31.675797,-88.675650,Davis Stevens Dr
216,31.779009,-88.675774,Hwy 45 N
185,31.662226,-88.639029,John Wesley Pou Rd
276,31.588599,-88.551829,/Flats Rd
160,31.648105,-88.594139,County Farm Rd/Hwy 45 S
160,31.664296,-88.639154,/Beal St
276,31.677398,-88.659557,McGay St/West Ave
185,31.783354,-88.654745,Spinkes-Hayes Rd
526,31.676100,-88.654181,Claude St/Hough St
216,31.659362,-88.643041,Turner St
185,31.705679,-88.624894,Hwy 45
185,31.571623,-88.590926,/Millsville Rd
246,31.607266,-88.565005,Hwy 45 S
160,31.775889,-88.797638,Pugh Rd
160,31.538219,-88.526379,Bonner Rd/Hwy 45 S
160,31.554109,-88.552903,Buckatunna Chicora Clara Rd
160,31.661339,-88.638885,Dubose St
216,31.588613,-88.551256,Flats Rd
246,31.540088,-88.526832,Hwy 45 S/Buckatunna Mt Zion Rd
160,31.543558,-88.626132,N Cross Rd
160,31.685801,-88.639987,Skyland Dr/Hillcrest Dr
160,31.660744,-88.613602,Claiborne Jones Rd/Annie Land Dr
160,31.678912,-88.631373,Mc Ilwain Dr/Shady Pine St
185,31.754229,-88.659749,Pleasant Grove Chapparal Rd/Chapparal Rd
160,31.507609,-88.497474,Charles Hendren Rd
160,31.696618,-88.878611,Hwy 84
160,31.709182,-88.619670,Hwy 84
160,31.781659,-88.468242,Hwy 84 E
246,31.701058,-88.644050,Hwy 45 N
160,31.674411,-88.628762,Lark Ln
160,31.588971,-88.562633,Flats Rd
160,31.707125,-88.632011,/Service
526,31.676264,-88.644382,Spring St/Azalea Dr
160,31.688208,-88.651755,Aaron Dr
185,31.690513,-88.710632,/US Hwy 84
160,31.675084,-88.643219,Spring St/Wayne St
160,31.668019,-88.605584,Landfill Rd/Hwy 45 S
160,31.649512,-88.598302,/County Farm Rd
216,31.591660,-88.550102,/Hwy 45 S
160,31.581869,-88.694788,Clara Sch Rd
185,31.673508,-88.656449,Winter St
216,31.542684,-88.526602,Millry Buckatunna Rd/Buckatunna Mt Zion Rd
185,31.673447,-88.645547,Wayne St
160,31.689681,-88.617638,Sam Jones Dr/Hwy 45
160,31.578040,-88.543423,Lacey Rd/Lacey
216,31.599324,-88.555935,/Hwy 45 S
276,31.674375,-88.646797,Chickasawhay St
736,31.678015,-88.653206,North St/Turner St
305,31.784849,-88.678316,Hwy 45 N
185,31.672500,-88.644064,South St
246,31.760588,-88.667185,Hwy 45 N
276,31.743707,-88.652743,Hwy 45 N
276,31.694677,-88.710494,Calvin Figgers Dr
185,31.667533,-88.655323,Sunset St/Dr Martin Luther King Dr
160,31.690123,-88.638576,Abby Ln
246,31.653365,-88.595548,Hwy 45 S
