Estimated daily crossings,Latitude,Longitude,Name
160,37.380774,-89.909856,/Co Rd 324
246,37.270101,-89.896206,Co Rd 446/Co Rd 408
160,37.304861,-89.969573,Walnut St/Pine St
160,37.276642,-89.888587,Co Rd 408/Co Rd 450
160,37.299847,-89.985191,Summit St
185,37.093608,-90.076869,State Hwy 51/State Hwy C/State Hwy P
160,37.266378,-89.895796,Co Rd 446/Co Rd 448
334,37.260500,-89.982156,/State Hwy N
160,37.517422,-89.993192,/State Hwy 72
160,37.287475,-90.089268,/Co Rd 508
160,37.309229,-89.973531,Williams St/Tippett St
185,37.301081,-89.982879,1st St/State Hwy 34
160,37.305226,-89.969096,Pine St/Gilmore St
305,37.298969,-89.984323,Orchard St/Central Ave
305,37.297133,-89.979145,Lutes St/2nd St
185,37.299666,-89.980857,1st St/Mound St
160,37.515514,-90.063589,/State Hwy 72
185,37.508401,-90.100629,State Hwy O
185,37.302770,-89.978872,W Main St/Conrad Ave
276,37.300126,-89.981544,1st St/W Main St
185,37.316026,-89.913130,/State Hwy 34
160,37.306101,-89.971034,North St/Water St/E Main St
160,37.301593,-89.980060,W Main St/Magnolia St
160,37.237635,-89.891305,Co Rd 446/State Hwy N
160,37.539960,-89.870679,Co Rd 234/Co Rd 266
185,37.305162,-89.967063,/Broadway St
185,37.305352,-89.967304,Boundary St
160,37.306237,-89.965667,Bidewell Dr/Zimmerman St
185,37.305563,-89.965643,Broadway St/Zimmerman St
216,37.300455,-89.982036,1st St
160,37.315082,-89.918344,State Hwy 34
216,37.306290,-89.969562,Broadway St/High St
185,37.305099,-89.971056,North St/Vine St/High St
160,37.244136,-89.985556,State Hwy 51
160,37.299746,-89.982839,Prospect St/2nd St
185,37.308814,-89.936778,State Hwy 34
160,37.296534,-89.978235,Ellen St/2nd St
246,37.305347,-89.966440,Broadway St
160,37.222290,-89.905810,/State Hwy F
160,37.126861,-90.093375,State Hwy E
160,37.308826,-89.972317,Poplar St/Graham St
185,37.418411,-90.017664,Co Rd 328/Co Rd 330
160,37.509163,-90.017171,/State Hwy 51
160,37.309234,-89.972322,Poplar St/Williams St
160,37.287811,-90.090302,State Hwy 34/Co Rd 508
276,37.297908,-89.978380,1st St/Lutes St
160,37.258634,-89.920114,/Co Rd 408
160,37.244812,-89.985658,State Hwy 51
445,37.305650,-89.975741,State Hwy 51/Presnell St
185,37.311458,-89.927368,State Hwy 34
160,37.302310,-89.984015,/State Hwy 34
160,37.310729,-89.970726,/High St
185,37.306086,-89.974560,E Main St/Mayfield Dr
160,37.221239,-89.979498,/State Hwy 51
185,37.259350,-89.928356,Co Rd 402
305,37.257760,-89.926439,Co Rd 408/Co Rd 410
160,37.271485,-89.987331,State Hwy 51
160,37.302117,-89.979515,W Main St/Sample St
160,37.257312,-89.927754,Co Rd 408//Co Rd 402
216,37.306002,-89.969192,Broadway St/Mill St
160,37.249408,-89.957355,Co Rd 416
216,37.308277,-89.938301,/State Hwy 34
185,37.306440,-89.967514,Hopkins St
160,37.435782,-90.037363,State Hwy 51
160,37.098361,-89.959826,/State Hwy C
160,37.495858,-89.910776,Buck Fever Dr
160,37.253162,-89.938691,/State Hwy N
305,37.258172,-89.925169,/Co Rd 408/Co Rd 406
160,37.519862,-90.113842,State Hwy 72
305,37.299406,-89.978316,Railroad St/Crown St
160,37.307559,-89.940239,/State Hwy 34
185,37.251474,-89.985674,State Hwy 51
246,37.306047,-89.969866,Gilmore St/High St
160,37.284236,-89.981622,State Hwy 51
160,37.513477,-89.907203,S Broadway
160,37.308833,-89.973441,Graham St
160,37.059143,-89.959237,State Hwy Bb
160,37.092854,-90.076383,State Hwy 51
160,37.515950,-90.062667,State Hwy 72
185,37.271131,-89.987160,State Hwy 51
160,37.393512,-90.009307,Co Rd 306
160,37.515509,-90.024072,Co Rd 900/State Hwy 72
160,37.318857,-90.065374,State Hwy Zz
185,37.294110,-89.988539,Brown St
216,37.300098,-89.982440,Prospect St
160,37.270231,-89.986719,State Hwy 51
160,37.059126,-89.959237,State Hwy Bb
246,37.260499,-89.981531,/State Hwy N
185,37.253156,-89.943233,State Hwy N
160,37.305027,-89.967442,Broad St/Broadway St
160,37.241589,-89.957421,Co Rd 416
160,37.100180,-90.081197,/State Hwy 51
160,37.306727,-89.965916,Oak St/Estes St
160,37.300268,-89.977402,Crown St
216,37.306188,-89.967191,Hopkins St
185,37.300979,-89.982759,1st St
185,37.304493,-89.977048,Presnell St
160,37.314565,-90.026844,/Deck St
160,37.098556,-90.028311,State Hwy C/Co Rd 614
160,37.489859,-90.022442,State Hwy 51
160,37.296431,-89.979950,3rd St/Lutes St
160,37.306099,-89.974323,Kaiser St/E Main St
160,37.520018,-90.114581,State Hwy 72
160,37.298963,-89.983927,Central St/Central Ave
160,37.495839,-89.957407,Co Rd 374/State Hwy 72
216,37.305953,-89.966888,Oak St/Hopkins St
160,37.314761,-90.027468,Murphy St
185,37.301486,-89.980172,W Main St/Glen St
390,37.298970,-89.985261,Summit St/Central Ave
160,37.318538,-90.064841,State Hwy Zz
160,37.306011,-89.971036,North St/E Main St
160,37.305994,-89.968115,Pine St//Boundary St
185,37.172162,-89.948720,/State Hwy 51
185,37.307213,-89.941170,State Hwy 34
160,37.308831,-89.973520,Tippett St/Graham St
185,37.299202,-89.980192,Union St/1st St
160,37.237597,-89.903256,State Hwy F/State Hwy N
185,37.304046,-89.977453,Conrad Ave/Clyde St
160,37.298288,-89.984299,Orchard St/Slaybaugh St
216,37.306051,-89.966760,Oak St
246,37.305561,-89.970476,Walnut St/E Main St/High St
185,37.256556,-89.925890,Co Rd 412/Co Rd 410
160,37.306738,-89.969032,Boundary St/High St
246,37.305748,-89.969487,Mill St/Gilmore St
185,37.247749,-90.033513,State Hwy Pp
160,37.517079,-90.020072,State Hwy 72
160,37.300641,-89.969264,/State Hwy 34
160,37.172409,-89.948320,/State Hwy 51
160,37.308138,-89.970062,Mary Ct
216,37.298962,-89.986457,Myers St/Central Ave
216,37.305193,-89.969981,Walnut St/Mill St
246,37.299786,-89.981906,W Main St
185,37.315990,-89.913969,State Hwy 34
160,37.452784,-90.032807,State Hwy 51
160,37.507446,-90.100014,/State Hwy O
185,37.303541,-89.978044,/Presnell St/Conrad Ave
246,37.305905,-89.970045,Water St/High St
160,37.176730,-89.952325,State Hwy 51
160,37.528592,-90.099045,State Hwy Hh
276,37.300045,-89.979255,Union St/Railroad St
185,37.315997,-89.913898,/State Hwy 34
160,37.169517,-89.973390,Co Rd 524/State Hwy 51
185,37.305110,-89.967210,Broadway St
160,37.298878,-89.981642,Mound St/2nd St
160,37.257608,-89.927887,/Co Rd 402
216,37.300630,-89.981010,W Main St
246,37.299948,-89.977704,Crown St/Magnolia St
160,37.309325,-89.935393,/State Hwy 34
160,37.518264,-90.031523,/State Hwy 72
160,37.314542,-89.919699,/State Hwy 34
160,37.257707,-89.927926,Co Rd 402
185,37.300620,-89.978665,Union St/Magnolia St
185,37.207916,-89.935718,Co Rd 418
160,37.309384,-89.935234,/State Hwy 34
160,37.237614,-89.903695,/State Hwy N
276,37.304733,-89.976628,Conrad Ave/Plutarch St
160,37.309628,-89.969538,Williams St/High St
160,37.271660,-89.987416,State Hwy 51/State Hwy Ff
160,37.298950,-89.977648,Railroad St
160,37.289377,-89.929961,Co Rd 402/Co Rd 405
445,37.305552,-89.975639,State Hwy 51/E Main St/State Hwy 34/Conrad Ave
185,37.301007,-89.980641,Railroad St/W Main St
185,37.508328,-90.100548,/State Hwy O
246,37.310628,-89.997007,State Hwy 34
160,37.067665,-90.072678,/State Hwy 51
160,37.291866,-90.012819,Co Rd 519
160,37.519014,-90.015895,State Hwy 72
185,37.301972,-89.979661,S Sample St/W Main St
160,37.517225,-89.992242,/State Hwy 72
