Estimated daily crossings,Latitude,Longitude,Name
160,39.761539,-94.355294,US Hwy 36
185,39.750758,-94.241892,/W Grand Ave
246,39.767408,-94.214292,Bob F Griffin Rd/SE Oregon Rd
160,39.759367,-94.233704,Platte-Clay Way
185,39.751536,-94.358005,Amelia St/Hunt St
160,39.884076,-94.363469,Pine St/Taylor St
185,39.754071,-94.279967,US Hwy 36
160,39.752537,-94.495564,E 8th St/Dekalb St
216,39.760734,-94.497347,Lakeview Dr
160,39.749527,-94.355058,Carpenter St/Harriet St
160,39.980756,-94.551325,US Hwy 169
160,40.025592,-94.346017,/N State Hwy A
160,39.770181,-94.432672,SW State Hwy J
216,39.751152,-94.235810,/E 14th St
305,39.746346,-94.247707,W 8th St
160,39.819998,-94.362217,State Hwy 33/SE Wamsley Rd
160,39.813493,-94.550004,/N Main St
418,39.749049,-94.234968,/N Walnut St
185,39.747381,-94.347065,Co Rd 56/SE Harris St
160,39.815422,-94.550041,Clay St/N Main St
160,39.864566,-94.450195,/SW Frank Ross Rd
276,39.750135,-94.255399,Carriage Ln/N Willowbrook Dr
160,39.884947,-94.362460,S Water St/Maple St
160,39.887146,-94.363878,Arthur Dr
276,39.882238,-94.362526,Kennedy Dr/S Water St
160,39.752240,-94.495406,E 7th St/Dekalb St
160,39.753324,-94.252761,/W Grand Ave
160,39.761990,-94.497677,US Hwy 36/State Hwy K
160,39.747598,-94.232743,E Grand Ave
160,39.757089,-94.497448,Main St
216,39.746723,-94.219946,I- 35
216,39.890300,-94.360935,/W Jackson St
216,39.890282,-94.360374,N Washington St/W Jackson St
185,39.746346,-94.233989,E 8th St
185,39.753832,-94.228976,/E Baldwin St
216,39.771125,-94.213184,I- 35
305,39.748741,-94.247919,/N Ashland Dr
160,39.760667,-94.233959,Pence Rd
160,39.888717,-94.360419,W King St/S Washington St
445,39.748525,-94.235092,N Walnut St/E Grand Ave
160,39.888723,-94.362402,S Water St/W King St
160,39.757016,-94.243718,SE Harris Rd/McElwain Dr
160,40.020522,-94.528445,/US Hwy 169
160,39.889455,-94.358315,E Main St/N Dallas St/S Dallas St
160,39.753714,-94.227137,E Baldwin St
