Estimated daily crossings,Latitude,Longitude,Name
276,38.431070,-90.390440,Compi
160,38.475600,-90.485300,Kimberly
160,38.236850,-90.438360,Washington Ct/Old State Hwy A
185,38.138680,-90.507460,Hencher Rd
160,38.447800,-90.412020,Apple Tree
246,38.463060,-90.450560,Konert Rd/Konert View Dr
445,38.212640,-90.396850,Clyde St/Brothers Ave
185,38.277601,-90.423208,Hwy Z
160,38.453050,-90.442160,/Old Hwy 21
185,38.351100,-90.401330,Love Ln
160,38.266910,-90.476580,Jarvis Rd/Meadow Dr
160,38.476972,-90.527024,Cozy Ln
305,38.449840,-90.386960,/Lonedell Rd
246,38.241350,-90.557920,Isaiah Ln
185,38.151538,-90.561699,Clarke St
185,38.353350,-90.424150,/Creekstone Dr
160,38.304283,-90.385083,/Bushberg Rd
160,38.224686,-90.428141,Bailey School Rd
390,38.338990,-90.404500,Shelton Ct/Monticello Dr
160,38.322620,-90.710910,/State Hwy 30
216,38.216100,-90.398710,/Lee Ave
216,38.153563,-90.569014,Parklane Rd
216,38.141240,-90.558980,Boyd St/6th St
160,38.148770,-90.340080,Cole Rd/Becker Dr
160,38.423490,-90.379010,Dohack Ct
160,38.131520,-90.547700,Flucom Rd/Stone St
418,38.392770,-90.386100,/Lakewood Lndg
160,38.367370,-90.389940,Cedarbridge Ln/Cedargate Way
305,38.225850,-90.379090,6th Ave/
246,38.395051,-90.374187,Jeffco Blvd
216,38.497840,-90.421830,/Winter Bluff Ct
305,38.441190,-90.361990,Tenbrook Rd/Brookdale Dr
736,38.414280,-90.394660,Vogel Rd
160,38.490480,-90.511910,Robin Dr/Quail Dr
185,38.419920,-90.375240,Hickory Square Pkwy S/Jeffco Blvd
160,38.110990,-90.612190,State Hwy 21
160,38.045810,-90.539670,W Lake Dr/Horseshoe Dr
185,38.275826,-90.396259,Pevely Square Dr
276,38.266810,-90.438730,Victory Dr
445,38.218247,-90.385407,S Truman Blvd
216,38.488300,-90.425450,Keystone Ct
526,38.414140,-90.377875,/Linderhof
160,38.406410,-90.408140,Fite Dr/Oxford Dr
185,38.370250,-90.640740,Spring Rd/Cedar Springs Rd
276,38.400800,-90.429810,Arrow Ridge Pl/Trailing Oak Ct
216,38.421570,-90.414810,Vogel
579,38.410310,-90.381920,Saint Johns Church Rd
334,38.131360,-90.556170,Dewitte St
160,38.225996,-90.485961,/Mapaville Hematite Rd
160,38.472390,-90.436610,/Cedar Ln/Eastview Dr
276,38.474288,-90.632876,Flowerdale Ct
160,38.400420,-90.591500,Betty Ln
160,38.330940,-90.401876,/Bayberry Ln
185,38.238560,-90.394000,N Truman Blvd/Brandon Wallace Way
185,38.495780,-90.470200,Ocean Dr/Lake Dr
160,38.467070,-90.732100,/Riverwood Dr
418,38.244640,-90.400790,Bedford Cir
216,38.342220,-90.392450,Willing St/US Hwy 61/67
246,38.228040,-90.422560,Deer Crossing Dr/Meadow Chase Dr
246,38.478420,-90.438610,/S Old Highway 141/Countryside Cir
246,38.440390,-90.376060,Christy Dr/Harrys Ln
334,38.150377,-90.547493,Fountain City Rd
160,38.363620,-90.361620,/Windsor Harbor Ln
160,38.221721,-90.404224,West Ave
160,38.297240,-90.396750,Mason Cir N
216,38.412350,-90.580750,Walters Dr/Gravois Rd
968,38.286860,-90.404660,Hwy Z/Weier Rd/State Hwy Z
788,38.219180,-90.386420,/Bailey Rd
684,38.343172,-90.389947,Rohler City Plz/US Hwy 61/67
276,38.365400,-90.390080,Cedarbridge Ln/Prehistoric Hill Dr
305,38.235500,-90.392890,/N Truman Blvd
160,38.293766,-90.399848,Ball Foster Dr
160,38.074840,-90.389710,/Spring Oak
160,38.468260,-90.479610,Old Sugar Creek Rd/Sugar Mountain Dr
160,38.392390,-90.373690,Franz Dr/Jeffco Blvd
246,38.368910,-90.629310,/Local Hillsboro Rd
160,38.404650,-90.505560,Prospect Dr/Trl of Tears
160,38.215780,-90.389680,Bear Aly/Harrison Ln
185,38.157890,-90.548070,Main St/State Hwy 110
276,38.417777,-90.588644,Washington Dr
185,38.251690,-90.425390,Festus-Horine Rd
418,38.234380,-90.388120,Crystal Meadow Dr/Missouri Ave
160,38.476170,-90.527520,Cozy Ln
185,38.352805,-90.424425,State Hwy M
276,38.135030,-90.571330,Lueking/Amvets Dr
160,38.242015,-90.445055,Shiloh Dr
160,38.484870,-90.512785,Irish Sea
185,38.438930,-90.549990,Leona Ln
160,38.390861,-90.598060,Mandy Ln
246,38.197785,-90.399426,/US Hwy 67
160,38.457221,-90.530360,Hunning Rd
305,38.221940,-90.410100,/3rd St N
216,38.405110,-90.586890,Old Hwy 30/Wild Cherry Dr
160,38.147128,-90.556542,Lansdowne St/6th St
390,38.452391,-90.376709,I- 55
185,38.227130,-90.413520,Richard Ave
418,38.220500,-90.389300,N 2nd St/Church St
160,38.448425,-90.565907,Franks Rd
305,38.343091,-90.415333,Manor Ct/Parkwood Ct
160,38.135890,-90.615500,Peter Moore Ln/State Hwy H
160,38.125590,-90.540500,Flucom Rd
160,38.151400,-90.556390,Clarke St/Clarke Point Pl
246,38.406090,-90.389490,Willow Trace Dr
160,38.270950,-90.547690,/State Hwy 21
246,38.438676,-90.400059,Ridgeway/Edgemont
185,38.481200,-90.514420,Trw Industrial Ct
160,38.419490,-90.483470,Old State Hwy 21/Westbrook Ln
185,38.369570,-90.365030,Montesanto Park Dr/
216,38.463420,-90.533990,/Community Ln/Horrell Ln
185,38.416450,-90.354390,Causeway Dr/Los Olas Blvd
362,38.218910,-90.410550,/W Main St
160,38.484870,-90.431610,Copper Mountain Dr
552,38.404140,-90.401480,Scott Robert Dr/Matthew Ct
246,38.478500,-90.486500,Carolyn Dr/Angela
216,38.445980,-90.380740,Maple Dr/Walnut Dr
