Estimated daily crossings,Latitude,Longitude,Name
185,37.667502,-92.673687,Iowa St/Texas Ave
185,37.754380,-92.673557,State Hwy 5/Ironwood Ln
185,37.784161,-92.678788,/State Hwy 5
185,37.644260,-92.670781,Industrial Dr/Evergreen Pkwy
552,37.671003,-92.651385,S Jefferson Ave
160,37.753631,-92.505026,State Hwy N
160,37.573996,-92.431628,Hwy Z/Cotrel Ln
185,37.889110,-92.701841,/State Hwy 5
160,37.680502,-92.670650,W 4th St/N Jackson Ave
160,37.672257,-92.667565,/Springfield Rd
418,37.682326,-92.664046,N Adams Ave/E 2nd St
216,37.753272,-92.565295,I- 44
276,37.747451,-92.583356,/Garden Crest Dr
185,37.696342,-92.680098,/Blue Bird Ln
160,37.668080,-92.612500,State Hwy 32
276,37.661978,-92.643728,Donna Cir/E Bland Rd
160,37.629055,-92.336839,/Dawn Rd
160,37.676626,-92.654159,S Washington Ave/Palmer Dr
216,37.696587,-92.672461,Blue Bird Ln
276,37.500718,-92.843368,I- 44
185,37.658905,-92.647127,Highland St/Jessie St
216,37.691501,-92.632710,/E Seminole Ave
216,37.686999,-92.667739,Pearl St/N Washington Ave
185,37.643289,-92.639986,Elizabeth Dr/Dixie Ln
185,37.665055,-92.654062,I- 44
160,37.693839,-92.658890,Mayfield St
216,37.758237,-92.467872,Hidden Hills Rd
185,37.685255,-92.665477,Clark Ave/N Washington Ave
160,37.736696,-92.654339,/Pelican Dr
160,37.489996,-92.432922,/Hwy O
216,37.665095,-92.621704,/Grey Wolf Ln
472,37.663166,-92.658597,/Maple Ln
246,37.503923,-92.840946,/W Jefferson Ave/State Hwy J
160,37.804132,-92.685423,State Hwy 5
160,37.698083,-92.744632,Nightingale Dr
185,37.690913,-92.662139,Catherine St/Main St
160,37.589406,-92.650448,/Cole Rd
216,37.682961,-92.671903,Knight
185,37.688316,-92.660947,Sarah St/McPhail St
160,37.730954,-92.600716,/Pecos Dr
185,37.584129,-92.742863,Campground Rd
185,37.687422,-92.612535,Gladstone Rd/Pine Tree Dr
160,37.796228,-92.681449,/State Hwy 5
185,37.689712,-92.678350,Crestline St/Donnalee Ave
160,37.670032,-92.662528,Stanwood Dr/Drury Ln
160,37.668062,-92.611880,State Hwy 32
246,37.516546,-92.835513,I- 44
334,37.686662,-92.669775,E 7th St/N Adams Ave
160,37.637609,-92.676743,I- 44
160,37.650180,-92.679451,Berrywood/Berrywood Dr
160,37.640462,-92.659567,W Fremont Rd
185,37.767950,-92.413076,I- 44
185,37.687563,-92.634609,/Hwy Mm
276,37.595802,-92.722531,Norton Dr/Nickel Dr/I- 44
185,37.570771,-92.770274,State Hwy W
216,37.758307,-92.510188,Harvest View Rd
160,37.541370,-92.815152,I- 44
160,37.753545,-92.494875,Hidden Hills Rd
160,37.693579,-92.667801,Lynn Ave/Kuhn Ave
160,37.745496,-92.673715,/State Hwy 5
160,37.661909,-92.635784,Timbercreek Dr/E Bland Rd
185,37.707080,-92.594069,/Hwy Mm
246,37.615721,-92.695250,I- 44
185,37.679775,-92.675919,Polk Ave/W 6th St
160,37.794399,-92.448437,Hwy Ff/
246,37.689868,-92.662477,St Louis St/McPhail St
160,37.501389,-92.815047,Arbor Rd/State Hwy Zz
160,37.670134,-92.667554,Springfield Rd/Bethel Rd
160,37.767735,-92.438341,Thrush Dr/Holiday Hills Rd
160,37.636527,-92.558077,Evanston Rd
185,37.712625,-92.830226,/State Hwy 64
362,37.673152,-92.646992,I- 44
160,37.511044,-92.584404,/State Hwy 5
185,37.664111,-92.652429,Southdale Dr
160,37.575573,-92.343383,/State Hwy 32
160,37.760602,-92.593712,Iowa Rd
216,37.862466,-92.704273,Olathe Dr
246,37.516527,-92.835262,I- 44
160,37.767267,-92.413082,/Heartwood Rd
185,37.882397,-92.702752,/State Hwy 5
185,37.717679,-92.610618,/Pecos Dr
160,37.653119,-92.669692,/Alexis Ave
246,37.615929,-92.695903,State Hwy W
305,37.679709,-92.677295,Albert St
185,37.694036,-92.674356,Mockingbird Ln/
185,37.703785,-92.675432,Carriage Pl
246,37.659342,-92.635761,Timbercreek Dr/Timbercreek Cir
185,37.696249,-92.678273,Blue Bird Ln
185,37.889524,-92.701800,/State Hwy 5
185,37.684019,-92.656403,/Millcreek Rd
185,37.706474,-92.619943,/Pecos Dr
185,37.655579,-92.673538,Applelane Dr
160,37.567540,-92.649247,Pecan Dr/Crabapple Rd
185,37.718777,-92.719596,/Oak Bend Dr
160,37.687596,-92.670964,Adams Pl/N Adams Ave
160,37.691644,-92.683858,N Sloan St/Brice St
185,37.691010,-92.667692,Lynn Ave
185,37.671183,-92.646757,Twin Maple Dr
216,37.579324,-92.751794,Campground Rd
216,37.516563,-92.835834,Martingale Dr
246,37.651943,-92.642122,Ponderosa
216,37.691393,-92.661357,Green St/Main St
160,37.643372,-92.644456,Ozark Dr/Elizabeth Dr
246,37.748655,-92.580828,I- 44
185,37.717298,-92.668207,State Hwy 5
216,37.702347,-92.667971,Lynn Ave/Raef Rd
276,37.655583,-92.674828,Applelane Dr
185,37.890459,-92.701718,State Hwy 5
216,37.660845,-92.649430,/S Jefferson Ave
216,37.681512,-92.652210,Mills Dr/I- 44 Bus
216,37.699181,-92.660955,Driftwood Dr/Woodspice Trl
185,37.679028,-92.677307,Albert St/Mizer St
