Estimated daily crossings,Latitude,Longitude,Name
246,39.788183,-93.303501,Linn St/W Crandall St
160,39.710041,-92.956849,W Wells St/S Chestnut St
216,39.788320,-93.068571,E Brooks St/Grant St
160,39.714110,-92.955421,S Mulberry St/W Lake St
305,39.716193,-92.947147,E Santa Fe Ave
160,39.796180,-93.074350,Lincoln St/E Pratt St
160,39.788173,-93.300598,Shelby St/E Crandall St
185,39.779511,-93.122676,US Hwy 36
185,39.763002,-93.024376,US Hwy 36
160,39.702114,-92.958317,Scott St
160,39.770680,-93.059704,Forrest St
160,39.791540,-93.074480,Lincoln St/E Prairie St
160,39.852548,-93.060527,Ibert Rd
160,39.799857,-93.077187,Courtland St/Prospect St
185,39.781795,-93.064170,Sanford St/E Canal St
160,39.728507,-92.944246,W Ira St/N College St
216,39.779822,-93.071483,W Canal St/E Canal St/S Main St
185,39.729925,-92.945584,Hayden St
160,39.776583,-93.072807,S Caldwell St/Burnham St
160,39.701669,-92.933102,Scott St
160,39.713950,-92.957520,W Walker St/S Poplar St
160,39.796386,-93.079348,Brookfield Ave/W Pratt St
185,39.782953,-93.060530,/Scott St/Silver Ln
160,39.775689,-93.054862,Short Dr/Valley Forge Rd
160,39.880945,-93.187586,E Clay St
160,39.894767,-93.183028,Empire Dr
185,39.771287,-93.068494,US Hwy 36
160,39.779467,-93.072746,W Canal St/S Livingston St
185,39.783884,-93.073332,W Helm St/E Helm St/S Main St
160,39.783324,-93.098680,S Pershing Rd/Belview Dr
160,39.789651,-93.031166,Jena Dr/Jaunt Dr
185,39.788036,-93.069697,E Brooks St/N Monroe St
276,39.713274,-92.956137,S Mulberry St/W Walker St
160,39.785384,-93.064020,S Brunswick St/E Clayton St
160,39.783525,-93.174837,Hwy 5/Grove St/Cole St
160,39.792057,-93.168927,Rainbow Rd/Pershing Dr
160,39.712583,-92.945879,S Walnut St
216,39.774183,-93.071704,S Caldwell St/W Lockling Ave
160,39.877246,-93.188842,S Main St/E Pearl St/W Pearl St
160,39.793084,-92.994007,3rd St/Jefferson St
160,39.711827,-92.948400,S Missouri Ave/E Gracia Ave
185,39.763841,-93.140712,Husk Rd
160,39.770405,-93.058381,Forrest St
246,39.877838,-93.188826,E Smith St/S Main St/W Smith St
185,39.797428,-93.075905,Maple St/N Main St
185,39.778194,-93.095865,Markham Ct
185,39.780145,-93.095823,Markham Dr/Markham Ct
185,39.763027,-93.020308,US Hwy 36
160,39.776190,-93.064182,/Thompson St/S Brunswick St
216,39.714642,-92.944022,E Santa Fe Ave/N Walnut St
160,39.780493,-93.103393,W Helm St
216,39.713762,-92.944576,N Walnut St
185,39.727240,-92.946548,W Bigger St/N Cannon St
160,40.032754,-93.160867,E Fir St/S 2nd St
185,39.714447,-92.946201,N Missouri Ave/E California Ave
246,39.712567,-92.954724,W Walker St/S Chestnut St
160,39.717944,-92.943251,N Missouri Ave/E Truman St
185,39.729540,-92.945455,Church St/Hayden St
160,39.759353,-92.861180,/US Hwy 36
185,39.800019,-93.079874,Crest Rd/Prospect St
216,39.716194,-92.949712,N Kansas Ave/W California Ave/E California Ave
160,39.770440,-93.059717,US Hwy 36
160,39.711287,-92.944847,E Howell Ave/S Cedar St
160,39.716394,-92.942544,E Crocker St/N Walnut St
160,39.795038,-93.000083,State Hwy 11
160,39.786837,-93.296802,/Rice St
185,39.727064,-92.946649,W Bigger St
160,39.777515,-93.356412,US Hwy 36
160,39.782029,-93.072490,E Clark St/W Clark St/S Main St
185,39.760959,-92.941165,US Hwy 36/State Hwy 5
160,39.779564,-93.064546,Hyatt St/Colonial Ct
160,39.853599,-93.060486,Ibert Rd
185,39.728016,-92.946684,N Cannon St
160,39.798777,-93.079923,Walnut St/Crest Rd
160,39.765377,-93.066778,St John/St Peter/St Andrew
160,39.772205,-93.067997,S Main St/Forrest St
160,39.740013,-93.007315,Julep Rd
160,39.705462,-92.937784,E Wilson St/Mary Ave
160,39.879036,-93.190685,W Jackson St/W State St
160,39.728534,-92.945473,W Ira St/Church St/N Church St/Ira St
160,39.785142,-93.073909,S Main St/N Main St
185,39.799763,-93.075801,Prospect St/N Main St
185,39.763230,-93.024309,US Hwy 36
160,39.794932,-93.076016,N Main St
160,39.771226,-93.067603,US Hwy 36
185,39.783019,-93.061701,Scott St/Hunt St
160,39.880343,-93.187374,E Jefferson St
160,39.734590,-92.941803,State Hwy 5
216,39.839435,-93.079152,/Co Rd P
160,39.705436,-92.951983,S Missouri Ave
160,39.778882,-93.149440,US Hwy 36
160,39.788133,-93.290804,Border Rd
185,39.879462,-93.190670,W Jackson St
160,39.770997,-93.069072,Park Circle Dr
160,39.778829,-93.161067,US Hwy 36
160,39.783359,-93.067588,E Clark St/S Monroe St
160,39.780129,-93.098819,Markham Dr/S Pershing Rd
185,39.771516,-93.064303,S Brunswick St/Forrest St/Forrest Dr
160,39.716942,-92.961115,W Walker St/Brookfield St/W Lake St
160,39.721257,-92.917477,Monroe Dr
160,39.780417,-93.113427,/US Hwy 36
276,39.878437,-93.189762,S High St/W Linn St
216,39.728576,-92.946632,W Ira St/Ira St/N Cannon St
160,39.778002,-93.053686,Carriage Dr/Hillside Dr
185,39.801334,-93.078558,N State St/Quail Dr
160,39.780480,-93.103609,W Helm St
305,39.715355,-92.945432,E Santa Fe Ave/N Missouri Ave
160,39.778625,-93.098879,US Hwy 36/S Pershing Rd
160,39.778375,-93.198023,/US Hwy 36
160,39.771467,-93.067655,US Hwy 36
185,39.879037,-93.189716,W State St/N High St
216,39.761979,-93.007833,Jonquil Rd/Jucco Dr
160,39.793203,-93.022057,State Hwy 11
160,39.777607,-93.344015,US Hwy 36
276,39.775500,-92.893916,W Washington St/Livingston St
160,39.787526,-93.084570,N Pearl St/Clay St
160,39.711866,-92.953316,S Kansas Ave/W Walker St/E Walker St
160,39.869076,-92.932326,Co Rd U/Little Rd
160,39.877626,-93.182454,S Buchanan St/Lynn St
216,39.762424,-93.007820,Co Rd F/US Hwy 36
160,39.714174,-92.948157,E Ritchie Ave
305,39.775531,-93.069746,State Hwy 11/S Main St
185,39.879762,-93.189716,W Jackson St/N High St
160,39.894440,-93.183380,State Hwy 5/Empire Dr
160,39.782421,-93.067162,E Robard St/S Monroe St
160,39.778076,-93.284180,US Hwy 36
160,39.784923,-93.073811,S Main St
185,39.779085,-93.079472,W Robard St/S State St
160,39.787240,-93.300636,E Gentry St/Shelby St
160,39.780043,-93.103741,US Hwy 36
216,39.797649,-93.079982,Maple St/Crest Rd
160,39.710255,-92.947690,E Lake St/S Walnut St
160,39.717095,-92.943952,E Crocker St/N Missouri Ave
185,39.713807,-92.944032,N Walnut St
160,39.808284,-93.169311,Fargo Dr
185,39.780851,-93.065042,Colonial Ct
160,39.782292,-93.100553,Bull Pup Blvd/Bluepride Pkwy
160,39.778374,-93.098892,Huron Dr/US Hwy 36
160,39.782357,-93.085846,Michigan St/S Pine St
160,39.788141,-93.291702,Border Rd/E Crandall St/Conley Dr
305,39.714246,-92.944342,N Walnut St
160,39.783069,-93.035861,Justice Dr
160,39.778449,-93.099145,US Hwy 36
160,39.793917,-93.074987,E Dake St
185,39.762804,-93.020475,US Hwy 36
160,39.783070,-93.064742,Sanford St/E Robard St
160,39.771639,-93.073204,US Hwy 36/State Hwy 11
246,39.877872,-93.189777,S High St/W Smith St
160,39.778831,-93.160622,US Hwy 36
276,39.720420,-92.948201,N Chestnut St/W Truman St
160,39.731419,-92.946909,W Broadway St
160,39.713592,-92.949416,E Howell Ave
390,39.715507,-92.948297,/E California Ave
160,39.780940,-93.095320,W Helm St/Clawson Dr
160,39.709936,-92.954231,W Curtis St
160,39.778117,-93.189304,US Hwy 36
160,39.788319,-93.072555,Macon St/E Wood St
160,39.791117,-93.073820,Macon St/E North St
160,39.715153,-92.952570,N Chestnut St/W Howell Ave/S Chestnut St
160,39.777386,-93.311797,US Hwy 36
160,39.771849,-93.067737,Forrest St
160,39.727144,-92.941826,W Bigger St/N Missouri Ave
160,39.728490,-92.941977,W Ira St/N Missouri Ave
160,39.784565,-93.070832,E Helm St/Market St
185,39.777804,-93.234037,/US Hwy 36
216,39.719706,-92.946774,N Kansas Ave/W Truman St/E Truman St
160,39.721260,-92.947499,W Hauser St/N Chestnut St
160,39.775084,-93.079640,S State St/Fairground Rd
185,39.771528,-93.068528,/US Hwy 36
276,39.774837,-93.069529,E Lockling Ave/W Lockling Ave
160,39.721534,-92.940249,N Missouri Ave
160,39.713955,-92.942634,Cedar St/E Santa Fe Ave
185,39.763284,-93.025338,US Hwy 36
185,39.771269,-93.068231,US Hwy 36
160,39.781798,-93.064080,S Brunswick St/E Canal St
334,39.774832,-93.070672,S Livingston St/W Lockling Ave
185,39.799973,-93.078605,N State St/Prospect St
160,39.778367,-93.198453,US Hwy 36
216,39.781578,-92.889463,Livingston St
160,40.032186,-93.158013,S Van Buren St
185,39.877248,-93.189781,S High St/W Pearl St
216,39.780740,-93.073328,W Robard St/S Livingston St
160,39.765123,-93.067405,Old Hwy 36
160,39.777927,-93.252913,US Hwy 36
160,39.778525,-93.189327,US Hwy 36
160,39.731265,-92.941891,W Broadway St/E Broadway St/State Hwy 5/N Missouri Ave
185,39.777829,-93.175165,State Hwy 139
160,39.716242,-92.944671,N Missouri Ave/E Chicago Ave
160,39.778025,-93.196128,US Hwy 36
185,39.763191,-93.023566,/US Hwy 36
216,39.827260,-92.986218,State Hwy 11/Kiowa Rd
160,39.787252,-93.068578,E Boston St/Grant St
216,39.796289,-93.075948,W Pratt St/E Pratt St/N Main St
160,39.877679,-93.183127,Lynn St
160,39.795153,-93.075826,W Farragut St
185,39.773748,-93.071165,State Hwy 11/W Lockling Ave
160,39.891322,-92.937496,Kite Rd
160,39.772542,-93.077847,/US Hwy 36
160,39.778388,-93.197287,US Hwy 36
160,39.794989,-93.077460,Courtland St
216,39.781371,-92.889680,Livingston St
160,39.880363,-93.189710,W Jefferson St/N High St
216,39.762951,-93.026770,Jonquil Rd
216,39.781624,-92.889415,Livingston St/Hunt St
160,39.728227,-92.941982,/N Missouri Ave
362,39.774924,-93.069996,State Hwy 11/W Lockling Ave
160,39.774677,-93.085844,US Hwy 36
216,39.788233,-93.076749,N Livingston St/W John St
185,39.778692,-93.179453,US Hwy 36
160,39.713498,-92.942981,Cedar St
160,39.787323,-93.084582,N Pearl St
160,39.728683,-92.941972,N Missouri Ave
246,39.727242,-92.946707,Pin Oak/N Cannon St
160,39.761271,-92.939715,US Hwy 36
160,39.954207,-93.305106,State Hwy 139/Brook Rd
160,39.780449,-93.104035,W Helm St
246,39.714670,-92.949143,E Ritchie Ave/
246,39.794218,-93.079460,Brookfield Ave/W Dake St
160,39.761822,-92.950576,Lilac Rd
160,39.778675,-93.143792,US Hwy 36
160,39.761055,-92.950564,US Hwy 36
160,39.772615,-93.078214,US Hwy 36
160,39.779194,-93.059431,Hyatt St/High St
216,39.797635,-93.079285,Brookfield Ave/Maple St
185,39.839469,-92.878985,Nutmeg Rd
246,39.760366,-92.941170,/State Hwy 5
246,39.727247,-92.947023,N Cannon St
216,39.772541,-93.072314,/State Hwy 11
185,39.791601,-93.083776,Gamble St/West Ave
160,39.777999,-93.198022,/US Hwy 36
216,39.763370,-93.026798,US Hwy 36
160,39.771851,-93.072995,US Hwy 36/State Hwy 11
160,39.779954,-93.122665,US Hwy 36
160,39.778761,-93.175115,Hwy 5/US Hwy 36/Ginger Rd
160,39.770196,-93.059750,US Hwy 36
160,39.769897,-93.058641,US Hwy 36
160,39.761819,-92.988675,US Hwy 36/Keene Dr
160,39.774888,-93.069235,E Lockling Ave/S Main St
185,39.880361,-93.188779,E Jefferson St/W Jefferson St/N Main St
246,39.878420,-93.188820,E Linn St/W Linn St/S Main St
216,39.763133,-93.026768,US Hwy 36
160,39.785951,-93.127973,Co Rd Ff
160,39.777233,-93.343858,US Hwy 36
185,39.711894,-93.306526,Co Rd W
160,39.717410,-92.947007,E Chicago Ave
160,39.798739,-93.078633,N State St/Walnut St
160,39.786035,-93.077098,N Caldwell St/W Brooks St
160,39.775076,-93.052946,Wentz St
160,39.778045,-93.312236,US Hwy 36
160,39.726795,-92.941630,N Kansas Ave/N Missouri Ave
160,39.791502,-93.074048,E Prairie St
216,39.797667,-93.080703,Maple St/Sunset Hill Rd
160,39.780365,-93.078593,W Clark St/Nichols St
160,39.880981,-93.189705,N High St/W Clay St
160,39.780174,-93.097741,Markham Dr/Percy Ln
160,39.786554,-93.084618,N Pearl St/Hanson Ave
160,39.779023,-93.057255,E Circle Dr/Hyatt St
160,39.787296,-93.076315,N Livingston St/W Wood St
160,39.775963,-93.054861,Short Dr/Skyline Dr
160,39.794098,-93.077417,Snow St/W Dake St/Courtland St
160,39.785101,-93.076664,N Caldwell St/W Boston St
160,39.770927,-93.067838,Iberia Rd
216,39.788909,-93.074170,E John St/Linn St
160,39.778479,-93.161046,US Hwy 36
185,39.879724,-93.190568,W Jackson St
160,39.701650,-92.932384,Scott St/Morton Rd
216,39.762191,-93.007827,Co Rd F/US Hwy 36/Jucco Dr
160,39.770955,-93.068081,Park Circle Dr/Iberia Rd
160,39.761270,-92.939415,US Hwy 36
160,39.778592,-93.149432,US Hwy 36
305,39.778830,-93.097110,Percy Ln
160,39.791043,-93.074089,E North St
160,39.761141,-92.964440,US Hwy 36
216,39.774029,-93.071733,W Lockling Ave
185,39.778927,-93.143293,US Hwy 36
160,39.782103,-93.060568,Silver Ln
185,39.780176,-93.070194,E Canal St/Harrison St
185,39.729929,-92.945434,/Hayden St
160,39.777230,-93.066145,Ray Rd
246,39.773112,-93.077729,W Lockling Ave
160,39.788158,-93.296785,Rice St/E Crandall St/Crandall St
160,39.779653,-93.065912,Hyatt St/S Monroe St
160,39.779722,-93.103740,US Hwy 36
160,39.715855,-92.953980,N Mulberry St/S Mulberry St/W Howell Ave
160,39.731408,-92.946566,W Broadway St/N Cannon St
160,39.710965,-92.949117,E Lake St/S Missouri Ave
160,39.770802,-93.067513,Iberia Rd
160,39.796436,-93.078721,N State St/W Pratt St
160,40.032592,-93.158018,S Van Buren St/E Fir St
185,39.709323,-92.955446,S Kansas Ave/W Wells St
160,39.789714,-93.066226,Lyons St/N Sherman St
160,39.761584,-92.988617,US Hwy 36/Keene Dr
160,39.792538,-93.238502,Dart Rd
160,39.778139,-93.098902,Huron Dr
246,39.788151,-93.294172,Lewis/E Crandall St
160,39.702293,-92.965973,Kansas Rd
160,39.770106,-93.058488,US Hwy 36
160,39.796041,-93.094188,W Pratt St/Hade Dr
246,39.787700,-93.294138,Lewis
246,39.715334,-92.950448,E Ritchie Ave/N Kansas Ave/W Ritchie Ave
160,39.785398,-93.074025,N Main St
160,39.775064,-93.078945,Fairground Rd
185,39.779894,-93.103109,/US Hwy 36
185,39.781231,-92.889827,Livingston St
160,39.708168,-92.948323,E Booker St
160,39.793152,-92.995056,3rd St/Main St
246,39.781087,-93.072060,E Robard St/W Robard St/S Main St
160,39.776179,-93.064332,E Lockling Ave//S Monroe St
160,39.785602,-93.060472,Silver Ln
160,39.725796,-92.942017,N Kansas Ave
185,39.776868,-93.051396,Tomahawk Dr/Sicamore Dr/Sycamore Dr
246,39.715112,-92.947549,E California Ave
185,39.879035,-93.189751,S High St/W State St
185,39.759476,-92.875368,US Hwy 36
160,39.789229,-93.072976,Macon St/E John St
160,39.789445,-93.066233,N Sherman St
185,39.780453,-93.061763,Joyce Pl/Hunt St
160,39.772311,-93.077945,/US Hwy 36
160,39.708583,-92.949085,S Walnut St/E Booker St
160,39.795285,-93.082113,McGowan St/Pettijohn St
160,39.795144,-93.076011,N Main St/W Farragut St
160,39.796366,-93.077387,W Pratt St/Courtland St
185,39.787682,-93.302048,Macon St/
185,39.776761,-93.070083,Lenhart St/S Main St
185,39.714447,-92.951164,N Kansas Ave/S Kansas Ave/W Howell Ave/E Howell Ave
160,39.794197,-93.078824,N State St/W Dake St
185,39.779428,-93.078161,W Robard St/Nichols St
160,39.790758,-93.083804,Elliot St/Gamble St
246,39.727379,-92.946710,N Cannon St
185,39.760948,-92.940219,US Hwy 36
185,39.782704,-93.070000,E Clark St/Market St
160,39.777974,-93.066539,Lenhart St/Freeman St
160,39.784022,-93.065183,Sanford St/E Clark St
160,39.791038,-93.304866,Livingston St
160,39.884839,-93.199155,/Ekman Dr
160,39.782570,-93.078234,W Helm St/Beverly St
160,39.783523,-93.174984,Cole St
185,39.779605,-93.103120,US Hwy 36
160,40.033608,-93.158046,S Van Buren St/E Elm St
160,39.777624,-93.324715,US Hwy 36
160,39.775340,-93.074979,Center Dr
185,39.839538,-92.878959,Nutmeg Rd
160,39.775032,-93.073946,Center Dr
216,39.879745,-93.188778,E Jackson St/W Jackson St/N Main St
305,39.794261,-93.080818,Strawbridge St/W Dake St
246,39.773853,-93.072930,S Clinton St/W Lockling Ave
160,39.795247,-93.080756,Strawbridge St/McGowan St/McGowan
160,39.746543,-93.022328,Jade Dr
160,39.761285,-92.950553,US Hwy 36
160,39.783551,-93.074621,W Helm St/S Livingston St
185,39.770979,-93.068549,Park Circle Dr
