Estimated daily crossings,Latitude,Longitude,Name
185,40.464335,-92.171460,/W Missouri Ave
160,40.463134,-92.162628,E Mety Ave/Watkins St
185,40.461536,-92.173966,/W North St
246,40.457755,-92.166040,E Monroe St/S Knott St
160,40.450519,-92.162880,Ludwick Dr/State Hwy Mm
160,40.450402,-92.162882,State Hwy Mm
185,40.464338,-92.173349,W Missouri Ave/N Cecil St
216,40.457734,-92.172816,/W Monroe St
185,40.463022,-92.171031,/W Mety Ave
160,40.451359,-92.162002,/Grand Ave
160,40.455774,-92.169376,Jones St/S Market St
246,40.465810,-92.170963,Washington St/Sigler Ave
160,40.460066,-92.177444,W Jefferson St
185,40.465811,-92.172123,Sigler Ave/N Clay St
160,40.453624,-91.988239,/US Hwy 136
185,40.456588,-92.171513,W Jackson St
160,40.453927,-92.174969,Clay St/State Hwy 15
246,40.460049,-92.170492,E Jefferson St/W Jefferson St/N Main St
276,40.465810,-92.170380,Sigler Ave/E Sigler Ave/N Main St
160,40.456383,-92.175741,Edgewood Ave
185,40.465593,-92.172132,/N Clay St
185,40.460044,-92.173963,W Jefferson St
185,40.458890,-92.172817,/W Madison St
160,40.463033,-92.174499,W Mety Ave/N Lincoln St
160,40.454183,-92.174721,Clay St
185,40.460040,-92.172260,W Jefferson St/N Clay St
246,40.458882,-92.170479,E Madison St/W Madison St/S Main St/N Main St
185,40.451528,-92.160611,Grand Ave/US Hwy 136
160,40.464351,-92.174462,N Lincoln St/W Missouri Ave
160,40.471424,-92.176340,Hardman St/Lovers Ln
185,40.461541,-92.168238,N Adams St/E North St
160,40.465797,-92.169258,N Market St/E Sigler Ave
160,40.454587,-92.174339,/Clay St
160,40.451391,-92.167840,Grand Ave/
160,40.455019,-92.178969,/US Hwy 136
160,40.451393,-92.161558,Grand Ave/
160,40.451368,-92.165749,/Grand Ave
160,40.360141,-92.022676,Main St/High St
160,40.455771,-92.168233,Jones St/S Adams St
160,40.461529,-92.172247,W North St/N Clay St
160,40.461484,-92.167592,E North St/N Johnson St
246,40.460041,-92.171597,N Washington St/W Jefferson St
185,40.463967,-92.170420,N Main St
160,40.470547,-92.174735,Lincoln St/Newman Ave
185,40.464378,-92.177814,Forest Ave/W Missouri Ave
160,40.465748,-92.164980,/E Sigler Ave
185,40.460231,-92.167031,/E Jefferson St
216,40.471400,-92.174734,Lincoln St/Lovers Ln
246,40.461540,-92.175076,W North St
185,40.463032,-92.175070,/W Mety Ave
160,40.457751,-92.167609,E Monroe St/S Johnson St
160,40.360110,-92.021721,Nesbit St/Main St
160,40.451379,-92.166654,Grand Ave
185,40.457743,-92.171610,W Monroe St/S Washington St
246,40.460039,-92.172817,W Jefferson St
160,40.451394,-92.168565,Grand Ave//US Hwy 136/S Market St
185,40.461534,-92.174511,Lincoln St/N Lincoln St/W North St
185,40.457741,-92.172255,S Clay St/W Monroe St
305,40.451347,-92.163807,Grand Ave
216,40.471399,-92.174633,/Lovers Ln
185,40.460235,-92.166466,E Jefferson St/Bence Ave
185,40.451613,-92.160218,/US Hwy 136
216,40.450901,-92.162874,/State Hwy Mm
160,40.462327,-92.165098,N Knott St
160,40.460075,-92.178167,/W Jefferson St
160,40.455776,-92.170474,Jones St/S Main St
185,40.460051,-92.167585,E Jefferson St/N Johnson St
160,40.464336,-92.171604,W Missouri Ave
160,40.457755,-92.169376,E Monroe St/S Market St
246,40.456507,-92.172570,/S Clay St
246,40.456864,-92.172381,/S Clay St
185,40.460046,-92.174527,Lincoln St/W Jefferson St
216,40.458889,-92.172265,S Clay St/W Madison St/N Clay St
160,40.457765,-92.164543,E Monroe St/S Sanders St
160,40.460254,-92.161457,Barker Stevenson Ave/E Jefferson St
160,40.457736,-92.173411,W Monroe St/S Cecil St
160,40.464373,-92.176720,W Missouri Ave/Gorin St
185,40.463060,-92.176741,W Mety Ave/Gorin St
160,40.464332,-92.171052,/Washington St/W Missouri Ave
160,40.457752,-92.168230,E Monroe St/S Adams St
160,40.451373,-92.166124,Grand Ave/S Knott St
160,40.459747,-92.161518,Barker Stevenson Ave/Orchard St
160,40.434213,-92.239647,Lake Showme Dr/Gun Club Rd
160,40.463020,-92.173392,W Mety Ave/N Cecil St
246,40.458887,-92.171602,W Madison St/N Washington St/S Washington St
185,40.451482,-92.160867,Grand Ave/
160,40.449679,-92.162895,Ludwick Dr/State Hwy Mm
160,40.471441,-92.177699,/Lovers Ln
160,40.454331,-92.027512,/US Hwy 136
216,40.463036,-92.175624,W Mety Ave/Maple St
185,40.460055,-92.168240,N Adams St/E Jefferson St
246,40.457167,-92.166048,S Knott St
185,40.451566,-92.160414,US Hwy 136
160,40.359710,-92.021541,/Gorin St
160,40.463102,-92.165070,E Mety Ave/N Knott St
160,40.464333,-92.171151,W Missouri Ave
160,40.454961,-92.170473,Hudson St/S Main St
160,40.454287,-92.026331,/US Hwy 136
185,40.460043,-92.173390,Cecil St/N Cecil St/W Jefferson St
246,40.460052,-92.169371,N Market St/E Jefferson St
160,40.359743,-92.022678,/High St
160,40.384364,-91.959464,/Fox Rd
160,40.456585,-92.169371,E Jackson St/S Market St
160,40.567078,-92.150877,/State Hwy 15
185,40.451581,-92.160351,US Hwy 136
246,40.465179,-92.176815,Elm St
160,40.360145,-92.022904,Broadway St/Santa Fe St
160,40.461524,-92.171602,N Washington St/W North St
185,40.458889,-92.169367,E Madison St/N Market St/S Market St
185,40.460229,-92.167584,E Jefferson St/N Johnson St
216,40.463024,-92.171634,/W Mety Ave
160,40.463016,-92.172211,W Mety Ave/N Clay St
160,40.464338,-92.172187,W Missouri Ave/N Clay St
216,40.461548,-92.175649,W North St/Maple St
160,40.360104,-92.021513,Main St/Gorin St
246,40.464882,-92.176783,Gorin St
160,40.471710,-92.176334,/Hardman St
160,40.332080,-92.096328,/Woehrle Rd
185,40.463020,-92.170452,W Mety Ave/E Mety Ave/N Main St
160,40.457775,-92.164099,E Monroe St/S Sanders St
185,40.456812,-92.171624,W Jackson St/S Washington St
160,40.453575,-92.175200,/State Hwy 15
185,40.451333,-92.162866,Grand Ave/Ridge St/State Hwy Mm
160,40.451349,-92.162423,/Grand Ave
