Estimated daily crossings,Latitude,Longitude,Name
160,46.316377,-111.516888,D St
160,46.329538,-111.528356,/US Hwy 12
185,46.319624,-111.515673,/B St
160,46.321069,-111.517863,N Cedar St
246,46.319174,-111.519785,/S Pine St
160,46.316473,-111.516617,/D St
185,46.320893,-111.516095,Broadway St/S Oak St/N Oak St
160,46.389651,-111.575204,US Hwy 12/Manor Dr
185,45.991159,-111.608061,Hilltop Rd/Hilltop Vis Lp
160,46.324388,-111.518466,4th St/N Oak St
160,46.323947,-111.519795,4th St/N Cedar St
160,45.918023,-111.583609,Jack Russell Rd/Farm Rd
160,46.314720,-111.518579,S Front St
160,46.316559,-111.516351,S Spruce St/D St
160,46.326442,-111.516522,Century Pl
160,45.918493,-111.603755,/I- 90/I-90
185,46.324109,-111.515080,N Cherry St/3rd St
246,46.321650,-111.519813,N Spruce St
160,46.320153,-111.514020,S Walnut St/B St
160,46.537834,-111.743463,Sysken Ln/Spruce Grove
160,46.319486,-111.520397,/Broadway St
185,46.319790,-111.518558,/S Spruce St
185,46.318029,-111.520576,S Front St/B St
185,46.319737,-111.515325,S Oak St/B St
160,46.326447,-111.520651,6th St
160,46.286491,-111.499566,/US Hwy 287
160,46.141832,-111.476374,/US Hwy 287
160,45.918141,-111.610020,I- 90
246,46.321648,-111.518238,N Cedar St/2nd St
160,45.920524,-111.653715,I- 90
160,46.357014,-111.552731,Springville Ln
160,46.310275,-111.515647,/US Hwy 287
160,46.320202,-111.517269,/S Cedar St
160,46.477927,-111.658312,Main St/Beaver Creek Rd
160,46.329249,-111.352732,US Hwy 12/
246,46.321227,-111.519545,N Spruce St/2nd St
160,46.316091,-111.517781,/D St
216,46.318326,-111.519640,/B St
216,46.319595,-111.520072,Broadway St/N Pine St/S Pine St
216,45.921007,-111.597094,Bronco Dr
185,46.318739,-111.518363,/B St
160,46.551406,-111.763173,/US Hwy 12
160,46.172330,-111.439676,St Helen St/Ferry St
160,46.217629,-111.459616,/US Hwy 287
160,45.991178,-111.589372,Hilltop Rd/US Hwy 287/Copper City Rd
160,46.510436,-111.700505,US Hwy 12
160,45.918281,-111.583889,I- 90
160,45.918172,-111.602408,/I- 90
160,45.917999,-111.563454,Jack Russell Rd
160,46.326471,-111.521474,N Cedar St
160,46.321908,-111.517438,2nd St
160,46.335215,-111.531753,US Hwy 12
160,46.320507,-111.519047,/N Spruce St
160,46.320038,-111.518721,S Spruce St/N Spruce St/Broadway St
160,45.918051,-111.576081,Jack Russell Rd
185,46.326279,-111.521365,/6th St/N Cedar St
160,46.320458,-111.517442,Broadway St/N Cedar St/S Cedar St
160,46.316886,-111.519828,C St/S Front St
185,46.322933,-111.514276,N Cherry St/2nd St
160,46.312296,-111.517013,S Front St/US Hwy 287/Elm St
246,46.319277,-111.519853,/S Pine St
160,46.268057,-111.456619,Shelley Rd
160,46.310819,-111.516015,/US Hwy 287
160,46.389446,-111.575647,N-8/US Hwy 12
160,46.402775,-111.694105,4189A1/4189
185,46.322080,-111.516911,N Oak St/2nd St
160,46.320783,-111.520865,N Pine St/2nd St
160,46.314479,-111.518441,S Front St/E St
185,46.318790,-111.518209,/B St
160,46.325564,-111.519266,5th St/N Oak St
160,46.334118,-111.531198,/US Hwy 12
160,46.318868,-111.521156,/S Front St
160,46.316115,-111.517706,S Pine St/D St
160,46.478055,-111.657655,US Hwy 12/Beaver Creek Rd
185,46.322828,-111.519045,3rd St/N Cedar St
216,45.917763,-111.600356,W Farm Rd/Farm Rd
246,45.921011,-111.597312,US Hwy 287/Bronco Dr
160,46.320374,-111.522187,N Front St/2nd St
160,45.918441,-111.610179,I- 90
160,46.321369,-111.516423,/N Oak St
160,46.334494,-111.531388,US Hwy 12
160,46.477939,-111.658731,Main St
246,46.318442,-111.519283,S Pine St/B St
246,46.321469,-111.518794,/2nd St
185,46.172735,-111.437458,Ferry St
185,46.325118,-111.520596,5th St/N Cedar St
216,46.321305,-111.514823,Broadway St/N Walnut St/S Walnut St
160,45.991135,-111.597727,Hilltop Rd/Hilltop Vis Lp
160,46.341599,-111.559786,Nez Pierce Trl/Sitting Bull Trl
216,46.322512,-111.515612,N Walnut St/2nd St
160,46.357410,-111.552276,Springville Ln
160,46.320969,-111.517793,/N Cedar St
216,46.321089,-111.519968,/2nd St
160,46.329216,-111.353077,US Hwy 12/
160,46.171897,-111.447211,Hwy 287 Byp/State Hwy 285/US Hwy 287
160,45.918606,-111.584103,I-90
185,46.172023,-111.438072,Hill St
216,46.320605,-111.515896,S Oak St
160,46.477973,-111.658115,Beaver Creek Rd
160,46.319293,-111.516646,B St/S Cedar St
160,46.172776,-111.437222,Lucifer St/Ferry St
216,46.319326,-111.519884,S Pine St
216,46.172595,-111.438260,Ferry St/Hill St
160,46.320661,-111.521228,/2nd St
160,46.319182,-111.521378,S Front St/Broadway St/N Front St
160,46.320920,-111.517758,/N Cedar St
