Estimated daily crossings,Latitude,Longitude,Name
160,48.560170,-109.515048,US Hwy 2/123rd Ave E
160,48.315452,-110.000848,Cottonwood St/Maple St
160,48.561161,-109.643963,US Hwy 2
216,48.556137,-109.723370,25th Ave/2nd St W
216,48.537577,-109.693051,W 14th St/14th St W/Monroe Ave
160,48.547224,-109.669941,6th St/9th Ave
160,48.443881,-109.871287,US Hwy 87
185,48.539325,-109.681525,Saddle Butte Dr/Bonine Dr/13th St/U-5709
160,48.541149,-109.702370,12th St W/Lincoln Avewilson Ave
445,48.543120,-109.678001,4th Ave5th Ave
160,48.549172,-109.661223,15th Ave/3rd St4th St
246,48.553517,-109.683106,Montana Ave/1st St2nd St
216,48.548717,-109.675166,5th Ave6th Ave/5th St
185,48.541342,-109.680933,Bonine Dr
185,48.556067,-109.661020,3rd St N/13th Ave N
334,48.554372,-109.679522,2nd Ave/Main St
160,48.560556,-109.888006,US Hwy 2
216,48.545905,-109.677381,4th Ave5th Ave/8th St
246,48.536117,-109.676886,6th Ave
185,48.536129,-109.679670,Saddle Butte Dr/Curve Dr
160,48.512210,-109.703809,/Co Rd 637 W
185,48.545084,-109.679971,9th St/3rd Ave
216,48.545729,-109.675813,5th Ave6th Ave/8th St
334,48.541810,-109.677465,12th St/5th Ave
917,48.554912,-109.693078,6th Ave W/1st St W
160,48.555634,-109.806316,86th Ave W
216,48.542514,-109.674100,7th Ave/11th St
160,48.544783,-109.703185,Wilson Ave/10th St W
185,48.542955,-109.693818,McKinley Ave/11th St W
185,48.547506,-109.673054,7th Ave/6th St
160,48.458416,-109.714525,Rudd Ln
362,48.542144,-109.677395,5th Ave
362,48.542290,-109.677541,11th St
160,48.506977,-109.800554,82nd Ave W/US Hwy 87
160,48.558399,-110.416221,4th St/5th St
216,48.539356,-109.695366,13th St W/Grant Ave
160,48.535722,-109.701593,15th St W/Lincoln Ave
160,48.547168,-109.669332,6th St/9th Ave
160,48.543786,-109.709347,Rich St W/16th Ave W
160,48.535628,-109.673923,8th Ave/18th St
160,48.534423,-109.743371,Old Post Rd
160,48.550571,-109.668037,10th Ave/3rd St2nd St
216,48.539347,-109.687850,13th St/13th St W
185,48.544791,-109.700025,10th St W/Boulevard Ave
185,48.545441,-109.683785,9th St/Kennedy Ave1st Ave/Summit Ave
276,48.548097,-109.679351,3rd Ave/6th St
185,48.553851,-109.694329,2nd St W/Frigon Ct W
185,48.541832,-109.672662,8th Ave/11th St12th St
305,48.553843,-109.655268,19th Ave NE/1st St NE
216,48.543970,-109.679072,10th St
160,48.349648,-109.971522,US Hwy 87
160,48.543369,-109.681087,11th St W/2nd Ave3rd Ave
185,48.539352,-109.698450,Washington Ave/13th St W
305,48.548314,-109.681593,6th St/1st Ave2nd Ave
160,48.544792,-109.703939,Wilson Avecity Limits/10th St W
390,48.534630,-109.670185,20th St
185,48.547646,-109.664177,13th Ave/5th St
