Estimated daily crossings,Latitude,Longitude,Name
160,48.173993,-111.983227,Hillside/Conrad Dupuyer Rd
160,48.038615,-111.842931,Brady St N/3rd Ave N/Overpass Rd
160,48.304967,-112.250258,Montana St/Chouteau Ave
160,48.176419,-111.983244,Hillside
160,48.164390,-111.949645,I- 15 Bus
305,48.308876,-112.251695,Driveway
246,48.168804,-111.946208,4th Ave SE
216,48.172433,-111.943318,S Front St/1st Ave SE
160,48.004228,-111.800842,I- 15
185,48.173748,-111.942531,N Front St/S Front St/Central Ave
185,48.173800,-111.954100,/S Michigan St
276,48.175062,-111.947505,W Central Ave/Alley
185,48.168017,-111.940065,/S Washington St
185,48.169951,-111.958110,S Iowa St
334,48.171549,-111.956274,4th Ave SW
160,48.308776,-112.258036,Alley/2nd St
185,48.175444,-111.948933,W Central Ave/Alley
185,48.173812,-111.939117,Sollid Rd/Alley
334,48.169184,-111.947652,4th Ave SW/Alley
246,48.165191,-111.949182,I- 15 Bus/7th Ave SW/7th Ave SE
160,48.172838,-111.959718,S Colorado St
334,48.174161,-111.949704,1st Ave SW/Alley
160,48.307603,-112.252160,/5th St/Alley
160,48.169636,-111.938266,2nd Ave S/Alley
160,48.307786,-112.055446,Valier Hwy
160,48.169571,-111.949102,4th Ave SW/Alley
160,48.302287,-112.246389,8th St/Alley
185,48.168970,-111.957849,6th Ave SW
160,48.180666,-111.949195,Bismark Ct
160,48.168106,-111.941662,Alley/S Minnesota St
160,48.171630,-111.951217,3rd Ave SW/Alley
160,48.174763,-111.955878,/Alley/1st Ave SW
185,48.166886,-111.939076,S Montana St/4th Ave SE
160,48.166542,-111.954268,7th Ave SW/Alley
160,48.176861,-111.958631,1st Ave NW
185,48.171112,-111.954895,/4th Ave SW/Alley
160,47.984826,-111.772009,26th Rd NW
160,48.309192,-112.252113,5th St/Pondera Ave
362,48.308138,-112.252148,5th St/Teton Ave
246,48.175258,-111.948228,Delaware St N/W Central Ave/Delaware St S
185,48.155005,-111.954764,Pendroy Rd
276,48.307585,-112.250917,Alley
216,48.172023,-111.952661,3rd Ave SW/Alley
276,48.172907,-111.950456,Alley/2nd Ave SW
160,48.176171,-111.949348,/Wisconsin St N
185,48.170647,-111.947568,Virginia St S/3rd Ave SW
160,48.164023,-111.949864,I- 15 Bus
160,48.038613,-111.840511,3rd Ave N/Quamme St
160,48.170725,-111.953434,4th Ave SW/Alley
185,48.304985,-112.251043,Chouteau Ave/Alley
305,48.308652,-112.250886,/Alley
160,48.303985,-112.254270,4th St/Iowa Ave
160,48.172714,-111.949728,2nd Ave SW/Delaware St S
185,48.366181,-112.250026,Rock City Rd/Beaver Head Rd/Beaverhead Rd
160,48.171300,-111.938932,1st Ave SE/Alley
185,48.174481,-111.945297,Virginia St S/Virginia St N/Central Ave
334,48.171499,-111.956344,4th Ave SW
160,48.133271,-111.905565,/Lewis and Clark Trl
160,48.167931,-111.948401,5th Ave SW/Alley
160,48.170598,-111.941864,South Dakota St/2nd Ave S
185,48.167907,-111.940132,/S Washington St
185,48.165575,-111.950628,Virginia St S/7th Ave SW
160,48.168627,-111.945599,S Front St/4th Ave SE
185,48.038903,-111.842001,Hanson St
160,48.176624,-111.983246,Hillside
160,48.177997,-111.944882,Maryland St N/3rd Ave NW
160,48.172664,-111.960692,4th Ave SW/Alley
185,48.167830,-111.936980,3rd Ave SE
160,48.132603,-111.905567,I- 15
160,48.004665,-111.800401,Brady Frontage
216,48.173246,-111.962793,4th Ave SW/S Ohio St
185,48.173810,-111.938240,Sollid Rd/Minnesota St N
160,48.167209,-111.951330,6th Ave SW/Maryland St S
185,48.173923,-111.943285,Alley/Central Ave
160,48.338087,-112.488190,Stoltz Rd
185,48.172141,-111.947587,Alley/2nd Ave SW
276,48.173974,-111.948992,1st Ave SW/Delaware St S
305,48.308663,-112.251535,Alley/Driveway
185,48.170269,-111.946135,3rd Ave SE/3rd Ave SW/I- 15 Bus
