Estimated daily crossings,Latitude,Longitude,Name
160,45.652646,-109.259965,I- 90/I-90
160,45.972811,-109.259931,7th St/Secord St
216,45.638713,-109.243787,Alley 18/11th St
185,45.636041,-109.252753,Pratten St
160,45.414877,-109.864768,Hilltop Trl
246,45.641627,-109.251989,Alley 25
160,45.480673,-109.450728,Rosebud Cemetery Rd/Hwy 78/Nye Rd
160,45.480626,-109.451909,Nye Rd
216,45.640139,-109.247831,Allen St/E 4th Ave N
160,45.646166,-109.248128,State Hwy 78
160,45.639939,-109.243287,Glacier Creek Dr/11th St N
160,45.645168,-109.258719,Quarry Rd/A St
216,45.637417,-109.242848,Alley 20/12th St
160,45.973278,-109.259914,Dallman St/7th St
246,45.641247,-109.248084,E 5th Ave N
160,45.673037,-109.279511,Meadow Muffin Rd/Heelers Dr
160,45.644900,-109.258840,A St
390,45.643591,-109.255652,Carr Ave/2nd St
160,45.598295,-109.077095,Jack Rabbit Ln
160,45.606916,-109.028713,N Frontage Rd/Frontage Rd
185,45.643807,-109.259333,W 5th Ave N/A St
216,45.642205,-109.247678,E 6th Ave N
216,45.640173,-109.265347,Pike Ave/Hwy 10
160,45.614249,-109.280988,W Shane Creek Rd
160,45.638972,-109.249879,Alley 20/Diamond St
185,45.827285,-109.089638,Columbus Molt Rd
160,45.644637,-109.260566,Alley 14/B St W
160,45.541962,-109.402960,Hwy 78
160,45.638719,-109.256258,N 3rd St/E 1st Ave N
246,45.642084,-109.249408,Alley 24
246,45.638662,-109.248478,Alley 20/Allen St
160,45.645930,-109.258717,Quarry Rd/Centennial Rd
160,45.645114,-109.258720,Quarry Rd
160,45.972269,-109.260707,Main St
216,45.636538,-109.251014,E Pike Ave/Diamond St
160,45.641831,-109.260224,W 3rd Ave N/A St
185,45.643580,-109.253408,E 6th Ave N
160,45.637793,-109.256684,N 3rd St/E Pike Ave
160,45.595148,-109.088517,I-90
160,45.619808,-108.986905,/Frontage Rd
216,45.636571,-109.252551,Pratten St
160,45.692740,-109.413611,/Hwy 10
246,45.519197,-109.443619,Hwy 78/S Woodard
160,45.686427,-109.362233,I-90
160,45.600593,-109.061011,I- 90
216,45.640572,-109.252280,N 5th St/Alley 18
185,45.700948,-109.394077,I- 90
160,45.640754,-109.255322,3rd St N/N 3rd St/E 3rd Ave N/3rd Ave N
160,45.643320,-109.238378,I-90
216,45.521085,-109.443522,N Grove St/Davidson Ave
160,45.642210,-109.243268,Woodbine Creek Dr/11th St N
160,45.683274,-109.453372,/Brumfield Rd
160,45.606691,-109.030417,N Frontage Rd
160,45.640280,-109.253240,Alley 7/3rd Ave N
185,45.519486,-109.443353,Hwy 78/S Woodard
160,45.655856,-109.274316,I- 90/Rapelje Rd
185,45.640632,-109.263948,C St
246,45.645181,-109.248519,State Hwy 78
334,45.640561,-109.249137,Diamond St
160,45.629604,-109.253655,Hwy 78
