Estimated daily crossings,Latitude,Longitude,Name
185,47.616643,-111.980181,5th St N/2nd Ave N
160,47.813628,-111.664862,14th Rd NE
276,47.815896,-112.186658,5th St NW/N Main Ave/5th St NE
185,47.810108,-112.182052,1st St SW/Main Ave S
160,47.899010,-111.731319,12th Ln NE/20th Rd NE
160,47.770127,-111.665947,Lewis and Clark Trl
160,47.816272,-112.167450,/15th Ave NE
160,47.984826,-111.772009,26th Rd NW
216,47.821519,-112.171598,10th Ave NE
216,47.616659,-111.983156,3rd St N/2nd Ave N
185,47.715863,-111.686344,4th St/Central Ave
160,47.914230,-111.727292,I- 15
246,47.816156,-112.185930,/5th St NE
160,47.727364,-111.667048,8th Rd NE/15th Ln NE
185,47.717771,-111.686096,6th St/Central Ave
160,47.811614,-112.181374,E Divsion St
185,47.614634,-111.983845,/Central Ave W/Park Way
160,47.615639,-111.980183,5th St N/1st Ave N
160,47.614423,-111.985142,/Barley St S/Central Ave W
160,47.975358,-112.312180,1st St/2nd Ave S/2nd St
160,47.808320,-112.186803,1st St SW/4th Ave SW
160,47.716958,-111.663938,Lewis and Clark Trl
160,47.809319,-112.187598,4th Ave SW/W Division St
160,47.811522,-112.181638,E Divsion St
216,47.813859,-112.188712,4th St NW/7th Ave NW
246,47.812839,-112.184030,2nd St NE/N Main Ave/2nd St NW
160,47.899361,-111.718733,I- 15/20th Rd NE
160,47.716137,-111.689172,4th St
160,47.811275,-112.186183,1st St NW/2nd Ave NW
160,47.817980,-112.186831,/8th St NE
185,47.843474,-111.712322,/2nd Ave SE
216,47.811276,-112.182424,W Division St/N Main Ave
216,47.813068,-112.183430,2nd St NE
246,47.808765,-112.185627,1st St SW/3rd Ave SW
216,47.614635,-111.987133,Central Ave W
160,47.813412,-112.191514,9th Ave NW/4th St NW
276,47.813959,-112.188340,4th St NW/2nd Ave NW
160,47.977709,-112.311960,Perkins Rd/1st St/Central Ave
216,47.820683,-112.171656,4th St NE/10th Ave NE
160,47.615660,-111.983145,3rd St N/1st Ave N
160,47.812518,-112.191494,3rd St NW/9th Ave NW
160,47.741123,-111.666008,Lewis and Clark Trl/9th Rd NE
160,47.741134,-111.666803,9th Rd NE
160,47.617657,-111.980167,5th St N/3rd Ave N
185,47.613182,-111.976430,7th St S
185,47.717797,-111.686200,6th St
160,47.815941,-112.179476,5th Ave NE/3rd St NE
216,47.814300,-112.187426,/4th St NW
160,47.819677,-112.173771,/Rice Ave
160,47.611545,-111.982454,3rd Ave SW
160,47.813167,-112.181180,1st St NE
216,47.811260,-112.182362,W Division St/E Divsion St/Main Ave S
160,47.713959,-111.688061,Teton Ave
216,47.614730,-111.987288,Carmac Ave
160,47.818731,-112.172973,3rd St NE/9th Ave NE
185,47.611511,-111.977674,3rd Ave S
160,47.697799,-111.646094,I- 15
160,47.813998,-112.180995,3rd Ave NE/2nd St NE
185,47.813408,-112.190138,4th St NW/8th Ave NW
185,47.805545,-112.184481,4th St SW/4th Ave SW
216,47.713882,-111.686614,Central Ave
160,47.714762,-111.684407,3rd St
185,47.811101,-112.188746,7th Ave NW/2nd St NW
185,47.614609,-111.976481,7th St S//7th St N/Central Ave
160,47.815476,-112.180687,4th Ave NE/3rd St NE
160,47.614703,-111.985306,/Barley St S
216,47.813405,-112.188712,7th Ave NW/4th St NW
160,47.951787,-111.748807,/I- 15
185,47.820682,-112.171273,11th Ave NE/4th St NE
160,47.809766,-112.186469,3rd Ave SW/W Division St/3rd Ave NW
160,47.611544,-111.981698,US Hwy 89/3rd Ave SW/4th St S/3rd Ave S/Park Way
160,47.611799,-111.981652,4th St S
185,47.807643,-112.190128,1st St SW/8th Ave SW
216,47.817609,-112.187795,8th St NE/N Main Ave
160,47.614585,-111.985790,Central Ave W
185,47.614410,-111.988163,Jacobson Ct
160,47.714880,-111.686479,3rd St/Central Ave
160,47.614622,-111.986215,1st St SW/Central Ave W
216,47.818729,-112.171294,11th Ave NE/3rd St NE
160,47.798963,-112.180018,1st Ave SW
185,47.821416,-112.190404,US Hwy 89
160,47.848269,-111.706781,W Byp N/W Bypass Rd S/
305,47.820682,-112.172121,4th St NE/10th Ave NE
185,47.714962,-111.687951,3rd St/Teton Ave
185,47.822046,-112.190880,US Hwy 89/
185,47.810282,-112.181608,1st St SW/Main Ave S
160,47.848114,-111.709649,Main St
185,47.842744,-111.712312,/16th Rd NE/2nd Ave SE
160,47.619610,-111.976621,5th Ave N
160,47.899371,-111.718291,Lewis and Clark Trl/20th Rd NE
160,47.820710,-112.174472,/Airport Rd
246,47.812261,-112.183549,1st St NW/N Main Ave/1st St NE
216,47.818733,-112.170464,12th Ave NE/3rd St NE
160,47.784996,-111.666058,Lewis and Clark Trl
160,47.712929,-111.686763,1st St/Central Ave
160,47.848668,-111.705350,/I- 15
185,47.810119,-112.182087,1st St SW/Main Ave S
216,47.614723,-111.987214,Carmac Ave/Division Ln N
246,47.807273,-112.185939,4th Ave SW/2nd St SW
216,47.816315,-112.185447,5th St NE
185,47.614624,-111.986378,Central Ave W
160,47.811165,-112.176102,Rodeo Rd/Baseball Loop
160,47.975783,-112.310754,1st St/Front St/2nd Ave S
160,47.614524,-111.985526,Central Ave W
160,47.813291,-112.180847,1st St NE
246,47.806255,-112.190125,8th Ave SW/2nd St SW
160,47.757074,-111.667077,15th Ln NE
160,47.757064,-111.666478,I- 15
185,47.809832,-112.181514,Main Ave S
160,47.611552,-111.987116,S Division/3rd Ave SW/W Division/Division Ln N
160,47.806657,-112.181513,4th St SW
160,47.827818,-112.071387,15th Rd NW
160,47.811746,-112.184943,1st St NW/1st Ave NW
216,47.814347,-112.188711,7th Ave NW/2nd Ave NW
160,47.611522,-111.980769,3rd Ave S
246,47.809674,-112.183219,1st St SW/1st Ave SW
160,47.956522,-112.156577,24th Rd NW/Hwy 220
216,47.820429,-112.173767,Rice Ave
305,47.716868,-111.686218,5th St/Central Ave
185,47.821665,-112.190592,US Hwy 89/
160,47.714809,-111.684987,3rd St/Hill Ave
160,47.697800,-111.645550,Lewis and Clark Trl
305,47.806214,-112.185050,3rd St SW/4th Ave SW
185,47.821042,-112.190115,US Hwy 89
160,47.757570,-111.667073,15th Ln NE
160,47.614723,-111.988648,Carmac Ave
160,47.611668,-111.987116,Division Ln N
185,47.615658,-111.981699,4th St N/1st Ave N
160,47.788168,-112.163344,/Durr Ln
160,47.617672,-111.981651,4th St N/3rd Ave N
334,47.820690,-112.172916,4th St NE/Airport Rd/9th Ave NE
