Estimated daily crossings,Latitude,Longitude,Name
160,40.518967,-101.643109,Broadway St/E 8th St/W 8th St
160,40.470113,-101.744392,N St/2nd St
216,40.515938,-101.643093,W 5th St/Broadway St/E 5th St
160,40.417756,-101.376261,N Railway St/N 1st St
160,40.519812,-101.632369,E 9th St/Longhorn St
185,40.523389,-101.629063,12th St/
160,40.513926,-101.638097,Leech St/E 3rd St
246,40.517992,-101.640110,Park St/E 7th St
185,40.467981,-101.749859,Hokes/Kelly St
160,40.514886,-101.646072,W 4th St/Douglas St
160,40.418310,-101.374067,Wichita St/W Wichita St/N Shawnee Ave
160,40.520344,-101.657036,Angus St
160,40.524474,-101.641666,Wellington St/E 13th St
246,40.514899,-101.643087,Broadway St/W 4th St/E 4th St
160,40.521054,-101.640125,Park St/E 10th St
185,40.517976,-101.643110,W 7th St/Broadway St/E 7th St
160,40.418293,-101.376271,W Wichita St/N 1st St
160,40.522182,-101.640145,Park St/E 11th St
160,40.521864,-101.652820,Sage St/W 11th St
185,40.522718,-101.651624,Max Dr/Kramer St
246,40.519927,-101.647559,W 9th St/Grant St
160,40.410417,-101.343816,/US Hwy 6
160,40.417201,-101.375358,S Center St
160,40.574208,-101.628793,/736 Rd
160,40.521847,-101.651633,W 11th St/Max Dr
160,40.516999,-101.643110,Broadway St/E 6th St/W 6th St
160,40.417427,-101.375219,N Railway St
160,40.528983,-101.640939,E 17th St/
185,40.525594,-101.643156,Broadway St/W 14th St/E 14th St
160,40.416325,-101.374045,Kiowa St/S Shawnee Ave
160,40.523328,-101.640144,Park St/E 12th St
160,40.418381,-101.364791,E Wichita St/N Pontiac St
185,40.521945,-101.648860,W 11th St
160,40.418365,-101.366041,E Wichita St/N Park Ave
216,40.521035,-101.643125,E 10th St/Broadway St/W 10th St
160,40.520291,-101.656237,Yucca Dr/Sandlove
185,40.522178,-101.643128,Broadway St/W 11th St/E 11th St
305,40.518016,-101.637663,/E 7th St
160,40.415342,-101.374031,W Atoka St/S Shawnee Ave
160,40.520288,-101.656404,Angus St/Sandlove
160,40.523339,-101.638664,E 12th St/Chase St
160,40.529976,-101.641774,E 18th St
216,40.521941,-101.649355,W 11th St/Kramer St
160,40.494385,-101.582031,/736 Rd
185,40.519968,-101.640120,Park St/E 9th St
160,40.521056,-101.637998,/E 10th St
160,40.415352,-101.372665,W Atoka St/S Arapahoe Ave
185,40.516095,-101.632316,Longhorn St/E 5th St
160,40.521057,-101.638648,E 10th St/Chase St
160,40.518981,-101.641609,Wellington St/E 8th St
185,40.526923,-101.649538,W 15th St
160,40.526740,-101.644652,W 15th St/Court St
160,40.513905,-101.643097,Broadway St/W 3rd St/E 3rd St
160,40.523321,-101.643137,E 12th St/Broadway St/W 12th St
160,40.413356,-101.374682,/W Legion St
185,40.519956,-101.641611,E 9th St/Wellington St
185,40.528750,-101.646434,W 17th St/Wesley Dr
160,40.521964,-101.647553,W 11th St/Grant St
160,40.684417,-101.642419,/331 Ave
160,40.410262,-101.342903,US Hwy 6
160,40.519811,-101.635200,/E 9th St
160,40.508799,-101.648436,State Spur 15A
160,40.530460,-101.638682,/Chase St
160,40.525590,-101.641648,Wellington St/E 14th St
160,40.417329,-101.375280,S Center St
185,40.523316,-101.648896,/Sioux St
160,40.412371,-101.374134,Shawnee Ave
160,40.520285,-101.656521,Angus St
160,40.415313,-101.378094,W Atoka St/S Sioux St
160,40.525596,-101.640173,Park St/E 14th St
160,40.516982,-101.646087,W 6th St/Douglas St
160,40.523288,-101.651646,/Max Dr/W 12th St
160,40.419287,-101.374093,N Shawnee Ave/W Vinita St
160,40.519708,-101.632367,E 9th St/Longhorn St
160,40.521027,-101.644617,W 10th St/Court St
160,40.516093,-101.632675,E 5th St/Orsa St
160,40.526739,-101.648244,/W 15th St
185,40.517964,-101.646108,W 7th St/Douglas St
160,40.419132,-101.366062,E Cheyenne St/N Park Ave
160,40.684380,-101.643141,331 Ave
160,40.469082,-101.744390,Broadway/N St
160,40.522169,-101.646118,W 11th St/Douglas St
160,40.469014,-101.749918,Broadway/Kelly St
160,40.551827,-101.815461,323 Ave
185,40.519124,-101.638808,E 8th St
160,40.523394,-101.628603,12th St/738 Rd/736 Rd
160,40.520458,-101.650430,/Max Dr
160,40.516996,-101.640106,Park St/E 6th St
160,40.470125,-101.743297,/2nd St
185,40.527866,-101.646156,Douglas St/W 16th St
216,40.518979,-101.640116,Park St/E 8th St
160,40.419119,-101.364800,E Cheyenne St/N Pontiac St
160,40.530078,-101.644961,Wesley Dr
160,40.526741,-101.643172,E 15th St/Broadway St/W 15th St
160,40.523310,-101.646161,Douglas St/W 12th St
160,40.467990,-101.751292,Mill St/Hokes
216,40.519130,-101.640117,Park St/E 8th St
216,40.521007,-101.647559,W 10th St/Grant St
160,40.551820,-101.816467,/323 Ave
185,40.522548,-101.648878,W 11th St
160,40.465102,-101.855095,734 Rd/321 Ave
216,40.520232,-101.651667,Ave B
185,40.524463,-101.643146,E 13th St/Broadway St/W 13th St
276,40.514887,-101.644555,W 4th St/Court St
185,40.527881,-101.647516,W 16th St/Grant St
185,40.513899,-101.644544,W 3rd St/Court St
185,40.520547,-101.651371,Ave B/Max Dr
160,40.415321,-101.376802,W Atoka St/S Otoe St
160,40.528994,-101.641697,Wellington St/E 17th St
246,40.521942,-101.649890,W 11th St/Kramer St
160,40.517971,-101.644596,W 7th St/Court St
