Estimated daily crossings,Latitude,Longitude,Name
160,40.484025,-99.084834,US Hwy 6/25 Rd
160,40.502168,-98.942899,/E 8th St
276,40.506641,-98.951844,E 13th St/W 13th St/N Brown Ave
216,40.628699,-99.091426,Antelope Ave/Birch St
160,40.501260,-98.946258,N Kearney Ave/E 7th St
160,40.510730,-98.951896,N Brown Ave
472,40.498469,-98.956357,Park Ave
185,40.504893,-98.952433,/W 11th St
160,40.495742,-98.946249,N Kearney Ave/S Kearney Ave/E 1st St
185,40.495737,-98.951127,/E 1st St
160,40.365061,-99.172721,Franklin St/W Sapp St/Toila St/Sapp St
160,40.494307,-98.932626,/33 Rd
160,40.480308,-99.137085,W 5th St/F Ave
160,40.492804,-98.943523,S Hull Ave/E Lexington St
276,40.499399,-98.949801,E 5th St
160,40.479789,-99.118048,4th Ave
160,40.490238,-98.958828,W Palmer St/S Blaine Ave
160,40.492981,-98.957073,W Lexington St
216,40.478342,-99.135388,/W 3rd St
185,40.494814,-98.952399,/W Hawthorne St
216,40.480885,-99.125348,1st Ave
216,40.364922,-99.165848,Stockton St/E Sapp St/Sapp St
185,40.499300,-98.965180,Industrial Dr
216,40.567692,-98.756705,Q Rd/
160,40.478359,-99.131936,W 3rd St
160,40.481332,-99.147228,/K Rd
160,40.503999,-98.952469,/W 10th St
216,40.479361,-99.130083,/W 4th St
160,40.367691,-99.169904,S Main St
216,40.500328,-98.946257,N Kearney Ave/E 6th St
160,40.451736,-98.769417,H Rd/
160,40.492020,-98.954124,Nance Ave/W Brewster Ave
160,40.497722,-98.953003,W 3rd St/N Tower Ave
160,40.492981,-98.957662,S Logan Ave/W Lexington St
160,40.500343,-98.941171,/E 6th St
160,40.478185,-99.123111,23 Rd
160,40.539404,-98.856873,37 Rd
185,40.502302,-98.951826,N Brown Ave
160,40.495368,-98.875623,36 Rd/L Rd
246,40.478353,-99.130061,W 3rd St
160,40.496686,-98.941339,N Newell Ave/E 2nd St
160,40.365872,-99.164291,Lewis St/Dequine St
160,40.489300,-98.955894,W Saint Clair St
160,40.478820,-99.123125,2nd Ave/US Hwy 6/N 2nd Ave
160,40.458766,-98.932245,33 Rd
160,40.611944,-99.084771,25 Rd
185,40.493902,-98.951766,W Holland St/E Holland St/S Brown Ave
276,40.500320,-98.948440,/E 6th St
216,40.500351,-98.941590,/E 6th St
160,40.487897,-98.949646,/E Hastings St/S Colorado Ave
160,40.489306,-98.954712,W Saint Clair St
185,40.497564,-98.950440,N Nebraska Ave/E 3rd St
216,40.493901,-98.949107,S Colorado Ave/E Holland St
185,40.506615,-98.953039,W 13th St/Tower Ave
216,40.503469,-98.949115,North St/N Colorado Ave
160,40.494391,-98.958827,S Blaine St/S Blaine Ave
185,40.495736,-98.951778,E 1st St/W 1st St/S Brown Ave/N Brown Ave
246,40.423101,-99.071239,/F Rd
160,40.495711,-98.958190,Gilman Ave/W 1st St
276,40.499406,-98.949112,N Colorado Ave/E 5th St
160,40.532017,-98.875879,36 Rd/US Hwy 6
160,40.495293,-98.946247,/S Kearney Ave
160,40.481185,-98.950546,/K Rd
185,40.484884,-98.951785,32 Rd/S Brown Ave
246,40.499373,-98.956622,W 5th St/West Ave
160,40.641947,-99.084805,25 Rd
185,40.474451,-99.152472,US Hwy 6
160,40.497501,-98.941800,/E 3rd St
185,40.494851,-98.942661,E Hawthorne St/S Thomsen Ave
160,40.483763,-99.084836,25 Rd
185,40.504226,-98.942226,N Garber Ave
160,40.350404,-99.048346,A Rd
160,40.492812,-98.942300,E Lexington St
185,40.481325,-99.138163,/K Rd
160,40.423143,-99.146683,/F Rd
362,40.499414,-98.948477,E 5th St
160,40.491175,-98.958826,W Campbell St/S Blaine Ave
362,40.500324,-98.947669,E 6th St/N Minden Ave
160,40.477257,-99.134602,US Hwy 6
185,40.505750,-98.953051,W 12th St/Tower Ave
185,40.567763,-98.781024,Q Rd/41 Rd
185,40.501226,-98.949800,E 7th St
185,40.595239,-98.951653,/32 Rd
185,40.495710,-98.956327,Park Ave/W 1st St
160,40.480374,-99.126688,W 5th St/Main Ave/E 5th St/Main St
185,40.492662,-98.932530,33 Rd
160,40.498500,-98.945525,/E 4th St
246,40.478338,-99.134586,W 3rd St/E Ave
185,40.553805,-99.084679,25 Rd/P Rd
160,40.494830,-98.944180,/E Hawthorne St
160,40.481400,-99.106932,E 6th St
160,40.479887,-99.123144,2nd Ave
160,40.515991,-98.948014,21st St
160,40.500313,-98.953044,W 6th St/N Tower Ave
160,40.499936,-98.970769,31 Rd/US Hwy 6
160,40.365045,-99.172067,W Sapp St/
160,40.524800,-99.084761,25 Rd/N Rd
160,40.583778,-99.084848,/25 Rd
160,40.496650,-98.949109,N Colorado Ave/E 2nd St
216,40.364978,-99.169260,/Sapp St
160,40.368673,-99.160494,21 Rd
160,40.493896,-98.958830,W Holland St/S Blaine Ave
160,40.500313,-98.954244,Smith Ave/W 6th St
160,40.495743,-98.947004,/E 1st St
216,40.500343,-98.942902,/E 6th St
160,40.479681,-99.118045,4th Ave
160,40.480801,-99.137098,/F Ave
160,40.504889,-98.953056,W 11th St/Tower Ave
185,40.495733,-98.952404,/W 1st St
160,40.496661,-98.947010,/E 2nd St
160,40.502849,-98.949112,N Colorado Ave
160,40.626432,-99.087214,Main Ave/Elm St
160,40.631181,-99.084798,/25 Rd
160,40.495766,-98.941378,E 1st St
160,40.492054,-98.949103,S Colorado Ave/E Brewster
216,40.495761,-98.942856,/E 1st St
160,40.514416,-99.141963,22 Rd
185,40.493903,-98.952969,Ridge Ave/W Holland St
160,40.506654,-98.950452,E 13th St/N Nebraska Ave
160,40.536961,-98.951835,/32 Rd
216,40.499421,-98.945524,/E 5th St
185,40.480001,-99.142037,22 Rd/
160,40.495789,-98.932716,33 Rd/L Rd
160,40.597411,-98.951660,32 Rd/S Rd
216,40.628651,-99.092531,/Antelope Ave/Ash
246,40.503271,-98.950478,North St
160,40.477541,-99.134599,E Ave
216,40.481340,-99.128754,/W 6th St
160,40.518126,-98.907846,US Hwy 6
362,40.500326,-98.947018,/E 6th St
246,40.500334,-98.949838,/E 6th St
160,40.479409,-99.119874,/3rd Ave
