Estimated daily crossings,Latitude,Longitude,Name
185,40.594984,-99.217480,V Rd
160,40.445160,-99.376242,/11th Ave
160,40.446649,-99.370342,/12th Ave
160,40.522810,-99.635310,School St/Union St
246,40.448855,-99.370261,/14th Ave/West Ave
185,40.452381,-99.376580,18th Ave/Sunset Dr
160,40.439971,-99.373377,/6th Ave
334,40.439153,-99.387534,W 5th Ave/Broadway St
185,40.478346,-99.507826,/Windsor St
216,40.445381,-99.361084,11th Ave/Lincoln St
216,40.432797,-99.397604,US Hwy 6
185,40.445230,-99.371230,11th Ave/Park Dr
160,40.661553,-99.380247,/US Hwy 183
246,40.439671,-99.380381,W 6th Ave
185,40.470083,-99.360296,O Rd
276,40.443004,-99.375424,Blaine St/9th Ave
160,40.448785,-99.376132,/14th Ave
185,40.435888,-99.376011,2nd Ave
160,40.476033,-99.500336,State Hwy 23
216,40.446908,-99.380874,W 12th Ave/Hill St
160,40.467660,-99.198490,W Rd
160,40.440782,-99.381096,/W 7th Ave
160,40.452537,-99.370756,18th Ave/West Ave
160,40.438808,-99.359394,East St
160,40.364993,-99.474733,/727 Rd
160,40.535691,-99.624861,/A Rd
246,40.441464,-99.379891,/Burlington St
160,40.521287,-99.632697,Nelson St/Medina Ave
246,40.443038,-99.369860,9th Ave/East Ave
160,40.477579,-99.512269,W Palmer St/Bryan St
160,40.444036,-99.372102,/10th Ave
216,40.441183,-99.382355,/Tibbals St
216,40.448741,-99.379466,Burlington St/14th Ave/W 14th Ave
276,40.474840,-99.512386,Bryan St
160,40.478990,-99.507817,/State Hwy 23
216,40.442452,-99.384088,W 8th Ave
246,40.438845,-99.380678,W 5th Ave
185,40.476916,-99.513153,Sunset Dr
160,40.661967,-99.380255,/US Hwy 183
216,40.443335,-99.384031,/W 9th Ave
216,40.447611,-99.384365,/Miller St
160,40.446916,-99.386335,W 12th Ave
160,40.448817,-99.374151,Tilden St/14th Ave
160,40.438963,-99.372050,/5th Ave
185,40.446603,-99.364555,/Sherman St/12th Ave/Manor Dr
246,40.440006,-99.367857,/6th Ave
362,40.437880,-99.385431,W 4th Ave/High St
160,40.440785,-99.380402,W 7th Ave
216,40.436516,-99.387159,Denver St/W 3rd Ave
362,40.442457,-99.380391,W 8th Ave
160,40.446678,-99.359449,12th Ave
160,40.532388,-99.255848,T Rd
160,40.350607,-99.359741,A Rd/726 Rd/O Rd
185,40.476848,-99.513203,Sunset Dr
185,40.439021,-99.383685,McMillan St/W 5th Ave
185,40.441001,-99.370619,/7th Ave
160,40.451749,-99.438044,733 Rd/State Hwy 23
160,40.443331,-99.384655,W 9th Ave/Miller St
160,40.583617,-99.380414,US Hwy 183
160,40.432924,-99.364452,4th St/S Sherman St
160,40.467908,-99.198492,W Rd/US Hwy 6
305,40.443330,-99.380226,W 9th Ave
305,40.446638,-99.372008,12th Ave/Grant St
185,40.452310,-99.394978,733 Rd
185,40.437976,-99.366510,/4th Ave
305,40.448839,-99.372015,14th Ave/Grant St
160,40.435850,-99.380036,Burlington St
160,40.437823,-99.400563,/W 4th Ave
276,40.441590,-99.379884,Water Ave/Burlington St
216,40.435950,-99.372010,Railroad St
160,40.435166,-99.380565,W 2nd Ave
160,40.448883,-99.367676,/14th Ave
160,40.445323,-99.365191,11th Ave/
160,40.443027,-99.371298,9th Ave/West Ave
185,40.478330,-99.507083,Windsor St/Commercial St
160,40.444042,-99.371304,10th Ave/West Ave
185,40.524827,-99.631193,Kellogg Ave/Montrose Ave
276,40.441986,-99.379862,8th Ave/Burlington St
418,40.446640,-99.367099,Arthur St/12th Ave
160,40.434909,-99.369852,S East Ave/2nd St
160,40.370958,-99.191919,/Polyline Rd
160,40.445105,-99.385171,/W 11th Ave
160,40.408773,-99.274822,Polyline Rd/S Rd
160,40.445120,-99.379161,11th Ave/Perry Dr
246,40.436935,-99.372020,3rd Ave
160,40.436890,-99.377831,Morton St
216,40.443030,-99.370654,/9th Ave
160,40.448750,-99.378213,14th Ave
160,40.451678,-99.361035,Lincoln St
160,40.526708,-99.636630,Marshfield Ave/Kossuth St
276,40.445250,-99.370386,11th Ave
160,40.446632,-99.369686,East Ave/12th Ave
160,40.447780,-99.366416,13th Ave
160,40.448866,-99.368984,14th Ave
160,40.421633,-99.370238,/US Hwy 183
305,40.437651,-99.364508,/Sherman St
160,40.364994,-99.474623,727 Rd
160,40.437962,-99.368503,4th Ave/Garfield St
418,40.439108,-99.386207,W 5th Ave/Maberly St
160,40.450976,-99.379290,/Burlington St
160,40.366414,-99.473384,US Hwy 6/West St
160,40.446637,-99.362580,/12th Ave
246,40.441576,-99.382933,/Water Ave
185,40.475445,-99.510572,Clifton St
334,40.444061,-99.367886,10th Ave
160,40.435016,-99.371340,S West Ave
305,40.444049,-99.369869,10th Ave/East Ave
362,40.446638,-99.372158,12th Ave
160,40.441020,-99.367877,/7th Ave
160,40.596461,-99.625462,A Rd
160,40.434941,-99.364480,S Sherman St/2nd St
216,40.447759,-99.368356,Garfield St/13th Ave
216,40.446914,-99.383238,McMillan St/W 12th Ave
305,40.475845,-99.512344,Bryan St/Sunset Dr
160,40.433943,-99.396333,US Hwy 6
305,40.438417,-99.380057,Burlington St
305,40.446545,-99.379598,Burlington St/12th Ave
160,40.476420,-99.509886,Lowell St/Pacific St
276,40.447766,-99.367714,/13th Ave
246,40.443022,-99.372086,/9th Ave
185,40.444074,-99.366568,/10th Ave
216,40.442120,-99.384725,W 8th Ave/Miller St
185,40.367703,-99.471884,/US Hwy 6
160,40.366716,-99.474098,Decatur St/
185,40.433324,-99.364457,/S Sherman St
246,40.442010,-99.372744,8th Ave/Grant St
160,40.438960,-99.374890,/5th Ave
216,40.444116,-99.361109,10th Ave/Lincoln St
305,40.437904,-99.380516,W 4th Ave
160,40.444010,-99.376089,/10th Ave
160,40.451190,-99.379272,Burlington St
160,40.439069,-99.384892,W 5th Ave/Miller St
334,40.437986,-99.365179,4th Ave
276,40.443040,-99.369214,/9th Ave
160,40.446598,-99.375037,12th Ave/Bivens Ln
185,40.437214,-99.383648,/Lafayette St
160,40.475253,-99.501541,/Co Rd
160,40.439006,-99.363188,Sheridan St/5th Ave
160,40.480103,-99.510458,Morton St/State Hwy 23
305,40.475847,-99.512868,Sunset Dr
160,40.532806,-99.255845,/T Rd
160,40.445210,-99.372117,11th Ave/
276,40.443049,-99.367893,9th Ave
160,40.463898,-99.250511,Lincoln St/Main St
160,40.369821,-99.472905,Dixon St
160,40.553730,-99.380723,740 Rd/US Hwy 183
216,40.437943,-99.371326,4th Ave/West Ave
160,40.350607,-99.359679,A Rd
160,40.436908,-99.376012,/3rd Ave
246,40.441594,-99.381042,/Water Ave
160,40.448554,-99.384318,Miller St
160,40.465871,-99.249217,Lake St/Johnson St
185,40.438947,-99.376040,/5th Ave
160,40.366738,-99.473416,Decatur St/West St
185,40.447777,-99.367068,13th Ave/Arthur St
216,40.440000,-99.368523,6th Ave/Garfield St
160,40.445111,-99.382151,Tibbals St/W 11th Ave
160,40.656695,-99.553895,/747 Rd
160,40.463751,-99.379142,Burlington St/Burlington Steet
160,40.445106,-99.383335,McMillan St/W 11th Ave
160,40.406552,-99.270029,Polyline Rd
185,40.443017,-99.374736,/9th Ave
160,40.463893,-99.249854,/Lincoln St
160,40.438181,-99.339924,E 4th Ave
160,40.438992,-99.367188,Arthur St/5th Ave
276,40.443330,-99.380367,W 9th Ave
160,40.436188,-99.361027,/S Lincoln St
185,40.443003,-99.378800,9th Ave
334,40.447758,-99.369649,13th Ave/East Ave
334,40.441590,-99.382331,Tibbals St/Water Ave
390,40.443322,-99.382831,/W 9th Ave
160,40.467054,-99.382480,/734 Rd
216,40.443055,-99.366562,/9th Ave
160,40.529566,-99.631704,/Knox St
160,40.477427,-99.510496,Palmer St/
276,40.445362,-99.361971,McGrew St/11th Ave
160,40.365029,-99.470794,/727 Rd
160,40.444012,-99.376240,10th Ave
160,40.445113,-99.385795,Maberly St/W 11th Ave
160,40.440032,-99.383627,W 6th Ave/McMillan St
160,40.551094,-99.512120,G Rd
246,40.443053,-99.367221,Arthur St/9th Ave
160,40.524797,-99.512417,738 Rd
160,40.440244,-99.357729,6th Ave
160,40.438964,-99.373387,5th Ave
160,40.568102,-99.632714,/741 Rd
160,40.535265,-99.624871,A Rd
390,40.437889,-99.382552,Tibbals St/W 4th Ave
334,40.448842,-99.371693,/14th Ave
160,40.366615,-99.179407,Polyline Rd/20 Rd
160,40.453209,-99.370738,West Ave
160,40.437969,-99.367189,4th Ave/Arthur St
160,40.445762,-99.375023,Bivens Ln
160,40.393844,-99.341915,P Rd/729 Rd
160,40.445170,-99.375431,11th Ave/Blaine St
185,40.446604,-99.364505,/Sherman St/12th Ave
246,40.442458,-99.383489,McMillan St/W 8th Ave
305,40.448836,-99.372322,14th Ave
185,40.522020,-99.644043,R D 438
160,40.529587,-99.632389,Knox St/Medina Ave
185,40.439988,-99.369971,6th Ave
160,40.479680,-99.510482,Morton St
160,40.438132,-99.348909,/E 4th Ave
246,40.441591,-99.380434,Water Ave
334,40.437982,-99.365843,4th Ave/Logan St
160,40.448777,-99.384307,Miller St/W 14th Ave
276,40.445114,-99.381450,/W 11th Ave
160,40.408455,-99.274819,/S Rd
160,40.524669,-99.590179,/738 Rd
160,40.435893,-99.375604,/2nd Ave
160,40.452176,-99.365627,17th Ave
160,40.433891,-99.369857,3rd St/S East Ave
246,40.445501,-99.371245,Park Dr
185,40.439970,-99.372731,6th Ave/Grant St
276,40.475474,-99.512360,Bryan St/Clifton St
246,40.444090,-99.362580,10th Ave
160,40.446604,-99.374791,12th Ave
160,40.446683,-99.359192,/12th Ave
216,40.448773,-99.386218,W 14th Ave
160,40.437987,-99.363840,4th Ave/
216,40.445116,-99.380289,W 11th Ave
160,40.437823,-99.401694,W 4th Ave
216,40.443040,-99.368545,Garfield St/9th Ave
185,40.444030,-99.372763,10th Ave/Grant St
160,40.435214,-99.375319,Blaine St
216,40.446916,-99.382619,/W 12th Ave
160,40.460559,-99.250492,County Rd
216,40.476952,-99.512296,Bryan St/Sunset Dr
216,40.445280,-99.369093,11th Ave/
160,40.626821,-99.379421,745 Rd/US Hwy 183
185,40.433566,-99.396748,/US Hwy 6
362,40.449669,-99.380843,W 15th Ave/Hill St
160,40.675200,-99.624989,A Rd
160,40.446914,-99.386987,Broadway St/W 12th Ave
160,40.398965,-99.360884,/O Rd
160,40.446571,-99.376772,Hancock St/12th Ave
160,40.445391,-99.360207,11th Ave/
160,40.438203,-99.361150,4th Ave/Lincoln St/US Hwy 6
160,40.366733,-99.473570,Decatur St
160,40.439941,-99.378717,6th Ave/
160,40.437964,-99.367837,/4th Ave
246,40.445200,-99.373452,11th Ave/
160,40.364995,-99.474291,727 Rd
246,40.442018,-99.372079,/8th Ave
160,40.441130,-99.386070,Maberly St/W 7th Ave
185,40.435993,-99.369854,East Ave
160,40.527733,-99.638684,Kane St
160,40.526754,-99.639404,Marshall Ave/Kossuth St
185,40.524812,-99.630517,Kellogg Ave
160,40.443027,-99.373421,/9th Ave
160,40.461032,-99.249186,/US Hwy 6
185,40.475456,-99.511210,Curtis St/Clifton St
390,40.437879,-99.386269,Maberly St/W 4th Ave
185,40.439982,-99.371308,6th Ave//West Ave
185,40.438941,-99.376701,Hancock St/5th Ave
185,40.452305,-99.388872,Rhea St/W 18th Ave
160,40.538069,-99.380745,/US Hwy 183
305,40.437908,-99.380088,4th Ave/Burlington St/W 4th Ave
216,40.443022,-99.372755,9th Ave/Grant St
276,40.447758,-99.369021,/13th Ave
216,40.447437,-99.361044,Pamela Ave
160,40.463673,-99.511922,/G Rd
160,40.446922,-99.388348,Brown St/W 12th Ave
216,40.407011,-99.274830,/S Rd
160,40.538703,-99.380763,US Hwy 183/739 Rd
216,40.452477,-99.372816,18th Ave/Grant St
216,40.436942,-99.369865,3rd Ave/East Ave
160,40.445318,-99.365837,11th Ave/Logan St
160,40.522786,-99.634041,School St/Minor Ave
160,40.433903,-99.368434,3rd St/S Garfield St
216,40.367804,-99.472071,Devon St//Phelps Ave
185,40.436896,-99.376683,Hancock St/3rd Ave
160,40.433571,-99.398937,Westside Plz/Gustin Rd/S Gustin Rd
185,40.452309,-99.394160,733 Rd
160,40.448874,-99.368327,Garfield Dr/Garfield St/14th Ave
216,40.446914,-99.384046,/W 12th Ave
160,40.442006,-99.371303,8th Ave/West Ave
160,40.451993,-99.366871,/17th Ave/Arthur St
276,40.437893,-99.381886,Nobes St/W 4th Ave
390,40.438286,-99.387390,/Broadway St
185,40.444080,-99.365903,/10th Ave/Logan St
160,40.442038,-99.365876,8th Ave/Logan St
160,40.550434,-99.380734,/US Hwy 183
185,40.441053,-99.383569,McMillan St/W 7th Ave
160,40.444086,-99.364579,10th Ave/Sherman St
160,40.438000,-99.363174,4th Ave/Sheridan St
216,40.446618,-99.374120,Tilden St/12th Ave
160,40.443059,-99.365898,Logan St/9th Ave
216,40.442996,-99.377405,/9th Ave
160,40.516876,-99.379916,US Hwy 183
185,40.439991,-99.369856,6th Ave/East Ave
160,40.539405,-99.399115,M Rd/739 Rd
160,40.463698,-99.379142,Burlington St
160,40.448790,-99.380903,W 14th Ave/Hill St
160,40.664827,-99.380358,US Hwy 183
160,40.445185,-99.374765,/11th Ave
160,40.516608,-99.255545,T Rd
160,40.435813,-99.369852,East Ave
160,40.399136,-99.360882,/O Rd
160,40.462276,-99.379167,Burlington St
216,40.446597,-99.365162,/12th Ave
334,40.446631,-99.372800,Grant St/12th Ave
276,40.436265,-99.370591,/Railroad St
160,40.443026,-99.371442,/9th Ave
160,40.641606,-99.430474,746 Rd/
526,40.443324,-99.382238,Tibbals St/W 9th Ave
160,40.568082,-99.632269,/741 Rd
160,40.440994,-99.371430,7th Ave
160,40.477430,-99.510590,Palmer St/Morton St
216,40.475465,-99.511757,Clifton St
185,40.434939,-99.363134,/2nd St
160,40.510794,-99.277481,/737 Rd
160,40.438983,-99.368517,Garfield St/5th Ave
216,40.441006,-99.369841,7th Ave/East Ave
160,40.648968,-99.256204,/T Rd
185,40.441579,-99.383543,McMillan St/Water Ave
160,40.527752,-99.639362,Kane St/Marshall Ave
216,40.437227,-99.380098,Burlington St
185,40.440992,-99.372724,7th Ave/Grant St
160,40.438204,-99.342084,E 4th Ave/P Rd
160,40.442045,-99.365211,/8th Ave
160,40.447368,-99.376777,Hancock St/Parkcrest Dr
305,40.445269,-99.369806,11th Ave/East Ave
160,40.522772,-99.633327,School St
216,40.441005,-99.369994,/7th Ave
216,40.436432,-99.369859,Railroad St/East Ave
160,40.477436,-99.511126,Palmer St/Curtis St
160,40.452314,-99.379940,/W 18th Ave
216,40.445304,-99.366557,11th Ave/
160,40.441161,-99.386728,/W 7th Ave
185,40.440992,-99.372068,/7th Ave
499,40.443326,-99.381560,/W 9th Ave
246,40.443036,-99.369999,9th Ave
160,40.462675,-99.379158,Burlington St
160,40.524835,-99.631879,Kellogg Ave
276,40.445116,-99.380864,W 11th Ave/Hill St
246,40.441591,-99.380599,Water Ave
160,40.437779,-99.388933,W 4th Ave
216,40.442003,-99.373420,/8th Ave
160,40.662331,-99.380265,/US Hwy 183
160,40.439380,-99.359394,/East St
185,40.443247,-99.388012,/W 9th Ave
160,40.438566,-99.359394,US Hwy 6/East St
160,40.522798,-99.634698,School St/
160,40.448201,-99.363560,Valerie Ave/Manor Dr
216,40.439968,-99.379984,Burlington St
160,40.445282,-99.368428,11th Ave/Garfield St
160,40.527683,-99.635942,Kane St/
160,40.439045,-99.384275,/W 5th Ave
160,40.399846,-99.255567,T Rd/Polyline Rd
216,40.444030,-99.373426,/10th Ave
160,40.448789,-99.375948,/14th Ave
160,40.453502,-99.370730,West Ave
160,40.441029,-99.365872,7th Ave/Logan St
160,40.583548,-99.426153,742 Rd
216,40.445603,-99.379662,/Burlington St
160,40.371594,-99.193726,/Polyline Rd
160,40.366266,-99.473559,US Hwy 6/West St
160,40.587541,-99.360927,O Rd
246,40.445113,-99.381552,/W 11th Ave
246,40.438926,-99.380040,W 5th Ave/Burlington St/5th Ave
160,40.451799,-99.379222,Burlington St
160,40.524796,-99.512065,G Rd/738 Rd
216,40.445286,-99.367904,/11th Ave
246,40.437943,-99.372036,/4th Ave
185,40.440025,-99.365864,6th Ave/Logan St
216,40.440019,-99.366527,6th Ave/
160,40.446613,-99.369041,/12th Ave
185,40.447018,-99.364039,/Manor Dr
160,40.364976,-99.475096,US Hwy 6/727 Rd
160,40.452407,-99.375439,/18th Ave
160,40.438964,-99.374055,Tilden St/5th Ave
160,40.518465,-99.379915,/US Hwy 183
305,40.437924,-99.375364,4th Ave/Blaine St
160,40.524760,-99.628414,Miller Ave/Kellogg Ave
185,40.434939,-99.363377,/2nd St
276,40.442460,-99.379836,W 8th Ave/Burlington St
160,40.438785,-99.361149,Lincoln St
185,40.449512,-99.370246,/West Ave
216,40.407324,-99.274827,/S Rd
185,40.445349,-99.362601,/11th Ave
160,40.446559,-99.377830,Colonial Ln/12th Ave
160,40.423447,-99.359147,S 13th St
185,40.452307,-99.390073,Arrowhead Dr
160,40.435165,-99.380443,W 2nd Ave
216,40.442444,-99.384707,W 8th Ave/Miller St
160,40.445224,-99.371457,/11th Ave
216,40.446622,-99.368385,Garfield St/12th Ave
160,40.448813,-99.374804,14th Ave
185,40.446910,-99.384400,Miller St/W 12th Ave
185,40.441073,-99.384162,/W 7th Ave
185,40.447788,-99.365775,13th Ave/Logan St
160,40.443083,-99.361121,Lincoln St/9th Ave
160,40.452316,-99.379188,Burlington St/18th Ave/W 18th Ave
276,40.445243,-99.370698,11th Ave
160,40.524692,-99.615818,/738 Rd
160,40.460332,-99.250479,County Rd
276,40.444049,-99.370014,/10th Ave
160,40.446128,-99.377826,Colonial Ln
185,40.446851,-99.380877,Hill St
276,40.449767,-99.383223,W 15th Ave
216,40.439670,-99.380003,W 6th Ave/Burlington St
246,40.444030,-99.374090,10th Ave/Tilden St
