Estimated daily crossings,Latitude,Longitude,Name
526,39.527086,-119.838583,I- 80
185,39.637606,-119.858593,Military Rd
160,39.546115,-119.868424,Castle Sage Ct/Royal Sage Dr
160,39.552185,-119.569039,I- 80
185,39.498093,-119.729868,Bullocks Rd/Pembroke Dr
160,39.449730,-119.786302,Maple Creek Ct/Meadow Vista Dr
160,39.506430,-119.814324,Games Dr
6671,39.537365,-119.818223,Galen Pl/N Sierra St
2895,39.527421,-119.810663,Lake St/E 2nd St
305,39.578054,-119.723970,Sparks Blvd
362,39.555357,-119.810987,Aristotle Dr/Socrates Dr
246,39.472353,-119.792080,Crummer Ln
246,39.581808,-119.743824,Pyramid Way
160,39.520713,-119.980557,I- 80 Bus
418,39.495436,-119.802522,Brinkby Ave/Lymbery St
185,39.576951,-119.701189,Goodwin Rd/Goodwin Ct
185,39.480586,-119.823499,Smokewood Ct
160,39.473396,-119.805298,Mirror Lake Dr/Quail Hollow Dr
246,39.256750,-119.947738,/Harold Dr
185,39.561836,-119.715190,Olinghouse St/Montezuma Way
552,39.507484,-119.792566,Chaska Pl/Casazza Dr
276,39.408562,-119.751092,US Hwy 395
3115,39.526303,-119.816552,Roff Way/W 2nd St
185,39.601738,-119.824193,Beckwourth Dr
185,39.560364,-119.703316,Modena Dr/Modena Ct
445,39.543154,-119.808976,Sterling Way
334,39.546505,-119.899446,Morgan Hill Ct/Silverado Creek Dr
160,39.483111,-119.783322,Smithridge Park
684,39.533795,-119.788020,Prater Way
472,39.545440,-119.785509,Oddie Blvd
185,39.486614,-119.799733,Bluegrass Ct
472,39.536796,-119.761950,15th St
762,39.531075,-119.826414,Vine St/
185,39.635985,-119.841737,Surge St/Limnol St
160,39.248565,-119.972378,Slott Peak Ct/Lakeshore Blvd
362,39.262456,-119.954485,/Incline Crest Way
334,39.514869,-119.928811,Cliff View Dr/Silverstate Ct
736,39.537361,-119.787356,I- 80
160,39.429673,-119.787900,Foothill Rd
160,39.569787,-119.693237,Aristedes Dr
362,39.619225,-119.675369,Deutz Dr/Rioja Ct
472,39.561740,-119.752351,Farr Ln
334,39.555140,-119.763748,Sue Way/16th St
276,39.623376,-119.719289,Aquene Dr/Lullabrooke Ct
246,39.534870,-119.827490,Vine St/Kimbal Dr
246,39.537737,-119.854621,Pierremont Rd/Rayburn Dr
216,39.541548,-119.860233,Bexley Sq/Belvedere Dr
305,39.443900,-119.772778,Holcomb Ln
390,39.637671,-119.852851,Kelpie Dr
160,39.622729,-119.871242,Creosote Ct
160,39.591974,-119.838352,Diamond Point Way/Platinum Pointe Way/Diamnond Pointe Way
160,39.477533,-119.761813,Wagoneer Ct
160,39.409268,-119.735686,Ispra Dr
552,39.536801,-119.760475,Victorian Plaza Cir
216,39.683226,-119.961916,Bear Lake Dr/Desert Lake Dr
276,39.492874,-119.825244,Monterey Dr
160,39.656965,-119.728260,Gadwall Way/Gadwall Ct
160,39.508673,-119.955808,Warrior Ln/Deer Mountain Rd
246,39.595492,-119.763232,Lone Cedar Ln/Suncrest Ct
185,39.632874,-119.867952,Autumn Leaf Way/Marble Creek Ct
246,39.483948,-119.824835,Rainwood Ct/Muirwood Cir
334,39.510542,-119.798204,Capitol Hill Ave/Kirman Ave
216,39.620311,-119.765596,Strauss Ct
362,39.550011,-119.719570,Union St/Burnside Dr
1097,39.554773,-119.799091,Zinnia Ave/Blazing Star Dr
362,39.561904,-119.751004,Pyramid Way
334,39.490934,-119.752331,Desoto Way/Santa Ana Dr
710,39.245903,-119.947146,Incline Way
499,39.451174,-119.778176,/US Hwy 395
246,39.430676,-119.720720,Kentfield Pl/Lincoln Meadows Dr
216,39.508741,-119.889110,Calm Creek/Cool River Ln
445,39.560888,-119.772907,/Niblick Dr
305,39.552065,-119.741360,Bach Ct
276,39.537864,-119.754219,9th St/E St
246,39.512138,-119.950981,I- 80
185,39.505900,-119.749486,Capital Blvd/Financial Blvd
445,39.585574,-119.734131,Shady View Ct
334,39.524243,-119.899512,Sandia Dr/Sandia Ct
246,39.474958,-119.749882,Matich Dr
185,39.392350,-119.776162,Mount Snow Ct
605,39.537278,-119.802038,Morrill Ave/E 8th St
160,39.361795,-119.839629,Monte Rosa Ct/Lake Geneva Dr
246,39.519524,-119.842743,Rissone Ln
246,39.466598,-119.809731,Windy Hill Way
943,39.533216,-119.811117,E 6th St/Evans Ave
216,39.562962,-119.818677,Comstock Dr
160,39.626614,-119.910020,Mariner Cove Dr/Maui Ct
362,39.640307,-119.876781,Bauxite Ct
362,39.627225,-119.871984,Niagra Ct
472,39.594365,-119.716268,Vista del Rancho Pkwy/Vista Buena Pl
216,39.566622,-119.743850,4th St/Macarthur St
246,39.625322,-119.863791,Silver Lake Rd/Cassilis Dr
390,39.492362,-119.781803,Mazzone Ave
788,39.471454,-119.785350,Meadowood Mall Cir
276,39.440320,-119.765768,US Hwy 395
526,39.584754,-119.721197,Rhine Wine Dr
216,39.251322,-119.971838,County Yard Rd
499,39.524639,-119.806458,Pine St/Holcomb Ave
216,39.414632,-119.729121,Hazelcrest Dr/Grayslake Dr
246,39.510852,-119.937083,Bobcat Dr/Silva Ranch Rd
334,39.578595,-119.822794,/Hitch Rd
216,39.507500,-119.789128,Kietzke Ln
160,39.438715,-119.751753,Otter Way
472,39.552670,-119.780572,Wedekind Rd
246,39.604300,-119.773762,Clifford Ct
160,39.488051,-119.837304,San Simeon Ct/Cashill Blvd
160,39.404147,-119.790889,Thomas Creek Rd
185,39.511461,-119.817163,S Arlington Ave/W Arroyo St
631,39.534454,-119.787806,US Hwy 395
736,39.526316,-119.888119,Ambassador Dr/Mae Anne Ave
160,39.399634,-119.726879,Minnetonka Cir/Rim Rock Dr
418,39.512496,-119.809490,Watt St/Caliente St
472,39.558911,-119.752366,Pyramid Way
216,39.394818,-119.781346,Deer Valley Dr
334,39.560224,-119.708621,Catham Ct
185,39.629871,-119.909154,Turtle Creek Ct
762,39.545853,-119.798592,Sutro St/Oliver Ave
216,39.516035,-119.926478,Lemming Dr/Firethorn Cir
305,39.630090,-119.912762,Monterey Shores Dr/White Falls Dr
160,39.536829,-119.844145,Saint Alberts Dr/Kings Row
185,39.465741,-119.821696,Ridgeview Dr
246,39.496680,-119.829950,Outlook Dr
160,39.625126,-119.665741,Desert Fox Dr
216,39.485730,-119.798934,Babette Way
216,39.493981,-119.846090,Meridian Ct/Meridian Ln
605,39.551998,-119.718329,Sycamore Glen Dr
390,39.545507,-119.715095,Sparks Blvd/Tyco Way
216,39.561629,-119.835057,Cambrian Ct
276,39.599054,-119.841628,North Virginia St
160,39.458182,-119.808046,Lakeside Dr/Faretto Ln
499,39.549177,-119.715701,Sparks Blvd
246,39.264175,-119.954326,Titlist Dr
185,39.609573,-119.828139,Remington Rd
526,39.596349,-119.833245,E Golden Valley Rd
334,39.553643,-119.728610,Glen Molly Dr/William Morby Dr
246,39.233803,-119.935129,Pine Cone Cir
216,39.504542,-119.807815,Hillcrest Dr
185,39.525897,-119.867574,Mount Grant Dr
3253,39.528060,-119.812250,N Center St
334,39.570604,-119.828707,Ciarra Kennedy Ln
362,39.471368,-119.765931,Barron Way
390,39.481049,-119.786954,Smithridge Dr/Filbert Rd
185,39.526012,-119.895055,Sandia Dr/Ave de Landa
762,39.533870,-119.807689,E 6th St/Valley Rd
362,39.509447,-119.858202,Current Ct
185,39.602932,-119.840819,/US Hwy 395
246,39.514080,-119.835749,Hunter Lake Dr/Allen St
185,39.623906,-119.676439,Klemola Ct/Ulysses Dr
246,39.518371,-119.815883,Cove Pl
526,39.516307,-119.806852,Holcomb Ave/Crampton St
631,39.535029,-119.777033,Exit 16
276,39.470386,-119.812971,/Ridgeview Dr
246,39.654034,-119.878646,Echo Ave/Mount Lola St
185,39.645129,-119.696903,Starburst Ct/Starburst Cir
1956,39.525265,-119.812740,Truckee River Ln/N Old US 395
160,40.651711,-119.358716,del Ora Ave
216,39.511203,-119.653071,/Canyon Rd
216,39.331171,-119.813109,Joy Lake Rd/Kelly Canyon Rd
185,39.300692,-119.920218,Mount Rose Hwy
246,39.529369,-119.803123,S Wells Ave
160,39.424155,-119.754985,Old Virginia Rd
160,39.278794,-119.945009,Lunar Ct/Apollo Way
160,39.613888,-119.845529,N Hills Blvd/Buck Dr
334,39.627990,-119.878946,Gold Hill Ave/Panamint Dr
