Estimated daily crossings,Latitude,Longitude,Name
16654,43.135217,-70.928692,Pettee Brook Ln/Main St
185,43.318966,-70.942215,Salmon Falls Rd/Stone Wall Dr
185,43.331655,-70.938763,Warren St/Grove St
216,43.381986,-71.035628,Brown Rd/Chestnut Hill Rd
185,43.304640,-71.003471,Walnut St/French Hussey Rd
1097,43.134374,-70.917991,Schoolhouse Ln/Dover Rd
10684,43.133767,-70.924939,Madbury Rd/Main St
216,43.199700,-70.894679,Washington St
305,43.307268,-70.964991,First St/Adams Ave
246,43.305981,-70.967456,Winter St/Western Ave
160,43.278321,-70.959263,Conifer Cir/Victoria Cir
788,43.302701,-70.974505,S Main St/Liberty St
445,43.390746,-71.070548,Rand St/Memorial Dr
160,43.186721,-70.926778,Old Stage Rd
160,43.440212,-70.984754,Townhouse Rd/1st Rd
185,43.178290,-70.895799,/Western Ave
216,43.332461,-70.940156,Abbott St/Grove St
160,43.395247,-71.055737,Whippoorwill Ridge Rd
813,43.149338,-71.006904,Calef Hwy/Concord Rd
160,43.118591,-71.022050,/Cartland Rd
185,43.168580,-70.886137,Dovetail Ln
631,43.370171,-71.045943,State Rte 153/Meetinghouse Hill Rd/State Rte 11
160,43.107610,-70.927173,/Newmarket Rd
160,43.234737,-71.013006,Halcyn Hill
160,43.279615,-71.144692,/Parker Mountain Rd
160,43.397116,-71.063668,Lawrence Ln
216,43.129617,-70.928094,Croghan Ln/Magrath Rd
246,43.207327,-70.871654,Florence St/Oak St
305,43.287215,-70.962373,Hemlock St/Lowell St
472,43.196430,-70.877129,Chestnut St
160,43.133717,-70.993107,James Farm Rd/Mast Rd
160,43.175809,-71.056658,Holiday Lake Shore Dr
185,43.178607,-70.871843,Keating Ave/Hayes Ln
418,43.300704,-70.986326,Fairway Ave/Oak St/Maple St
185,43.226172,-70.815358,Short St/Silver St
160,43.384790,-71.074734,Tappan St/Henry Wilson Hwy
160,43.199329,-70.891795,Brookline Ave
216,43.385882,-71.064878,Summer St/Green St
160,43.129370,-70.834206,Cote Dr
246,43.232631,-70.828150,Settlement Cir
185,43.325753,-70.992773,Lydall Way
185,43.252447,-70.867589,Nash Park Way/Nash Pkwy
246,43.184425,-70.888839,Knox Marsh Rd
160,43.480629,-71.005088,White Mountain Hwy/
658,43.261887,-70.865708,Highland St/Lords Ct
276,43.194118,-70.885941,Washington St
160,43.251802,-71.090748,Parker Mountain Rd
418,43.200382,-70.874082,Preble St/Twombly St
18137,43.134087,-70.925976,/Mill Rd/Main St
813,43.184592,-70.873382,E Watson St/Stark Ave
160,43.317180,-70.924547,Diamondback Dr/Hawk Ln
216,43.288943,-71.002332,Washington St/Hussey Hill Rd/Chesley Hill Rd
658,43.305313,-70.975226,Crocker Ct
160,43.203752,-70.824926,River Rd/Woods Run
185,43.224624,-70.938983,Cornerstone Dr/Nicholas Cir
526,43.199400,-70.872929,Saint John St
418,43.191492,-70.874270,Church St/Academy St
246,43.204536,-70.879179,Hough St/Maple St
334,43.256405,-70.863669,Green St/Marion Ln
160,43.323976,-70.952341,Salmon Falls Rd/Roulx Dr
185,43.235584,-70.903337,Shawnee Ln/Comanche St
334,43.260090,-70.867648,Noble St/Pemberton Ln
276,43.201506,-70.880259,Tammany Park
579,43.202283,-70.896604,Whittier St/Addison Pl/Pleasant View Cir
658,43.188733,-70.874105,Spring St/Central Ave
160,43.137310,-70.985021,/Turtle Pond Rd
334,43.293347,-70.963272,Crockett St/Strawberry Hill Dr
185,43.123909,-70.830479,Wentworth Ter
160,43.204828,-70.893652,Whittier St
216,43.198125,-70.940501,French Cross Rd
216,43.246607,-70.938229,Shady Hill Dr
246,43.255577,-70.939077,Blackwater Rd/Arbor Way
160,43.231689,-70.822846,Willey St/Locust St/Willey Exd
334,43.242728,-70.893644,/Sherwood Gln
362,43.185500,-70.886276,Knox Marsh Rd
185,43.166410,-70.859081,Spur Rd Exd
185,43.248358,-70.858616,Patricia St
499,43.153522,-71.005457,Calef Hwy
216,43.261382,-71.014666,Juniper Ln
552,43.333588,-70.974274,Milton Rd
276,43.393698,-71.065406,Lincoln St/Main St/N Main St
276,43.283436,-70.981787,Spaulding Tpke
160,43.216917,-70.876108,Hall St
160,43.162324,-70.851456,Gerrish Rd
390,43.323487,-70.990165,Spaulding Tpke
160,43.273074,-70.973306,Brickyard Dr/Harry St
305,43.200009,-70.896808,Spaulding Tpke/Tolend Rd
276,43.331940,-70.974732,Milton Rd
160,43.257676,-71.193610,Bow Lake Ests/Bow Lake Estates Rd
246,43.312023,-70.988205,McDuffee St
276,43.133605,-70.886226,Piscataqua Rd
526,43.125553,-70.837280,Boston Harbor Rd/Dover Point Rd
246,43.274650,-71.000148,Barrington Ln/Oak St
839,43.182439,-70.876156,/Locust St
276,43.177746,-70.907052,Knox Marsh Rd
160,43.378242,-71.046391,Main St
160,43.305072,-70.961297,Franklin Hts/Adams Ave
160,43.265372,-70.943064,Martinique Dr/Caribbean Ln
276,43.131513,-70.917858,Old Landing Rd
579,43.183896,-70.889980,/Knox Marsh Rd
160,43.206040,-70.833317,Sligo Rd/Baer Rd
216,43.138143,-71.014863,Calef Hwy
5374,43.137743,-70.926016,Madbury Rd/Garrison Ave
2141,43.222076,-70.887603,New Rochester Rd
160,43.409954,-71.067138,Charles St
472,43.396274,-71.062578,Lawrence Ln/Glen St
334,43.306136,-70.969378,Gerrish Ct
276,43.206154,-70.891249,Whittier St/Cassily Ln
160,43.168335,-70.864989,Tideview Dr
334,43.122399,-70.831785,Wiggin Dr/Dover Point Rd
185,43.255600,-70.884441,Westwood Dr/Tates Brook Rd
1071,43.202376,-70.870877,Broadway/Ham St
160,43.240866,-71.149407,Province Rd/State Rte 202A/Drake Hill Rd
160,43.217084,-71.077178,Nippo Ct/US Hwy 202
160,43.195013,-71.036813,Lakeshore Dr/Beauty Hill Rd
472,43.196146,-70.877009,Chestnut St
762,43.292997,-70.973166,/Hancock St
276,43.166489,-70.890893,Deerfield Dr/Farmington Dr
526,43.230929,-70.835415,Rollins Rd
362,43.395688,-71.063215,Webster St/Glen St
160,43.198697,-71.119873,Jillet Rd
334,43.192753,-70.868368,Paul St/Wallingford St
160,43.328855,-70.993703,Chestnut Hill Rd/State Rte 16 Con
305,43.378020,-71.038328,Cocheco Rd
334,43.201926,-70.864968,Atlantic Ave/Portland Ave
276,43.287770,-70.974756,Partridge Green
418,43.391945,-71.066470,Union St/Orange St
1772,43.222821,-70.887308,Indian Brook Dr
246,43.246918,-70.879735,Crest Dr/Blackwater Rd
334,43.255001,-70.866540,Portland St/South St
216,43.244963,-70.940691,Shady Hill Rd/Pickering Rd
8362,43.135951,-70.930156,/Main St
305,43.202303,-70.864339,Granite St/Portland Ave
276,43.207294,-70.890460,Whittier St/6th St
246,43.178731,-70.896532,Western Ave
160,43.260098,-71.008035,Hansonville Rd
160,43.237655,-70.818382,Scoutland Rd
160,43.279349,-70.981437,Norman St/Ramsey Rd
185,43.389307,-71.078121,Perkins Ave/Loring Ave
813,43.305030,-70.976084,Wakefield St/Barker Ct
185,43.145747,-70.957661,/Main Stree
160,43.250571,-71.198847,Bow Lake Rd/Piper Dr
160,43.210944,-71.085756,Hearthside Dr
216,43.237981,-70.875701,Acorn Ln/Cinnamon Ridge Rd
276,43.227537,-70.893299,Lakeview Dr/Earle St
362,43.255593,-70.863548,School St/Green St
160,43.146982,-70.882828,Jenkins Rd/Grant Ln
1511,43.134652,-70.936462,Demeritt Way/Mc Daniel Dr
216,43.280732,-70.888588,Salmon Falls Rd/Maloney St
185,43.257410,-70.988890,Flagg Rd/Stillwater Cir
390,43.260860,-70.876446,Brian St/Maple St
