Estimated daily crossings,Latitude,Longitude,Name
185,40.705228,-74.352042,/Ashwood Ave
216,40.660693,-74.314957,/Tulip St/Beech St
160,40.625860,-74.393338,Leland Ave/Dorsey Pl
362,40.641957,-74.348185,Rahway Ave/Shadowlawn Dr
334,40.627298,-74.237968,E 12th St/Woodlawn Ave
160,40.673583,-74.438936,Wardle Ave/Liberty Ave
1329,40.603784,-74.269289,Lawrence St
2088,40.677956,-74.286983,Jefferson Ave
246,40.678097,-74.446246,Forest Ave/Park Ave
185,40.669608,-74.294709,Birchwood Ave/Birch St/Orange Ave
362,40.639415,-74.257382,Cleveland Ave/Maple Ave
710,40.694442,-74.280959,W Chestnut St
185,40.718197,-74.365070,Morris Ave
1589,40.651927,-74.221395,Gibbons Ct/Edgar Rd
472,40.630264,-74.247549,E Morris Ave/Clinton St
362,40.678838,-74.304387,Monroe Ave
1123,40.599241,-74.268689,Lawrence St
305,40.671087,-74.333683,Sunset Ave/Carol Rd
362,40.675450,-74.310419,Dorset Dr
605,40.643701,-74.225216,Grier Ave/Worth Ave
605,40.695502,-74.246567,Biscayne Blvd
390,40.608465,-74.301431,Milton Blvd/Midwood Dr
216,40.713431,-74.399090,Commonwealth Ave/Madison Ave
185,40.636715,-74.349363,Scotch Plains Ave
891,40.660515,-74.260499,Walnut St/1st Ave
390,40.656882,-74.277621,W 2nd Ave/Amsterdam Ave
305,40.654849,-74.372618,Plainfield Ave/Richmond St
362,40.613458,-74.326302,Charlotte Dr
246,40.695812,-74.320118,Cambridge Ter/S Springfield Ave
472,40.720724,-74.375105,Kent Place Blvd/Madison Ave
216,40.643164,-74.399174,Beverly Ave/Weaver St
499,40.656899,-74.235278,Murray St
216,40.598014,-74.297056,Concord St/Lentz Ct
418,40.639485,-74.413229,Milton Pl
216,40.676921,-74.220663,Irvington Ave/Kempshall Pl
710,40.655583,-74.277881,3rd Ave/Grove St
216,40.698307,-74.327429,Ron's Edge Rd
276,40.647903,-74.283107,Jackson Dr
276,40.693332,-74.404209,Southgate Rd/Ethan Dr
276,40.704860,-74.300005,Dykes Ter/Spruce St
1511,40.664479,-74.182607,I- 95
1123,40.687939,-74.241419,Higa Ter/Salem Rd
362,40.661205,-74.290128,Richard St/Wade Ave
390,40.686854,-74.419938,Bristol Ct/
334,40.631263,-74.409323,Garfield Ave/E 3rd St
362,40.679750,-74.251189,Trinity Pl/Winchester Ave
185,40.664780,-74.427187,Old Forge Ln/Horseshoe Rd
246,40.709867,-74.301492,Marion Ave
1278,40.648169,-74.351056,South Ave W/Plaza
445,40.689298,-74.218511,Looker St/Salem Ave
334,40.598025,-74.293391,Jefferson Ave/Albermarle St
1407,40.685593,-74.320961,/US Hwy 22
362,40.682039,-74.249473,Salem Rd/Putnam Rd
246,40.667520,-74.446537,Cedar Ln/Mountain Ave
788,40.616214,-74.279653,Church St/Harrison St
445,40.706662,-74.308095,Cain St/Meisel Ave
1226,40.693128,-74.263773,Garden State Pkwy
631,40.621467,-74.299379,Broadway/John St
526,40.596260,-74.449013,Mable St
390,40.702430,-74.302551,Filbert Ln/Larch St
788,40.708980,-74.284009,Allen Ave
216,40.692278,-74.399288,Hansell Rd/South St
552,40.643893,-74.222910,Klem Ave/McCandless Pl
185,40.611438,-74.373540,Raritan Rd
710,40.622480,-74.278694,Saint Georges Ave/State Rte 27/Apgar Ter
499,40.632444,-74.406948,Earle Pl/Watson Ave
762,40.650636,-74.395380,Forest Rd/Westfield Ave
246,40.735554,-74.365721,Rose Ln/Wallace Rd
305,40.653927,-74.337262,Stanley Ave/Fairmont Ave
499,40.615650,-74.256257,Rebecca St/Smith St
246,40.617765,-74.281299,Jackson Ave/Winfield St
839,40.688968,-74.240524,Salem Rd/Vauxhall Rd
305,40.676093,-74.326172,Nomahegan Dr
658,40.650026,-74.209716,Summer St
305,40.702971,-74.401001,W 3rd St/Bradford St
418,40.661256,-74.308189,Springfield Ave/Normandie Pl
390,40.686431,-74.260883,Andress Ter/Crawford Ter
185,40.648232,-74.275857,6th Ave
160,40.706260,-74.368653,Oaklawn Rd/Ashland Rd
334,40.687638,-74.249101,Lum Ave/Colonial Ave
710,40.600986,-74.290107,Saint Georges Ave/Coddington St/Pierpont St
246,40.614932,-74.324434,Hollander Hill Ct
160,40.644613,-74.327843,Irving Ave/Sycamore St
216,40.674542,-74.242947,Cabot Ave/Conant Ave
390,40.658252,-74.251236,Harrison Ave/Mercer Ave
390,40.634961,-74.282707,N Stiles St/Midvale Pl/Stilles St
160,40.670705,-74.300477,Arbor St
185,40.692397,-74.316310,Bernadette Ct/Evergreen Ave
246,40.643125,-74.338466,Boulevard/Midwood Pl
334,40.599804,-74.415969,Marsh Ave/Marsh Pl
710,40.618949,-74.297376,Westfield Ave/Joseph St
246,40.617284,-74.411012,Carnegie Ave/Watchung Ave
2462,40.674941,-74.233256,Monmouth Rd
839,40.680177,-74.193663,Dowd Ave/State Rte 81
499,40.657325,-74.304929,Miln St/Alden St
526,40.603760,-74.275503,/Main St
418,40.639304,-74.309539,Braemar Cir/Georgia St
276,40.727525,-74.366840,Hartley Rd/Wade Dr
736,40.701599,-74.264217,Kay Ave/Stuyvesant Ave/Marianne Way
943,40.655912,-74.230502,Rahway Ave/Applegate Ave
305,40.679863,-74.215930,Salem Ave/Dewitt Rd
276,40.595198,-74.295065,James Ter
552,40.610974,-74.434213,W Front St/Oxford Pl
526,40.645878,-74.354153,Osborne Ave/W Broad St
1200,40.675405,-74.192265,/North Ave E
246,40.599961,-74.297092,Orchard St/Haberle Pl
1278,40.657101,-74.287245,Garden State Pkwy
445,40.674059,-74.216933,Union Ave
943,40.626898,-74.267892,N Stiles St/W Curtis St
1563,40.641272,-74.205946,I- 278/I- 95
276,40.642776,-74.247896,Passaic Ave
552,40.639654,-74.385954,Sheelen's Xing/South Ave
160,40.598447,-74.296142,Madison Ave/Albermarle St
3643,40.679512,-74.237723,/Conant St
1459,40.648946,-74.200869,/I- 95
216,40.703333,-74.256665,Carlsen Dr/Portland Rd
334,40.684747,-74.387588,I- 78/Glenside Rd
216,40.661199,-74.330010,Harding St
160,40.670724,-74.345833,Rodman Ln/Wychwood Rd
579,40.680166,-74.168198,Bay Ave
246,40.634435,-74.381776,Coriell Ave/Helen St
