Estimated daily crossings,Latitude,Longitude,Name
160,35.438034,-108.745143,State Hwy 602
185,35.528998,-108.684386,Coyote Canyon Dr/Aztec Ave
185,35.509594,-108.808062,W Historic Hwy 66/Western Skies Rd
160,35.401221,-108.246767,I- 40
216,35.529960,-108.610340,I- 40
185,35.492487,-108.852366,/Torrivio Mesa Rd
160,35.631039,-108.780437,Co Rd 55/US Hwy 491
631,35.528432,-108.759812,I- 40/US Hwy 491
246,35.483168,-108.450687,/Six Mile Canyon Rd
160,35.415881,-108.181412,/Miller Rd
839,35.525135,-108.751056,9th St/W Historic Hwy66
160,35.602998,-108.566749,/Wagon Trail Rd
185,35.531486,-108.750104,N 6th St/W Princeton Ave
185,35.075716,-108.810104,Indian Svc Rte 44/State Hwy 53
185,35.521318,-108.737613,S Puerco Dr/Un-Named
160,35.526781,-108.681860,Tocito Trl
160,35.802544,-108.767647,/US Hwy 491
185,35.518741,-108.725338,Henrietta Dr/Ridgecrest Ave
160,35.530886,-108.625753,I- 40
390,35.542433,-108.759746,/Kestrel Ln
160,35.524757,-108.630613,Coal Mine Rd
185,35.071571,-108.855173,Iule St
1020,35.506995,-108.826678,Plaza Ave
185,35.505792,-108.732990,Anton St
276,35.530671,-108.732285,Hst US Hwy 66/State Hwy 118
305,35.524760,-108.737308,E Green Ave/S Strong Dr
185,35.695715,-108.146992,Bisti Dr
160,35.971442,-108.650777,US Hwy 491
160,35.407341,-109.000259,I- 40
216,35.524180,-108.758547,Munoz Dr
160,35.660602,-108.760510,/Tohlakai Rd
160,35.619222,-108.520403,Pinedale Rd
160,35.074051,-108.851975,/Indian Svc Rte 10/St Anthony Dr
418,35.510550,-108.814129,Industry Dr
185,35.903387,-109.027023,Cedar Ave
216,35.660086,-109.043389,State Rte 264
160,35.524831,-108.693326,Rocky View Dr
160,35.522931,-108.688651,/Clay St
160,35.507543,-108.725362,Hospital Dr
160,35.656554,-109.044421,/Alma Dr
160,35.787126,-109.036845,Indian Svc Rte 12
334,35.087762,-108.791343,5th St/C Ave
160,35.515682,-108.736371,Strong Dr
216,35.527647,-108.697431,E Aztec Ave/Patton Dr
160,35.515099,-108.721019,Diamond Cir
160,35.522474,-108.693733,Peretti St/Radosevich Ave
185,35.084975,-108.782927,Indian Svc Rte 301
160,35.852832,-108.760120,Indian Svc Rte 108/Blue Spruce Ct
160,35.562965,-108.762711,Chino Rd/S Chino Rd
160,35.682410,-108.150452,Chpt Hse Rd/Antelope St
160,35.848822,-108.747865,Isleta Dr/Apache Dr
160,35.510632,-108.802173,W Historic Hwy 66
185,35.542887,-108.758780,US Hwy 491
276,35.073882,-108.830931,State Hwy 53
185,35.385869,-108.141531,Frontage Rd
160,35.534014,-108.601799,/Telstar Rd
185,35.690647,-108.147844,Lower Point Rd
246,35.506339,-108.730104,Mountain View Dr
246,35.515507,-108.732735,/Kit Carson Dr
160,35.563843,-108.763099,Hubble St/Chino Rd
160,35.372987,-108.083981,Frontage Rd
185,35.515127,-108.801598,I- 40
160,35.522340,-108.742013,W Logan Ave/S 3rd St
185,35.626318,-108.940724,/State Rte 264
