Estimated daily crossings,Latitude,Longitude,Name
160,34.193541,-103.347173,/W Lime St
185,34.190716,-103.324624,/E Brazos St
216,34.188927,-103.339650,E Fir St/N Main Ave/W Fir St/N Main St
445,34.182387,-103.328654,E 9th St/
305,34.185556,-103.331209,E 5th St/S Chicago Ave
185,34.193476,-103.343190,N Ave B/W Lime St
160,34.190703,-103.325751,/E Brazos St
160,34.188724,-103.345455,/W Hickory St
185,34.188419,-103.337474,/N Abilene Ave
185,34.189808,-103.339754,/E Ivy St
246,34.186873,-103.340712,W Railroad St/S Ave B
362,34.181193,-103.333897,/W 7th St
334,34.193324,-103.331545,E Elbe St//E Lime St
160,34.186573,-103.333747,/S Boulder Ave
390,34.184240,-103.338696,/W 2nd St
1252,34.172988,-103.345802,/S Ave J
305,34.181790,-103.338474,W 4th St/S Ave D
160,34.169478,-103.339334,S Ave G
185,34.196522,-103.339334,N Abilene Pl/E Olive St
160,34.196561,-103.341657,W Olive St/N Ave A
305,34.186060,-103.326260,S Globe St/E 3rd St
185,34.156322,-103.380934,S Roosevelt Road 7/US Hwy 70
472,34.175456,-103.343589,/S Ave I
1020,34.178747,-103.346737,W University Dr/S Ave K
160,34.209740,-103.308109,/US Hwy 70
552,34.181061,-103.346625,/W 2nd St/S Ave K/W 1st St/N Ave K
160,34.449973,-103.931859,N Roosevelt Road Ba
185,34.193382,-103.337172,N Austin Ave/E Lime St
472,34.184994,-103.339495,W 1st St
276,34.181061,-103.326444,S Chicago Ave/S Globe Ave
362,34.174291,-103.356406,W 2nd St
216,34.172025,-103.353822,/W 17th Ln/S Ave P
185,34.188126,-103.325775,/E 1st St
526,34.175865,-103.333351,S Ave C/W 15th St
160,34.170757,-103.373024,S Roosevelt Road 6
185,34.178211,-103.362090,Pojoaque Ct/Pueblo Loop
185,34.265193,-103.231134,/Clovis Hwy
185,34.171227,-103.346895,/W 18th St
185,34.186204,-103.344697,W Fir St/N Ave J
160,34.189798,-103.339380,E Ivy St
160,34.167525,-103.345002,20th Dr
160,34.189844,-103.340888,/W Ivy St
246,34.192829,-103.327728,/N Fargo Ave
246,34.201112,-103.343578,/S Roosevelt Road R 1/2
305,34.183731,-103.323519,/Gemini Dr/Gemini Cir
216,34.181044,-103.348153,N Ave L
305,34.178691,-103.334747,State Hwy 206/W University Dr
160,34.165848,-103.339787,W 22nd St
185,34.218161,-103.296565,/US Hwy 70
216,34.190737,-103.326276,N Globe Ave
185,34.295924,-103.203035,/Clovis Hwy
160,34.197563,-103.338674,/Abilene Ave/N Abilene Ave
362,34.179216,-103.329366,W 11th St/Main St/E 11th St
185,34.223882,-103.287902,/US Hwy 70
216,34.187144,-103.333741,S Boulder Ave/E 2nd St
276,34.180415,-103.361867,/W Beech St
305,34.173697,-103.336569,S Ave E/W 16th Ln
276,34.187689,-103.343152,N Ave C/W Gum St
