Estimated daily crossings,Latitude,Longitude,Name
185,42.081833,-75.804790,Ostrum Rd/Hays Ave
418,42.094881,-76.033672,/State Hwy 17
276,42.105124,-75.940594,Schubert St/Minden Ave
246,42.085571,-76.098099,Campville Rd/Marshall Dr
334,42.099852,-75.960772,Shelby St
684,42.102939,-75.912033,Washington St/Lewis St
185,42.330329,-75.979279,I- 81
160,42.090339,-75.742717,State Hwy 17
418,42.099234,-75.953851,Riverside Dr/Adams Ave
305,42.124550,-75.898211,Chenango St/Baird Ave
276,42.099263,-76.072354,Sliter Pl/Jennings St
185,42.107340,-76.015743,Morris Ln/Morris Ave
390,42.236914,-75.847619,State Hwy 12/Depot St
246,42.128380,-75.945918,Poland Ave/Republic St
276,42.081990,-76.046109,Loren Ave/Lagrange St
334,42.098424,-75.884291,Macon St/Conklin Ave
445,42.102906,-76.034459,Louisiana Ave/Tracy St
185,42.075677,-75.928115,Dogwood Dr/E Hamton Rd
1071,42.091575,-75.969984,West Dr
276,42.115556,-75.905636,I- 81
160,42.115106,-75.979200,Onondaga St/Bidwell St
185,42.106543,-76.076190,Stanton Rd
334,42.045720,-75.806401,/Conklin Rd
246,42.089007,-76.043673,Vestal Pkwy E
305,42.115455,-76.036284,Country Club Rd/Wilson Ave
445,42.095039,-76.063903,E Main St/S Liberty Ave
362,42.111096,-75.876794,Fairview Ave/Nash St
185,42.137535,-76.046313,Bernard Blvd/Elton Dr
160,42.182259,-75.851541,Poplar Hill Rd/Vankuren Dr
276,42.113290,-75.975683,Avon St/Elbon St
246,42.124018,-76.028868,Broas Rd
605,42.164202,-75.873049,Chenango Bridge Rd/I- 88
160,42.180799,-75.907321,Castle Creek Rd
418,42.115181,-75.908378,I- 81/Front St
305,42.104086,-75.832099,Industrial Park Dr/Colesville Rd
185,42.070565,-75.642682,Kent St/Lona Dr
216,42.131072,-75.897887,Riverview Rd/Terry Ave
276,42.085608,-75.919337,Kendall Ave/Allendale Rd
160,42.051938,-75.440758,State Hwy 17
445,42.103610,-75.910381,Prospect Ave
2168,42.097672,-75.914766,/Hawley St
160,42.159941,-75.765272,Sanitaria Springs Rd/Hancock Rd
216,42.127733,-76.039616,Taft Ave
362,42.113781,-75.939847,Glenwood Ave/Loraine Ave
160,42.099938,-75.837486,/Colesville Rd
305,42.100380,-75.863860,/Conklin Rd
160,42.102736,-76.074507,N Page Ave/June St
185,42.098550,-76.039630,Riverview Dr/Adams Ave
185,42.127778,-76.033173,Camelot Rd/Knoll Dr
216,42.117732,-76.028319,Smith Dr/University Ave
160,42.127267,-76.016951,Wildwood Dr/Monterey Dr
160,42.109740,-75.937991,Glenwood Ave
334,42.167276,-75.853821,Columbine Dr/Thistle Way
334,42.107895,-75.903675,Munsell St/Chenango St
445,42.097496,-75.934897,Beethoven St/Seminary Ave
160,42.191043,-75.617899,State Hwy 235
334,42.107558,-75.845324,Loughlin Rd/I- 81
390,42.111634,-75.885724,Andrews Ave/E Frederick St
216,42.112670,-76.028549,Robins St/N Knight Ave
160,42.099694,-75.869229,Holmes Pl
160,42.091206,-76.011125,African Rd/N African Rd
160,42.166871,-75.833631,Park St/State Hwy 369
160,42.260772,-76.007843,Kenyon Rd
334,42.111680,-75.881569,E Frederick St/Bigelow St
762,42.095612,-75.969562,Vestal Pkwy E
246,42.141498,-75.965621,Pamela Dr
362,42.095128,-75.897872,Hall St
160,42.131696,-75.929978,Linda Dr/Glenwood Rd
839,42.095389,-75.966666,/Vestal Pkwy E
605,42.109854,-75.966864,Grand Ave/State Hwy 201
185,42.074187,-75.818638,Inamour Dr/Conklin Rd/Tiffany Ave
216,42.113280,-76.036120,Wilson Ave/Jenkins St
160,42.119495,-76.031831,Columbia Dr/Hamilton Dr
246,42.092710,-76.075405,W Main St
216,42.085364,-75.956752,Midvale Rd/Deerfield W
276,42.007090,-75.756304,Grange Hall Rd/I- 81
390,42.095154,-76.067221,Badger Ave/W Main St
305,42.115154,-76.041992,Pine St/N Arthur Ave
160,42.148744,-75.696604,/Colesville Rd/Johnson Rd
160,42.141396,-76.030638,Hillside Ter/Chrysler Rd
246,42.092877,-75.967748,Center Dr
246,42.112448,-75.942086,Belknap Ave/Emma St
390,42.102301,-75.935497,Schubert St/Mozart St
276,42.110801,-75.917135,Oak St/Cypress St
185,42.108498,-76.080213,/Zeggert Rd
185,42.099349,-75.881305,Medford St/Conklin Ave
305,42.097767,-75.878382,Dewey Ave/Afton St
