Estimated daily crossings,Latitude,Longitude,Name
160,42.649470,-76.176305,Durkee Park/US Hwy 11
216,42.494292,-76.072330,/I- 81
160,42.515605,-76.195598,State Hwy 215
160,42.683522,-76.170510,State Hwy 281
1824,42.607915,-76.166825,/Clinton Ave
160,42.510726,-76.190071,Van Donsel Rd/State Hwy 392
710,42.581980,-76.205980,Tompkins St
160,42.618884,-76.183445,/Miller St Exd
362,42.607460,-76.174928,Riverview Ave/Rickard St
246,42.483237,-76.061274,I- 81
216,42.703499,-76.158169,Elm Ave
4439,42.597607,-76.186191,Degroat Hall
160,42.464382,-76.032888,County Rt116
160,42.589753,-76.170097,Lynwood Ave
185,42.696161,-76.161973,Little York Crossing Rd
390,42.451157,-76.038669,I- 81
160,42.650344,-76.175819,US Hwy 11
943,42.604681,-76.180637,Madison St/N Main St
246,42.582904,-76.187777,Owego St/State Hwy 215/Starr Rd Exd/Starr Rd
160,42.620891,-76.051031,Potter Rd/Maybury Rd
216,42.560569,-76.226789,State Hwy 13
160,42.565468,-76.214932,Wellington Dr
390,42.598173,-76.167997,Dunsmore Ave/Port Watson St
3005,42.600872,-76.183818,Pleasant St/Holly Ter
2923,42.600185,-76.177939,Church St/Central Ave
445,42.586294,-76.198751,Tompkins St
3531,42.593634,-76.186681,Tompkins St
390,42.583303,-76.207231,Halstead Dr
579,42.579586,-76.214525,West Rd
160,42.590809,-76.167784,Northcliffe Rd/Fox Hollow Rd
160,42.513374,-76.195269,State Hwy 215/Washington St
216,42.592363,-76.132462,Greenwood Rd
160,42.593668,-76.174435,Huntington St
246,42.645873,-76.177664,Hooker Ave/N Main St
160,42.562499,-76.175445,Page Green Rd
160,42.505943,-76.259157,Walker Rd
390,42.612947,-76.186399,Homer Ave/US Hwy 11
160,42.502760,-76.080404,Snow Rd/US Hwy 11
160,42.548908,-76.174758,Page Green Rd
334,42.597166,-76.092541,Gothic St/Highland Ave
216,42.704068,-76.150361,I- 81
526,42.587107,-76.197374,Joseph St/Tompkins St
3531,42.595282,-76.184043,Reynolds Ave/Tompkins St
160,42.769719,-76.131322,Saulsbury Rd/Friendly Shores Rd
1123,42.606639,-76.164203,River St
246,42.633712,-76.181965,Hannum Ave
185,42.702211,-76.183655,Stevens Rd
160,42.653359,-76.183473,State Hwy 281/Hooker Ave
526,42.636233,-76.178604,Pine St/S Main St
160,42.771198,-76.252874,/State Hwy 41
1693,42.607590,-76.166913,Clinton Ave
160,42.629515,-76.166793,McDonald Rd
216,42.574280,-76.222387,Pheasant Run/Stupke Rd
334,42.589741,-76.184715,Pine St
6274,42.593785,-76.192073,Service Rd
305,42.614414,-76.205756,Cosmos Hill Rd/Blue Creek Rd
160,42.612434,-76.193188,Harmony Cir
160,42.724821,-76.146148,McBride Dr
1563,42.601868,-76.177717,Elm St
185,42.546787,-76.094297,Hoxie Gorge Rd/I- 81
526,42.636576,-76.178023,Allens Ln
160,42.585013,-76.233584,Katie Ln
160,42.647480,-76.179132,Hooker Ave
185,42.619496,-76.194042,W Homer Rd/Bell Dr
160,42.568233,-76.121124,Main St
605,42.589136,-76.193982,Pearl St/Tompkins St
160,42.536371,-76.260898,Gee Hill Rd
185,42.596157,-76.158703,Brook Dr
526,42.591264,-76.133788,/State Hwy 41
160,42.637762,-76.141875,State Hwy 13/Slade Dr
445,42.596825,-76.091087,Washington St/E Main St
390,42.604008,-76.165232,Salisbury St
246,42.469782,-75.913407,Church St
185,42.628530,-76.180484,US Hwy 11
185,42.646418,-76.178122,Durwood Dr/Hooker Ave
160,42.617044,-76.184583,US Hwy 11
160,42.621927,-76.158115,/Clinton Ave Exn
362,42.604115,-76.180602,Jewett Ave/N Main St
3060,42.596628,-76.183296,Prospect Ter/Hill St
246,42.735719,-76.150075,Preble Rd/Steger Rd
185,42.440003,-76.029719,/I- 81
246,42.586343,-76.209437,Stratton Dr
418,42.586327,-76.198697,Tompkins St
1798,42.591751,-76.193612,Warren St/York St
276,42.589836,-76.185840,Owego St/Yates Pl
160,42.776397,-76.115761,US Hwy 11
185,42.593639,-76.175162,/Huntington St
216,42.718524,-76.145986,/I- 81
839,42.575244,-76.216735,State Hwy 13
418,42.592210,-76.136917,Weaver Rd
305,42.580277,-76.208631,Pleasantview Dr/Tompkins St
1615,42.592454,-76.188574,Duane St/Tompkins St
160,42.592657,-76.177100,Church St
334,42.645479,-76.178869,Tobin Dr/Michael St
276,42.609972,-76.196446,Evergreen St/West Rd
246,42.595721,-76.150660,US Hwy 11
305,42.542232,-75.895613,Lower Cincinnatus Rd/Telephone Rd Exd/Cincinnatus Rd
160,42.590894,-76.182087,Crawford St
8330,42.598118,-76.187189,Graham Ave/Cheney Hall
246,42.682379,-76.163049,I- 81
658,42.582301,-76.205266,Starr Rd
185,42.604390,-76.214932,Kinney Gulf Rd
160,42.776440,-76.116269,Parcells Dr
968,42.571483,-76.218823,State Hwy 13
160,42.490245,-76.214580,Daisy Hollow Rd
185,42.583739,-76.222955,Fairview Dr/Sleepy Hollow Rd
160,42.510327,-76.161662,State Hwy 392/Page Green Rd
710,42.598021,-76.195398,George St/Forrest Ave
418,42.605503,-76.170121,Clinton Ave/Hubbard St
160,42.493581,-76.103205,State Hwy 392
185,42.632376,-76.174731,High St
160,42.650393,-76.175792,US Hwy 11
160,42.758859,-76.081931,Maple Ridge Rd/Vormwald Rd
305,42.596518,-76.175180,William St/Greenbush St
160,42.725483,-76.147837,Mountainview Trailer Park/State Hwy 281
334,42.446071,-76.034243,Albro Rd
472,42.600406,-76.196708,Groton Ave/Ellwood Ave
418,42.608169,-76.190854,W Main St/Copeland Ave
216,42.592584,-76.123227,Cortland-Mcgraw Rd/Greenwood Rd
160,42.645886,-76.188998,Brentwood Dr
658,42.586195,-76.203061,Halstead Dr
160,42.583878,-76.232108,Westvale Dr
362,42.605100,-76.168569,Crandall St
216,42.576396,-76.217807,/S Lamont/Lamont Cir
216,42.589463,-76.171018,Pendleton St/Adams Way
160,42.485708,-76.065067,Russell Rd/I- 81
160,42.552331,-76.097180,S Hill Rd
362,42.600368,-76.173253,Pendleton St/Central Ave
305,42.600648,-76.200533,Crestwood Ct
334,42.602406,-76.164442,N Franklin St/Elm St
305,42.608110,-76.192173,W Main St/5th Ave
216,42.647622,-76.174037,Durkee Park
526,42.604466,-76.185547,Homer Ave
334,42.607260,-76.198225,West Rd/Douglas St
216,42.608877,-76.161677,I- 81
216,42.577913,-76.216020,W Campus Cir
334,42.628900,-76.180168,/US Hwy 11
658,42.582101,-76.210261,Terrace Rd/McLean Rd
160,42.626934,-76.168602,Lighthouse Hill Rd
185,42.428695,-76.222673,Country Meadows Trl
160,42.645484,-76.189265,Clinton St
160,42.568355,-76.120463,Main St/US Hwy 11
246,42.608041,-76.193712,Wadsworth St/W Main St
334,42.608800,-76.180300,Willow Ave/Pearne Ave
185,42.587372,-76.192531,Raymond Ave
334,42.628548,-76.182476,Cortland St
276,42.648608,-76.191062,Balmoral Way Exd
160,42.717407,-76.146756,I- 81
10317,42.598051,-76.180307,Clayton Ave/Main St
445,42.774046,-76.158194,Song Mt Dr
160,42.645114,-76.257561,Kinney Gulf Rd/State Hwy 90
891,42.604462,-76.183661,Madison St/Grace St
631,42.602085,-76.172227,Pendleton St/Elm St
631,42.599040,-76.166716,Pomeroy St/Dunsmore Ave
160,42.481682,-75.921281,Beach Rd/State Hwy 26
185,42.546986,-76.093585,Hoxie Gorge Rd
276,42.584624,-76.226865,Winkle Way
160,42.588909,-76.182915,Denti Way/Scammell St
276,42.614416,-76.185966,US Hwy 11
216,42.589474,-76.170696,Adams Way
865,42.603674,-76.172331,Garfield St/Pendleton St
185,42.434026,-76.025782,I- 81
418,42.589549,-76.190761,Delaware Ave/Squires St
185,42.589871,-76.236054,Sears Rd/State Hwy 222
160,42.588974,-76.232124,Westvale Dr
418,42.595120,-76.206588,West Rd/Luker Rd
160,42.469365,-75.916207,/State Hwy 26
472,42.581501,-76.205566,Lorraine Dr/Morgan Dr
160,42.627591,-76.152989,/State Hwy 13
216,42.632201,-76.173937,High St
185,42.738838,-75.962612,W Keeney Rd/Tripoli Rd
185,42.546567,-75.904465,Miles Rd/E View Ter
472,42.582175,-76.208385,McLean Rd/Allen Dr
579,42.605529,-76.191774,Hamlin St/Norma's Way
4324,42.596316,-76.180178,S Main St/William St
499,42.598370,-76.163331,East Ave/Port Watson St
839,42.576364,-76.215152,Tompkins St
216,42.618000,-76.183720,Smith St/Miller St Exd
334,42.629129,-76.191829,Copeland Ave/S West St
185,42.705992,-76.238107,Southview Dr/Sunnyside Dr
605,42.605986,-76.169013,Clinton Ave/Cleveland St
499,42.596650,-76.199017,Glenn St
994,42.599398,-76.177878,Church St/Court St/Ct House Park
216,42.586872,-76.190569,Kinney Ln/Delaware Ave
160,42.593716,-76.173317,Cedar St/Huntington St
526,42.586623,-76.198194,Vernon Dr/Tompkins St
658,42.603136,-76.180539,Maple Ave/N Main St
246,42.596269,-76.142485,I- 81
246,42.581833,-76.217786,/McLean Rd
736,42.582296,-76.205455,McLean Rd/Starr Rd/Tompkins St
216,42.440033,-76.040028,Grove St/W Main St
2247,42.593184,-76.194743,Pashley Dr
160,42.565054,-76.210685,Bennie Rd/Walden Oaks Blvd
362,42.629607,-76.179591,Copeland Ave/US Hwy 11
160,42.618889,-76.183537,Miller St Exd/US Hwy 11
160,42.411984,-76.015390,I- 81
2221,42.572689,-76.218187,State Hwy 13
185,42.439856,-76.033725,Brink St
185,42.676871,-76.159582,Edonna Dr
246,42.638821,-76.178294,Clinton St/N Main St
160,42.597002,-76.016463,State Hwy 41
499,42.598047,-76.170923,Port Watson St
216,42.613986,-76.159264,Morningside Dr
276,42.697152,-76.163408,Blue Heron Cove
246,42.551815,-76.097867,S Hill Rd/I- 81
472,42.595617,-76.206288,West Rd/Cortland County Airport
2168,42.596115,-76.182716,Tompkins St/Prospect Ter
160,42.448323,-76.032307,Galatia St
276,42.637647,-76.186588,Grove St/N William St
276,42.648755,-76.180215,Hooker Ave/Lora Ln
185,42.627760,-76.192031,W Homer Rd/Main St/S West St
3170,42.599009,-76.187248,Graham Ave/W Court St/Suny at Cortland
246,42.649767,-76.190006,Balmoral Way/Suits Ave/Balmoral Way Exd
185,42.452129,-76.040680,/US Hwy 11
185,42.582412,-76.201904,Starr Rd
185,42.627895,-76.181657,/Main St
160,42.694862,-76.151262,Little York Crossing Rd/US Hwy 11
11731,42.595130,-76.193699,Neubig Rd
968,42.584991,-76.208417,Allen Dr/Allen Dr Exd
276,42.595120,-76.171743,Randall St/Pendleton St
1020,42.585963,-76.211368,Stratton Dr/West Rd
334,42.627978,-76.184025,Main St
160,42.510637,-76.192481,State Hwy 392
160,42.486091,-75.972876,E Freetown Texas Valley Rd/Texas Valley Rd/Gee Brook Rd
160,42.586553,-76.127113,Ridge Rd/I- 81
160,42.584992,-76.195527,Levydale Rd/Louise Dr
631,42.605473,-76.179570,Grant St/Charles St
246,42.585852,-76.206767,Allen Dr Exd
334,42.442994,-76.031541,/Galatia St
472,42.600534,-76.198605,N Atkins Ave
305,42.574693,-76.121182,Bacon Rd/I- 81
605,42.577785,-76.215430,W Campus Cir/West Rd
605,42.583972,-76.203890,Sherbrook Apartment/Fairfield Dr
276,42.635241,-76.178721,S Main St
788,42.605876,-76.190404,Chestnut St
