Estimated daily crossings,Latitude,Longitude,Name
305,44.421367,-74.070848,State Hwy 3/Loop Rd
160,44.216919,-74.462682,/Wawbeek Ave
160,44.431697,-74.043691,Adirondack Park
160,44.209885,-74.463591,Isabelle Ave
362,44.331541,-74.132313,Circle St/Margaret St
160,44.853021,-74.301151,Railroad St
160,44.933966,-74.567956,River Rd/State Hwy 95
499,44.848117,-74.309619,/W Main St
185,44.968640,-74.649617,State Hwy 37
160,44.996509,-74.664785,Smugglers Aly
418,44.977612,-74.714486,Roosevelt Hwy
160,44.336310,-74.138013,Casiers Way/Grandview Ln
160,44.925056,-74.099388,US Hwy 11
160,44.335971,-74.137738,Grandview Ln
216,44.857563,-74.274986,Cedar St/Elm St Rd/Elm St
185,44.811860,-74.258105,River Rd/Thomas Rd
160,44.934025,-74.566788,River Rd
246,44.977745,-74.663689,North St
160,44.854601,-74.289915,2nd St
472,44.380085,-74.203033,Airport Rd
160,44.328491,-74.127146,Shepard Ave
472,44.674102,-74.546620,Mill St/Sabrey
813,44.434957,-74.249987,Adirondack Park
418,44.327107,-74.144531,Adirondack Park
185,44.225275,-74.448791,Nelson Ave/E Park St
246,44.342701,-74.141248,Old Lake Colby Rd/Cedar Ridge Dr
216,44.312565,-74.124224,Duprey St
418,44.224493,-74.458072,E Park St
185,44.485393,-74.139176,Adirondack Park
216,44.978582,-74.715704,Raquette Rd
246,44.994783,-74.709994,Barnes Rd
246,44.333100,-74.134808,Baker St/Park Ave
160,44.497123,-74.124504,Kushaqua-Mud Pond Rd/Oregon Pond Dr
1278,44.434344,-74.251860,/Adirondack Park
160,44.930175,-74.282892,State Hwy 122
185,44.953019,-74.693029,Helena Rd
185,44.989934,-74.712972,Oakes Rd/Raquette Point Rd
185,44.994978,-74.634186,River Rd/Kanawakoh Rd
185,44.846146,-74.293503,Duane St/College Ave
160,44.723382,-74.286277,Lake Rd 7/Lake Rd
185,44.908238,-74.341593,Upper Flat Rock Rd/Flat Rock Rd
160,44.983445,-74.571722,Drum Street Rd
185,44.224695,-74.455370,Sunset Ave/E Park St
160,44.859728,-74.283215,Sprague St
526,44.966220,-74.639995,State Rte 95/State Hwy 37
445,44.848064,-74.279229,William St/Spruce St
185,44.317220,-74.132039,Meter St/Kiwassa Rd
160,44.959835,-74.686358,Frogtown Rd/Helena Rd
160,44.718594,-74.304110,State Hwy 30/Marshall Dr
334,44.224572,-74.456861,E Park St/Boyer Ave
160,44.633363,-74.278809,State Hwy 30/Old Meacham Rd/Cold Brook Rd
813,44.329718,-74.131314,Bloomingdale Ave/Church St
445,44.848093,-74.278693,Spruce St
160,44.857466,-74.280562,Webb Ave/Marion St
216,44.413664,-74.161705,Rickerson Pond Dr
499,44.973028,-74.665029,Gray St
160,44.305995,-74.125805,Indian Rock Trl
418,44.435810,-74.251272,Adirondack Park
160,44.317488,-74.152112,George H Lapan Memorial Hwy/George Lapan Memorial Hwy
276,44.221618,-74.465725,Wawbeek Ave/High St
762,44.434706,-74.252007,Adirondack Park
216,44.314753,-74.137689,Dahinda Rd/Hayes Ln
