Estimated daily crossings,Latitude,Longitude,Name
160,40.684432,-73.890598,Robert Pl/Robert St
445,40.663950,-73.910244,Chester St/Dumont Ave
8362,40.705669,-73.933400,Bogart St/Seigel St
994,40.676939,-73.870387,Crescent St/Glenmore Ave
762,40.616922,-73.930602,Flatbush Ave/E 46th St
2354,40.634508,-73.949449,Flatbush Ave/Glenwood Rd
334,40.633556,-73.997231,54th St/12th Ave
334,40.629973,-73.936767,Ave I/Albany Ave
1824,40.643986,-74.011484,52nd St/5th Ave
1329,40.663862,-73.924549,Rutland Rd/E 96th St
1693,40.712489,-73.938466,Olive St/Grand St
1278,40.582659,-73.956536,Guider Ave/Neptune Ave
994,40.678382,-74.003401,/Hamilton Ave
276,40.646720,-73.908185,Foster Ave/E 94th St
631,40.670889,-73.902596,Pitkin Ave
276,40.661855,-73.869371,Cozine Ave/Logan St
552,40.585594,-73.946793,Kenmore Ct/E 22nd St
445,40.664205,-73.885131,Barbey St/McClancy Pl
526,40.623933,-73.972774,E 4th St/Ave J
605,40.669189,-73.885690,Jerome St/Blake Ave
305,40.662248,-73.866700,Crescent St/Cozine Ave
1278,40.576291,-73.968535,Ocean Pkwy/Brighton Beach Ave
579,40.596161,-73.961028,Ave V/Coney Island Ave
472,40.597719,-73.932576,Plumb 1st St/Whitney Ave
658,40.625015,-73.940720,E 36th St/Ave K
736,40.645635,-73.930740,E 49th St/Cortelyou Rd
1407,40.634625,-74.010462,8th Ave
1174,40.629166,-73.947327,Ave I/Nostrand Ave
305,40.704256,-73.967210,Kent Ave/Clymer St
418,40.629913,-73.937738,Ave I/E 40th St
1850,40.653219,-74.008655,I- 278
788,40.655561,-73.911996,Herzl St/Hegeman Ave
1563,40.635553,-73.978022,Ditmas Ave/McDonald Ave
334,40.662015,-73.868367,Cozine Ave/Fountain Ave
684,40.637127,-73.928821,Utica Ave/Harwood Pl
684,40.644371,-73.930605,E 49th St/Clarendon Rd
472,40.574868,-74.000675,Mermaid Ave/W 35th St
579,40.701862,-73.955853,Heyward St
736,40.651855,-73.923081,Kings Hwy
526,40.700445,-73.950756,Marcy Ave/Wallabout St
1850,40.693861,-73.999135,I- 278/Joralemon St
1200,40.682187,-73.869808,Autumn Ave/Atlantic Ave
472,40.613756,-73.920819,E 56th St/Ave T
891,40.672867,-73.939971,Virginia Pl/Park Pl
994,40.630665,-74.003824,11th Ave
579,40.730789,-73.961741,Java St
1537,40.725826,-73.933344,Stewart Ave/Thomas St
334,40.646256,-73.908899,Foster Ave/E 93rd St
1641,40.623680,-73.997713,New Utrecht Ave/65th St
684,40.672236,-73.910968,E New York Ave
865,40.703975,-73.923083,Willoughby Ave/Irving Ave
1097,40.614804,-74.005979,80th St/15th Ave
1020,40.584708,-73.943755,Bedford Ave/Shore Pkwy
499,40.659669,-73.995169,24th St/5th Ave
1304,40.653995,-73.964145,St Paul Pl/Parkside Ave
813,40.626262,-74.008135,69th St
3531,40.700577,-73.984827,Bridge St/Prospect St
362,40.680592,-73.873439,Euclid Ave/Glen St
1278,40.684229,-73.935300,Hancock St/Lewis Ave
418,40.642085,-73.984303,36th St/Louisa St
1355,40.677351,-73.944230,Brooklyn Ave/Pacific St
762,40.650172,-73.929198,E 51st St/Snyder Ave
1615,40.662506,-73.960866,Washington Ave/Sterling St
788,40.679515,-73.911082,Hull St/Rockaway Ave
2354,40.661241,-73.979654,Bartel Pritchard Sq/Prospect Park W
552,40.575451,-73.995380,W 29th St/Mermaid Ave
276,40.669309,-74.004447,Bryant St/Clinton St
499,40.600168,-74.004078,Bay 23rd St
1123,40.663192,-73.937264,Lefferts Ave/Troy Ave
4845,40.717660,-73.948291,Leonard St/Meeker Ave
865,40.583531,-73.969214,/Shore Pkwy S
1252,40.576626,-73.984774,W 17th St/Mermaid Ave
839,40.624821,-74.002730,13th Ave/67th St
1097,40.709324,-73.945241,Stagg St/Manhattan Ave
865,40.583277,-73.935734,Shale St
2408,40.618641,-74.033032,3rd Ave/93rd St
1149,40.663659,-73.901451,Livonia Ave/Junius St
418,40.577910,-73.943537,Oriental Blvd/Irwin St
160,40.712290,-73.927304,Stagg St/Stewart Ave
362,40.660599,-73.895885,Alabama Ave/New Lots Ave
305,40.623105,-73.958088,E 18th St/Ave K
813,40.668784,-73.947818,New York Ave/Union St
418,40.591136,-73.977514,Boynton Pl
1433,40.681237,-73.928727,Reid Ave/Bainbridge St
839,40.723812,-73.961401,N 11th St
3170,40.693679,-73.984267,Mrytle Ave/Oratory Pl/Myrtle Ave
1123,40.641064,-73.972268,Ave C/E 7th St
1226,40.618593,-74.028700,91st St/5th Ave
1667,40.640882,-73.973941,Ave C/Ocean Pkwy
276,40.594780,-73.991677,Bath Ave/Bay 38th St
943,40.637223,-73.959798,E 19th St/Newkirk Ave
943,40.654313,-73.909726,Hopkinson Ave/Linden Blvd
552,40.647131,-74.004621,6th Ave/44th St
736,40.605285,-73.940842,Brown St/Avenue S
7822,40.700891,-73.942201,Graham Ave/Broadway
185,40.625980,-73.986777,17th Ave/56th St
362,40.586276,-73.986189,W 17th St/Bay 50th St
1226,40.641471,-73.959377,Dorchester Rd/Ocean Ave
605,40.588347,-73.924023,Noel Ave/Lester Ct
1433,40.671865,-73.970855,President St/Prospect Park W
390,40.673500,-73.885027,Pitkin Ave/Ashford St
710,40.604738,-74.021225,Pershing Loop
762,40.677367,-74.010170,Richards St/King St
