Estimated daily crossings,Latitude,Longitude,Name
305,43.447689,-76.497080,/E 3rd St
185,43.403845,-76.462697,State Hwy 481
216,43.636766,-76.184659,Lakeshore Rd/Center Ave
246,43.316786,-76.405961,Division St/S 5th St
185,43.345293,-76.151966,Bardeen Rd/Ball Rd/US Hwy 11
362,43.558559,-76.119554,/Rome Rd
246,43.237464,-76.130098,I- 81
160,43.245797,-76.359789,Co Rte 46
362,43.321896,-76.410358,S 5th St/Academy St
216,43.398636,-76.118214,I- 81
216,43.452221,-76.495132,E 9th St/Church St
246,43.401529,-76.460721,Co Rte 45
160,43.305611,-76.152638,Co Rte 4/US Hwy 11
185,43.444462,-76.531408,5th Ave
160,43.295299,-76.138807,Co Rte 12
246,43.253798,-76.142118,US Hwy 11
185,43.486344,-76.447477,North Rd/Co Rte 1
160,43.494263,-76.234509,/Scenic Ave
185,43.393173,-76.594607,State Hwy 104A/Chapel Rd
216,43.472381,-76.384272,State Hwy 104/Co Rte 29
3170,43.453246,-76.527719,First Ave/Hillside Ave/Turrill St
246,43.649074,-76.079330,/I- 81
160,43.406124,-76.124998,Rider St/E Main St
185,43.325389,-76.428176,W 5th St N/Worth St
160,43.319460,-76.222114,Co Rte 33
968,43.449168,-76.519835,Willow St/Babcock St
160,43.638789,-76.180030,Lakeshore Rd
160,43.274579,-76.068855,Depot Rd
185,43.404511,-76.117031,I- 81
418,43.303348,-76.408342,Ingersoll Dr/W 1st St S/Whitcomb Rd
185,43.341385,-76.351629,State Hwy 3
276,43.455053,-76.501413,E Utica St/E 5th St
246,43.419820,-76.574698,Broadview Dr/State Hwy 104
185,43.638923,-76.178006,Lake Shore Rd E/Wigwam Dr
160,43.584660,-76.189947,Deer Creek Wildlife Mgt Area
160,43.451513,-76.505125,Lock Rd
216,43.430612,-76.494672,Mayflower Cir/O'Brien Glenway
216,43.247702,-75.951478,Trl Park/State Hwy 49
710,43.451501,-76.508435,W Albany St/Bridie Cir/W 1st St
334,43.324898,-76.412602,Cayuga St/S 4th St
334,43.308932,-76.399553,/S 1st St
710,43.456914,-76.519896,W Seneca St/W 8th St
362,43.462080,-76.445629,Penfield Dr/Co Rte E 53
185,43.389468,-76.545067,/Co Rte 7
185,43.228169,-76.218296,Hemlock Ln/Ironwood Dr
552,43.460657,-76.517193,W Van Buren St/W 4th St
305,43.460463,-76.494680,E 11th St/State Hwy 104
