Estimated daily crossings,Latitude,Longitude,Name
160,35.241450,-81.566562,S Lafayette St
160,35.476435,-81.640687,7 Pines Rd/
160,35.388260,-81.689315,/Mooresboro Rd/New House Rd
160,35.308735,-81.531778,Webb Dr/Atlantic Ave
185,35.179895,-81.415072,/Battleground Rd
246,35.262341,-81.677005,Hawk Ridge Rd
305,35.272995,-81.424566,Stony Point Rd/Oak Grove Rd
160,35.208519,-81.667442,Durham St/Gaffney Rd
246,35.296302,-81.725512,Daves Rd
160,35.247913,-81.659030,Clinton St
526,35.310078,-81.529798,Piedmont Ave/Hobbs Ave
216,35.229866,-81.525388,Spring Ln/Ridge St
305,35.230512,-81.365952,Baneberry Dr/Jolly St/Maner Rd
160,35.337655,-81.540189,N Lafayette St/Blackwood Pl
305,35.360127,-81.427595,Dodd St
246,35.250727,-81.624654,Old Boiling Springs Rd/College Ave
362,35.245294,-81.330847,N Cleveland Ave/Cleveland Ave
160,35.243169,-81.350858,N Watterson St
246,35.254774,-81.583595,College Ave
160,35.206367,-81.494665,Grahams Fort Dr
185,35.268639,-81.709388,Shires Ln
160,35.294853,-81.438378,Dunes Dr/Stony Point Rd
305,35.306349,-81.521843,Hardin Dr/Wyke Rd
185,35.291040,-81.609508,Cedar St/Green St
246,35.280572,-81.542757,S Morgan St/Royster Ave
160,35.363195,-81.541008,N Lafayette St/Cornwell Rd
185,35.219959,-81.535073,Davis Rd/S Post Rd
185,35.289282,-81.561597,Charles Rd/Warren Pl
276,35.263759,-81.564048,Tyler Dr
185,35.263632,-81.691844,Clearwater Rd
276,35.239645,-81.367482,Shelby Rd/N Roxford St
390,35.294438,-81.556408,Howie Dr/Kimberly Dr
917,35.291434,-81.541108,S Trade St/W Dale St
216,35.411480,-81.565384,Martin St/Brackett St
684,35.292210,-81.541925,N Morgan St
276,35.272737,-81.623521,Valerie Dr
185,35.295606,-81.553788,Westover Ter/Clinton St
390,35.225546,-81.334571,Holiday Inn Dr
362,35.292414,-81.488955,Elizabeth Ave/Wolfe Rd
246,35.229361,-81.375338,Phifer Rd
160,35.299457,-81.548365,Sunset Cemetery Rd/Boxwood/Dogwood Dr
216,35.283096,-81.525304,Kings Rd/Churchill Dr
160,35.310872,-81.619932,Plato Lee Rd/Degraw Dr
160,35.240667,-81.367405,Sherwood Ln/N Roxford St/N Roxford Rd
216,35.293169,-81.509622,Timberland Dr
216,35.245958,-81.350795,W Parker St/N Watterson St
1020,35.240841,-81.333086,York Rd/E King St
160,35.268374,-81.646262,Silver Creek Ln
472,35.234434,-81.666134,Holly Hill Rd
185,35.193336,-81.533237,Blacksburg Rd/2nd St
185,35.280165,-81.355480,County Line Rd
216,35.247113,-81.368012,Wales Rd/Garrison Dr
160,35.342668,-81.534349,Damon Dr
185,35.254830,-81.589440,College Ave
216,35.234558,-81.456437,Barrett Rd
246,35.328728,-81.510312,New Prospect Church Rd/Fallston Rd/Botts Rd
160,35.317369,-81.524428,McBrayer-springs Rd/Ross Grove Rd E
185,35.265486,-81.563826,James Love School Rd/McFarland Dr
160,35.253143,-81.678729,Haven Ln
185,35.227550,-81.522845,/S Post Rd
185,35.235765,-81.674851,Clyde Wallace Rd/College Farm Rd
246,35.263662,-81.532200,Hardy St/South Ave
472,35.318568,-81.464289,Glen View Dr
185,35.178009,-81.413984,/Battleground Rd
160,35.210810,-81.389489,Saddlebrook Ct
362,35.272566,-81.505153,County Home Rd
160,35.230063,-81.575950,Emerald Mine Rd/First Broad Rd
579,35.282586,-81.540896,S Lafayette St/Gidney St
160,35.266473,-81.343066,N Piedmont Ave/N Cansler St
160,35.270074,-81.527541,Foxcroft Cir/Eaves Rd
185,35.356369,-81.524172,/McBrayer-springs Rd
160,35.335658,-81.527377,Old Philbeck Rd
160,35.428500,-81.631951,Brent Dr
160,35.313377,-81.521874,Fallston Rd/Life Enrichment Blvd/Monford St
160,35.284291,-81.551957,Northern St/W Elm St
160,35.263357,-81.562615,Edward St/Holly Hill Rd
216,35.292270,-81.666783,Callahan Ct
418,35.238687,-81.653450,Highland Pine Dr/Patrick Ave
160,35.471019,-81.632481,Casar Rd/Nature Ln
334,35.240948,-81.511554,S Post Rd
185,35.233790,-81.397861,el Bethel Rd/Yarbro Rd
472,35.238137,-81.354999,S Sims St/W Gold St
160,35.246086,-81.343996,Waters St/Morris St
246,35.274742,-81.558523,Webber St/S Hampton St
160,35.357975,-81.422982,Carpenter Rd/S Main St
276,35.237385,-81.385233,Country Creek Dr/Butternut Dr
160,35.364550,-81.576236,Double Shoals Rd/W Double Shoals Rd
160,35.309129,-81.619477,Artee Rd/Plato Lee Rd
305,35.229330,-81.522242,Circle Dr/Hawthorne Ln
160,35.254111,-81.336726,Cranford Dr/Fairview St
185,35.242272,-81.350877,N Watterson St
160,35.475988,-81.511157,Fallston Rd
160,35.213177,-81.531982,Royal Dr/Rosemont Dr
246,35.283837,-81.545729,Legrand St
246,35.320442,-81.538173,Chagrin Farm Rd/N Lafayette St
185,35.287071,-81.356247,County Line Rd
160,35.194790,-81.370997,Planters Ln
160,35.306521,-81.539721,N Morgan St/Scottsdale Dr
276,35.249087,-81.549717,Cedarwood Dr/Greenoak Dr
185,35.357039,-81.437867,Cherryville Rd
276,35.296212,-81.528680,Porter St/Black St
160,35.177053,-81.454130,Cleveland Ave/Keeter St
185,35.245960,-81.350362,Campbell Cir/W Parker St
160,35.240867,-81.595982,Ocean Dr
1433,35.251044,-81.668573,Memorial Dr
160,35.356490,-81.618235,Vernon Rd/Petty Rd
418,35.252053,-81.336199,4th St/Linwood Rd
160,35.208287,-81.389013,Quincy St/Edel St
160,35.246080,-81.540673,Christopher Rd/S Morgan St
185,35.279215,-81.565823,Branton Dr/Lackey St
185,35.247317,-81.345248,N City St/Waco Rd
216,35.294578,-81.491644,Mauney Ln/Falcon Cir
499,35.294396,-81.540061,Marietta St/N Lafayette St
390,35.283408,-81.535272,Deerfield Dr/Horseshoe Dr
246,35.240690,-81.360858,Sharon Dr
305,35.237138,-81.390997,Morris Rd/Shelby Rd
185,35.289237,-81.563358,Melody Ln/W Dixon Blvd
160,35.303948,-81.441597,Zeb Cline Rd/Farmington Rd
160,35.287743,-81.461450,Van Aiken Cir
246,35.220832,-81.389249,Robinson Rd/Crocker Rd
526,35.280969,-81.538332,E Elm St/Parkview St
160,35.259239,-81.515369,Gilbert St
160,35.295252,-81.489529,Fields Dr/Falcon Cir
1772,35.275539,-81.538407,Library St/Academy St
418,35.291168,-81.552596,W Warren St/Whisnant St
216,35.250762,-81.340496,N Piedmont Ave/US Hwy 74 Byp
185,35.243028,-81.533743,Hide-A-Way Hill/Poplar Dr
185,35.199726,-81.537870,Austell Graham Rd/Candy Dr
305,35.240745,-81.360119,Sharon Dr
185,35.256244,-81.555791,Willis Dr
185,35.297544,-81.695700,E Main St/Chapel Dr
762,35.292656,-81.539507,N Dale St/Campbell St
968,35.282892,-81.555310,W Dixon Blvd/Gold St
160,35.180684,-81.539817,Laren Rd/Schweppe Dr
160,35.251518,-81.561953,Forest Dr
305,35.273219,-81.547294,Plaster Ave/S Lafayette St
185,35.251659,-81.416394,Bethware Acres Ln
276,35.231080,-81.323626,Woodlake Pkwy
160,35.225650,-81.366701,Somerset Dr/Southwood Dr
216,35.354577,-81.613961,Quail Run Dr/Kingston Rd
334,35.261970,-81.667534,Oliver Ave/N Main St
305,35.276273,-81.603546,Old Boiling Springs Rd/Pebble Creek Dr
276,35.267982,-81.647555,Eagle Spur Trl/Skinner Rd
185,35.247260,-81.532602,Poplar Dr/Lee Dr
246,35.224609,-81.608249,Red Rd/Riverhill Dr
276,35.243012,-81.402535,Shelby Rd
160,35.190565,-81.466004,Advent Dr/Enochs Trl
185,35.302513,-81.704500,W Main St/W Dixon Blvd
185,35.255518,-81.486191,/Lake View Dr
160,35.301014,-81.544262,W Grover St/Lee St
185,35.273988,-81.597579,Crestfield Ct/Poplar Springs Church Rd
216,35.307461,-81.521827,Hardin Dr
160,35.307101,-81.596808,Crosby Dr/Dennis Dr
418,35.282272,-81.528655,Fremont St
276,35.239536,-81.652047,Brookview Dr/Patrick Ave
246,35.249415,-81.620343,College Ave
160,35.279549,-81.508552,Deborah Cir/David Dr
472,35.180157,-81.413150,I- 85
472,35.263674,-81.667547,N Main St
788,35.300177,-81.530118,Frederick St/Buffalo St
334,35.283467,-81.563344,Wesson Rd/Stroud Rd
160,35.300196,-81.549214,Cora St/Laurel Dr
246,35.291654,-81.524966,Belvedere Ave/Elizabeth Rd/Crescent Ave
185,35.284405,-81.497151,Three Lakes Rd
418,35.295474,-81.616005,Plato Lee Rd
246,35.268716,-81.560646,Surry Dr
185,35.251058,-81.640618,Point Xing/Riverchase Dr
362,35.428415,-81.501475,Fallston Rd/E Stagecoach Trl/E Main St/N Main St
246,35.243582,-81.325047,Dixon Blvd E
160,35.230473,-81.360995,Wintergreen Ct/Hall Crossing Dr
160,35.317857,-81.426531,Stony Point Rd
216,35.274905,-81.541661,E Shannonhouse St/S Washington St
246,35.267405,-81.542549,S Dekalb St
246,35.289241,-81.527570,Beaumonde Ave/E Graham St
1355,35.251737,-81.666730,Hamrick Ave/N Main St
160,35.234779,-81.671497,Pineland Ave
185,35.273729,-81.561666,Dellinger Rd/Woodhill Dr/N Woodhill Dr
185,35.266748,-81.651228,Leanna Ct/Lindsey Lee Ln
472,35.230690,-81.355542,Hillside Dr/Oakland St
160,35.298987,-81.533004,Hudson St/Kennedy St
276,35.242312,-81.346781,N Cansler St
276,35.272626,-81.607576,Old Boiling Springs Rd/Crest Rd
334,35.297724,-81.535039,N Dekalb St
579,35.300047,-81.536669,Schenck St
185,35.311013,-81.527589,Frederick St
362,35.248915,-81.332558,Broad St
216,35.345610,-81.499666,Ashley Hill Acres Mhp/Arlee Dr
185,35.202946,-81.531878,Blacksburg Rd
216,35.291323,-81.523631,Adams St/Elizabeth Rd
160,35.535860,-81.571556,Casar Rd/Little Acres Dr
160,35.263882,-81.329478,2nd St
216,35.293330,-81.538687,E Sumter St/N Washington St
160,35.412183,-81.548986,Old Stage Coach Rd
684,35.278051,-81.541953,Pine St/Church St
185,35.253126,-81.523439,Eaves Rd/Sulphur Springs Rd
216,35.248149,-81.370529,Merrimont Ave
246,35.307700,-81.487517,N Post Rd
185,35.226697,-81.521846,Ellis Chapel Rd
276,35.303219,-81.531201,E Grover St/Logan St
216,35.275354,-81.351838,N Piedmont Ave
736,35.306350,-81.523376,Fallston Rd/Wyke Rd
160,35.341089,-81.511596,Eastway Dr/Springmont St
160,35.287815,-81.510826,Country Club Cir
185,35.298158,-81.538077,N Washington St
185,35.296759,-81.445151,Canterbury Dr/Canterbury Cir
160,35.357540,-81.620068,Lenox Dr
160,35.242534,-81.342350,E Ridge St/N Piedmont Ave
788,35.267084,-81.483346,E Dixon Blvd
216,35.362839,-81.507011,Fallston Rd
160,35.181907,-81.416227,Pearl Ct/Battleground Rd
185,35.224216,-81.333197,York Rd/Woodlake Pkwy
185,35.291180,-81.645677,/Bradley Rd
160,35.274266,-81.450817,New Camp Creek Church Rd
605,35.293401,-81.541000,W Sumter St/N Trade St
160,35.417576,-81.561628,Yelton St
276,35.231598,-81.515747,Cleveland Ave
216,35.286952,-81.639198,Webb Rd/Webb Farm Rd
305,35.243649,-81.324709,US Hwy 74 Byp
185,35.293121,-81.495543,Cleveland Ave
390,35.177476,-81.416062,I- 85
160,35.185178,-81.545841,Ritchie Dr
216,35.250910,-81.507238,Kenwall Village Dr
185,35.230654,-81.350215,S Battleground Ave/Quarry Rd
276,35.268233,-81.520982,Earl Rd/County Home Rd
185,35.282358,-81.542241,McDowell St
160,35.367422,-81.426991,Jess Hord Rd/Ward Rd
160,35.364418,-81.576710,Double Shoals Rd/Polkville Rd
185,35.205712,-81.491913,Yankee Dr/Cleveland Ave
