Estimated daily crossings,Latitude,Longitude,Name
185,35.458965,-83.020772,Doodle Lou Dr
185,35.479266,-82.989803,Lowell St/Auburn Rd/Burke St
160,35.552666,-82.813595,Holland Rd/
216,35.476165,-82.881441,Grandpas Trl/Max Thompson Rd
160,35.534639,-82.910004,Mulberry St/Spruce St
185,35.500778,-82.995649,Melinda Dr
160,35.509675,-83.063407,Oakridge Dr
185,35.492831,-82.859601,Laurel Park Cir/Treetop Dr
185,35.529803,-83.002513,Queens Farm Ln
762,35.504396,-82.991156,Russ Ave/Frazier St
216,35.517490,-83.089701,Soco Rd
216,35.514640,-83.105379,Windswept Dr/Stoney Ridge Loop
185,35.545272,-82.868887,/Haywood Ave
216,35.493499,-82.982621,Wall St
185,35.581132,-83.013073,Jonathan Creek Rd
160,35.536599,-82.794420,Asheville Hwy/Groundhog Rd
160,35.451804,-82.837935,Burnette Cove Rd
185,35.404727,-82.753768,Blue Ridge Pkwy
160,35.510311,-82.850348,Pisgah Dr/Gazebo Ct
160,35.543241,-82.829230,Lane St/Trammell Ave
216,35.539411,-82.827494,Flint St/Wright
216,35.556321,-82.808068,Lavonia Ln
160,35.537987,-82.818721,Nancy Dr
185,35.513723,-82.980957,Fairway Hills Dr/Lanes End Dr
160,35.646662,-82.889296,Bald Creek Rd
160,35.517298,-82.934227,Edgewood Dr
160,35.530992,-82.914442,Fairhaven St
160,35.544657,-82.953402,Mexico Dr/Crabtree Rd
246,35.498002,-82.985312,Russ Ave/Shackford St
160,35.534155,-82.855024,Trinidad Dr
160,35.547152,-82.809477,Richards Ridge
418,35.515218,-83.083924,Soco Rd/Wade Reece Way
185,35.575677,-83.015530,Joe Carver Rd/Jonathan Creek Rd
185,35.542495,-82.829733,Walnut St/Trammell Ave
246,35.501830,-82.990239,Orchard View Dr
185,35.543771,-82.830267,Through St/Lawrence St
160,35.538978,-82.976106,Rogers Cove Rd/Fulbright Rd
185,35.479254,-83.003097,Carolina Ave
185,35.549766,-82.939089,Hyder Mountain Rd/Sidney Ln
276,35.556101,-82.851258,I- 40/Champion Dr
160,35.528805,-83.064239,Filly Ln/Paso Fino Dr
160,35.579002,-82.970454,Tom Boyd Rd/Coleman Mountain Rd
160,35.484277,-82.981570,Calvary St/Hillside Rd
185,35.574121,-83.040381,Trout Cove Rd
160,35.525057,-83.051486,Pleasant Ridge Dr
160,35.518882,-83.058213,Rachels Cir/Moody Farm Rd/Maple Leaf Cir
185,35.501685,-82.853736,Sellars Pl
216,35.521887,-83.027985,Jonathan Creek Rd/Dellwood Rd
185,35.476116,-82.881079,Max Thompson Rd
216,35.517543,-82.828525,Pruett Dr/Meadowbrook Dr
160,35.561786,-82.953662,Riverview Dr/
276,35.475220,-82.999493,Brook St
160,35.544149,-82.817346,Mason Dr/Oakmont Dr
160,35.509994,-82.987288,Great Smoky Mountain Expy
160,35.534630,-82.924530,Morningside Dr
185,35.528523,-82.832057,Winfield Ave/Academy St
160,35.518118,-82.967406,Great Smoky Mountain Expy/US Hwy 19/Great Smoky Mountains Expy
160,35.494224,-82.865571,Piano Pl
216,35.532479,-82.918070,Morgan St
160,35.534773,-82.961347,/Brown Ridge Rd
736,35.489655,-82.987448,Wall St/East St
276,35.489252,-82.982659,East St/Belleview Rd
185,35.539289,-82.932494,Westbrook Cir/Hamlet Park Dr/Old Clyde Rd
160,35.488607,-82.861233,Kinsland Dr/Murray Rd
160,35.531218,-82.960593,Foxwood Dr/Crabtree Rd
185,35.576404,-83.014954,/Jonathan Creek Rd
160,35.521559,-83.024984,Indigo Dr
216,35.475107,-82.997184,S Main St
160,35.433990,-82.795854,/Chinquapin Rd
160,35.533308,-82.951745,Wayview Pl/Wild Cherry Dr
185,35.533073,-82.976991,Liberty Rd/Kilgore Rd
305,35.525263,-82.987514,Russ Ave
160,35.539935,-82.978092,Rogers Cove Rd/Haynes Holler Dr
160,35.531561,-82.964896,Daniel Ln/County Rd
418,35.464683,-83.008377,Hendrix St/Sawyer St
216,35.532758,-82.834281,Halyburton St
185,35.513055,-83.075905,Grace Ln
216,35.527110,-82.836159,Locust St/Holtzclaw St
216,35.510828,-83.010701,Inglewood Cove
185,35.537876,-83.028406,Clover Pl/Clearwater Dr
160,35.531908,-82.997230,Wenlock Way
418,35.482188,-83.007700,Elysinia Ave/Eagles Nest Rd/Sulphur Springs Rd
216,35.547133,-82.889343,Thickety Rd/Linda Ln
185,35.531643,-83.052239,Deer Creek Trl/Blackberry Ln
185,35.509210,-83.078958,Misty Mountain Dr
185,35.593651,-83.032575,Point of View Dr/Multiflora Way
160,35.497018,-82.983627,Cherry St/Maple St
246,35.522519,-83.028456,/Jonathan Creek Rd
160,35.477577,-82.969522,Talon Ct
160,35.520141,-83.017193,Angel Puppy Ln
216,35.531584,-82.837146,Maple St/Academy St
160,35.479142,-83.000338,Carolina Ave
390,35.533101,-82.911118,Main St
160,35.431808,-82.797109,Refuge Rd
276,35.521213,-83.030244,Gaddis Branch Rd
160,35.569724,-83.019847,Waterbrooke Dr
185,35.542634,-82.826343,Newfound St/Shirleys Ln
160,35.536642,-82.930813,Pinewood Ln
160,35.444419,-82.807767,Country Cottage Ln
160,35.516715,-83.031184,Sweetwater Ln/Gaddis Branch Rd
160,35.543794,-82.828893,Burnette St/Trammell Ave
472,35.523805,-82.836641,Poplar St/East St
185,35.604108,-83.006429,Jonathan Creek Rd
160,35.545097,-82.823272,Lene Way/Oakmont Dr
160,35.526338,-82.994068,Dellwood Rd
160,35.538576,-82.844636,/Fiberville Rd
216,35.531954,-82.849491,New Clyde Hwy
185,35.523857,-83.017759,Swanger Ln
160,35.542336,-82.904432,/Thompson Cove Rd
185,35.506161,-82.852685,Pisgah Dr/Lindsey Dr
185,35.544318,-82.904410,Thompson Cove Rd/Kinzee Dr
160,35.563132,-83.020205,Vacation Pt/Travelers Pt
160,35.568544,-82.948962,Ironwood Dr
276,35.516214,-83.091802,Leisure Ln/Connies Ct
185,35.483472,-82.982140,Pigeon St/Hillside Rd
185,35.527031,-82.838216,Valley St/Charles St
160,35.571882,-82.830608,Beaverdam Heights Dr
418,35.533001,-82.861126,Mingus Cove Rd
160,35.493002,-82.978107,Hamer Ave/Taylor Ave
216,35.526128,-82.961844,Access Rd/Lakeshore Dr
305,35.549548,-82.849794,Viper Dr
160,35.520035,-83.053426,Penny Ln
