Estimated daily crossings,Latitude,Longitude,Name
160,35.586853,-78.447965,Creekside Dr/Branch Ct
246,35.506515,-78.359137,Chestnut Dr/Cedarwood Dr
246,35.534097,-78.287766,W Watson St/S Massey St
160,35.550257,-78.665727,Morehead Dr/Bouge Cir
185,35.441492,-78.273792,Grabtown Rd/Bayberry Ln
160,35.545830,-78.576025,Wagner Rd/Katlyn Ct
305,35.568328,-78.167151,Bagley Rd/I- 95
472,35.573726,-78.154708,I- 95
160,35.366913,-78.366057,US Hwy 701 S/Stricklands Crossroads Rd
185,35.585129,-78.148209,Truckstop Rd
216,35.578820,-78.560401,Stephanie Pl
216,35.631383,-78.556399,US Hwy 70 Byp
185,35.293442,-78.457698,Cutoff Rd/State Hwy 96 S
185,35.520146,-78.362966,Pineview Cir/Skyland Dr
305,35.406249,-78.512762,Wilson Creek Dr
334,35.595666,-78.132239,/I- 95
305,35.576492,-78.547289,Paul Pl
160,35.648517,-78.441182,Quail Roost/Walden Way
362,35.532054,-78.354820,Daughtry St/Wilsons Mills Rd
160,35.514015,-78.258255,W Blanche St Exd/Catherine St/W Blanche St
160,35.634636,-78.477706,Eastwood Dr
216,35.637655,-78.404666,Edinburgh Pl
160,35.511585,-78.259357,Catherine St/US Hwy 70A
160,35.520892,-78.633543,Yesteryear Ct/Upland Ct/Ter Ridge
216,35.645615,-78.473244,Biltmore Dr/Cricket Hollow Run
160,35.631466,-78.236209,Bluegrass Rd
160,35.475530,-78.161710,Northside Dr/Old Rock Quarry Rd
216,35.503393,-78.336239,Fuller St/Smith St
160,35.437909,-78.187826,Progressive Church Rd
185,35.524627,-78.321404,Heather Ct
362,35.515642,-78.631509,Clarke Ct/Cabin Grove Ct
305,35.593172,-78.124931,S Railroad St/E Edgerton St
160,35.506507,-78.241052,E Crescent St/Legion Ln
246,35.628950,-78.566633,I- 40
160,35.378346,-78.555390,S Ryals St/W Mann St
185,35.591958,-78.352657,Fire Department Rd/Family Dr
305,35.521361,-78.306628,Ava Gardner Ave/N Brightleaf Blvd
160,35.574261,-78.335468,Forest Island Ave
160,35.654310,-78.404091,Great View Ct
160,35.538413,-78.636771,Pebblestone Ct
418,35.520975,-78.286695,/I- 95
246,35.493542,-78.360486,S 1st St/E Wilson St/W Wilson St
216,35.590110,-78.556396,Blair Dr/Devin Dr
276,35.591654,-78.568596,Southfort Dr
160,35.287951,-78.464494,Lee-Johnson Rd
160,35.589984,-78.340567,Lockwood Dr
445,35.652578,-78.385275,Sundew Ct/Winterberry St
160,35.665865,-78.375737,Harvest Moon Dr
160,35.637150,-78.480151,Glengariff Ln/Waterford Dr
418,35.637279,-78.441524,State Hwy 42
160,35.523689,-78.304886,Fieldale Dr
160,35.609004,-78.380440,Blackmon Farms Ln/Powhatan Rd
160,35.645350,-78.537335,Mather Ct
246,35.600012,-78.551374,Ashley Pl
160,35.748513,-78.258126,State Hwy 39/Fairhaven Dr
160,35.502481,-78.430179,County Home Rd
185,35.643652,-78.459719,S Smith St/
160,35.460068,-78.139706,Arrowhead Dr/Old Cornwallis Rd
246,35.604023,-78.597985,Benson Hwy/State Hwy 50 N
160,35.611898,-78.384477,Blackmon Farms Ln/Powhatan Rd
305,35.512150,-78.556228,I- 40
160,35.435558,-78.253624,Brogden Rd
216,35.560527,-78.543460,Rudy Dr/S Landing Dr
185,35.501189,-78.422650,/State Hwy 210
499,35.389203,-78.542384,Medical Dr/N Wall St
160,35.515504,-78.175971,Bizzell Grove Church Rd
185,35.594977,-78.532373,E Keri Dr/Partridge Berry Pl
160,35.464224,-78.492562,Gardner Rd/Elevation Rd/Saw Mill Dr
160,35.665488,-78.370678,Hill Row Ln
631,35.378801,-78.539245,Catherine St/N Honeycutt St
305,35.531257,-78.275209,E Anderson St
658,35.651809,-78.459407,S Church St/E 2nd St
246,35.645265,-78.471795,Sleepy Creek Dr/Meadow Run
160,35.554261,-78.219115,Pittman Rd
246,35.637417,-78.443954,US 70 Bus Hwy W
185,35.693512,-78.411482,Covered Bridge Rd
185,35.511604,-78.203700,Jump Rd
216,35.542141,-78.532377,/Raleigh Rd
246,35.579091,-78.586681,Fawn Hill Ct
216,35.476391,-78.225553,US Hwy 70 E
160,35.449450,-78.410069,Forest Hills Dr
160,35.527716,-78.580356,Brandy Ct
216,35.372669,-78.533454,State Hwy 50 S
216,35.637138,-78.415065,Glen Laurel Rd
185,35.642143,-78.473156,Sleepy Creek Dr/Meadow Run
216,35.674365,-78.342275,Montpelier Ln/Shelton Ct/Albemarle Dr
216,35.386074,-78.550540,N Farmer Dr/W Brooklyn St
160,35.510428,-78.337014,Caswell St/N 9th St
160,35.593800,-78.481191,Lee Rd
276,35.655188,-78.469268,Brook St/Charles St
276,35.605733,-78.484047,Vinson Ct/Barber Mill Rd
216,35.566568,-78.443819,Fountain Dr/Pursuit Ct
216,35.553102,-78.317227,W Oak St
418,35.646364,-78.460533,Hamby St/Fisher St
216,35.511481,-78.327563,Oak St
472,35.637755,-78.441073,State Hwy 42
160,35.391168,-78.530020,N Wall St
185,35.635327,-78.401632,Pinnacle Pt
246,35.397752,-78.556921,Boardwalk Ave/N Lincoln St
305,35.589833,-78.526409,Beech Trl
276,35.538736,-78.247831,/I- 95
160,35.779292,-78.248298,Earpsboro Rd
160,35.644258,-78.486903,Parkside Village Dr
160,35.591643,-78.448723,Valley Creek Dr
160,35.547126,-78.423537,Briarwood Ln
216,35.592808,-78.121006,N College Ave/E 3rd St
216,35.697574,-78.377977,Buffalo Rd
276,35.378103,-78.550707,E Brocklyn St/W Brocklyn St
160,35.463822,-78.152387,Doctor Donnie H Jones Jr Blvd E
160,35.734260,-78.333814,Lake Wendell Rd/Applewhite Rd
276,35.577731,-78.585907,Morning Mist Dr
160,35.425262,-78.473592,Olivers Grove Rd/US Hwy 301
246,35.629110,-78.437551,/Wildwood Dr
472,35.652721,-78.460555,W 2nd St/S Fayetteville St/E 2nd St
160,35.509989,-78.664271,Plainview Church Rd
185,35.259836,-78.450088,State Hwy 96 S
160,35.538526,-78.279758,N Webb St/E Richardson St
216,35.657075,-78.461496,N Robertson St/W Stallings St
305,35.467558,-78.159222,N Pine St/Doctor Donnie H Jones Jr Blvd W
216,35.494377,-78.346996,Martin St/Broadway St
185,35.443138,-78.429868,S Church St/W Woodall St
276,35.570462,-78.533717,Cleveland Rd/McLemore Rd
788,35.381871,-78.547830,W Lambert Dr
160,35.474581,-78.339136,Brogden Rd/Marshall Rd
160,35.664899,-78.372041,Dunley Cir
334,35.440007,-78.429019,Creekside Dr
160,35.636814,-78.527491,Umstead Dr/White Oak Ct
246,35.555473,-78.200397,/Micro Rd
362,35.610737,-78.565969,/I- 40
216,35.590306,-78.128430,Southwind Dr/S Alford Ave
160,35.521447,-78.282704,Absher Rd
185,35.487503,-78.384655,Taylor-Hampton Ln/Galilee Rd
160,35.645563,-78.349581,Southmead Dr
362,35.473731,-78.163012,US Hwy 70 E
160,35.447971,-78.436655,/Old School Rd
160,35.398040,-78.348091,/Devils Racetrack Rd
185,35.488765,-78.360666,S Brightleaf Blvd
160,35.299924,-78.426708,Reedy Prong Church Rd
160,35.524496,-78.605324,Everland Pkwy/Keystone Ct
216,35.408406,-78.227696,Grabtown Rd/Neuse Bend Rd
160,35.435819,-78.253926,/Brogden Rd
185,35.372716,-78.546317,Chicopee Rd
305,35.633774,-78.475438,Mitchell Ave
185,35.651226,-78.461572,Clay St
160,35.375935,-78.555472,McLamb Tart Rd
762,35.581764,-78.147293,Johnston Pkwy/Truckstop Rd
246,35.540772,-78.547575,White Water Ct
160,35.472139,-78.385911,Country Club Rd
185,35.527027,-78.148478,/Princeton Kenly Rd
305,35.541175,-78.253659,Lizzie Mill Rd/Lincoln St
160,35.532944,-78.372473,Maple Dr/S Roderick Dr
276,35.382103,-78.546982,E Church St/N Railroad St
185,35.313074,-78.403482,Calvary Rd/Godwin Lake Rd
185,35.304868,-78.503638,State Hwy 242 S
2596,35.605817,-78.566362,Glen Rd/Commerce Pkwy/State Hwy 42 W
185,35.381880,-78.537222,E Holmes St
160,35.513277,-78.250688,Jc Dr/W Blanche St
160,35.600981,-78.548457,Sherry Lynn Dr/Margaret Pl
246,35.590680,-78.599288,Johns Cir/State Hwy 50 N
160,35.643448,-78.488642,Pinecroft Dr
160,35.634198,-78.504471,Covey Ln
160,35.649258,-78.450988,Matthew Cir
658,35.520815,-78.324754,Henley Pl
216,35.469918,-78.157337,Mercer St/N Pine St
246,35.635400,-78.381060,Melville Ln/Kensington Ct
216,35.542110,-78.437648,Cleveland Rd/Acorn Ct
160,35.483703,-78.467612,Jewel Ln/Lassiter Rd
160,35.497739,-78.283602,Firetower Rd
185,35.537695,-78.275215,E Lizzie St/Johnson St
160,35.679992,-78.356370,Hillsdale Dr
579,35.537050,-78.543559,Creekstone Dr/Lazy Branch Dr
160,35.535190,-78.289748,W Watson St/S Smithfield St
276,35.640850,-78.493331,Amelia Church Rd/Gregory Dr
418,35.634859,-78.446400,Sunnyview Ln
160,35.579231,-78.452712,Hay Field Dr/Santa Gertrudis Dr
246,35.618350,-78.531242,Lisann Ct
839,35.378660,-78.540952,Fayetteville St/N Fayetteville St/E Church St
276,35.603894,-78.437931,US Hwy 70 Byp/Little Creek Church Rd
445,35.576739,-78.513315,Moonlight Dr/Josephine Rd
160,35.610453,-78.458540,US Hwy 70 Byp
160,35.519260,-78.356868,Campbell St/Hill St
160,35.534641,-78.624083,Lakeside Cir/Shadow Lakes Dr
216,35.655946,-78.510712,Keller Dr/Finley Ct
160,35.718425,-78.238774,Tanglewood Ln
185,35.653953,-78.356799,Jonas Cir/Watrus Dr
160,35.438264,-78.187913,Progressive Church Rd
216,35.644937,-78.491665,Amelia Church Rd
216,35.638958,-78.346368,Redbay Ln/Southwick Ave
276,35.496282,-78.354033,E Bingham St
160,35.387619,-78.563234,State Hwy 27 W/W Main St
160,35.633589,-78.474257,Christy Cir
334,35.567615,-78.339850,Wilsons Mills Rd Exd
160,35.526432,-78.282540,E Preston St
160,35.517285,-78.172228,Rockwell Ln/Rains Crossroads Rd
185,35.721841,-78.256445,State Hwy 39/Off Spring Ln
276,35.466023,-78.160457,W Edwards St/S Pine St
445,35.446029,-78.430207,E Sanders St/W Sanders St/N Main St
160,35.422813,-78.249475,Bonnie Ave
276,35.633802,-78.459460,Yorkshire Dr
