Estimated daily crossings,Latitude,Longitude,Name
185,35.003039,-77.225056,2nd St/Hines St
185,34.860611,-77.188933,Co Rd 1102/Pinetree Ln
160,34.806573,-77.132875,Fay R Meadows Ln/Hunter Creek Rd
362,35.213770,-77.444272,Whitley St
216,34.905295,-77.230086,5th St
276,35.063778,-77.358591,School Dr
160,35.064066,-77.344483,Nettie Ln/Harry Brown Ln
185,34.800698,-77.123384,Moses Ln
216,35.007329,-77.222894,Foy St/2nd St
216,35.062492,-77.354167,Lakeview Dr/Market St
216,34.897031,-77.231808,Main St
160,34.972388,-77.502664,Richlands Rd
160,35.067398,-77.590454,Vine Swamp Rd/Pleasant Hill Rd
160,35.011720,-77.218374,/US Hwy 17
160,34.912328,-77.239035,White Oak River Rd/Deerfield Trl
160,35.222457,-77.514096,Hood Farm Ln/Caswell Station Rd
185,35.221094,-77.462022,Burkett Rd/US Hwy 70
160,35.176075,-77.379055,US Hwy 70
160,35.120474,-77.516616,Pine Street Rd/Guinea Town Rd/State Rd 58
160,34.999418,-77.225695,Medical Ln
185,34.993350,-77.226620,/US Hwy 17
276,34.900505,-77.224184,8th St
185,35.069722,-77.408627,State Rd 41/Greentown Rd
445,34.908818,-77.232542,Jenkins Ave
160,34.956991,-77.241863,US Hwy 17/Louvnia Ln
160,35.006477,-77.508452,/Woodrow Battle Ln
185,34.860979,-77.188636,Co Rd 1102/State Rd 58
160,35.006113,-77.281034,State Rd 58
246,35.065783,-77.360089,W Jones St/Jones St
246,35.065105,-77.351267,N Weber St
246,35.003948,-77.226400,Oliver St
185,35.006091,-77.222165,1st St
216,34.906529,-77.230134,4th St
246,34.910549,-77.226809,1st St/Maple Ave
216,35.063536,-77.196661,Trent Farm Rd/US Hwy 17
160,34.979520,-77.185559,Mill Creek Rd
160,35.092004,-77.330986,Brimmage Rd
160,35.088442,-77.454393,State Rd 58
276,35.003627,-77.221924,Trent St
185,34.905309,-77.229899,5th St/Mattocks Ave
160,35.050311,-77.638272,/US Hwy 258
185,35.078582,-77.401257,State Rd 41/Middle Rd/State Rd 58
216,35.049599,-77.250390,/Claude Banks Rd
390,35.066209,-77.361332,W Jones St/Kasten Ln
160,34.893594,-77.232672,Ocean Hwy
246,34.999800,-77.215087,York Ave/Green St/Green Ln
216,34.902845,-77.228490,7th St/Bynum Ave
160,35.032578,-77.119194,Island Creek Rd
185,35.005351,-77.219531,Hudson St/White St
185,35.018770,-77.301551,Olivers Crossroads/Oak Grove Rd/State Rd 58
160,35.048257,-77.451281,State Rd 41/Country Ln
185,35.006029,-77.613949,State Rd 41/Peggy Ln
216,34.897654,-77.221021,/Emanuel Ln/8th St
216,35.065723,-77.359911,W Jones St/Jones St/Monk St
276,34.899610,-77.224165,Ninth St
160,34.809349,-77.135512,State Rd 58
160,34.906639,-77.228797,4th St/Bynum Ave
160,34.862663,-77.189947,Sly Fox Ln/State Rd 58
160,35.033966,-77.246194,Oak Grove Rd
185,35.019342,-77.215875,Butler St/US Hwy 17/Sermon Ln
185,34.828705,-77.157844,State Rd 58
160,35.094352,-77.472798,State Rd 58
216,34.927130,-77.236770,Homestead Ln
246,34.910103,-77.232480,1st St/Jenkins Ave
160,35.003773,-77.495709,/Richlands Rd
246,34.910206,-77.230340,1st St/Mattocks Ave
160,35.034041,-77.326574,State Rd 58
362,34.907794,-77.230165,3rd St/Mattocks Ave
160,34.995940,-77.640156,US Hwy 258
160,35.154799,-77.339215,US Hwy 70
276,35.086994,-77.345714,Charity Ln/State Rd 41
160,35.038159,-77.280041,Country Club Rd
185,34.802583,-77.114840,Great Lake Rd
334,34.907890,-77.228902,3rd St/Bynum Ave
305,34.906477,-77.231385,4th St/Main St
216,34.872751,-77.197662,/State Rd 58
185,35.058911,-77.481348,Plantation Rd
160,35.022719,-77.214691,/US Hwy 17
160,34.998398,-77.231317,Johnson Trl/Johnson Ln
160,35.067070,-77.396221,Garys Ln/Greentown Rd
160,35.008675,-77.562570,State Rd 41
160,35.005823,-77.508263,Woodrow Battle Ln/State Rd 41/Railroad St
334,34.909344,-77.225986,Dudley Ln/Oak Ave
160,34.977338,-77.235382,/US Hwy 17
160,35.040616,-77.328912,Andrews Rd/
216,34.910673,-77.225652,1st St/Oak St
362,34.998899,-77.229632,Gardner Ln/State Rd 58
160,35.241022,-77.525318,Stanford Ave
160,35.027027,-77.135716,Island Creek Forest Walk/Island Creek Rd
160,34.905545,-77.226353,5th St/Maple Ave
160,35.007842,-77.217833,Barris St
160,35.222515,-77.470021,/US Hwy 70
160,35.140604,-77.496241,Middle Rd
185,35.072201,-77.119363,Rock Creek Dr
160,35.164563,-77.513110,Cobb Rd/Karen Dr
160,35.083342,-77.358642,Hickory River Ln
246,35.037774,-77.210082,Harriett Ln/US Hwy 17
246,35.063571,-77.358484,School Dr
216,35.217964,-77.505674,US Hwy 70
276,35.064394,-77.351609,Trent St/Weber St
185,35.063311,-77.197384,US Hwy 17/Shady Ln
246,35.066678,-77.362702,Magnolia Ln/State Rd 41
160,35.062641,-77.350717,Jones St/Lower St
362,34.912241,-77.231946,Main St
160,35.029669,-77.212243,Old Hwy 17/US Hwy 17/Minnie Ln
246,35.017323,-77.216534,US Hwy 17/Wynewood Ln
160,35.058642,-77.432615,State Rd 41
160,35.078702,-77.409072,/Hwy 58 N/State Rd 58
390,35.063596,-77.353615,Market St/Jones St
246,34.999411,-77.216076,Frank St/Hagar Ave
334,34.906473,-77.232644,4th St/Jenkins Ave
185,34.902999,-77.226118,7th St/Maple Ave
216,34.943649,-77.239664,/US Hwy 17
160,35.059947,-77.355337,Market St
216,34.911466,-77.232523,B St/Jenkins Ave
813,34.901406,-77.231608,Main St/8th St
160,34.999557,-77.266200,State Rd 58
216,35.039310,-77.209701,/US Hwy 17
160,35.066692,-77.358912,Pollock St
160,35.009127,-77.223107,3rd St
216,35.032075,-77.315051,Spann Rd/Henry Hill Ln
185,35.225977,-77.477658,Roy White Rd/Tilghman Rd
246,34.909242,-77.227850,Foy Ave/2nd St
185,35.022035,-77.214937,/US Hwy 17
160,35.035025,-77.280302,Country Club Rd
276,35.065081,-77.361795,Colonial St/Murrell Ln/Monk St
216,35.036447,-77.210537,US Hwy 17/Addie Ruth Ln
246,34.904143,-77.228608,6th St/Bynum Ave
185,35.226096,-77.477644,Tilghman Rd
185,34.905262,-77.233866,5th St/Hadnot Ave
160,35.066392,-77.194687,Deep Gully Ln
160,35.150154,-77.508650,Adams Dr/Cobb Rd
216,35.065041,-77.362329,Murrell Ln
160,35.040345,-77.349523,Wooten Rd/State Rd 58
276,34.901205,-77.232865,Jenkins Ave
216,35.138362,-77.532779,Colemans Fast Ln
160,35.100260,-77.488591,State Rd 58
334,35.023868,-77.306261,A L Banks Ln/State Rd 58
334,34.903949,-77.231500,6th St/Main St
305,34.993953,-77.226499,US Hwy 17
160,35.001060,-77.546901,State Rd 41/Houston Rd
160,35.042008,-77.638321,Currin Howard Rd/US Hwy 258
160,35.207286,-77.499022,Wyse Fork Rd
216,34.999303,-77.240530,State Rd 58
160,35.067441,-77.355203,King St
160,34.914772,-77.233521,/US Hwy 17
160,35.010288,-77.247251,Loftin Smith Ln
160,35.218449,-77.453549,US Hwy 70/Dover Rd
246,35.065017,-77.351309,N Weber St/Weber St
185,34.879979,-77.205873,/Catfish Lake Rd/State Rd 58
390,34.907787,-77.230309,3rd St
305,34.900303,-77.223898,Bell Ave/8th St/State Rd 58
445,35.006528,-77.220672,Foy St/Main St
160,35.022080,-77.304904,Trailer Court Ln/State Rd 58
185,34.988199,-77.279443,Cedar Ln/Pole Pocosin Rd
160,34.906615,-77.226467,Maple Ave
362,35.063897,-77.353469,/Market St
216,34.906578,-77.230016,4th St/Mattocks Ave
160,35.063204,-77.525146,Guinea Town Rd
362,35.023384,-77.305898,Davis Circle Ln/State Rd 58
216,35.004548,-77.221733,Main St/Green Hill St
160,35.011040,-77.230262,/Goshen Rd
185,35.046357,-77.208631,US Hwy 17
160,35.078326,-77.347940,State Rd 41/Toodle Ln
185,34.861398,-77.189016,Back Porch Ln/State Rd 58
160,35.069482,-77.406782,Greentown Rd
160,35.174521,-77.487928,Webb Farm Rd/Wyse Fork Rd
246,35.031742,-77.315970,Spann Rd/McDaniel Rd/State Rd 58
891,34.799264,-77.126979,Great Lake Rd/Hunter Creek Rd
246,35.063133,-77.352228,Jones St/Weber St
160,35.067834,-77.590008,Vine Swamp Rd
185,34.998926,-77.214381,Frank Ln
185,34.894218,-77.231495,Garment Ave
762,34.902699,-77.231540,Main St/7th St
160,34.897300,-77.221727,Emanuel Ln
160,35.008492,-77.231000,Goshen Way
160,35.005168,-77.507647,Frank Watson Rd
246,35.003708,-77.222207,Trent St/Main St
160,35.081187,-77.312735,John Mallard Ln
160,34.872592,-77.176652,Blueberry Farm Rd
185,34.897355,-77.220720,8th St
160,35.068289,-77.278591,Ten Mile Fork Rd
160,35.228234,-77.520821,British Rd
216,34.910392,-77.229135,1st St/Bynum Ave
185,35.006300,-77.501305,/State Rd 41
160,35.009034,-77.178402,/Island Creek Rd
185,34.911744,-77.230425,Mattocks Ave/Bynum Ave
160,35.012085,-77.240658,/Shade Trl
160,35.067654,-77.355060,King St
160,34.902637,-77.235158,/7th St/Laroque Ave
160,35.030104,-77.125493,Nguyen Ln/Island Creek Rd
185,35.010330,-77.218891,US Hwy 17/Main St
334,34.912982,-77.232317,A St/Main St
216,34.980477,-77.232513,US Hwy 17/Riggstown Rd
160,35.068046,-77.354850,3rd Ave/King St
185,34.999626,-77.216774,Frank St/Larry Ave
160,35.055889,-77.119538,E Ag Dr/W Est Ag Dr/Colonial Crossing Dr
390,35.066364,-77.361784,/W Jones St/State Rd 41
216,34.901594,-77.228386,Bynum Ave/8th St
390,35.023222,-77.306367,Davis Circle Ln
160,34.893744,-77.232596,Ocean Hwy
185,35.085553,-77.344445,Faith Ln
160,35.009121,-77.224875,4th St/Pollock/Goshen Rd
160,35.030611,-77.123418,Violet Ct/Island Creek Rd
160,35.078751,-77.419125,State Rd 58
160,34.862855,-77.190042,State Rd 58/Meadowlark Ln
160,35.086265,-77.345902,Hope Ln/State Rd 41
246,34.996389,-77.225612,Payton Ln/US Hwy 17
160,34.799788,-77.122449,Great Lake Rd/Guy Link Field Ln
160,35.052938,-77.188111,Skippers Rd/Mandys Ln/Skippers Ln
216,34.910469,-77.227960,1st St/Foy Ave
185,35.096754,-77.482150,Phillips Rd/State Rd 58
185,35.086407,-77.345865,Ward Ln/State Rd 41
185,35.066693,-77.365084,Iris Ln
246,35.014480,-77.217457,US Hwy 17/Hughes Farm Rd
160,35.065649,-77.350994,Landfill Rd
160,35.101529,-77.490910,State Rd 58
160,35.012680,-77.236292,Goshen Rd
160,35.034277,-77.243576,Magg Smith Rd/Oak Grove Rd
160,35.011391,-77.289661,Piney Grove Rd/State Rd 58
305,34.910131,-77.230459,1st St
160,35.066512,-77.350604,Old New Bern Rd/State Rd 41
185,35.008865,-77.217807,East St
185,34.802260,-77.119751,Samantha Ln
160,35.223193,-77.474677,US Hwy 70
160,35.033948,-77.280547,Country Club Rd
334,34.907970,-77.227736,3rd St/Foy Ave
305,34.999315,-77.228187,Spencer Ln
160,35.056193,-77.120697,W Est Ag Dr
160,35.076686,-77.307875,Furney Brock Rd/Ten Mile Fork Rd
160,34.898775,-77.222194,Longview Ln/8th St/State Rd 58
160,34.911804,-77.226938,Maple Ave
185,35.003479,-77.220335,Hudson St
334,34.904242,-77.226218,Maple Ave
160,34.906721,-77.227582,4th St
185,34.827076,-77.156098,State Rd 58
160,34.911899,-77.238430,White Oak River Rd
185,35.017644,-77.216426,US Hwy 17/Block St
160,35.215271,-77.508430,Wyse Fork Rd
160,35.090338,-77.344857,Howard Heights Ln/State Rd 41
276,35.007424,-77.220213,Main St/Pollock St
160,35.067158,-77.360817,Kasten Ln
160,35.003057,-77.203578,/Island Creek Rd
246,34.899971,-77.224875,Ninth St
160,35.034230,-77.328024,Spann Rd/McDaniel Rd/State Rd 58
216,35.064897,-77.361890,Monk St
216,35.085967,-77.344021,Hope Ln
216,35.007466,-77.283242,State Rd 58
185,35.064910,-77.192141,Trent Rd/Simmons Loop Rd/Mallard Cove Lndg/US Hwy 17
216,34.996372,-77.207902,Mill Creek Rd/
160,34.989682,-77.658876,/State Rd 41
185,35.037295,-77.299917,Heath Rd
160,34.943745,-77.328314,/White Oak River Rd
160,34.974058,-77.238229,US Hwy 17
185,35.214467,-77.443982,Whitley St
160,34.881837,-77.208001,State Rd 58
185,34.999124,-77.231134,Johnson Trl/State Rd 58
216,35.043699,-77.209023,US Hwy 17/Viper Ln
185,34.903940,-77.232744,6th St/Jenkins Ave
185,35.003469,-77.222341,Main St
160,35.034674,-77.331557,High School Ln/State Rd 58
246,34.905271,-77.230411,/Collins Aly/5th St
185,34.895741,-77.219111,8th St
160,34.899197,-77.221574,Longview Ln
160,35.098253,-77.342796,Ten Mile Fork Rd/State Rd 41/Wyse Fork Rd
160,34.903944,-77.233940,6th St/Hadnot Ave
216,34.999190,-77.224499,US Hwy 17/Medical Ln
276,34.899311,-77.231172,Pelletier Ln
216,35.065116,-77.362287,Murrell Ln
185,34.880877,-77.206901,Ray Dudley Ln/State Rd 58
418,35.066301,-77.361600,W Jones St
160,34.911784,-77.229263,Bynum Ave
160,35.237807,-77.508783,Woodview Ln
160,34.894514,-77.231313,Garment Ave
160,35.063008,-77.355674,Lakeview Dr/Cherry St
216,35.064197,-77.358461,School Dr
185,35.014349,-77.636703,US Hwy 258
276,34.898913,-77.232933,10th St/Jenkins Ave
160,35.065200,-77.362609,Murrell Ln
185,34.999635,-77.214515,Green Ln
160,34.939076,-77.270850,White Oak River Rd/Pole Pocosin Rd
362,35.023128,-77.305706,/State Rd 58
160,35.085846,-77.346010,Faith Ln/State Rd 41
160,35.043646,-77.638315,US Hwy 258
160,35.065653,-77.351011,State Rd 41
185,35.059602,-77.355584,Market St/State Rd 58
390,34.911773,-77.231753,B St/Main St
185,35.059633,-77.355557,Market St
185,34.899767,-77.224474,Ninth St/Bell Ave
246,35.002819,-77.225604,Hines St
160,35.137763,-77.529138,Savannahs Way/State Rd 58
390,35.065934,-77.360527,W Jones St/Pollock St
160,34.870288,-77.182445,Blueberry Farm Rd
160,35.005702,-77.637098,US Hwy 258
246,34.981178,-77.231851,US Hwy 17/Ravenwood Ln
246,35.009140,-77.219361,East St/Main St
246,35.064933,-77.351350,Weber St
246,35.109534,-77.519813,/Guinea Town Rd
160,35.000641,-77.233913,Morris Ln/Spencer Ln
185,35.068477,-77.367942,Industrial Park Dr/State Rd 41
185,34.905230,-77.232690,5th St/Jenkins Ave
185,35.045276,-77.208792,/US Hwy 17
160,35.243047,-77.526906,Caswell Station Rd
185,35.041756,-77.350314,State Rd 58
160,35.054489,-77.250237,Ten Mile Fork Rd
160,35.067295,-77.355296,Second St/King St
185,34.911783,-77.225706,Oak St
185,35.010145,-77.218966,Main St
160,35.031463,-77.561771,Hickory Hill Ridge Ln/Bruces Landing Ln
418,34.909312,-77.226691,2nd St/Oak Ave/Maple Ave
216,35.008418,-77.219711,Barris St/Main St
160,34.999348,-77.252941,State Rd 58
246,35.009799,-77.219105,Main St
160,35.052090,-77.214362,Ten Mile Fork Rd
216,35.065294,-77.351176,N Weber St/State Rd 41
185,35.036856,-77.343664,State Rd 58
160,35.073172,-77.352551,Henderson Ln/Henderson Rd
160,35.014600,-77.170099,/Island Creek Rd
185,35.008579,-77.223438,Pollock/3rd St/Pollock St
334,34.906604,-77.232639,4th St/White Oak River Rd/Jenkins Ave
160,35.067433,-77.355621,Second St
246,34.975148,-77.237295,US Hwy 17/Lees Chapel Rd
185,34.894070,-77.231603,Garment Ave
216,35.003278,-77.222448,US Hwy 17/Main St/Beaufort Rd
160,35.034063,-77.264472,Riverfront Dr/Simmons Bluff Ln
160,34.844044,-77.175694,State Rd 58
185,35.055919,-77.118213,E Ag Dr
160,35.064333,-77.360821,Monk St
160,35.108686,-77.520207,Guinea Town Rd
160,34.972129,-77.239277,/US Hwy 17
216,35.063905,-77.350221,Trent St/Lower St
185,34.953578,-77.242291,US Hwy 17
160,35.030383,-77.124316,Island Creek Rd
216,34.927132,-77.236686,Homestead Ln/US Hwy 17
276,34.998149,-77.224866,US Hwy 17/State Rd 58
362,34.911486,-77.231648,Main St
160,35.234188,-77.521133,Caswell Station Rd
276,34.901531,-77.229555,Mattocks Ave/8th St
216,34.799872,-77.124723,Great Lake Rd/Hill Rd
160,34.996883,-77.227385,/Payton Ln
216,34.885618,-77.211633,Donnie's Sawmill/8th St
185,35.069968,-77.372299,Hwy 58 N/State Rd 41/Greentown Rd
160,35.063750,-77.344349,Nettie Ln
185,35.079963,-77.431624,State Rd 58
160,34.896536,-77.231835,Main St/Byrd Ln
160,35.069408,-77.384126,Francks Field Rd/Greentown Rd
160,35.071555,-77.377534,State Rd 41
160,34.862404,-77.190520,Sly Fox Ln
160,35.044379,-77.208923,/US Hwy 17
185,35.085001,-77.346229,State Rd 41/Robert Ward Ln
216,34.879470,-77.205301,Freeman Ln/State Rd 58
185,34.999017,-77.230403,State Rd 58/Brown Ln
160,35.238005,-77.509096,Woodview Ln
246,35.065505,-77.359273,W Jones St/W Jones
160,35.012879,-77.635776,Jessie Jones Ln
305,34.994572,-77.226309,/US Hwy 17
160,34.984339,-77.277506,/Pole Pocosin Rd
246,35.064211,-77.194454,/US Hwy 17
160,34.976106,-77.235141,Linda Ln
185,34.901399,-77.232857,8th St/Jenkins Ave
160,35.070028,-77.407999,State Rd 41
185,34.898559,-77.221964,8th St
185,34.801011,-77.118405,Great Lake Rd/Samantha Ln
160,35.062680,-77.350836,Jones St
334,34.898254,-77.232946,Jenkins Ave
216,35.006847,-77.218758,Bell St/Hudson St
362,35.066177,-77.361238,Colonial St/W Jones St
390,34.904181,-77.227403,6th St/Foy Ave
185,35.045710,-77.351813,Francks Field Rd/State Rd 58
246,34.901442,-77.226006,Maple Ave
216,34.830772,-77.160371,Mamies Ln/State Rd 58
216,35.097151,-77.482896,State Rd 58
160,35.012369,-77.291279,State Rd 58
362,34.907738,-77.231335,3rd St/Main St
160,35.031651,-77.229682,Quaker Knoll Rd/Oak Grove Rd
185,35.006053,-77.223592,Pine Valley Dr/2nd St
185,35.056536,-77.205593,Ten Mile Fork Rd/US Hwy 17
160,34.801870,-77.131895,/State Rd 58
216,35.007941,-77.218202,Hudson St/Barris St
216,34.911241,-77.226886,Maple Ave
160,35.009814,-77.495732,Reggie Metts Ln
246,35.065421,-77.359029,/Jones St/W Jones
216,35.222654,-77.482644,/US Hwy 70
185,35.003225,-77.220413,Trent St
305,34.909068,-77.229001,Bynum Ave/2nd St
246,34.999206,-77.215336,Frank St/York Ave/Frank Ln
160,34.901545,-77.227152,Foy Ave/8th St
160,35.007693,-77.223914,Foy St/3rd St
160,35.000371,-77.234059,Morris Ln/Goshen Ln
160,35.034259,-77.243711,Scott Rd/Oak Grove Rd
246,34.901345,-77.226149,8th St
160,34.906640,-77.228776,4th St
160,35.030225,-77.124984,Nguyen Ln/Island Creek Rd
362,34.900166,-77.231254,Pelletier Ln/Ninth St
160,35.000009,-77.215814,Hagar Ave/Green St
160,35.069937,-77.288237,Ten Mile Fork Rd
160,35.216904,-77.450689,US Hwy 70
160,35.131553,-77.524715,/State Rd 58
185,35.064457,-77.361171,Monk St
305,35.031925,-77.333289,High School Ln
185,35.096596,-77.482515,Phillips Rd
160,35.065101,-77.358092,School Dr/Jones St
305,34.904794,-77.231458,Collins Aly/Main St
160,34.998818,-77.216327,Hagar Ave/Church Hill
160,35.058672,-77.432518,State Rd 41
160,35.138040,-77.528971,Middle Rd
160,35.205475,-77.496752,Wyse Fork Rd
216,35.057176,-77.357179,Mayfield Rd/State Rd 58
160,35.067430,-77.364885,State Rd 41
334,34.905219,-77.231440,5th St/Main St
160,34.950907,-77.242548,Paige Ln/US Hwy 17
160,34.896268,-77.219631,/8th St
216,34.902775,-77.229917,7th St
160,34.999049,-77.216962,Church Hill/Larry Ave
246,35.066059,-77.189022,Trent Rd
526,34.900155,-77.231671,Ninth St/Main St
216,35.023518,-77.214406,Big Papas Ln/US Hwy 17
160,34.852835,-77.181286,Co Rd 1102/State Rd 58
185,35.223423,-77.478635,US Hwy 70/Tilghman Rd
185,34.912722,-77.234677,Koonce St
160,35.070556,-77.349851,State Rd 41/Henderson Rd
276,35.218181,-77.511309,US Hwy 70/Caswell Station Rd/Wyse Fork Rd
160,35.066888,-77.590565,Pleasant Hill Rd
276,35.087618,-77.345556,State Rd 41
160,35.008594,-77.596945,State Rd 41
216,35.006954,-77.221791,Foy St/1st St
160,34.803456,-77.130328,/Hunter Creek Rd
160,35.078736,-77.419224,State Rd 58
160,35.083729,-77.346557,State Rd 41/Elzora Ward Ln
160,35.064220,-77.345040,Barber Rd/Harry Brown Ln
160,35.032810,-77.230557,Tillman Ln/Oak Grove Rd
216,34.998670,-77.215647,York Ave/Church Hill
185,35.012008,-77.218274,Trent Acres Dr/US Hwy 17
185,34.891258,-77.215112,Buck Ln/8th St/State Rd 58
160,35.097905,-77.484283,State Rd 58
160,35.164890,-77.513526,Cobb Rd
160,35.093978,-77.335379,Ten Mile Fork Rd
276,35.220777,-77.491500,Roy White Rd/US Hwy 70
160,35.015383,-77.636650,Jessie Jones Ln/US Hwy 258
160,34.906711,-77.227733,4th St
185,35.063559,-77.357773,Lakeview Dr
160,34.904182,-77.237302,6th St
160,34.892396,-77.215872,8th St/State Rd 58
185,34.902786,-77.229680,7th St/Mattocks Ave
445,34.908959,-77.225977,Dudley Ln
160,34.802415,-77.123383,Hill Rd
246,34.910247,-77.230330,1st St/Mattocks Ave
216,35.065184,-77.362200,Murrell Ln
160,35.067041,-77.355397,N King St/King St
160,34.871607,-77.196357,State Rd 58
216,35.064556,-77.361451,Monk St
160,35.137948,-77.529277,State Rd 58
160,34.913659,-77.232760,US Hwy 17/Main St
305,35.001574,-77.223396,US Hwy 17
185,35.034252,-77.265101,Riverfront Dr
246,34.849412,-77.179166,State Rd 58
160,34.902928,-77.227283,7th St/Foy Ave
160,35.021512,-77.636807,Wildlife Trl/US Hwy 258
160,35.018984,-77.215989,US Hwy 17/Jeffrey Ln
160,35.067396,-77.355518,Second St
185,35.137633,-77.529458,Savannahs Way
305,35.037231,-77.210274,US Hwy 17
305,35.007355,-77.220249,Bell St/Main St
160,35.001135,-77.273601,Davis Field Rd/State Rd 58
418,34.908040,-77.226584,3rd St/Maple Ave
160,35.086538,-77.343223,Charity Ln
334,34.910137,-77.231335,1st St/Main St
160,34.941484,-77.238675,/US Hwy 17
160,35.079738,-77.328290,/Old New Bern Rd
160,35.026247,-77.313543,Briar Patch Ln
160,35.174812,-77.487980,Silo Rd/Wyse Fork Rd
160,34.921003,-77.236334,Family Circle Ln
185,35.034015,-77.211167,US Hwy 17
160,35.035576,-77.338611,Curtis Rd/State Rd 58
160,35.040401,-77.328149,Andrews Rd
185,35.074412,-77.386705,Hwy 58 N/State Rd 41/Nobles Loop Rd
160,35.005853,-77.507932,State Rd 41
185,35.155128,-77.341169,US Hwy 70
185,34.800782,-77.124282,Moses Ln/Hill Rd
276,35.064113,-77.355136,Jones St/Cherry St
160,35.020003,-77.215724,Killis Murphy Rd/US Hwy 17
185,35.031105,-77.638117,Small Town Rd/US Hwy 258
160,35.242992,-77.526746,Caswell Station Rd/Owen Smith Dr
334,35.213500,-77.444488,US Hwy 70
185,34.846697,-77.177783,/State Rd 58
216,34.811671,-77.138290,State Rd 58
334,34.900172,-77.230914,Ninth St/Garment Ave
160,34.989140,-77.568130,/Huffman Town Rd
185,34.904074,-77.229787,Mattocks Ave
160,35.066913,-77.354516,Second St
185,35.044930,-77.208842,/US Hwy 17
185,35.042897,-77.350754,State Rd 58
246,34.906482,-77.233718,4th St/Hadnot Ave
216,34.880309,-77.186361,/Collins Mobile Home Park
216,35.066784,-77.363011,State Rd 41/Trenton St
160,35.008789,-77.190714,Island Creek Rd
160,35.053141,-77.597444,/Small Town Rd
334,34.909015,-77.230215,Mattocks Ave/2nd St
246,35.057254,-77.108915,Crump Farm Rd
160,35.019926,-77.475625,State Rd 41
160,35.243479,-77.527290,Caswell Station Rd
246,34.906495,-77.230443,4th St
160,34.872152,-77.177738,/Blueberry Farm Rd
160,35.052859,-77.445949,Chinquapin Chapel Rd/State Rd 41
160,35.138246,-77.529508,Middle Rd/State Rd 58
160,35.057259,-77.437100,State Rd 41
185,34.857828,-77.185778,State Rd 58
160,34.954335,-77.242193,Elizabeth Ln/US Hwy 17
