Estimated daily crossings,Latitude,Longitude,Name
160,34.771288,-79.476303,Fayetteville St/Greensboro St
160,34.805747,-79.538315,Malloy Ave
246,34.768185,-79.336019,Bryants Cir
305,34.765986,-79.453477,E Vance St/Hall St
160,34.757927,-79.469773,Hickory St/Maple St
305,34.802998,-79.537140,Ida Mill Rd
185,34.757545,-79.453111,Honey St/Kennedy St
185,34.751857,-79.351233,US Hwy 74 Byp
185,34.799239,-79.523518,Andrew Jackson Hwy
160,34.782090,-79.526995,Gibson Rd
160,34.851032,-79.618024,Andrew Jackson Hwy
216,34.790528,-79.508308,Andrew Jackson Hwy
185,34.776129,-79.464520,Everett St/W Cronly St
216,34.891162,-79.363334,Buie St
160,34.779359,-79.499828,US Hwy 74 Byp
160,34.770762,-79.485512,Shepherd Ave/Frederick Ave
334,34.762318,-79.465479,Elizabeth Dr
160,34.791171,-79.527316,Jamestown Dr
160,34.803075,-79.482824,Sneads Grove Rd
216,34.733426,-79.532496,Dove St
216,34.781299,-79.472374,McColl Rd/W Railroad St
160,34.765327,-79.571048,Gibson Rd/Parker Cir
185,34.697709,-79.446038,Pea Bridge Rd/
216,34.766998,-79.491272,S Turnpike Rd/US Hwy 74 Byp
246,34.787206,-79.503942,Andrew Jackson Hwy
216,34.761167,-79.379273,Charles Craft Ln
362,34.740880,-79.511084,Richardson Rd/Cypress Dr
334,34.769161,-79.466679,Atkinson St/West Blvd
160,34.769984,-79.450786,E Church St/Hall St
276,34.774221,-79.440147,Jackson St/Produce Market Rd
160,34.764943,-79.583202,Dunc Pate Rd/Gibson Rd
160,34.887291,-79.354025,Nazareth Church Rd
160,34.775106,-79.470819,McLean St/Lanoca Ave
917,34.753093,-79.478684,S Main St/Lauchwood Dr
185,34.780423,-79.531455,Bayfield Rd/Telford St
276,34.764890,-79.456629,Stewartsville Rd/Lincoln St
968,34.759938,-79.468857,Biggs St
216,34.884762,-79.367115,Marlboro St/2nd St
185,34.754697,-79.463570,US Hwy 74 Byp
472,34.740247,-79.506030,N Pine Villa Dr
276,34.784944,-79.462521,Cemetery Ave/Hillside Cemetery
276,34.758571,-79.453717,Cornelia St/Kennedy St
160,34.753412,-79.513701,Heritage Dr/X-Way Rd
605,34.809446,-79.548932,Malloy Ave
276,34.784810,-79.462396,Cemetery Ave/Hillside Cemetery
160,34.812196,-79.540776,Hardee Rd
418,34.740691,-79.362699,Marada Rd/Martin Luther King Jr Hwy
160,34.841805,-79.393490,McIntosh Rd/Blakley Rd
185,34.754434,-79.466517,US Hwy 74 Byp
216,34.771937,-79.482672,Forest Rd
160,34.685538,-79.483865,Crestline Rd/Mary Jane Ln
185,34.771636,-79.446893,Murphey/2nd St
160,34.764712,-79.485235,Rose Ct
160,34.724256,-79.515438,Holly Ln/Mistletoe Dr
605,34.762402,-79.459619,Sawdust Ln
160,34.774764,-79.459137,James St/E Cronly St/McKay St
216,34.884016,-79.354897,Gorham Cir/Crumptown Rd/Crumpton Rd
445,34.777771,-79.472104,Lanoca Ave/Fairly St
160,34.785171,-79.450791,Shady St
216,34.785638,-79.461366,Hillside Cemetery
216,34.741005,-79.363253,Martin Luther King Jr Hwy
334,34.805592,-79.542004,Andrew Jackson Hwy
