Estimated daily crossings,Latitude,Longitude,Name
160,35.282696,-82.720969,US Hwy 276
185,35.261980,-82.715307,Doty Dr
160,35.270569,-82.680377,New Hendersonville Hwy
160,35.325588,-82.651179,Woody's Rd/Asheville Hwy
185,35.226424,-82.733799,Turnpike Rd/Aspen Pl
160,35.084188,-83.013066,/Camp Buc Rd
185,35.215357,-82.756665,Cashiers Valley Rd
160,35.132323,-82.960085,Toxaway Pl
216,35.134219,-82.769412,Rainbow Lake Resort Rd
185,35.131229,-82.948135,Seminole Way/Homestead Rd
160,35.238560,-82.733620,Salem St/Whitmire St
362,35.242836,-82.725013,Asheville Hwy/Owen St
160,35.266618,-82.699242,Mountain View Ln/Davidson River Rd
160,35.266630,-82.629028,Dogwood Ln/Talley Rd
472,35.238646,-82.732874,Trust Ln/Creekside Dr
160,35.103001,-83.009536,Sunrise Ridge
216,35.257111,-82.709509,Medical Park Cir
160,35.289805,-82.687161,Asheville Hwy
160,35.220996,-82.732702,Maple St Exd
185,35.228366,-82.753095,Gold Fishbowl Trl/Keystone Camp Rd
160,35.241966,-82.738719,Resada Ln
390,35.242646,-82.725613,/Green Acre Ln
276,35.236971,-82.732948,W French Broad Ave/N Caldwell St/W French Broad St
160,35.268078,-82.711376,Hillside Hts/Asheville Hwy
160,35.256666,-82.701428,Carr Lumber Company Rd
246,35.241849,-82.749131,French Quarter Dr/Andante Ln
216,35.252016,-82.708804,Idlewood St/Cherry St
160,35.281696,-82.717333,/US Hwy 276
185,35.091969,-82.863463,/Wilds Ridge Rd/Fellowship Way
160,35.244921,-82.731239,Moose Lodge Rd/Mc Lean Rd/Fisher Rd
185,35.117568,-82.942900,Echo Springs Pt
160,35.267616,-82.712244,/Asheville Hwy
160,35.118906,-82.935283,Westridge Blvd
185,35.221496,-82.729925,Placid Dr/Gallimore Rd
160,35.286395,-82.689053,Poplar Rdg/Hudlin Gap Rd
216,35.232234,-82.735292,E Morgan St/S Broad St
160,35.131479,-82.960220,Toxaway Trce
185,35.228421,-82.753081,/Keystone Camp Rd
160,35.253002,-82.707405,Mtn Industrial Dr
276,35.249416,-82.721813,N Broad St/Asheville Hwy/Osborne Rd
246,35.242471,-82.731465,McLean Rd/Railroad Ave
472,35.086004,-82.870386,Wilds Ridge Rd
216,35.247416,-82.719666,Highland Rd/Rhododendron Dr
276,35.249473,-82.720233,Oakdale Rd/Oak Park Dr/Osborne Rd
631,35.238559,-82.731645,N Caldwell St/College Station Dr
246,35.231708,-82.734137,E Morgan St/Morgan St/Gaston St
418,35.242614,-82.725260,N Broad St
499,35.238229,-82.732284,Whitmire St
185,35.271045,-82.674216,Evergreen Cv/New Hendersonville Hwy
185,35.245363,-82.720580,Oakdale Rd
526,35.237503,-82.731277,/Brevard College Dr/N Broad St
160,35.272702,-82.700406,New Hendersonville Hwy
160,35.165527,-82.730554,Bantam Way/
160,35.076416,-82.777512,Sassafras Mtn Rd
160,35.236616,-82.611265,Crab Creek Rd/Nob Hill Ln
160,35.140807,-82.685004,Cardinal Rd/Suffolk Ln
216,35.237338,-82.739634,James St/W Probart St
246,35.234555,-82.725650,Franklin St/Robinson Ave
160,35.235447,-82.644119,Patterson Estate Rd
216,35.241141,-82.723032,Hillcrest Ave
160,35.327064,-82.649561,Ed McCall Rd
160,35.140970,-82.685491,Pheasant Run/Suffolk Ln
160,35.325202,-82.651132,Limousin Ln
160,35.158897,-82.810942,State Rd 1388
160,35.201857,-82.772584,Rosman Hwy/US Hwy 64
160,35.198619,-82.717990,Cheek Rd
216,35.224328,-82.740659,Rosman Hwy
185,35.215182,-82.756506,Cashiers Valley Rd
246,35.260407,-82.715582,Asheville Hwy
160,35.221633,-82.736347,Country Club Rd
305,35.247123,-82.722941,Jackson Ct
390,35.241960,-82.752813,/Andante Ln
160,35.144428,-82.822659,Church St/Eastatoe St
185,35.123611,-82.914587,Indian Creek Dr
160,35.265777,-82.712763,Ecusta Vw
160,35.076148,-82.777414,Sassafras Mtn Rd/Glady Fork Rd
160,35.116137,-82.825370,Vess G Dr
579,35.232963,-82.734807,Jordan St/S Broad St
160,35.212076,-82.753640,Koda Dr/Illahee Pt
160,35.131676,-82.682074,Oriole Rd/Grouse Ln
