Estimated daily crossings,Latitude,Longitude,Name
160,47.357436,-102.677086,4th St SW
160,47.516041,-102.265035,BIA Rte 22/State Hwy 8
160,47.306737,-102.206042,State Hwy 200/
160,47.407799,-102.332899,/State Hwy 8
185,47.374030,-102.754995,Mt View St//Central Ave NW
160,47.674926,-102.391507,/BIA Rd 13
160,47.516042,-102.264378,/BIA Rte 22
160,47.348401,-102.338565,/Selle Ave/5th St S
185,47.372036,-102.753205,High St NE/Carlos Dr
160,47.371430,-102.756407,3rd St NW/3rd St
216,47.370601,-102.755506,2nd St NW/2nd St SW
160,47.516067,-102.248837,BIA Rte 22
160,47.372030,-102.754164,Central Ave SE/High St NE/High St NW/Central Ave NW
160,47.350260,-102.625704,State Hwy 200
160,47.740687,-102.434820,BIA Rd 10
160,47.352078,-102.334497,/Railroad St
185,47.352414,-102.337555,Central Ave
185,47.357475,-102.747036,4th St SW
160,47.230983,-102.770631,State Hwy 22/Owens St/Manning Ave
160,47.313748,-102.757781,State Hwy 22/
160,47.357481,-102.726964,/4th St SW
160,47.230993,-102.769874,Mundy Ave/Owens St
246,47.364584,-102.758560,5th St SW
185,47.304474,-102.198861,A Ave/State Hwy 200 E
160,47.364913,-102.752500,State Hwy 22
160,47.349586,-102.620536,Central Ave S/State Hwy 200
185,47.304126,-102.197774,/State Hwy 200 E
160,46.995223,-102.863449,29th St SW
216,47.370318,-102.756072,2nd St SW/2nd Ave NW
160,47.160160,-102.778551,State Hwy 22/
185,47.371284,-102.747857,3rd Ave SE/
160,47.313720,-102.271655,State Hwy 200/81st Ave SW
246,47.374028,-102.755341,Mt View St/
185,47.363855,-102.758037,State Hwy 22/Adam Dr
160,47.135912,-102.774326,State Hwy 22/
216,47.009791,-102.799879,State Hwy 22/28th St SW
216,47.372038,-102.745235,High St NE/Railroad St SE
185,47.305331,-102.201558,Central Ave S/Hwy 200/Center Ave S
185,47.374364,-102.757535,Fettig St
246,47.367781,-102.749558,Central Ave SE
160,47.353001,-102.755239,/106V Ave SW
185,47.367411,-102.761391,Hill Top Dr
160,47.357451,-102.674404,4th St SW
160,47.545459,-102.840960,State Hwy 22
160,47.354942,-102.333054,/3rd Ave E
160,47.370126,-102.754023,1st St SW/1st St NW/1st Ave NW
216,47.368430,-102.761653,Haugen Dr/Brew St
160,47.342632,-102.354307,/Fifth St/Fifth St SW
160,47.306589,-102.205569,State Hwy 200/3rd Ave S/Hwy 200
160,47.343123,-102.596032,5th St SW/State Hwy 200
160,47.367998,-102.753575,Railroad St/2nd Ave SW
185,47.351491,-102.801242,109th Ave SW
185,47.183488,-102.778499,State Hwy 22/16th St SW
185,47.516284,-102.282988,/7th St NW/BIA Rte 22
160,47.400462,-102.332923,1st St SW/State Hwy 8
246,47.372027,-102.745998,/High St NE
160,47.364811,-102.737172,/103rd Ave SW
216,47.375039,-102.755362,Lincoln St NW/Lincoln St NE/Central Ave NW
160,47.740801,-102.433718,/BIA Rd 10
185,47.371529,-102.753669,Central Ave SE/2nd St SW
160,47.516037,-102.268834,/BIA Rte 22
160,47.516067,-102.248675,/BIA Rte 22
185,47.516309,-102.283361,7th St NW/BIA Rte 22
160,47.357118,-102.694884,/104th Ave SW
160,47.357581,-102.333043,State Hwy 8
185,47.352613,-102.622054,W Main St/1st Ave SW/1st Ave NW
160,47.516041,-102.275423,/7th St NW
185,47.332223,-102.831852,110th Ave SW
160,47.516052,-102.260362,/BIA Rte 22
160,47.740719,-102.433819,/BIA Rd 10
185,47.357497,-102.755938,4th St SW/106W Ave SW
160,47.348410,-102.339412,1st Ave W/5th St S
160,47.659843,-102.379479,/BIA Rd 12
160,47.357636,-103.013847,4th St SW
160,47.350393,-103.099130,McKenzie Co Line/State Hwy 200/
160,47.357556,-102.639634,4th St NW
185,47.304918,-102.197600,/Kemper St E
185,46.999617,-102.884448,Dickinson Ave
160,47.143019,-102.776250,State Hwy 22
160,47.304887,-102.201843,Central Ave S//Central Ave
185,47.366302,-102.755525,/4th Ave SW
185,47.354437,-102.337532,Main St/Central Ave
160,47.368181,-102.752854,Railroad St
185,47.424275,-102.503096,92nd Ave
276,47.369099,-102.751020,Central Ave SE/Railroad St/Railroad St SE
160,47.517775,-102.270102,Vigil
160,47.028028,-102.799893,/State Hwy 22
160,47.018798,-102.884434,/Dickinson Ave
276,47.371169,-102.746923,/Railroad St SE
160,47.371236,-102.754291,/2nd St NW/2nd St SW
160,47.415551,-102.652378,/Main St
160,47.357138,-102.339309,1st Ave W
160,47.304357,-102.205462,2nd St S/2nd Ave S/2nd St SW
185,47.742004,-102.436826,/Lonesome Dove Rd
334,47.371446,-102.746360,Railroad St SE
185,47.373437,-102.746937,Dakota St
185,47.326806,-102.770393,/6th St SW
160,47.357450,-102.694926,/4th St SW
160,47.364923,-102.751839,State Hwy 22
160,47.169117,-102.764006,/17th St SW
160,47.352109,-102.334564,/Railroad St
216,47.370030,-102.756667,/2nd St SW
160,47.352184,-102.338210,1st Ave W
160,47.052800,-102.260055,25 1/4 St SW
216,47.332866,-102.832615,110th Ave SW
160,47.038737,-102.799879,/State Hwy 22/26th St SW
160,47.375641,-102.755565,Central Ave NW
216,47.373993,-102.756708,Mt View St
185,47.082511,-102.595310,23rd St SW
185,47.363643,-102.759136,5th St SW
305,47.371337,-102.746582,/Railroad St SE
185,47.370288,-102.748629,2nd Ave SE/Railroad St SE
185,47.357478,-102.737238,4th St SW/103rd Ave SW/4a St SW/106th Ave SW
160,47.372010,-102.735937,3rd St SW
160,47.353336,-102.337549,Railroad St/Central Ave
160,47.354949,-102.337522,Central Ave
160,47.347604,-102.339794,1st Ave W
160,47.436286,-102.973053,Boyscout Camp Rd/Gap Rd
160,47.230676,-102.770634,/Manning Ave
216,47.371043,-102.753170,/Central Ave SE
160,47.286584,-102.757756,State Hwy 22
