Estimated daily crossings,Latitude,Longitude,Name
160,48.157062,-97.929508,2nd Ave/Main St
185,48.007218,-98.003011,/5th St
160,47.795728,-98.341000,State Hwy 15
216,47.826234,-98.440721,/Lee Ave
216,48.019947,-98.038853,US Hwy 2/
185,48.021049,-98.139418,114th Ave NE/42nd St NE
160,48.047017,-98.350022,5th St W
246,47.763587,-98.178041,/Mc Dougall Ave
276,47.904933,-97.925137,124th Ave NE
160,48.024439,-98.227816,US Hwy 2/Co Rd 22
160,48.041533,-98.345503,2nd St W/B Ave W
160,47.824440,-98.461558,/99th Ave NE
305,48.044536,-98.343430,Main St/E Ave W/E Ave E
185,47.767618,-98.176610,/Berwick Ave
276,47.791950,-98.326287,/Alstad Ave/2nd St
216,48.021023,-98.064796,/42nd St NE
185,48.010163,-97.998367,3rd St
160,47.933006,-98.261044,/36th St NE
276,48.010701,-97.999725,4th St/3rd Ave
160,48.035336,-98.350644,4th Ave SW
160,48.022103,-98.120467,James St/
276,47.680504,-97.991303,5th St N/Moon Ave
216,48.034141,-98.278575,US Hwy 2
160,47.759230,-98.183474,/24th St NE
246,48.020548,-98.129575,South St/42nd St NE
160,47.792861,-98.333195,105th Ave NE/Railroad Ave/State Hwy 15
160,47.722919,-97.989808,/121st Ave NE
185,47.758299,-98.182664,/112th Ave NE
160,47.904088,-98.053919,118th Ave NE/34th St NE
160,48.009163,-98.002075,5th St/5th Ave
276,48.020956,-98.129211,/South St
160,48.037749,-98.345181,/2nd Ave SW
160,47.788257,-98.236122,26th St NE
185,48.035367,-98.351559,/4th Ave SW
160,47.762492,-98.175819,Olsgard St/Railroad Ave
160,47.762819,-98.178054,Railroad Ave
160,48.044755,-98.346537,3rd St W/E Ave W
160,48.021313,-98.171841,US Hwy 2
160,47.678405,-97.988222,Thayer Ave/3rd St S
160,48.034920,-98.344774,/Main St
160,47.792911,-98.330618,Anne Ave
160,47.769606,-98.177271,/Main St/Golf Ave
216,48.019983,-98.118888,42nd St NE/Co Rd 35
185,48.042564,-98.345335,2nd St W/C Ave W
160,47.773750,-98.191969,/25th St NE
160,47.677366,-97.985134,Searns Ave/1st St
160,47.678414,-97.985124,Thayer Ave/1st St
160,48.035515,-98.327848,43rd St NE/
160,47.766613,-98.172833,N Lee St/Vail Ave
160,48.046483,-98.351866,G Ave W
216,48.021010,-98.121154,/South St/Jeannette Ave
185,48.035358,-98.338968,43rd St NE
160,48.042244,-98.340227,3rd St E/C Ave E
160,48.045798,-98.346370,3rd St W/F Ave W
160,47.791946,-98.327802,Alstad Ave/Main St
160,48.042289,-98.341439,/C Ave E
160,48.032890,-98.336006,6th St E//105th Ave NE
185,48.023328,-98.121223,/Jeannette Ave/Front St
246,48.009776,-98.000212,4th Ave
160,48.042493,-98.344563,/C Ave W
160,48.046455,-98.349387,5th St W/G Ave W
185,48.020785,-98.079543,/42nd St NE
160,47.826212,-98.443026,Helen St/Co Rd 24/Lee Ave
160,47.677544,-97.988215,/3rd St S
160,47.764596,-98.171326,S 5th St/E Felton Ave
160,48.035366,-98.344990,43rd St NE/Main St
160,47.768596,-98.180296,/N Hamlin St
160,47.687923,-97.989762,121st Ave NE
185,48.008152,-98.005956,7th St/41st St NE
160,47.904012,-98.139612,114th Ave NE/34th St NE
160,48.041206,-98.337465,B Ave E/5th St E
160,47.765610,-98.172822,Rogers Ave/N Lee St
160,48.042859,-98.338827,4th St E/D Ave E
185,48.010707,-98.004598,4th Ave/7th St
160,47.791952,-98.330747,Railroad Ave
160,48.020705,-98.044051,US Hwy 2//42nd St NE
160,47.766616,-98.176589,Vail Ave
276,47.765622,-98.178835,Rogers Ave/Baldwin St
185,48.021060,-98.144543,/42nd St NE
362,48.009438,-98.003377,6th St/5th Ave
445,48.010225,-98.002409,4th Ave
185,48.035633,-98.338999,4th St SE
