Estimated daily crossings,Latitude,Longitude,Name
160,40.635012,-81.906808,Co Hwy 192
160,40.616172,-81.822830,State Rte 241
246,40.545930,-81.759463,State Hwy 39
160,40.552651,-82.066296,Twp Hwy 252/Co Hwy 51
160,40.595323,-82.115785,Wooster St
305,40.532825,-81.917653,S Washington St
160,40.598884,-81.914010,/State Rte 83
185,40.633988,-82.212981,/State Hwy 39
472,40.561950,-81.795195,Martin St/E Miller Ave
216,40.658000,-82.123904,State Rte 226/Twp Rd 1055
160,40.518711,-81.693352,/State Hwy 39
418,40.596644,-82.113505,W Millersburg St/Millersburg St/Wooster St
160,40.629660,-82.020936,Co Hwy 318
216,40.609850,-81.708128,US Hwy 62
160,40.476972,-81.899159,State Rte 83/
160,40.564293,-81.795015,Picket Place Condominiums
185,40.569184,-81.784894,US Hwy 62/
185,40.507220,-81.923621,Co Hwy 150
160,40.551297,-81.753124,/Twp Hwy 401
246,40.552895,-81.842619,US Hwy 62
305,40.596322,-82.112491,Millersburg St
160,40.635100,-82.195294,Twp Hwy 463
216,40.596797,-82.115551,W Church Ln/Cemetery Rd
160,40.558235,-82.047223,/Twp Hwy 257
216,40.561011,-81.809999,/Rhine Rd
160,40.550415,-81.915367,S Crawford St/Douglas St
185,40.556233,-81.815729,Co Rte 626/Pvt Rd 382
160,40.631403,-82.021349,/Co Hwy 318
160,40.572151,-81.781413,Co Hwy 77/
305,40.545438,-81.917238,/S Washington St
160,40.517831,-81.709668,/State Hwy 39
305,40.554579,-81.927847,State Hwy 39/Twp Hwy 305
216,40.562662,-81.797236,Twp Hwy 1010/N Market St/Trl 1010
160,40.495029,-81.896836,State Rte 83
160,40.629852,-81.927686,Franklin St/W Main St
160,40.597355,-82.112690,/Castle St/Wooster St
445,40.559107,-81.919358,N Mad Anthony St
185,40.501587,-81.983972,/Water St
246,40.562387,-81.808187,Rhine Rd
160,40.573006,-81.847576,/Co Hwy 203
160,40.552928,-81.840759,/US Hwy 62
185,40.564118,-81.790160,US Hwy 62/
160,40.575890,-81.719596,/Co Hwy 168
216,40.491671,-81.985014,/Spring St
246,40.555375,-81.903926,/E Jackson St
246,40.561868,-81.806892,Rhine Rd
276,40.559996,-81.806261,W Main St
276,40.574078,-81.781351,Co Hwy 77/
185,40.508032,-81.909179,Twin Springs Mhp
160,40.572556,-81.781405,Co Hwy 77/US Hwy 62
160,40.542816,-82.018662,/State Rte 60
160,40.564247,-81.911388,Ledges Rd
