Estimated daily crossings,Latitude,Longitude,Name
185,36.808070,-100.517620,10th
160,36.662620,-100.828702,US Hwy 83
246,36.809100,-100.520860,Avenue E/Branch 9th
160,36.814030,-100.524810,Ave H/W 4th
160,36.817630,-100.531330,/Ave M
185,36.905280,-100.543320,Wichita Falls/
216,36.866320,-100.879340,/Edward
216,36.500910,-100.806830,/US Hwy 83
160,36.814010,-100.530000,Ave L/Branch 4th
160,36.909470,-100.539630,/N Indiana Ave
185,36.952090,-100.877120,Bonanza Dr
160,36.644500,-100.828710,/US Hwy 83
160,36.616050,-100.307450,Ns-151/US Hwy 270/Hollow N1510
160,36.811910,-100.530600,/Branch 6th
160,36.868460,-100.879390,/Williams
160,36.816110,-100.527430,Branch 2nd/Ave J
185,36.960590,-100.875040,Partridge Ln/Circle Dr
216,36.809100,-100.520240,Branch 9th
246,36.817200,-100.522930,/W 1st
185,36.956870,-100.880140,/Ponderosa Dr
160,36.955410,-100.873630,US Hwy 83
160,36.616390,-100.686190,Ns-130/US Hwy 412/Hollow N1300
276,36.815120,-100.519600,3rd St/Douglas Ave/E 3rd St
185,36.952090,-100.877660,Yucca Ln/Bonanza Dr
185,36.501360,-100.807070,/US Hwy 83
160,36.616210,-100.409468,US Hwy 270
160,36.987430,-100.283620,/Hollow E0015
160,36.906330,-100.537130,/Oklahoma
160,36.810170,-100.515140,/Branch 8th
185,36.816180,-100.516960,2nd Dr/Ave B/E 2nd St
185,36.806120,-100.519520,Douglas Ave
185,36.809110,-100.523560,Branch 9th/Ave G
305,36.993702,-100.885328,/Hollow E0010/US Hwy 83
276,36.863930,-100.880000,/Lee
160,36.815040,-100.531950,/Branch 3rd
160,36.616290,-100.829200,/US Hwy 412
216,36.810150,-100.519560,Branch 8th/Crescent Douglas
160,36.906910,-100.531506,US Hwy 64/Main St
185,36.813010,-100.523490,W 5th St/Branch 5th/Ave G
160,36.906340,-100.538400,/Ohio Ave/Ohio St/Budd's Aly
160,36.906300,-100.534460,Texas St
160,36.840787,-100.512550,US Hwy 270
276,36.993870,-100.885550,Hollow E0010/US Hwy 83
160,36.811210,-100.515160,/Drive 7th
160,36.868450,-100.880020,Williams/Lee
185,36.816540,-100.535770,Ave R
276,36.956890,-100.876882,Ponderosa Dr/Yucca Ln
160,36.807030,-100.519520,Douglas Ave
185,36.908480,-100.539620,/N Indiana Ave
185,36.816090,-100.531960,/Branch 2nd
160,36.818270,-100.520310,Main Dr/
160,36.714750,-100.828752,US Hwy 83
160,36.726420,-100.292830,/Hollow D0195
216,36.810930,-100.524820,W 7th St/Ave H
246,36.956890,-100.876330,Ponderosa Dr/Cactus Dr/Caltus Ln
160,36.813040,-100.518260,Ave C/Branch 5th/E 5th St
160,36.822765,-100.519506,US Hwy 270
160,36.500250,-100.805540,/Ew-35/Hollow E0350
160,36.645270,-100.529130,Ew-25/Hollow E0250
160,36.892360,-100.548950,Hollow E0080/Hollow N1370
160,36.814000,-100.531300,Ave M/Branch 4th
160,36.813000,-100.524790,W 5th/Branch 5th/Ave H
160,36.814000,-100.532590,Avenue N/Branch 4th
305,36.993488,-100.885070,US Hwy 83
160,36.848310,-100.115620,US Hwy 64/Hollow N1610
185,36.867380,-100.880580,/Hill
185,36.811210,-100.516280,/Calhoon Blvd/Drive 7th
390,36.815040,-100.528700,Branch 3rd/Ave K
185,36.956910,-100.873640,Ponderosa Dr/US Hwy 83
160,36.817140,-100.529370,Branch 1st
362,36.808070,-100.519530,E 10th St/Douglas Ave/Branch 10th
185,36.811960,-100.524150,/W 6th St
160,36.703280,-100.828760,Ew 21/US Hwy 83/Hollow E0210
246,36.816090,-100.529370,Branch 2nd
160,36.908950,-100.543350,N 2nd St/Wichita Falls St/Crescent Wichita Falls
160,36.812990,-100.525450,W 5th/
216,36.817200,-100.520280,/N 1st
185,36.906900,-100.535820,Broadway St/Broadway/Main St
160,36.870640,-100.512660,/US Hwy 270
160,36.990750,-100.881580,/US Hwy 83
160,36.816039,-100.536614,Branch 2nd
160,36.816575,-100.534539,Ave Q
160,36.819330,-100.864720,Ew 13/Hollow E0130/US Hwy 83
185,36.867450,-100.873460,US Hwy 64/Hill
216,36.816150,-100.522240,2nd Dr/Ave F
160,36.952080,-100.878940,Bonaza/Cartwright Ln/Bonanza Dr
216,36.811210,-100.518260,Ave C/E 7th St/Calhoon Blvd
185,36.906900,-100.534470,Texas/Texas St/Main St
160,36.809120,-100.516280,Branch 9th
160,36.865290,-100.882290,Elvira St/Cardinal St
160,36.867440,-100.875290,/Hill
246,36.907420,-100.542100,/N Mississippi Ave
160,36.905820,-100.540870,Mississippi St/S 1st
185,36.500240,-100.806860,/Ew-35/Hollow E0350
160,36.975460,-100.873630,/US Hwy 83
160,36.608470,-100.828570,/US Hwy 83
160,36.906850,-100.675400,US Hwy 64/Hollow N1300
160,36.863890,-100.512640,US Hwy 270
216,36.866330,-100.880610,/Edward
160,36.905340,-100.512750,/US Hwy 270
160,36.813980,-100.535760,/Ave R/Branch 4th
160,36.616240,-100.426290,/US Hwy 270
160,36.816150,-100.520950,2nd Dr/Avenue E
216,36.578910,-100.684690,/Ns-130/Balko Rd
160,36.818180,-100.531340,W Main/Ave M/Branch Main
