Estimated daily crossings,Latitude,Longitude,Name
334,35.105314,-98.601176,E Main St
216,35.307265,-98.338000,S Third St
160,35.048266,-98.321547,Cs 2620/
605,35.074843,-98.219228,/Towho St/Independence St
246,35.551560,-98.573361,7th St/Peck Ave
445,35.073730,-98.237129,SE 5th St/SE Oklahoma
160,35.196908,-98.495420,/Barney Ave
185,35.019674,-98.225288,Cr 1376
276,35.066574,-98.252949,W Texas Ave/S W 7th St
472,35.064655,-98.255810,Mission Dr
185,35.551577,-98.577073,7th St/N Broadway Ave
362,35.103312,-98.600341,/S Washita St
305,35.072263,-98.227161,E Central Blvd/Wells Dr
216,35.106280,-98.598829,/N Caddo St
160,35.536877,-98.582535,/Old US Hwy 66
216,35.478456,-98.351825,Skyview Dr/N Stanley Ave
160,35.068436,-98.245290,W Alabama Ave/SW 2nd St
216,35.068115,-98.239718,Gladys Dr
185,35.514146,-98.350555,/Broadway
216,35.076689,-98.243671,1st St/N 1st St
160,35.064533,-98.243959,W Mississippi St/S 1st St
185,35.106295,-98.248262,/US Hwy 281
246,35.359814,-98.367001,S Oak St/W Binger Ave
160,35.095460,-98.433438,Mopope St
216,35.475999,-98.351682,Stanley Ave/2nd St
334,35.101153,-98.442492,/7th St
160,34.898589,-98.351839,State Hwy 19
185,35.484885,-98.350690,Broadway/N Broadway/Industrial Dr
185,34.886996,-98.356785,Myers Rd
246,35.095790,-98.244294,US Hwy 281/Wichita Ln
160,35.457099,-98.359256,/US Hwy 281
216,34.901699,-98.205051,/Ohio
160,35.078352,-98.242033,E Washington St/NE 2nd St
160,35.479445,-98.352738,/Spruce
160,35.108320,-98.585732,N2470 Rd
160,35.189431,-98.254941,/Gracemont St
362,35.069439,-98.238705,SE 4th St/E Georgia Ave
160,35.550553,-98.575823,E 6th St/Brewer Ave
160,35.098618,-98.438090,Towakonie Ave
276,34.933553,-98.138968,/B Ave
276,35.529414,-98.424635,I- 40
185,35.069439,-98.240328,SE 3rd St/E Georgia Ave
445,35.057841,-98.250250,W Petree Rd/SW 5th St
390,35.100008,-98.437458,/3rd St
160,35.048609,-98.338364,US Hwy 62
216,35.526131,-98.319573,I- 40
160,35.203891,-98.260676,E1250 Rd
276,35.075570,-98.223296,Elmwood Ter/Redbud Dr
445,34.892351,-98.365672,S Coblake St/Floyd Ave/Coblake St
445,35.057818,-98.251978,/US Hwy 62
160,34.913101,-98.356735,US Hwy 62/E1450 Rd
185,34.894364,-98.359439,Evans Ave/Elm St
499,34.898652,-98.358952,US Hwy 62//Locust St
160,35.073160,-98.253509,/S W 7th St
160,35.551333,-98.370045,Lonewolf Ave
160,34.895442,-98.203441,4th St/Idaho Ave
160,35.511092,-98.347948,Horseman Rd/Horseman Ln
160,35.100950,-98.609116,/W Wildcat Dr
305,35.068040,-98.254456,/SW 8th St
160,35.465367,-98.517699,/N2510 Rd
246,35.106592,-98.607316,/N Delaware St
160,35.050780,-98.271887,Oliver Dr
160,34.884091,-98.336196,/E1470 Rd
246,35.310352,-98.344609,N Apache Ave
160,34.901687,-98.202216,N 3rd St/Ohio
185,34.893650,-98.369920,Cherry St
185,35.186386,-98.259369,3rd St/Hallock Ave
246,35.536907,-98.576188,/Old US Hwy 66
362,35.072242,-98.223679,/E Central Blvd
185,34.898588,-98.352523,/State Hwy 19
605,35.067443,-98.246933,SW 3rd St/W Louisiana Ave
276,35.308821,-98.331587,US Hwy 281
160,35.014938,-98.233733,Hwy 8
246,35.097009,-98.441289,/6th St
185,34.891226,-98.201957,US Hwy 277
216,35.097554,-98.438217,Main St
160,34.927504,-98.127362,US Hwy 277
