Estimated daily crossings,Latitude,Longitude,Name
246,35.461533,-97.736788,SW 3rd Ter/Out West Trl
246,35.644599,-97.727447,Mustang Rd NE/
246,35.406169,-97.677439,/SW 59th St
185,35.560741,-97.674046,N County Line Rd
418,35.499623,-97.744725,/S 1st St
390,35.391615,-97.684618,S Mitchell Ln/SW 74th St
216,35.501080,-97.716201,Morningside Dr/Dawn Dr
276,35.531842,-97.972442,S Country Club Rd
276,35.399859,-97.760067,N Clear Springs Rd
216,35.482675,-97.678063,Regatta Dr/Lakeside Dr
160,35.453493,-97.750859,SW 11th St/Ethan Ln
246,35.461644,-97.767134,Somers Point Blvd/SW 4th Ter/Somers Pointe Bl
334,35.501320,-97.937045,I- 40/US Hwy 81
246,35.629984,-97.803413,State Hwy 3/Pamela Dr
160,35.382260,-97.754388,Wild Rose Dr/Blue Haven Dr
246,35.480914,-97.671462,County Line Rd
160,35.535463,-97.981466,Park St//Townsend Dr
160,35.461382,-97.760259,/S Cemetery Rd
418,35.493383,-97.733731,/E Vandament Ave
160,35.350193,-97.724531,SW 118th St/S Mustang Rd
160,35.580207,-97.829268,/W Hefner Rd
276,35.535924,-97.952652,E Penn St/N Rock Island Ave
362,35.489201,-97.754801,Montreal Dr/Winnepeg Dr
418,35.388658,-97.714253,E Elder Ln
891,35.495943,-97.751416,Holly Ave/Kingston Pl
472,35.499429,-97.760244,Garth Brooks Blvd
334,35.456806,-97.731179,Harvest Dr/SW 8th St
246,35.497410,-97.770271,Chateau Ave/Churchill Rd
305,35.527076,-97.957267,Gresham Ave/W Cobb St
160,35.514775,-97.725298,Tesh Dr/Justin Dr
160,35.445187,-97.760269,/S Cemetery Rd
390,35.602039,-98.121118,Freehome Ave/State Champions St
160,35.539499,-97.960657,/W Arapaho St/N Ellison Ave
160,35.520078,-97.706268,Doe Run Dr
276,35.472294,-97.724719,N Mustang Rd/NW 5th St
246,35.509314,-97.963268,S Reno Ave/SW 26th St
185,35.513140,-97.688515,Stonebridge Ct
185,35.580097,-97.720403,W Hefner Rd/Ashford Dr
160,35.529608,-98.043734,/I- 40
246,35.508956,-97.755353,N 8th St/Cedar Ave
216,35.643105,-97.750159,Jackson Ave NW/4th St NW
305,35.526713,-97.958466,/S Wilson Ave
216,35.583019,-97.730682,NW 113th Cir
305,35.509734,-97.958049,S Dille Ave/SW 25th St
246,35.580619,-97.722876,NW 109th St
276,35.448677,-97.693006,Rutland Ter/Sudbury Rd
160,35.667696,-97.923005,192nd St NE
390,35.508009,-97.970206,/SW 27th St
526,35.506725,-97.724668,N Mustang Rd
390,35.450152,-97.692604,Mayer Dr/SW 15th Ter
246,35.406125,-97.695399,SW 59th St
246,35.493974,-97.716257,Canteberry Dr/Westminster Ln
246,35.496057,-97.755213,Kingston Pl/Kingston Dr
160,35.524947,-97.953763,S Bickford Ave/E Ash St
276,35.518029,-97.701988,NW 46th St/Deer Ridge Blvd
160,35.657522,-97.677198,Chisholm Ln
160,35.667617,-97.958755,192nd St NE
305,35.449041,-97.737865,Hayfield Dr
362,35.452726,-97.687411,Sunnybrook Ln/Blue Bonnet Pl
185,35.725008,-97.684165,Shasta/Sundance Dr
216,35.503212,-97.937038,US Hwy 81
185,35.510493,-97.738259,Owen Ave/N Ranchwood Blvd/Ellison St
305,35.491050,-97.754023,Queensboro Pl/Ottawa Pl
305,35.406218,-97.721963,SW 59th St
839,35.507878,-97.754671,S 8th St/W Main St
246,35.394953,-97.753417,Agate Way/N Amethyst Way
160,35.377161,-97.728401,SW 89th St
246,35.394113,-97.944718,N Plum Ave
160,35.380158,-97.708128,S Sara Rd
362,35.508504,-97.964250,Fedderson Dr/SW 26th Pl
160,35.609415,-97.691850,W Memorial Rd
160,35.517854,-97.937100,/S Shepard Ave
185,35.503700,-97.746929,Poplar Ave/S 3rd St
390,35.474466,-97.739810,NW 7th St/Azalea Pl
552,35.391664,-97.708999,N Maryella Ter/SW 74th St
216,35.499795,-97.742320,Utah Ave
390,35.394940,-97.733166,N Willow Branch Way/W Chantilly Way
185,35.685566,-97.816150,/Cimarron Rd NW
605,35.493383,-97.749816,/W Vandament Ave
216,35.570047,-97.678486,NW 99th St
185,35.529868,-97.975159,/Willow Creek Dr
216,35.507946,-97.870112,State Hwy 66
305,35.493389,-97.756238,Winnepeg Dr/W Vandament Ave
160,35.522407,-97.939884,SE Hertiage Dr/E Elm St
334,35.391619,-97.684191,SW 74th St
499,35.470567,-97.728880,I- 40
445,35.507346,-97.760229,/Garth Brooks Blvd
246,35.381188,-97.737967,S Silver Dr/W Carson Dr
160,35.386346,-97.717522,S Meadow Ln/E Hillcrest Ln
216,35.510424,-97.926017,Fort Reno Dr
185,35.466688,-97.744439,Bellgate Dr
390,35.391610,-97.687942,/SW 74th St
216,35.455648,-97.748446,SW 9th St
305,35.479514,-97.683530,Apricot Ct
185,35.501097,-97.943019,/I- 40
216,35.401647,-97.744136,N Kirk Way
160,35.662916,-97.691821,/Morgan Rd NE
185,35.428311,-97.682246,Chatfield Ct
216,35.529591,-97.966355,/W Watts St/S Mahan Ave
160,35.618746,-97.923407,/N Alfadale Rd
305,35.387090,-97.714978,E Greenwood Ln/S Castlerock Ln
160,35.684955,-97.936748,/State Hwy 3
185,35.503786,-97.937258,/US Hwy 81
185,35.652821,-97.754236,NW 178th St/Stout Dr NW
305,35.493398,-97.763262,/W Vandament Ave
246,35.326170,-97.724151,S Sara Rd
216,35.485617,-97.727899,Rock Run Mill
216,35.591244,-97.724399,Surrey Hills Blvd
362,35.491100,-97.737287,Greenway Ct/Greenway Ave
216,35.640629,-97.829273,State Hwy 3
276,35.394764,-97.736347,N Ponderosa Way/W Hunters Ct Way
418,35.552523,-97.674641,Heather Glen Dr
160,35.411790,-97.713611,Sherree Ave/Stewart Dr/Katie Cir
185,35.503547,-97.710801,NW 33rd Ter/Buckingham Pl
160,35.448003,-97.739151,Augusta Cir
658,35.507912,-97.941937,SE 27th St/
276,35.498056,-97.736385,Spruce Dr/E Cherry Ave
185,35.656568,-97.721292,/Mary Anna Rd
305,35.479852,-97.739431,Big Horn Canyon Rd/E Olympic Dr
216,35.651697,-97.856231,State Hwy 3
160,35.433764,-97.679990,Somersby Ln/SW 30th St
160,35.391748,-97.939075,/Division St/S Pine St
185,35.602044,-98.119449,State Champions St
160,35.437123,-97.842434,SW 27th St
160,35.632827,-97.809919,State Hwy 3/Honegger Rd
216,35.538696,-97.956052,N Evans Ave/W Cheyenne St
160,35.371715,-97.757749,SW 95th St
160,35.656905,-97.725208,/Stephanie Ln NE
160,35.537082,-98.025658,Sunset Dr
160,35.617752,-97.769646,Blackjack Dr/Linden St
185,35.443637,-97.745259,Sweetwater Dr
160,35.469927,-97.736122,Candy Lane Cir
276,35.650595,-97.713615,/Winding Creek
216,35.529574,-97.964057,S Keith Ave/W Watts St
276,35.503117,-97.976301,S Estate Dr
185,35.387989,-97.679072,/S Menger Ln/E Pleasantview Ln
276,35.610464,-97.743610,NW 137th St/Backtail Ct
334,35.492000,-97.725191,Legacy Blvd
185,35.393514,-97.760022,N Clear Springs Rd
216,35.656774,-97.745173,/Piedmont Rd N
185,35.401188,-97.719765,E Charlotte Ter/N Charlotte Ter
216,35.496815,-97.727986,Richmond St/Arlington Dr
762,35.520374,-97.957002,S Jensen Ave/W Ranson St
160,35.640192,-97.740981,Jefferson Ave NE
160,35.512198,-97.687216,N Overholser Dr
160,35.479023,-97.997716,S Mustang Field Rd
552,35.488903,-97.755753,/Montreal Dr/Summerton Pl
334,35.384162,-97.732458,/W Forster Dr
185,35.716452,-97.976587,US Hwy 81
185,35.478859,-97.711350,NW 10th St
185,35.389731,-97.937036,/US Hwy 81
246,35.505766,-97.754677,S 8th St/Maple Ave
160,35.465705,-97.747632,N Westgate Dr/Newgate Dr
216,35.449632,-97.705166,Edinburg Dr/SW 15th St
160,35.406120,-97.694364,/SW 59th St
390,35.435320,-97.724592,SW 29th St/S Mustang Rd
362,35.519430,-97.960274,W Johnson St/S Ellison Ave
160,35.509717,-97.956913,SW 25th St/Jensen Ave
246,35.648952,-97.745219,/Piedmont Rd N
276,35.386408,-97.733950,S Highland Dr/W Hillcrest Dr
305,35.473225,-97.739189,Azalea Hill Dr/Azalea Pl
160,35.725830,-97.973784,Oklahoma Ave
246,35.588416,-97.732237,Surrey Hills Blvd
334,35.394752,-97.738801,Chisholm Trail Way/N Chisolm Trail Way/W Hunters Way
605,35.392159,-97.760018,N Clear Springs Rd/
185,35.480029,-97.678074,Regatta Dr/Sundown Dr
216,35.526039,-98.033342,I- 40
160,35.569212,-97.725638,Unnamed St 5/Unnamed St 8
160,35.639258,-97.741555,3rd St NE/Adams Ave NE
418,35.460204,-97.671419,I- 40
185,35.590377,-97.726402,Surrey Hills Blvd/N Mustang Rd
185,35.517642,-97.708250,Chimney Hill Rd/Hunton Ter
472,35.585413,-97.729014,NW 114th St
334,35.476116,-97.729704,NW 7th St
160,35.638238,-97.776290,Washington Ave W
246,35.436996,-97.672192,Renwick Ave
216,35.543924,-97.777372,W Frisco Dr/N Frisco Dr/N Frisco Rd
216,35.524964,-97.961513,Ash St/S Hadden Ave
160,35.507847,-97.855939,/State Hwy 66
334,35.385582,-97.714989,E Juniper Ln/S Castlerock Ln
216,35.512431,-97.739133,Mark Ave
216,35.535075,-98.248858,I-40 Svc Rd
334,35.508387,-97.713336,NW 37th St
185,35.460040,-97.751389,SW 7th St
185,35.489030,-97.740792,Choctaw Pl/Redbud Ave
185,35.420884,-98.189698,Canyon Ridge Rd
445,35.461183,-97.709523,I- 40
160,35.391711,-97.759143,/SW 74th St
185,35.646254,-97.842641,State Hwy 3
160,35.711034,-97.973781,234th St NW/US Hwy 81
160,35.503701,-97.749165,Poplar Ave/S 4th St
160,35.722219,-97.976856,S Main St/Texas Ave
185,35.725856,-97.972468,Oklahoma Ave
305,35.529031,-98.109931,I- 40
334,35.446451,-97.704487,Lankestar Pl/Lankestar Way
246,35.524746,-97.969348,Fillmore Ave/W Hickory St
788,35.520373,-97.957530,W Ranson St
160,35.449901,-97.972748,15th St SW/S Country Club Rd
362,35.450147,-97.693831,Westbury Ter/Hollyhead Way
185,35.524538,-97.975983,Mulberry Ln/Handley Dr
334,35.393657,-97.943708,N Oak Ave/W 3rd St/3rd St/Oak Ave
418,35.528658,-97.947089,E Cooney St/S Roberts Ave
160,35.487802,-97.740634,Redbud St/Seminole Ln/Redbud Ave
160,35.587503,-98.296916,US Hwy 281
216,35.602042,-98.119907,Flynn Ave/N Flynn Ave/State Champions St
160,35.379917,-97.764083,S Nelms Dr/W David Dr
216,35.520037,-97.953158,Slant St
276,35.489778,-97.742516,/S Cornwell Dr/Palm St
160,35.529856,-98.061059,I- 40/S Fort Reno Rd
305,35.507882,-97.747432,S 3rd St/W Main St
216,35.388645,-97.719611,S Brookview Ln/E Elder Ln
552,35.530929,-97.953792,S Bickford Ave
160,35.539620,-97.953767,Arapaho St/E Arapaho St/N Bickford Ave
216,35.391718,-97.751794,/SW 74th St
2247,35.511222,-97.972644,/S Country Club Rd
362,35.520735,-97.706942,N Sara Rd
160,35.532350,-97.973254,S Country Club Rd/Sunset Dr
185,35.504293,-97.771567,Swingan Rd/Caboose St/Swingman
185,35.644974,-97.719757,Van Buren Ave NE/Antelope St NE
334,35.540562,-97.954909,N Choctaw Ave/Caddo St
968,35.493425,-97.759555,W Vandament Ave
160,35.509375,-97.920010,Oil Patch Rd
362,35.492845,-97.736312,Greenway Ave/Ridgeway Dr
160,35.640059,-97.760731,/Candice Dr NW
246,35.725717,-97.981122,Oklahoma Ave/6th St
276,35.394352,-97.671385,E Frontier Ter/N County Line Rd
305,35.600359,-98.118666,N Calumet Rd/Sherk St
276,35.393664,-97.940017,3rd St
160,35.426768,-97.716147,SW 37th St/Millers Creek Ln
499,35.532567,-97.958250,S Grand Ave
160,35.520785,-97.725928,Cinderwood Dr/Hilltop Mansion
276,35.503730,-97.719115,Eastridge Dr/McConnell Dr
160,35.393414,-97.685350,E Sherwood Ter
185,35.403031,-97.756773,Grand View Way/Hunters Bridge Way
216,35.448278,-97.705269,Edinburg Dr/Leicester Dr
418,35.600432,-98.116380,/Lewis Ave
160,35.420771,-97.727145,/44th St SW
216,35.535066,-97.941549,N L Ave/E Rogers St
216,35.394862,-97.750604,N Shannon Way
276,35.551050,-97.673107,Twin Oaks Dr
246,35.501538,-97.880446,I- 40
185,35.529086,-98.202260,S Maberry Rd
216,35.456500,-97.694235,Aberdeen Ln/Westbury Ter
160,35.521562,-97.725904,Cinderwood Dr/Cinderwood Cir
246,35.523520,-97.955975,W Oak St
216,35.515150,-97.696181,/State Hwy 66
160,35.536850,-98.140499,Hwy 66W
185,35.598915,-98.117432,3rd St/2nd Ave
362,35.600990,-98.121124,Main St/Freehome Ave
185,35.342785,-97.752754,Ryan Cir
160,35.490664,-97.742525,Glenda Dr/S Cornwell Dr
160,35.396270,-97.706802,E Suera Ter/N Sara Rd
472,35.391667,-97.712436,/SW 74th St
499,35.384367,-97.724563,W Forster Dr/S Mustang Rd
160,35.689743,-97.948364,State Hwy 3
216,35.510915,-97.702339,Regatta Rd/NW 40th St
216,35.580652,-97.688874,N John Kilpatrick Tpke/W Hefner Rd
445,35.507894,-97.753414,S 7th St/W Main St
216,35.613795,-97.695301,Agate Dr/NW 140th St
334,35.565697,-97.674052,W Britton Rd/N County Line Rd
216,35.600438,-98.115139,/Anna Ave
160,35.569266,-97.717442,Unnamed St 17/Unnamed St 18
160,35.422654,-97.742376,SW 42nd St/S Czech Hall Rd
160,35.421556,-97.972768,N2820 Rd
418,35.533277,-97.938209,S O Ave/E Woodson St/N O Ave
276,35.531745,-98.231390,I- 40
185,35.464392,-97.755133,W Reno Ave
185,35.725898,-97.699820,Azalea St NE
216,35.572946,-97.688896,N John Kilpatrick Tpke
216,35.535291,-97.981458,Park St
160,35.427439,-97.722745,Beckets Crown Ct
185,35.525874,-97.965418,/Morrison Ave
185,35.402064,-97.757057,N Edinburrough Way
185,35.382413,-97.734928,W Dowden Dr/S Shepherd Court Dr
185,35.544402,-97.936961,N Shepard Ave
160,35.725867,-97.971400,Oklahoma Ave
305,35.518460,-97.958021,S Dille Ave/W Odell St
216,35.522401,-97.941085,SW Heritage Dr/E Elm St
499,35.525927,-97.950409,S Macomb Ave/E Cavanaugh St
334,35.584908,-97.718358,NW 113th St
216,35.497313,-97.764142,Limestone Pl
334,35.530484,-97.947110,E London St/S Roberts Ave
160,35.386351,-97.718645,E Hillcrest Ln
216,35.428754,-97.694807,Clay Dr/SW 36th St
246,35.591123,-97.718810,NW 119th St/Ashford Dr
160,35.384258,-97.769987,N Dewey Junior Dr
160,35.358289,-97.726227,SW 109th St
160,35.463061,-97.766966,Somers Point Blvd/SW 2nd St
334,35.435090,-97.689208,SW 29th St/S Morgan Rd
185,35.333995,-97.724575,S Mustang Rd
246,35.504941,-97.726440,Industrial Dr
160,35.361150,-97.756920,Centinial Dr
160,35.380393,-97.742339,/S Czech Hall Rd
160,35.658289,-97.727411,Mustang Rd NE/
160,35.543882,-97.954886,N Choctaw Ave
526,35.553206,-97.674627,NW 80th St/Heather Glen Dr
185,35.582906,-97.688867,N John Kilpatrick Tpke/
185,35.362891,-97.726527,S 104th St
185,35.510882,-97.711089,/Scissortail Dr
160,35.471674,-97.813120,N Cimarron Rd
160,35.537270,-97.960648,/N Ellison Ave
160,35.683731,-98.260264,/N Niles Rd
160,35.497606,-97.866400,S Manning Rd
160,35.528662,-97.949318,E Cooney St/S Hoff Ave
216,35.574456,-97.718860,Ashford Dr
160,35.442846,-97.707922,SW 21st St/Birch Creek Ave
160,35.550453,-98.307927,Old US Hwy 66
445,35.498969,-97.744721,/S 1st St
865,35.391671,-97.719540,S Quentin Ln/SW 74th St
445,35.507765,-97.735586,E Main St
216,35.471148,-97.741050,Rebel Ridge Ct
305,35.587719,-97.719628,NW 116th St
