Estimated daily crossings,Latitude,Longitude,Name
246,35.208867,-97.402570,Dunham Dr/Richardson Dr/Smalley Dr
160,35.243587,-97.406919,Barrington Dr/Wheaton Dr
276,35.328217,-97.481459,Falling Leaf Ter/SE 10th St
216,35.333885,-97.441349,S Sunnylane Rd
418,35.307475,-97.521554,SW 162nd St/Vicki Dr
160,35.223316,-97.518316,Laws Dr/Rhoades Dr
160,35.259699,-97.529577,60th Ave NW/
246,35.257531,-97.443550,Ness Dr/Tecumseh Meadows Way
246,35.344212,-97.557980,Endor Dr/SW 123rd Pl
658,35.333657,-97.557496,SW 135th Cir
499,35.193887,-97.469559,McGee Dr/State Hwy 9
472,35.347345,-97.499042,N City Ave
160,35.223576,-97.491106,Cotswold Cmns/Brookford Dr/Cotswold Dr
216,35.241361,-97.491893,Justice Ct/Grassland Dr
246,35.364735,-97.525498,S Trafalgar Dr/SW 103rd Pl
246,35.198931,-97.467869,McGee Dr/Aladdin St
579,35.324454,-97.498550,SW 14th St
334,35.361368,-97.551247,Woodridden
185,35.027207,-97.209256,/Sunhollow Cir
185,35.228963,-97.428247,Post Rd/Griffin Dr
160,35.377069,-97.184729,McDonald Rd/S 89th St
160,35.299185,-97.462741,/S Broadway St
994,35.219266,-97.454588,W Gray St/N Pickard Ave
160,35.237940,-97.342315,Paso de Vaca Dr
185,35.012847,-97.335107,/E Boomer St
305,35.334799,-97.540381,Legacy Hill Rd/SW 134th Ter
246,35.242864,-97.458340,Newton Dr/Einstein St
160,35.190722,-97.386896,Wood Valley Rd
160,35.374420,-97.212891,156th Ave SE/SE 92nd St
1641,35.350456,-97.494597,I- 35
185,35.355091,-97.557418,Lakeridge Run/S Villa Ave
276,35.365702,-97.512209,N Santa Fe Ave
736,35.348779,-97.493403,NW 12th St
216,35.175071,-97.426024,Eagle Cliff Dr/E Cedar Lane Rd
276,35.377126,-97.551172,SW 89th St
305,35.233471,-97.497167,Bristol Dr/Brookhaven Blvd
216,35.344211,-97.523400,SW 124th Pl/Bell Gardens Dr
160,35.140686,-97.396658,W Ash St
1149,35.190239,-97.453834,Belmont Dr
305,35.211547,-97.495977,Trinidad Dr
246,35.225355,-97.432822,E Main St
390,35.324372,-97.494419,SW 15th St/S Telephone Rd
499,35.326835,-97.481472,White Oak Rd/Clover Rd
658,35.374687,-97.520022,S Hudson Ave/SW 92nd St
788,35.150389,-97.397350,/N Main St
499,35.207022,-97.423642,12th Ave SE/Arkansas St
160,35.269509,-97.194494,/168th Ave NE
526,35.215584,-97.430378,Creston Way
334,35.336575,-97.513780,Springcreek Ct/SW 132nd St
762,35.333965,-97.492544,SW 4th St/N Interstate 35 St
334,35.312969,-97.484561,SW 27th St
185,35.195158,-97.404368,Durham Place Ct/Durham Pl
605,35.326601,-97.461681,SE 12th St
418,35.220912,-97.406969,23rd Ave NE/Carolyn Ct
160,35.109229,-97.335680,72nd St
185,35.241565,-97.450558,Angie Cir
276,35.341453,-97.556063,S Villa Ave
185,35.104509,-97.188345,172nd St
445,35.363820,-97.535677,S Winston Way/SW 103rd St
160,35.374144,-97.180965,Melin Rd/SE 92nd St
276,35.275019,-97.498355,/Dalston Cir/Pimlico Dr
160,35.223579,-97.491440,Millbrook Dr/Brookford Dr
160,35.218300,-97.399059,Lochwood Dr/Alameda St
579,35.211781,-97.432421,/Oklahoma Ave
246,35.196139,-97.410855,/Rolling Stone Dr/Oakhurst Ave
160,35.282391,-97.282781,/108th Ave NE
390,35.225695,-97.494382,36th Ave NW
552,35.334264,-97.524407,Eastvalley Rd/SW 134th St
160,35.210206,-97.434632,S Ponca Ave/Tulsa St
1149,35.327543,-97.492694,SW 11th St
276,35.337278,-97.508561,SW 1st St/S Markwell Ave
362,35.375078,-97.555314,SW 91st St
216,35.210100,-97.415027,Aiken Ct
216,35.267262,-97.501062,Moor Dr/Castlerock Rd
185,35.174563,-97.426538,Merlin Cir
216,35.300233,-97.468501,/SW 42nd St
160,35.314528,-97.431656,SE 154th Ct
160,35.080143,-97.335537,/US Hwy 77
334,35.323216,-97.596233,I- 44
276,35.212540,-97.406008,24th Ave SE
1149,35.230744,-97.485124,N Interstate Dr
2923,35.203856,-97.439992,/E Lindsey St
445,35.334891,-97.527343,SW 133rd St/Cayman Ln
362,35.232944,-97.461124,W Robinson St/Canterbury Ave
390,35.212160,-97.397076,Day Break Dr
276,35.177120,-97.414025,/Classen Blvd
160,35.246732,-97.199474,SE 224th St
276,35.376287,-97.513751,Artesia Pl
305,35.362281,-97.490851,/Cedar Ln
305,35.230348,-97.467777,Camelot Dr/N Sherry Ave
160,35.014998,-97.180667,State Hwy 39
160,35.138598,-97.370757,/48th Ave SE
216,35.264786,-97.423701,/12th Ave NE
276,35.377308,-97.427020,Bessly Dr/SE 89th St
185,35.294018,-97.272659,Prairie Ln
334,35.343466,-97.471387,NE 5th St/N Avery Dr
216,35.371334,-97.507695,E Ranchwood Cir
552,35.191312,-97.435638,/E Constitution St/Monitor Ave
160,35.366108,-97.508629,NW 30th Ct/Prairie Field Ln
684,35.205973,-97.428040,Barkley St
246,35.328152,-97.565864,SW 140th St
1433,35.333658,-97.494532,S Telephone Rd
276,35.331788,-97.541277,SW 137th Ter/Bodega Dr
160,35.361968,-97.538345,S Blackwelder Ave
216,35.297918,-97.513590,Vitoria Dr
305,35.237304,-97.489096,Crossroads Blvd/Woodsboro Ct
246,35.213385,-97.502498,Hughes Cir
305,35.322361,-97.497972,Keith Ct/SW 17th St
185,35.353980,-97.550339,Greenbriar Chase St/Cadwell Ave
185,35.252708,-97.265283,120th Ave NE
216,35.251421,-97.432402,Sequoyah Trl/Wildwood Ln
185,35.189530,-97.383906,/E Imhoff Rd
246,35.342689,-97.460048,/NE 7th St
2194,35.232988,-97.489409,Crossroads Blvd/W Robinson St
185,35.015527,-97.338830,NW 2nd St/
185,35.349842,-97.634305,Milano Rd
246,35.222330,-97.437178,S Ponca Ave/E Comanche St
216,35.362219,-97.554586,Novona Pl
160,35.234970,-97.409072,Ravenwood Ln
334,35.366907,-97.532544,S Klein Ave/SW 100th St
246,35.221710,-97.449821,W Daws St/N University Blvd
710,35.348791,-97.478166,/NE 12th St
418,35.340878,-97.579000,Condor Dr/SW 127th St
418,35.323135,-97.467369,Tara Dr/SE 17th St
246,35.297613,-97.512051,SW 172nd St/S Santa Fe Rd
160,35.352168,-97.555932,Chelsea Chase
334,35.175112,-97.418366,/E Cedar Lane Rd
994,35.211077,-97.437981,/E Boyd St
216,35.367807,-97.573738,S Land Ave
185,35.018125,-97.329375,E Center St/NE 4th St
185,35.170088,-97.429018,Gyrfalcon Dr/Eagle Cliff Dr
762,35.334326,-97.490448,S Interstate 35 St/SW 4th St
185,35.016034,-97.338827,NW 2nd St/W Ash St
160,35.308051,-97.468783,Willow Pine Dr/SE 33rd St
160,35.342770,-97.558668,Lorien Way/SW 124th St
160,35.210580,-97.401461,Smalley Cir
246,35.376290,-97.512979,Roadrunner Ave
185,35.231547,-97.421064,Jordan Cir
185,35.194399,-97.476723,Riverside Dr/SW 24th Ave
305,35.372144,-97.565365,S W 95th St
246,35.257294,-97.497145,Cruden Dr/Tayport St
185,35.356402,-97.489997,Ridgewood Dr
334,35.193686,-97.410499,Twisted Oak Dr/Oakhurst Ave
445,35.375813,-97.551183,SW 90th St/S Youngs Ave
362,35.367799,-97.544174,Midfield Cross St
160,35.271764,-97.282832,108th Ave NE
216,35.351295,-97.536478,Cedar Valley Dr
160,35.194915,-97.397762,Wheatland Dr/E View Dr
185,35.055298,-97.335560,US Hwy 77
185,35.339332,-97.484806,NE 1st St
185,35.297680,-97.517296,SW 172nd St/Medina Ln
160,35.376059,-97.461696,SE 90th St/Buttonwood Ave
185,35.311339,-97.159582,192nd Ave NE/Buggy Buggy Ave
526,35.348791,-97.500692,Lawton St/NW 12th St
160,35.231930,-97.510523,Fountain Gate Ct/Fountain Gate Dr/Fountain Gate Cir
305,35.185238,-97.441441,Gt Blankenship Blvd/Jenkins Ave
472,35.236184,-97.498560,Bingham Pl/Brookhaven Blvd
276,35.216851,-97.396465,Summit Ridge Ct/Ridge Lake Blvd
276,35.350103,-97.491626,/N Broadway St
2061,35.218761,-97.481759,/N Interstate Dr
185,35.193742,-97.471829,Lynnwood Cir
445,35.337005,-97.476862,S Eastern Ave/
994,35.368504,-97.495303,N Svc Rd
160,35.339670,-97.510457,NW 2nd St
390,35.322427,-97.497846,SW 17th St/Baird Ave
362,35.180674,-97.450187,Chautauqua Ave/S Canadian Trails Dr
418,35.232386,-97.434708,E Hayes St/N Cockrel Ave
276,35.367389,-97.554162,S Daisy Dr/SW 100th St
276,35.258253,-97.498868,Glisten Ct
216,35.250627,-97.420918,Deer Chase Cir
160,35.311399,-97.473305,SE 27th St/Angela Francis Pl
160,35.197478,-97.276156,/Southern Shores Dr
160,35.374083,-97.177508,Shady Meadow Way/S Dobbs Rd/SE 92nd St
216,35.125040,-97.258457,/Hilltop Hts
160,35.232817,-97.418227,Erie Ave/E Robinson St
552,35.305870,-97.518286,SW 33rd St
160,35.223519,-97.469125,Brywood Pl/Bryarwood Dr
334,35.314364,-97.519599,Lakecrest Dr/Briarcliff Dr
605,35.198084,-97.481687,/I- 35
160,35.344453,-97.604208,Lexington Dr/SW 124th Pl
216,35.237865,-97.460972,/Westheimer Dr
2354,35.319368,-97.494403,S Telephone Rd
216,35.370548,-97.542658,Humber St
445,35.190619,-97.441327,W Constitution St/Jenkins Ave
305,35.215069,-97.489339,/Norman Center Ct
276,35.367458,-97.512241,S Santa Fe Ave/N Santa Fe Ave/SW 100th St
334,35.196521,-97.426367,Classen Blvd
418,35.355659,-97.552958,SW 112th St
160,35.218366,-97.512871,/W Main St
579,35.197212,-97.420697,Teakwood Dr
305,35.125042,-97.259697,124th St/Hilltop Hts
246,35.365051,-97.556976,SW 101st St/Southridge Ter
631,35.219895,-97.437350,S Porter Ave/E Symmes St
334,35.337686,-97.489936,/S Chestnut Ave
472,35.201825,-97.451631,S Lahoma Ave/Hoover St
216,35.229632,-97.442729,E Johnson St/N Crawford Ave
185,35.198014,-97.459054,Berry Cir/S Berry Rd
160,35.366803,-97.447466,Pathway St
216,35.216896,-97.469320,Jansing St/Garrison Dr
185,35.189537,-97.389289,State Hwy 9
216,35.324222,-97.468487,S Morgan Dr/SE 15th St
216,35.228699,-97.446161,W Rich St/E Rich St/N Jones Ave
160,35.014776,-97.297611,State Hwy 39/
362,35.213307,-97.429958,Mockingbird Ln/Benson Dr
216,35.183662,-97.460136,Conestoga Dr
736,35.193507,-97.441009,/Lawrence Ave
160,35.102209,-97.282841,108th St
1355,35.348777,-97.494393,NW 12th St/N Interstate 35 St
185,35.356325,-97.560665,SW 111th St
552,35.334204,-97.443427,SE 4th St/
160,35.244909,-97.406091,/24th Ave NE
1433,35.196688,-97.451310,W Timberdell Rd
1046,35.224964,-97.476646,NW 24th Ave
362,35.216582,-97.411712,/Vicksburg Ave
246,35.348606,-97.459186,N Bryant Ave/NE 12th St
418,35.190223,-97.487769,I- 35/
246,35.251421,-97.432892,Sequoyah Trl/Woodbriar Dr
276,35.221498,-97.511905,/48th Ave NW
216,35.324136,-97.519345,SW 144th St/Hudson Ave
334,35.196673,-97.453853,/W Timberdell Rd
334,35.307718,-97.520497,SW 30th St/Oak Dr/Birch Dr
216,35.260648,-97.498080,Bright St
216,35.316828,-97.520070,SW 21st St
334,35.240834,-97.467158,/Lexington Ave
160,35.364752,-97.513090,SW 103rd St
334,35.364571,-97.540881,Hamlet Rd/Kingsgate Dr
216,35.319729,-97.469289,SE 19th St
246,35.228574,-97.489879,Rambling Oaks Dr/Rye Rd
160,35.081437,-97.336326,Sunburst Dr
1174,35.220012,-97.423188,/Morren Dr
2194,35.213001,-97.445664,S University Blvd/White St
305,35.302183,-97.477607,New London Ave
943,35.201696,-97.426446,Deonne Cir
762,35.338239,-97.486702,S Broadway St/E Main St/W Main St/N Broadway St
246,35.220437,-97.506175,Newport Dr/Victory Dr
579,35.183033,-97.420858,State Hwy 9
362,35.197859,-97.409837,Oakview Dr/Oakcrest Ave
684,35.218888,-97.485596,/I- 35
605,35.333373,-97.491799,/N Interstate 35 St
160,35.305273,-97.428539,SE 34th St
334,35.320938,-97.481804,Williams Dr/Linda Ln
362,35.341682,-97.499562,Rock Pl/NW 5th St
185,35.341146,-97.538776,SW 126th St
334,35.323263,-97.503719,Ridgeway Dr
160,35.289846,-97.178129,SE 179th St
418,35.313838,-97.512697,/Tyler Ln
736,35.352122,-97.495888,NW 17th St
418,35.305257,-97.476819,S Eastern Ave/SW 34th St/NW 24th Ave
445,35.340535,-97.512128,NW 5th St/N Santa Fe Ave
334,35.216843,-97.450030,Chautauqua Ave/W Comanche St
160,35.268152,-97.472923,Harriet Rd
362,35.255698,-97.426235,Pinelake Ct
160,35.369080,-97.501743,Hillcrest Dr
334,35.329912,-97.498352,Kings Manor
160,35.276314,-97.457829,W Franklin Rd
1485,35.218076,-97.481411,/26th Dr
276,35.370075,-97.550714,Larkspur Ln
246,35.221818,-97.399304,Rockingham Dr/Coalbrook Dr/Waterfront Dr
160,35.336687,-97.497186,SW 1st Pl/S Irving Dr
305,35.348768,-97.441367,SE 119th St/N Sunnylane Rd/S Sunnylane Rd
445,35.261831,-97.423688,12th Ave NE/E Tecumseh Rd
185,35.222481,-97.399032,Edinburg Dr/Coalbrook Dr
526,35.315642,-97.494398,SW 25th St/S Telephone Rd
418,35.334875,-97.524409,Eastvalley Rd/SW 133rd St
160,35.234021,-97.442529,E Dale St/N Crawford Ave
362,35.313762,-97.486078,26th St/Crystal Dr
472,35.290898,-97.484401,/W Indian Hills Rd
526,35.329460,-97.512078,S Santa Fe Ave
813,35.317925,-97.492004,Riverwalk Dr
445,35.377122,-97.553699,SW 89th St/S Country Club Dr
216,35.249679,-97.444887,Nathan Dr/Towry Dr
216,35.369958,-97.573740,S Land Ave/SW 99th St
276,35.323896,-97.480448,Cross Timbers Dr/Glenwood Dr
579,35.344511,-97.492320,Kelly Dr/Eberle Dr
305,35.180036,-97.439735,State Hwy 9
276,35.180893,-97.407513,S Lake Blvd/Bretford Way
499,35.283475,-97.485956,/N Interstate Dr
216,35.194331,-97.466275,Smoking Oak Ct/Smoking Oak Rd
160,35.273476,-97.154777,Pringle Pl
246,35.338234,-97.485493,/E Main St
216,35.218329,-97.403294,Rue de Montserrt/Alameda St
160,35.362782,-97.620967,Olde Tuscany Dr/SW 104th St/Olde Tuscany Rd
185,35.268904,-97.152358,SE 196th St/Cornell Dr
276,35.372929,-97.516721,W Charlotte Dr/Odom Rd
1537,35.190905,-97.451710,Fairfield Dr
276,35.366669,-97.552161,Primrose Ln/Morning Glory Dr
276,35.314655,-97.534335,Nightshade Dr/SW 154th St
160,35.245081,-97.499025,Danfield Ln/Brookhaven Blvd
390,35.252263,-97.429697,Woodlake Dr/9th Ave NE
1641,35.214601,-97.444646,Buchanan Ave
362,35.296570,-97.516303,SW 173rd St/Avila Ln
185,35.252391,-97.265279,/120th Ave NE/Camino Real Dr
499,35.355587,-97.530010,SW 112th St/S Western Ave/Pruitt Dr
499,35.334265,-97.524517,Oak St/SW 134th St
216,35.240240,-97.440749,Eagle Nest Dr/Pvt Dr - Nazarene Church
160,35.318734,-97.146693,/SE 149th St
334,35.366542,-97.540859,Lincolnshire Rd
160,35.216238,-97.335513,72nd Ave SE
813,35.222788,-97.485616,I- 35/
390,35.217028,-97.446887,S University Blvd/W Eufaula St
160,35.298153,-97.441850,S Sunnylane Rd
1046,35.245227,-97.485023,Interstate Dr E
472,35.214789,-97.450096,Chautauqua Ave/W Symmes St
160,35.328987,-97.514981,S Robinson Ave/SW 139th St
334,35.362211,-97.543286,SW 106th Ter/Chardonnay Dr
418,35.340880,-97.582252,SW 127th St/Peregrine Dr
658,35.204822,-97.412059,/Brandywine Ln
160,35.342371,-97.452494,Estell Dr
246,35.343717,-97.512133,NW 7th Pl/N Santa Fe Ave
276,35.152821,-97.395503,4th St/Woodbriar Rd
160,35.258182,-97.415540,Santa Rosa Ct
160,35.180983,-97.404292,Langley Ct/Langley Dr
160,35.344971,-97.504271,N Bristow Ave/NW 7th St
943,35.296740,-97.489424,I- 35
390,35.190403,-97.435616,/Monitor Ave
160,35.189223,-97.335439,72nd Ave SE/E Imhoff Rd
160,35.241829,-97.282747,/108th Ave NE
216,35.217046,-97.460122,Ann Arbor Dr/Gatewood Dr
305,35.312475,-97.494417,S Telephone Rd
276,35.304500,-97.468131,S Broadway St/Central Park Dr
216,35.250951,-97.494285,/36th Ave NW
390,35.229614,-97.495863,Ives Way
445,35.348206,-97.473903,Sequoyah Cir
216,35.337414,-97.570014,SW 131st St/Wisteria Way
216,35.260913,-97.443932,Shona Way
185,35.133910,-97.390023,/Oak St
160,35.339499,-97.559466,SW 129th St/Robar Ct
185,35.237278,-97.417388,Sandalwood Dr/Northcliff Ave
160,35.333271,-97.480384,SE 5th St/Tower Pl
246,35.331942,-97.449715,Kelsi Dr/SE 6th St
216,35.311652,-97.529164,Stepping Stone Ln
160,35.122957,-97.335840,/72nd Ave
710,35.195875,-97.423577,12th Ave SE/Cedar Creek Dr
160,35.260395,-97.441233,/N Porter Ave
499,35.360298,-97.471404,NE 24th St
160,35.241862,-97.410877,/Hallbrooke Dr
160,35.224328,-97.205520,Juanita Ln
334,35.247433,-97.453577,/W Rock Creek Rd
160,35.324263,-97.482091,Saint Charles Cir
305,35.212905,-97.454503,S Pickard Ave
160,35.257337,-97.421447,Biltmore Ct/Grant Rd
246,35.213469,-97.426191,Mockingbird Ln/Mockingbird Ct
185,35.296580,-97.476794,SW 42nd St/NW 24th Ave
362,35.186349,-97.454904,Lincoln Grn
276,35.201723,-97.482959,Elizabeth Ln/Ed Noble Pkwy
246,35.342972,-97.521229,Wandering Way
185,35.311621,-97.505266,/SW 28th St/Fleshman Dr
1589,35.351566,-97.494799,/I- 35
160,35.209241,-97.374769,Highland Lake Dr/
418,35.334221,-97.469453,SE 4th St/S English Dr
472,35.369244,-97.512274,S Santa Fe Ave/N Santa Fe Ave/SW 98th St
160,35.014941,-97.321697,State Hwy 39
334,35.229334,-97.500936,Parkside Rd/Harrogate Dr
472,35.334269,-97.525429,Hickory Rd/SW 134th St
418,35.373818,-97.464837,Button Ave/SE 93rd St
185,35.330943,-97.446450,Ryan/SE 8th St
472,35.232971,-97.466424,/W Robinson St
762,35.288079,-97.486537,I- 35/
160,35.250020,-97.433465,Wildwood Ct
160,35.354565,-97.513892,Mead Ln/Odom Way
526,35.319757,-97.519766,/SW 19th St
1563,35.189397,-97.450207,Chautauqua Ave/Imhoff Rd
579,35.196151,-97.481815,Jefferson/Jefferson Cir
472,35.348311,-97.514796,NW 11th St
160,35.364330,-97.506178,N Nottingham Way
276,35.316331,-97.597330,I- 44
390,35.229660,-97.477795,Fairway Dr
1046,35.231284,-97.485118,/N Interstate Dr
526,35.218316,-97.485334,I- 35/W Main St
994,35.348792,-97.547958,SW 119th St
185,35.316989,-97.479630,/S Broadway St
160,35.217702,-97.403293,/Rue de Montserrt/Blvd du Lac
216,35.223243,-97.410802,Jackson Dr/Cindy Ave
160,35.328182,-97.266946,Sky Harbor Way
246,35.337486,-97.543695,SW 131st St
185,35.327686,-97.478841,Stoneridge Dr//SE 12th St
362,35.373102,-97.560806,S Ross Ave/SW 93rd St
390,35.374929,-97.539462,Grace Dr
185,35.341793,-97.459203,N Bryant Ave/David Rd
185,35.276312,-97.453090,W Franklin Rd/Pullin Ln
185,35.133914,-97.390701,S 6th St/Oak St
445,35.327772,-97.499212,S Janeway Ave
185,35.370584,-97.507846,/NW 35th St/Webster St
276,35.342689,-97.582267,Carnelian Way
334,35.368719,-97.503543,Shields Blvd/NW 34th St
160,35.319524,-97.300441,96th Ave NE/SE 149th St/S Hiwassee Rd
445,35.225153,-97.509785,Manor Hill Dr/Flint Ridge Cir/Flint Ridge Dr
305,35.367762,-97.557342,Southridge Ter/Southridge Dr
185,35.014739,-97.280211,State Hwy 39/
185,35.371815,-97.462721,Winfield Ln
334,35.369810,-97.501756,Hillcrest Dr
579,35.374199,-97.538462,SW 93rd St/S Blackwelder Ave
185,35.247245,-97.361793,/E Rock Creek Rd
185,35.222878,-97.416367,Jackson Dr/Crest Pl
526,35.339451,-97.573528,Land Ct
216,35.343362,-97.549067,SW 124th St
305,35.248174,-97.451960,Humming Fish Dr/Grickle Dr
334,35.354999,-97.512161,N Santa Fe Ave/NW 18th St
246,35.210684,-97.406041,24th Ave SE
185,35.094905,-97.348830,US Hwy 77
