Estimated daily crossings,Latitude,Longitude,Name
160,34.720665,-97.230391,/West Ave
160,34.778930,-97.248335,/US Hwy 77
185,34.645094,-97.170797,E Jennings St/N Dean A McGee Ave/W Jennings St
160,34.808739,-97.374833,/State Hwy 19
160,34.835796,-97.605604,SW 3rd St/W Choctaw St
276,34.741714,-97.217815,/E Wagner
185,34.796607,-96.970106,State Hwy 19
390,34.506887,-97.174781,I- 35
276,34.747871,-97.221064,/Choctaw Ave
362,34.840798,-97.300866,E1500 Rd
160,34.661692,-97.107740,/N3310 Rd
276,34.823893,-97.262044,/Dulin Dr/South St W
418,34.696691,-97.227748,/S Down Ests/S Downs Ests
160,34.833641,-97.609521,SW 6th St/W Creek St
160,34.826222,-97.269020,W Davis St/Christy St/Christi St
362,34.847870,-97.613710,/NW A Ave/Cinmac St
418,34.626516,-97.216755,/I- 35
160,34.837954,-97.405259,State Hwy 74
362,34.739334,-97.265217,Grant Ave
579,34.739376,-97.224262,/W Guy Ave
185,34.644981,-97.171807,W Jennings St/N Washita Ave
579,34.746555,-97.215622,/E North St
160,34.508265,-97.348158,State Hwy 7
185,34.638040,-97.155762,S East Ave
246,34.651699,-97.221958,/State Hwy 29
160,34.848784,-97.611393,Winona Blvd/NW 7th St
305,34.680971,-97.228102,I- 35/Liberty Rd
160,34.657979,-97.335350,N3180 Rd
160,34.838652,-97.623088,/State Hwy 19
160,34.645671,-97.160668,E Creek St/N Clayton Ave
276,34.637598,-97.217962,I- 35
684,34.736804,-97.218777,W Garvin Ave/S Walnut St
185,34.645029,-97.171342,/W Jennings St
185,34.741964,-97.227218,/W Arbuckle Ave
499,34.651689,-97.220566,I- 35/State Hwy 29
160,34.628696,-97.396454,/N Main St
276,34.644935,-97.166321,E Creek St
185,34.824640,-97.260386,Howe St W/West St
160,34.771551,-97.186638,/State Hwy 19
216,34.801090,-97.177912,N3270 Rd
185,34.834602,-97.599237,/E Chickasaw St
185,34.839472,-97.615874,State Hwy 76
185,34.624306,-97.396446,/N Main St
334,34.648397,-97.154567,Prospect Dr/Prospect Cir/Carey Dr
160,34.506619,-97.155916,/State Hwy 7
160,34.796594,-97.135278,State Hwy 19
305,34.736287,-97.230151,N Maple St
658,34.738318,-97.218796,W Joy Ave/S Willow St
160,34.855278,-97.459239,100th St
276,34.742190,-97.229226,W Agnew Ave
160,34.506668,-97.184403,State Hwy 7
160,34.727468,-97.256753,Crown Pt
216,34.821535,-97.598341,State Hwy 76
276,34.511028,-97.177614,I- 35
526,34.735361,-97.220617,W Garvin Ave/S Pine St
160,34.728193,-97.230279,W South St
276,34.529132,-97.186020,/I- 35
216,34.741369,-97.225680,N Ash St/W Tennessee Ave
185,34.832923,-97.598428,/SE 4th St
334,34.744122,-97.220763,E Rennie Ave
305,34.828599,-97.607022,SW 4th St
276,34.828001,-97.605668,SW 3rd St/W Pawnee St
334,34.836988,-97.610797,SW 7th St/W Cherokee St/NW 7th St
362,34.715807,-97.250764,I- 35
160,34.739195,-97.303092,/Old Antioch Rd
305,34.743469,-97.210801,Madison St/East Ave
160,34.796624,-96.933201,State Hwy 19
246,34.648586,-97.166359,E Hooper St/N Taylor Ave
216,34.824692,-97.259342,/Howe St W/Oklahoma St
160,34.842911,-97.615879,State Hwy 76/
185,34.726539,-97.228710,/Westbrook Dr
160,34.623883,-97.395237,E C St/N Missouri Ave
216,34.784482,-97.295427,I- 35
246,34.622125,-97.389517,S Prichard/E Henderson St
216,34.737447,-97.228076,W Bradley Ave/N Hickory St
160,34.739596,-97.271321,Grant Ave
160,34.641833,-97.158467,E Juanita St/S Severs Ave
185,34.720305,-97.211196,Kendall Dr
160,34.782649,-97.330820,State Hwy 19/
579,34.835989,-97.598441,SE 4th St/E Choctaw St
276,34.826222,-97.267795,W Davis St/Denise Dr
185,34.643564,-97.164112,N Carr Ave/E Kerr Blvd/S Carr Ave
246,34.602035,-97.211122,I- 35
216,34.800810,-96.959843,N Oak Ave/
418,34.510399,-97.177186,I- 35
160,34.738517,-96.985251,N3380 Rd/E1570 Rd
246,34.835764,-97.602889,W Choctaw St/S Main St
160,34.798631,-96.967624,State St/Forrest Ave
362,34.796632,-96.967634,W Smith St/Forrest Ave
185,34.758946,-97.280563,N3210 Rd
362,34.645762,-97.155801,/N East Ave
362,34.636063,-97.169085,/US Hwy 77
160,34.838731,-97.607053,NW 4th St/
160,34.787594,-96.966586,/E 8th St
216,34.769138,-97.287968,I- 35
160,34.826269,-97.300656,N3200 Rd/State Hwy 145
390,34.525696,-97.185041,I- 35
246,34.641240,-97.163060,E Juanita St
445,34.731703,-97.257189,I- 35
334,34.744215,-97.220640,E Rennie Ave/
334,34.513972,-97.179602,I- 35
445,34.725941,-97.247683,S Indian Meridian Rd/Jennifer Ann Ln
160,34.718526,-97.222462,/Fields Row
185,34.819682,-97.411122,Elm St
246,34.571981,-97.198815,I- 35/Ruppe Rd
160,34.832208,-97.615867,N3020 Rd/Robertson St
362,34.724599,-97.254261,W Royal Oaks Rd
