Estimated daily crossings,Latitude,Longitude,Name
246,35.459437,-95.380341,N4290 Rd
185,35.390541,-95.698544,/N4110 Rd
160,35.438352,-95.553269,US Hwy 69
276,35.286281,-95.576349,G St/McKinley Ave
185,35.289619,-95.583568,/1st St
160,35.159687,-95.908065,E1280 Rd/Indian Nation Tpke
276,35.478668,-95.504554,E North Ave/E 1060 Rd/N4220 Rd
185,35.289718,-95.662053,/State Hwy 9
160,35.472124,-95.515552,E Park Ave/NE 4th St
160,35.520271,-95.491002,A St/E St/Mike E Vickys Pl
276,35.451187,-95.593495,Natchez Rd/Indian Nations
334,35.458149,-95.540163,N4200 Rd/Cemetery Rd
160,35.254122,-95.595732,White Tail Ln/Antelope Trl W
276,35.428313,-95.620783,Allen St/Cole Ave/Brandon St
185,35.291468,-95.609295,/Pittman Ave
160,35.481415,-95.348158,/Lindsay Rd
246,35.472767,-95.519604,W Knisley Ave
160,35.354436,-95.957398,Indian Nation Tpke
160,35.451471,-95.599747,/Harbor Dr
185,35.362030,-95.572909,Old Hwy 69/Texanna Rd/Frontage Rd
185,35.436574,-95.344828,N4310 Rd
160,35.453115,-95.663092,N4130 Rd
334,35.282589,-95.588327,/Forest Ave
160,35.457394,-95.628064,N4150 Rd
418,35.471623,-95.529622,NW 6th St/W Gentry Ave
246,35.464027,-95.537469,W McIntosh Ave/E 1070 Rd
334,35.293440,-95.589174,Mills Rd/McIntosh Dr
160,35.470886,-95.609986,Key Blvd//Shady Brook Dr
160,35.455704,-95.592595,/N4170 Rd
362,35.466627,-95.522468,E Audd Ave/SE Main St
216,35.286167,-95.575584,/S H St/Lakeshore Dr
160,35.287343,-95.575698,H St/Belt Ave
160,35.277454,-95.583831,Main St
788,35.471807,-95.537596,US Hwy 69
216,35.481844,-95.524322,N Maple St
160,35.360591,-95.537796,Rogers Rd/Hansen St
160,35.450690,-95.596106,/Harbor Dr
216,35.353592,-95.569004,West Dr
160,35.466954,-95.513686,/E Lafayette Ave/SE 7th St
305,35.317257,-95.615567,McGill Cir
216,35.362265,-95.574246,Texanna Rd/E1140 Rd/US Hwy 69
160,35.304243,-95.663117,N4130 Rd/E1180 Rd
216,35.409330,-95.557935,/US Hwy 69
276,35.465556,-95.525722,SW 1st St/W McIntosh Ave
276,35.434918,-95.549184,E 1090 Rd
160,35.376714,-95.934338,E 1130 Rd
160,35.354930,-95.565399,Hickory Rd/Woodside Dr
160,35.451446,-95.600689,/Harbor Dr
552,35.469975,-95.524200,SW 1st St
160,35.326353,-95.513757,/Big Sandy Dr/Elm St
216,35.455931,-95.540252,N4200 Rd
160,35.326214,-95.521923,/Big Sandy Dr/N4210 Rd
216,35.287266,-95.568508,/Janeway Dr
185,35.376867,-95.570185,E 1130 Rd
185,35.254648,-95.600554,Jaguar Dr/Eagle Loop Dr
216,35.450309,-95.594146,/Cabbo Rd
216,35.459341,-95.527850,S Broadway St/Paul Carr Dr
185,35.338243,-95.473496,N 4235 Rd
246,35.285095,-95.568197,/Lakeshore Dr
160,35.273422,-95.572768,E W 1201
276,35.289221,-95.571663,N K St/Broadway Ave
390,35.286231,-95.571779,K St/Mc Kinley Ave
160,35.470697,-95.521317,NW Main St/W Spaulding Ave
185,35.323748,-95.957564,Indian Nation Tpke
160,35.439757,-95.601457,Seacraft Dr/Flying Brg
160,35.293654,-95.582222,US Hwy 69 Bus
160,35.474206,-95.531144,/NW 7th St/W Okmulgee Ave
305,35.284703,-95.589004,S 5th St/Locust St
160,35.294700,-95.593234,US Hwy 69
418,35.465669,-95.524147,S Broadway St
160,35.434558,-95.835607,/E 1090 Rd
160,35.285450,-95.580688,J C Watts Jr Ave
160,35.434986,-95.533363,E 1090 Rd
160,35.289725,-95.654503,State Hwy 9/N4135 Rd
185,35.363678,-95.385647,/Texanna Rd
216,35.551868,-95.498678,US Hwy 69
185,35.290201,-95.571626,N K St/E Elm Ave
276,35.467845,-95.530447,SW 5th St/W Chenault Ave
362,35.289853,-95.569353,/Lakeshore Dr
246,35.507661,-95.516599,E 1040 Rd/US Hwy 69
160,35.500429,-95.628150,N4150 Rd/US Hwy 266
185,35.363835,-95.387498,C St/Dolphin St
160,35.432882,-95.810118,I- 40
160,35.436854,-95.791196,/I- 40
160,35.352375,-95.554041,/Palmer Rd/Maple Rd
216,35.474887,-95.518536,W Race Ave/NW Main St
160,35.362425,-95.353748,Ns 4305/Ew 114
305,35.292653,-95.591091,Birkes Rd/State Hwy 9
185,35.354583,-95.583083,Bridgeport Rd/Beachview Cir
160,35.302647,-95.698475,N4110 Rd
160,35.446778,-95.601644,Lakeside Dr/Angel Ave
160,35.464264,-95.480663,/US Hwy 266
185,35.285901,-95.595088,Opvlikv Dr/Lackey Dr
160,35.402777,-95.608720,State Hwy 150
216,35.475985,-95.528782,NW 6th St/W Park Ave
160,35.457017,-95.628064,N4150 Rd/Ernie Wax Ln
160,35.434939,-95.552957,/E 1090 Rd
160,35.464304,-95.473027,US Hwy 266
160,35.432622,-95.853302,I- 40
160,35.363901,-95.385158,/Texanna Rd
185,35.353417,-95.404178,/Texanna Rd
160,35.351708,-95.536349,Terra Park Dr/Sulley Dr
185,35.449463,-95.735774,E 108 Rd/
160,35.318828,-95.636726,E1170 Rd
160,35.507575,-95.675710,/US Hwy 266
160,35.354996,-95.578557,Bridgeport Rd
185,35.468438,-95.513079,NE 7th St/E Spaulding St
216,35.451294,-95.727578,I- 40
160,35.159692,-95.907234,E1280 Rd
185,35.463083,-95.528276,Nichols Ave
160,35.498845,-95.524320,/US Hwy 69
185,35.147440,-95.901309,Indian Nation Tpke
276,35.438401,-95.597463,Mariner/Seabreeze
216,35.507657,-95.517059,E 1040 Rd
246,35.277952,-95.583579,1st St/Main St
160,35.551779,-95.504298,E 1010 Rd
276,35.284386,-95.574296,Harrison Ave/Lakeshore Dr
185,35.473035,-95.529584,/NW 6th St
160,35.170201,-95.911941,Indian Nation Tpke
160,35.402845,-95.560745,/US Hwy 69
160,35.289693,-95.676776,State Hwy 9
185,35.276985,-95.548472,Marian Ln/
246,35.438518,-95.597467,Seabreeze/Port
445,35.288275,-95.584921,Pine Ave/2nd St
185,35.363575,-95.385858,/Texanna Rd
160,35.451384,-95.597779,/Harbor Dr
216,35.470064,-95.527470,W Lafayette Ave
160,35.289741,-95.585820,N 3rd St/Border St/3rd St
185,35.219164,-95.716197,N4100 Rd
160,35.464716,-95.521745,E McIntosh Ave
