Estimated daily crossings,Latitude,Longitude,Name
216,36.742558,-95.970093,S Wyandotte Ave/E 11th St
684,36.750655,-95.930188,SE Queenstown Ave/E Frank Phillips Blvd
185,36.723651,-95.940043,Masa Ave/Rushmore St
276,36.739501,-95.932772,SE Green Country Rd
160,36.760715,-95.971086,/N3950 Rd
246,36.740483,-95.982019,SW Jennings Ave/W 13th St
160,36.636927,-95.935233,/US Hwy 75
160,36.732060,-95.925720,Melmart Dr/Bridle Rd
160,36.701589,-95.945018,Camelot Dr/Vicksburg St
305,36.727995,-95.918953,/Nowata Rd
216,36.713543,-95.955163,Price Rd/Glynnwood Ln
418,36.742573,-95.953360,Silver Lake Rd/SE Adams Blvd/N3960 Rd
246,36.740482,-95.974458,/E 13th St
276,36.751637,-95.979952,SW Frank Phillips Blvd
160,36.702835,-95.942635,Claremont Dr
246,36.735263,-95.926826,Woodland Rd/Meadow Ln
160,36.858473,-95.862409,/W 1100 Rd
185,36.891188,-95.926107,/S Caney Ave
216,36.721728,-95.929017,Windstone Dr
216,36.534139,-95.924399,3rd St/Quapaw Ave
185,36.941887,-95.917668,/W 500 Rd
160,36.837905,-95.935502,/US Hwy 75
246,36.753357,-95.980471,/SW Hwy 123A/N Park Ave
579,36.753030,-95.976172,E Hensley Blvd
160,36.727968,-95.901088,SE Nowata Rd
160,36.597584,-95.953449,W 2900 Rd/N3960 Rd
390,36.752061,-95.977160,W 2nd St/S Johnstone Ave/E 2nd St
418,36.727138,-95.935021,SE Washington Blvd
160,36.554111,-95.984936,/W 3200 Rd
160,36.727943,-95.894723,US Hwy 60
160,36.793065,-95.938168,N Delaware Ave
276,36.604268,-95.935293,SE Washington Blvd
216,36.727775,-95.944323,/Nowata Rd
390,36.724841,-95.928009,Rolling Hills Ct
276,36.746378,-95.962613,S Comanche Ave
185,36.742558,-95.971414,/S Shawnee Ave/E 11th St
334,36.748391,-95.935383,SE Frank Phillips Blvd
185,36.699960,-95.950497,SE Kensington Ct/Kensington Way
160,36.713550,-95.959467,Price Rd/Kane Hill Dr/Hillcrest Dr
305,36.736755,-95.981324,/W 15th St
185,36.747281,-95.985478,/W Adams Blvd
216,36.728031,-95.940252,Nowata Rd/McKinley Rd
246,36.740488,-95.978581,/E 13th St
160,36.737588,-95.915219,/Hazel Rd
185,36.481651,-95.920410,SE Washington Blvd
246,36.749773,-95.963905,SE Seneca Ave/S Quapaw Ave
276,36.803318,-95.936889,12th St/N Shawnee Ave
160,36.762404,-95.931291,/Indiana St
246,36.740768,-95.917258,S Madison Blvd
658,36.750544,-95.930184,SE Queenstown Ave
2408,36.717113,-95.958106,/Skyline Dr
160,36.747307,-95.992251,W Adams Blvd
185,36.727227,-95.923121,Harris Dr
276,36.736754,-95.978572,/E 15th St
246,36.583168,-95.930757,SE Washington Blvd/W 3000 Rd
891,36.727479,-95.935021,SE Washington Blvd
160,36.800795,-95.947624,Sequoyah Ave/N Sequoyah Ave
917,36.720389,-95.935085,SE Washington Blvd/Morgan Ave
160,36.466487,-95.921017,E0380 Rd
246,36.712709,-95.950647,Blackstone Ct/Starview Cir
185,36.713550,-95.944578,Price Rd
160,36.913961,-95.926064,/N Caney Ave
334,36.747456,-95.963902,E 5th St/S Quapaw Ave
813,36.724583,-95.935133,/SE Washington Blvd
762,36.736751,-95.976606,E 15th St/S Osage Ave
160,36.703179,-95.946643,Georgetown Dr
160,36.673583,-95.953332,Silverlake Rd
185,36.738904,-95.985999,W 14th Pl
160,36.648310,-95.845504,N4020 Rd/W 2550 Rd
160,36.713034,-95.913373,Ashbrooke Dr/Brookbury Ln
160,36.721999,-95.928040,Stonehenge Dr
160,36.713941,-95.959958,/Hillcrest Dr
160,36.445472,-95.879721,W 3950 Rd/N Main St
216,36.755852,-95.907932,Martin Ln
216,36.786021,-95.934147,/E Durham Rd
160,36.738285,-95.982015,W 14th St/14th St/SW Jennings Ave
362,36.753126,-95.976895,N Johnstone Ave/SW Hwy 123A/S Johnstone Ave/E Hensley Blvd
276,36.533830,-95.924573,3rd St
160,36.739906,-95.921093,/Leisure Ln
160,36.703008,-95.943766,Monticello Ct
276,36.753324,-95.983794,SW Hwy 123A/N Woodrow Ave
185,36.718582,-95.960398,Skyline Dr/Sunshine Ct
160,36.894899,-95.947034,/W 850 Rd
185,36.744090,-95.909281,King Dr/Crown Dr
160,36.895447,-95.975135,N 3970 Rd
185,36.727960,-95.905225,Nowata Rd
160,36.791308,-95.944244,N Ross Pl
246,36.743266,-95.941135,/Brookhollow Ln
160,36.719654,-95.962690,Hillcrest Dr
216,36.762239,-95.916518,Park Hill Loop
185,36.725341,-95.932203,SE Hilltop Dr/Toledo Rd
160,36.798104,-95.934270,E 7th St/N Wyandotte Ave
160,36.752659,-95.970768,N Wyandotte Ave
334,36.724644,-95.927522,Rolling Hills Dr/Rolling Hills Ct
1097,36.751416,-95.978664,S Keeler Ave/SW Frank Phillips Blvd
185,36.726102,-95.971371,N3950 Rd/Hillcrest Dr
305,36.526067,-95.925843,8th St
160,36.786055,-95.944016,Durham Rd/Bartles Rd
216,36.765869,-95.923365,Shannon Dr
185,36.758848,-95.985671,E Cheyenne Pl/Herrick St
276,36.708577,-95.953274,SE Hampden Rd/N3960 Rd
185,36.989319,-95.924433,US Hwy 75
160,36.743065,-95.903126,Penny Ln/Castle Rd
185,36.737901,-95.991112,S Rogers Ave
160,36.748043,-95.990550,S Penn Ave
185,36.772840,-95.996941,Parkview Dr/Redwood Ln
160,36.726017,-95.917322,S Madison Blvd
160,36.802008,-95.931487,E 11th St
160,36.790453,-95.933603,E Grove St/S Creek Ave
276,36.752062,-95.969480,/E Hensley Blvd
305,36.743611,-95.980403,W 10th St/S Keeler Ave
160,36.741480,-95.980640,S Keeler Ave/W 12th St
216,36.746161,-95.968822,S Seneca Ave/SE Adams Blvd
305,36.785260,-95.935052,S Osage Ave
160,36.669940,-95.863404,W 2400 Rd/N4010 Rd
305,36.748750,-95.965633,/E 4th St
216,36.755832,-95.908534,Martin Ln
246,36.751991,-95.937286,Boston Ave/Idaho Ave
390,36.725493,-95.925456,Barlow Dr/Dale Pl
276,36.744034,-95.971401,S Shawnee Ave
185,36.530447,-95.920673,Delaware Ave
160,36.797701,-95.934267,N Wyandotte Ave
160,36.771535,-95.927224,/E0170 Rd
160,36.728558,-95.910521,Whitney Ln/Manor Dr
185,36.757028,-95.999669,/NW Lupa St
216,36.568669,-95.929418,/W 3100 Rd
160,36.747310,-95.984780,W Adams Blvd/SW Santa Fe Ave/Santa Fe
499,36.753562,-95.935543,SE Washington Blvd
185,36.713564,-95.938229,Nova Ave/Price Rd
605,36.797013,-95.935560,E 6th St/N Osage Ave
