Estimated daily crossings,Latitude,Longitude,Name
185,46.189083,-123.801278,Harrison Ave/37th St
276,45.986831,-123.930683,Beach Dr/Ave L
276,46.003711,-123.916381,N Roosevelt Dr/15th Ave
246,45.993595,-123.905347,Forest Dr
276,45.866677,-123.960872,/S Pacific Ave
305,46.029635,-123.925000,8th Ave
185,45.864242,-123.959848,Kenai St/S Hemlock St
185,45.985919,-123.921335,S Jackson St
160,45.808230,-123.964317,W Beach Rd
185,45.984274,-123.913152,Cooper St
710,46.001526,-123.918431,N Lincoln St/12th Ave
160,46.008252,-123.899231,Stanley Lake Ct
185,46.004529,-123.923629,17th Ave
445,46.165296,-123.930272,SW Birch Ct/SW 2nd St
216,46.042409,-123.924491,Butterfly Ln/High Ridge Rd
185,45.984277,-123.913263,Cooper St
185,45.875962,-123.957807,Oregon Coast Hwy
552,45.981942,-123.925897,Ave T
334,45.896969,-123.962756,N Laurel St
216,46.185865,-123.830281,12th St/Grand Ave
160,46.035704,-123.920751,Golf Course Rd
185,46.173284,-123.925897,NW Cedar Ave
185,46.178091,-123.839040,4th St/Clatsop Ave
216,45.998615,-123.919404,7th Ave/N Lincoln St
160,46.035320,-123.913164,Park Ave/Lamont Ln
160,45.879797,-123.962518,Gogona Ave
160,46.040352,-123.920714,Lanthorn L N/Drummond Dr
185,46.153300,-123.915233,Alt Hwy 101
185,46.049187,-123.924969,Schroerder Rd
185,45.898326,-123.958300,/E 2nd St
160,46.068972,-123.925067,Pine Ridge Ct
305,46.191083,-123.814038,Round House Rd
160,45.870991,-123.958247,Oregon Coast Hwy
362,45.987286,-123.928630,S Downing St/Ave K
160,46.198491,-123.944677,Gray St/Pacific Dr
160,46.018378,-123.916904,H St
390,45.996205,-123.919135,N Roosevelt Dr
276,46.173469,-123.822289,SE 3rd St
246,45.998984,-123.920545,8th Ave/N King St
276,45.877351,-123.960643,S Pacific St/Matanuska St
160,45.997635,-123.912392,3rd St/N Wahanna Rd
160,46.188990,-123.807402,33rd St
160,46.042558,-123.916539,Pineridge Rd/Pine Ridge Dr/Shamrock Rd
160,46.122640,-123.937099,Patriot Way/Pacific Rd
305,46.030975,-123.926074,10th St/Neacoxie Dr
631,46.189442,-123.847880,/Columbia Ave
185,45.863519,-123.960116,W Noatak St/S Hemlock St
160,45.780572,-123.432292,Wheeler Rd
185,45.988348,-123.927378,Ave I/S Edgewood St
160,46.170112,-123.676475,Burnside Loop/Grove Ln/Columbia River Hwy
160,45.942262,-123.988092,Cannon Beach Trl
160,46.100756,-123.918789,Oregon Coast Hwy/Sunset Beach Ln
185,46.201567,-123.766415,Country Ln
