Estimated daily crossings,Latitude,Longitude,Name
160,44.310480,-120.858014,NW 12th St/Pinkard Ln
185,44.303797,-120.837311,NE Idlewood St/NE 4th St
216,44.302949,-120.819443,/NE 3rd St
185,44.307346,-120.847074,NW 8th St/N Main St
160,44.303047,-120.860360,NW 3rd St
160,44.073998,-120.828494,Cascade Way/Juniper Ln
160,44.305905,-120.845977,NE 6th St/NE Belknap St
185,44.308239,-120.853173,NW 9th St/NW Fairmont St
160,44.314870,-120.874183,NW McDougal Ct
185,44.123529,-120.687880,Juniper Canyon Rd
185,44.299064,-120.832530,SE Mercury Ct/SE Mercury Ln/SE 3rd St
160,44.306703,-120.840177,NE Garner St/NE 7th St
160,44.305751,-120.837603,NE Idlewood St
160,44.311738,-120.869264,Madras Hwy
160,44.308343,-120.836464,NE Crest Dr/NE Allen Ave
160,44.313578,-120.856127,NW Warehouse Way/Lamonta Rd
185,44.302072,-120.858630,NW 2nd St/
185,44.320772,-120.784284,Lark Ln/N E Quail Valley Dr
216,44.302065,-120.852782,NW 2nd St/Maple St
160,44.168102,-120.790020,S E Pawnee Loop/Cayuse
160,44.296471,-120.838651,SE Holly St/SE 6th St
160,44.303835,-120.840967,NW 4th St/NE 4th St/NE Fairview St
160,44.310177,-120.867273,NW Cascade Loop/Madras Hwy
160,44.297181,-120.862540,Juniper Ln
160,44.299400,-120.846350,SE 3rd St
185,44.303808,-120.842199,NE 4th St/NE Elm St
216,44.303838,-120.840701,NW 4th St
160,44.311245,-120.868625,Madras Hwy
185,44.302946,-120.836092,NE 3rd St/NE Juniper St
160,44.322238,-120.847952,Terrace Ln
160,44.295585,-120.836421,SE Juniper St/SE 7th St
160,44.308240,-120.854392,NW 9th St/NW Glenwood St
216,44.302969,-120.855989,NW 3rd St
160,44.294317,-120.826961,SE Lynn Blvd/SE Combs Flat Rd
160,44.310447,-120.867615,NW Cascade Loop/Madras Hwy
185,44.299808,-120.853837,NW Harwood Ave/NW Queen's St
276,44.308562,-120.831086,NE Hudspeth Rd
160,44.305229,-120.848305,NW Beaver St
185,44.310956,-120.832543,NE del Norte Ave/NE Loper Ave
362,44.302947,-120.847058,NW 3rd St/NE 3rd St/N Main St
185,44.306752,-120.847080,NE 7th St/N Main St
160,44.305311,-120.849553,NW Claypool St
160,44.235487,-120.831142,Davis Loop Rd/SE Davis Loop/SE Scenic Dr
160,44.294811,-120.832402,SE 8th St
160,44.294811,-120.832684,SE 8th St
160,44.297256,-120.819987,SE Willowdale Dr/Ochoco Logging Rd
185,44.302055,-120.848296,NW 2nd St/NW Beaver St
160,44.328174,-120.846922,NW Saddlehorn Ct/N Main St
276,44.308672,-120.831171,NE Hudspeth Rd
160,44.316933,-120.840058,NE Stoneridge Ln
160,44.303117,-120.834162,NE Knowledge St
160,44.322254,-120.850554,/Terrace Ln
160,44.294812,-120.834212,SE 8th St/SE Knowledge St
160,44.308340,-120.833374,NE Jordan Ln/NE Allen Ave
216,44.301665,-120.827172,NE Mason Dr
185,44.180983,-120.780476,/S E Sioux Loop
160,44.305011,-120.827340,NE Laughlin Rd
160,44.286195,-120.814654,Hill Rd/SE Paulina Hwy
185,44.306462,-120.855831,NW Harwood Ave
160,44.292814,-120.842132,SE Fairgrnds Access Rd
216,44.294196,-120.821495,SE Roadway Ln
160,44.297598,-120.865103,Ochoco Hwy
160,44.297061,-120.862534,Cliffside Ln/Juniper Ln
334,44.308746,-120.831574,NE Littleton Ln
160,44.324952,-120.846933,N Main St
160,44.314517,-120.846417,Alabama Way/NE Mariposa Ave
185,44.302802,-120.860396,NW 3rd St
160,44.324818,-120.844714,Bronco Way/NE Buckboard Ln
185,44.308748,-120.833370,NE Jordan Ln/NE Littleton Ln
246,44.302075,-120.847057,NW 2nd St/NE 2nd St/N Main St
160,44.323331,-120.833740,NE Yellowpine St/NE Yew St
160,44.324585,-120.836129,NE Sugarpine Rd/NE Sugar Pine Rd/NE Manzanita St
160,44.302949,-120.820313,/NE 3rd St
216,44.298550,-120.842204,SE 4th St/SE Elm St
185,44.306517,-120.857018,NW Locust Ave
216,44.307401,-120.855628,NW Harwood Ave/NW 8th St
160,44.309680,-120.842215,NE Lookout Ave/NE Ochoco Ave
185,44.294401,-120.839774,SE Garner St/SE Lynn Blvd
216,44.301159,-120.842205,SE Elm St/E 1st St/NE Elm St
160,44.076292,-120.987059,Willard Rd/County Line Rd
216,44.302950,-120.819217,NE 3rd St
160,44.316928,-120.839377,NE Stoneridge Loop/NE Mariposa Ave/NE Stoneridge Ln
160,44.370237,-120.906532,Puckett Rd/Mint Ln/Dubisar Ln
160,44.251372,-121.048117,SW Bozarth Rd
160,44.296416,-120.819987,SE Willowdale Dr/SE Rose Ln
160,44.293364,-120.826953,SE Combs Flat Rd
160,44.302066,-120.842464,NE 2nd St
246,44.300317,-120.830138,SE 2nd St
160,44.327946,-120.846928,N Main St
160,44.314778,-120.875396,NW McDougal Ct
185,44.302949,-120.819985,NE 3rd St/NE Willowdale Dr
185,44.309102,-120.855603,NW Harwood Ave/NW 10th St
216,44.315578,-120.837811,NE Robin Pl
160,44.303728,-120.807455,NE 3rd St
160,44.218224,-120.777167,Riordan Rd
160,44.301778,-120.855885,Ivy St
276,44.302832,-120.830792,NE Mason Dr/NE Spruce Ln
276,44.302932,-120.826961,NE Combs Flat Rd/NE 3rd St
216,44.303408,-120.858299,Madras Hwy/NW 3rd St
160,44.191231,-120.732286,SE Juniper Canyon Rd/SE Nine Mile Ln
216,44.293858,-120.820480,SE Dusty Ln
216,44.302957,-120.854955,NW Harwood Ave/NW 3rd St
160,44.302951,-120.817514,NE 3rd St
160,44.330708,-120.880066,NW Brookfield Ln
305,44.309096,-120.832080,NE Ochoco Ave/NE del Rio Ave
160,44.258998,-120.928992,Ochoco Hwy
160,44.304680,-120.848295,NW Beaver St/NW 5th St
160,44.315200,-120.874627,NW McDougal Ct
160,44.302072,-120.858480,/NW 2nd St
216,44.308238,-120.851953,NW 9th St/NW Ewen St
160,44.124663,-120.689849,Juniper Canyon Rd
185,44.307573,-120.847071,E 8th St/N Main St
160,44.304722,-120.840170,NE 5th St/NE Garner St
160,44.306168,-120.849540,NW Claypool St
160,44.321499,-120.855982,NW Hackamore Ln/Hackamore Ln/Martingale Ln
160,44.308227,-120.847072,E 9th St/NW 9th St/N Main St
160,44.239972,-120.822481,SE Bonnie Rd/SE Mark Rd
160,44.299333,-120.809560,SE Pioneer Dr/Triangle Outfit Dr
160,44.305212,-120.859909,NW 6th St
160,44.305212,-120.860885,Madras Hwy/NW 6th St
185,44.301901,-120.856115,Ivy St
185,44.324055,-120.846956,Apollo Rd/NE Apollo Rd/N Main St
160,44.298107,-120.849680,SW 4th St/SW Claypool St
160,44.302057,-120.843422,NE Dunham St/NE 2nd St
160,44.304723,-120.841406,NE 5th St/NE Fairview St
216,44.304694,-120.847097,NE 5th St/NW 5th St/N Main St
216,44.307388,-120.856190,NW 8th St
246,44.308808,-120.857052,NW Locust Ave/NW Locust St/NW 10th St
185,44.298460,-120.853447,SW Meadow Lakes Dr/SW Fairway Ct
216,44.296488,-120.862954,SW Park Dr
216,44.299930,-120.856009,SW Meadow Lakes Dr/SW Ivy Ct
160,44.303842,-120.754782,Ace Way/N Marmot Ln
160,44.322858,-120.840819,NE Tennessee Ln
334,44.303323,-120.839747,NE Garner St
160,44.300381,-120.819997,SE Willowdale Dr
246,44.309255,-120.857040,NW Locust St
185,44.297650,-120.842181,SE Elm St/SE 5th St
160,44.307610,-120.837605,Hillside Way/NE Oregon St
160,44.319579,-120.840200,NE Wolverine Loop/NE Peters Rd
185,44.305915,-120.847069,NE 6th St/N Main St
160,44.328319,-120.833444,NE Tamarack Ct
160,44.304702,-120.849542,NW Claypool St/NW 5th St
160,44.302071,-120.857844,NW 2nd St/
185,44.320418,-120.841571,NE Wolverine Loop/NE Elk St
185,44.303807,-120.843407,NE Dunham St/NE 4th St
160,44.298546,-120.840977,SE 4th St/SE Fairview St
160,44.310695,-120.867930,Madras Hwy
160,44.308218,-120.848301,NW Beaver St/NW 9th St
160,44.304746,-120.842218,NE 5th St/NE Elm St
185,44.302950,-120.818238,NE 3rd St
185,44.299335,-120.809077,Triangle Outfit Dr/SE Triangle Outfit Dr
160,44.299329,-120.810545,Triangle Outfit Dr/Sid Ct
160,44.315279,-120.873858,/Madras Hwy
160,44.325146,-120.836829,NE Aspen St
160,44.328388,-120.833374,NE Tamarack Ct
216,44.296484,-120.862506,Cliffside Ln/SW Park Dr
160,44.298152,-120.848243,SW 4th St/SW Beaver St
276,44.303828,-120.847092,NW 4th St/NE 4th St/N Main St
160,44.299402,-120.847021,S Main St/SE 3rd St
276,44.303349,-120.840968,NE Fairview St
160,44.304798,-120.837184,NE 5th St/NE Idlewood St
160,44.294398,-120.840961,SE Lynn Blvd/SE Fairview St
160,44.305632,-120.848291,NW Beaver St
185,44.310954,-120.832506,Tyler Ave/NE Loper Ave
216,44.302934,-120.822958,NE 3rd St
185,44.239971,-120.822782,/SE Bonnie Rd
185,44.305019,-120.845862,NE Belknap St
185,44.319852,-120.841982,NE Peters Rd
160,44.307516,-120.839866,E 8th St/Hillside Ct
160,44.302936,-120.838549,NE Holly St/NE 3rd St
216,44.308820,-120.857244,NW 10th St
160,44.303829,-120.838545,NE Holly St/NE 4th St
185,44.192331,-120.738443,SE Juniper Canyon Rd/Blm Rd
160,44.298457,-120.866773,Ochoco Hwy
160,44.302188,-120.819992,NE Willowdale Dr
160,44.299286,-120.852225,NW Harwood Ave
185,44.307533,-120.837706,E 8th St/NE Oregon St
160,44.322366,-120.840788,NE Tennessee Ln/NE Blackbear St
