Estimated daily crossings,Latitude,Longitude,Name
216,42.185880,-120.347347,S G St/S 3rd St
160,42.190826,-120.355922,N 2nd St
276,42.185873,-120.348743,S 3rd St/S H St
216,42.190875,-120.344295,/N 2nd St/N D St
160,42.689304,-120.545508,Main St
246,42.193202,-120.347045,N 4th St/N G St/US Hwy 395
160,42.190173,-120.344355,N 1st St
160,42.181289,-120.347358,S G St/S 7th St
160,43.288179,-120.879048,Thomas Rd
185,42.190172,-120.345949,N 1st St/N F St
160,42.189478,-120.347004,S G St/N G St/Center St
160,42.693891,-120.543346,Mill St/Green St
160,42.178809,-120.350515,Pine Hollow/S 9th St
246,42.193539,-120.347035,N G St
216,42.191561,-120.345989,N Barry St
246,42.190866,-120.345414,N 2nd St
160,42.164230,-120.355102,Kadrmas Rd
160,43.239581,-120.692624,Larch Ln/Manzanita Rd
160,42.689492,-120.545367,Blue St/Main St
160,42.182682,-120.348715,S H St
160,42.193266,-120.353117,N 4th St/L N
185,43.238267,-120.680964,/Christmas Tree Rd
160,43.242703,-120.261483,BLM Rd Road 6111-0-00/BLM Rd 6111-0-00
160,42.176892,-120.346778,/S 10th St
185,42.191458,-120.359893,/N R St
160,42.176895,-120.353654,S 10th St/S L St
160,42.181292,-120.345947,S 7th St/S F St
160,42.188389,-120.351924,S 1st St/S K St
216,42.190868,-120.344886,N 2nd St/N E St
160,42.194416,-120.351064,/N J St
160,42.692780,-120.545751,/West St/Main St
160,43.242741,-120.898330,/Fort Rock Rd
185,43.237850,-120.681522,/Chrisrmas Valley Hwy/Christmas Valley Hwy
160,42.187217,-120.349522,S 2nd St/S I St
160,42.188671,-120.344869,1st St S/S E St/S 1st St
216,42.192035,-120.351935,N 3rd St/K N
246,42.190850,-120.351937,N 2nd St/K N
160,42.190830,-120.356307,N 2nd St
276,42.175061,-120.346016,S F St/S 11th St
160,42.190170,-120.346557,/N 1st St
160,42.693644,-120.548237,/Mill St
185,42.192439,-120.344990,N E St
185,42.190128,-120.351934,K N
216,42.195964,-120.348331,N 7th St/N H St
160,42.692857,-120.544106,West St
185,42.188676,-120.346995,S G St/S 1st St
160,42.191450,-120.349549,I N
160,43.239563,-120.686690,Bay Rd/Spruce Ln
160,42.178797,-120.347387,S G St/S 9th St
160,42.187225,-120.348305,S 2nd St/S H St
160,42.185153,-120.350103,S I St/Linda Ln
276,42.183100,-120.353297,Sunset Pl/Mountain Vw
160,42.178812,-120.350174,S 9th St/S I St
160,42.209127,-120.355161,/US Hwy 395
160,42.178741,-120.361387,9th St S
160,43.237911,-120.686711,/Chrisrmas Valley Hwy/Bay Rd/Christmas Vlley Hwy
216,43.240191,-120.691352,Tamarack Ln/Spruce Ln
160,42.198801,-120.354525,N 10th St
160,42.691397,-120.545605,Main St
185,42.190170,-120.347013,N G St/N 1st St
216,42.185878,-120.346986,S G St/S 3rd St
216,42.187217,-120.350704,S J St/S 2nd St
160,42.175077,-120.347407,S G St/S 11th St
160,42.688998,-120.531719,Lovers Ln/Blue St/Fremont Hwy/State Hwy 31
216,42.195068,-120.347029,N 6th St/N G St/6th St
160,42.180062,-120.348761,S 8th St/S H St
216,42.195968,-120.347025,N G St/N 7th St
160,42.692892,-120.543258,West St/Green St
160,42.176875,-120.347752,S 10th St
185,42.184225,-120.353899,Mountainview Dr/S 4th St/Mountain Vw
160,43.240163,-120.692626,Manzanita Rd/Tamarack Ln
216,42.192544,-120.346087,US Hwy 395/N F St
160,42.689425,-120.546483,Blue St/Marshview Dr
160,42.693566,-120.549697,/Mill St
185,42.189480,-120.345963,S F St/N F St/Center St
216,42.195985,-120.348331,N 7th St/N H St
216,43.240169,-120.691107,Park Rd/Spruce Ln
160,42.188406,-120.350700,S J St/S 1st St
246,42.192241,-120.345947,N 3rd St/US Hwy 395/N F St
160,42.192072,-120.348335,N 3rd St/N H St
160,43.237905,-120.687803,Christmas Valley Hwy/Christmas Vlley Hwy
160,42.693777,-120.545814,Mill St/Main St
160,42.164231,-120.355023,S M St/Kadrmas Rd
216,42.188674,-120.345946,S 1st St/S F St
160,43.587438,-120.010941,Central Oregon Hwy
185,42.190815,-120.357412,N 2nd St/N P St/Grey Goose St
160,42.171449,-120.395205,Airport Rd
160,43.283490,-121.174050,State Hwy 31
185,42.192016,-120.354344,N 3rd St/N M St
160,42.193003,-120.351947,K N
160,43.238965,-120.691347,Aspen Ln
185,42.192237,-120.344959,N 3rd St/N E St
185,42.190831,-120.356463,N 2nd St/N O St
160,43.227044,-120.725770,/Arrowhead Loop
160,42.178720,-120.353616,S 9th St/S L St
160,42.614257,-120.789562,Rd 449
160,42.689414,-120.547264,Blue St
160,42.164230,-120.355409,/Kadrmas Rd
160,42.193306,-120.362534,N 4th St//N T St
160,42.181303,-120.348736,S 7th St/S H St
276,42.183263,-120.352548,Pioneer Pl S
216,42.188674,-120.346489,/S 1st St
160,42.190849,-120.348341,N 2nd St/N H St
160,42.190853,-120.349534,N 2nd St/I N
160,43.238975,-120.691957,Sage Brush Rd/Aspen Ln
216,42.194046,-120.345975,N 5th St/N F St
305,42.185879,-120.348319,S 3rd St/S H St
185,42.182845,-120.353821,Sunset Pl
160,42.204947,-120.327940,Black Cap Rd
160,43.244976,-120.679547,Mistletoe Ln/Noel Rd
185,42.190171,-120.345392,N 1st St
216,42.195069,-120.345996,6th St/N F St
160,43.240735,-120.692415,Hemlock Ln/Spruce Ln
185,42.192274,-120.357410,N P St/Newholland Ave
160,42.693641,-120.545795,West St/Main St
276,42.182979,-120.353193,Pioneer Pl S/Mountain Vw
160,42.182327,-120.348748,S 6th St/S H St
160,42.180053,-120.347366,S 8th St/S G St
160,42.189465,-120.349521,S I St/I N/Center St
160,42.190171,-120.344887,N E St/N 1st St
216,42.190845,-120.350737,N 2nd St/J N
160,42.171401,-120.532450,/Andy Hill Rd
160,42.690605,-120.545479,Main St
160,42.193989,-120.351072,/N J St
160,42.190170,-120.348321,N H St/N 1st St
160,42.178821,-120.349709,Pine Hollow/S 9th St
185,42.190139,-120.350726,J N
185,43.237836,-120.680978,Christmas Valley Hwy/Christmas Tree Rd/Old Lake Rd
160,42.195046,-120.351056,N 6th St/N J St
185,42.192051,-120.350750,N 3rd St/J N
160,42.193295,-120.361563,N 4th St/
160,42.177099,-120.347360,Fremont/S G St/US Hwy 395
185,42.187225,-120.351906,S 2nd St/S K St
216,42.190864,-120.347009,N G St/N 2nd St
246,42.190866,-120.345958,N 2nd St/N F St
160,42.694153,-120.545861,Main St
160,42.176874,-120.347391,Fremont/S 10th St/S G St/US Hwy 395
185,42.190171,-120.345437,N 1st St
246,42.192027,-120.353138,N 3rd St/L N
160,42.693727,-120.546864,Willow St/Mill St
160,42.193234,-120.348299,N 4th St/N H St
160,42.164232,-120.356208,Kadrmas Rd
160,42.717337,-120.509871,Red House Rd
185,42.188415,-120.349523,S 1st St/S I St
160,42.178750,-120.352705,S 9th St/S K St
276,42.194062,-120.347020,N 5th St/N G St
160,42.189478,-120.346454,/Center St
160,42.693168,-120.546811,Willow St
160,43.033169,-120.694046,Shuffield Rd
185,42.189463,-120.350722,S J St/J N/Center St
160,42.193290,-120.361209,N 4th St/N S St
185,42.185875,-120.349807,S 3rd St/S I St
185,42.190840,-120.353135,N 2nd St/L N
160,42.190836,-120.354346,N 2nd St/N M St
185,42.191534,-120.344899,N Barry St/N E St
216,42.191560,-120.345952,N Barry St/N F St
160,42.193249,-120.351947,N 4th St/K N
216,43.240173,-120.691959,Tamarack Ln/Sage Brush Rd
160,42.189471,-120.351934,K N/Center St/S K St
185,42.190803,-120.358365,N 2nd St/N Q St
276,42.193231,-120.345973,/N F St
276,42.184067,-120.352947,Western Pl S
160,42.192545,-120.359874,N R St
