Estimated daily crossings,Latitude,Longitude,Name
305,45.511880,-122.949648,SE 32nd Ave/SE Camwal Dr
246,45.520849,-122.955674,SE 26th Ave/E Main St
246,45.495852,-122.852582,SW Nyssen Rd
499,45.538152,-122.855511,NW 174th Ave
362,45.440661,-122.805953,SW Sorrel Dock Ct/SW Summer Lake Dr
246,45.510525,-122.907401,SE 72nd Ave
185,45.527838,-122.904950,NW Birch St
246,45.514495,-122.936659,SW Brookwood Ave
472,45.518706,-123.110237,Ash St
246,45.512938,-122.873605,SW 191st Ct
943,45.436052,-122.758536,/SW 79th Ave
160,45.526036,-122.965734,NE 16th Ave/NE Hyde St
185,45.496209,-122.760815,SW 82nd Ave/SW Cashmur Ln
472,45.420903,-122.845645,SW Tuscany St
472,45.501854,-122.785546,SW Woods Ct/SW 106th Ave
276,45.440485,-122.810657,SW 130th Ave/SW Hawks Beard St
216,45.448687,-122.746816,SW Ventura Ct
334,45.540035,-122.980859,NE Trisha Dr/NE Maryann Ct
276,45.426988,-122.832758,SW 152nd Ter
185,45.378369,-122.804987,SW 124th Ave
185,45.600030,-123.006403,NW Wascoe St
160,45.424450,-122.808081,SW Bigleaf Dr
362,45.522563,-122.980740,SE 6th Ave/NE 6th Ave/E Main St
216,45.494875,-122.968772,SE Yulan Way
246,45.461035,-122.864879,SW Fallatin Loop
445,45.491745,-122.786791,SW 107th Ave
160,45.365879,-122.786964,SW 108th Ave
334,45.544261,-122.976898,Un Dr/NE Rogahn St
185,45.478690,-122.841500,SW 160th Ave/SW Autumn Dr
305,45.446822,-122.771696,Lincoln St
160,45.517452,-122.894821,SW 211th Ave/SW Sutherland Way/SW Lawrence Way
390,45.501221,-122.919222,SE Polaris Way/SE 62nd Ln
305,45.524444,-122.981768,NE Truman Ln
499,45.408795,-122.822209,SW Eagles View Ln/SW 141st Ave
418,45.466611,-122.847893,SW Bany Rd
305,45.501343,-122.865283,SW Jann Dr/SW 183rd Pl
891,45.520688,-122.970149,/SE 12th Ave
160,45.515749,-123.099306,Hawthorne St/17th Ave
246,45.456033,-122.807984,SW Sorrento Rd/SW Jennett Ct
185,45.461695,-122.803816,SW Strowbridge Ct
305,45.514971,-122.853279,SW Waterleaf Ln/SW 171st Ave
