Estimated daily crossings,Latitude,Longitude,Name
684,40.812077,-77.922338,N Atherton St
160,40.824099,-77.872260,Lions Hill Rd
160,40.852828,-77.769796,W College Ave
684,40.786372,-77.872160,W College Ave/T925
246,40.812200,-77.929372,McKivison Ct/Carnegie Dr
1381,40.785243,-77.837475,S Atherton St
160,40.837085,-77.684122,Boone St
418,40.820496,-77.848122,Hospital Dr/E Park Ave
216,40.837517,-77.682066,Dale St/Sharer Ave
216,40.826945,-77.878884,Honors Ln/Tradition Cove Ln
362,40.823165,-77.867380,US Hwy 322
160,40.897171,-77.784822,Skyview Dr/Stonecrest Dr
4209,40.792776,-77.854927,Apple Aly/E Fairmount Ave
160,40.918217,-77.784145,W 5th Ave
185,40.855307,-77.573541,School St
160,40.819400,-77.951243,Sellers Ln
552,40.812153,-77.860261,Park Ave
160,40.853496,-77.593892,Birch Ln
160,40.861371,-77.936197,Julian Pike/Martins Ln
246,40.901810,-78.211702,Unnamed Prvt Drvwy/Hale St
216,40.916874,-77.780633,Locust Ln/W Curtin St
185,40.918387,-77.749173,Fairview Dr/Robin Rd
216,40.797421,-77.664931,/General Potter Hwy
631,40.957270,-77.765833,N Eagle Valley Rd/Gates Rd
160,40.946437,-77.795810,Sparrow Dr
246,40.774172,-77.859467,Highlandon Ct
160,40.779988,-77.903292,Barnstable Ln
185,40.945146,-77.791264,Spring St/Brick St
185,40.902262,-78.134134,Laurel Hill Dr
160,40.895646,-77.466214,Stover Ave
160,40.785487,-77.867534,W Foster Ave/N Aly
246,40.890526,-77.476042,Race Aly/Elk St
276,40.914497,-77.749822,Park Pl/Zion Rd
7696,40.792005,-77.865785,N Atherton St/Clay Ln
216,40.913901,-77.769271,N Wilson St/E High St/S Wilson St
865,40.807527,-77.883805,N Hills Pl/E North Hills Pl/Harris St
185,40.901197,-78.211058,E Presqueisle St/N Fourteenth St
160,40.918610,-77.686348,Forest Ave/Lorinda Ln
216,40.814008,-77.928953,Ghaner Dr
160,40.866112,-77.734667,T621/T941
472,40.898340,-78.225196,Penn Way
160,41.028460,-77.636741,E Launch Rd
160,40.822723,-77.815211,Mountainview Ave/Manor Dr
185,40.913390,-77.771581,E High St
276,40.799634,-77.826253,Goldfinch Dr/Mayberry Ln
160,40.868242,-77.743018,Daskem Ln
160,40.803858,-77.869658,Holmes St/Adams Ave
160,40.845889,-77.811561,Shiloh Rd
216,40.807895,-77.816609,Cortland Dr/Whitehill St
160,40.976073,-77.743566,Curtin Rd/N Eagle Valley Rd
160,40.830167,-78.224927,Tyrone Pike
160,40.916856,-77.774279,Cowdrick Aly/E Linn St
813,40.824182,-77.899906,Country Club Ln
160,40.776797,-77.782725,Boal Ave/West Dr
185,41.002423,-77.983383,I- 80
445,40.910930,-77.780231,W Cherry Ln
160,40.812210,-77.942623,Pinewood Pl/Grays Woods Blvd
1071,40.797317,-77.873542,Ridge Ave/N Atherton St
390,40.894584,-78.220171,S 2nd St/E Maple St
185,40.887784,-78.206546,Scott St/Pauline St
185,40.899728,-78.220621,5th St/E Spruce St
390,40.911019,-77.779361,W Cherry Ln/S Spring St
160,40.905553,-77.875510,Main St
160,40.990891,-78.021018,I- 80
216,40.783967,-77.726928,Boal Ave/Laurel Meadow Ln
160,40.865889,-77.736667,/S Main St
185,40.811764,-77.929244,Carnegie Dr
160,40.849461,-77.691302,Pennsylvania Ave
185,40.822772,-77.846625,/Park Ave Exd
160,40.822646,-77.825756,T953/Hickory Rd
305,40.808040,-77.882897,N Hills Pl/Curtin St
28631,40.796720,-77.856756,Hiester St
216,40.914328,-77.777723,Decatur Ln/E Burrows St
160,40.827070,-78.021009,/Appalachian Hwy
160,40.981418,-77.818750,Moose Run Rd
994,40.810683,-77.830770,Millbrook Way/Elmwood St/E College Ave
160,40.944235,-77.730253,I- 80
185,40.737351,-77.882174,Osprey St
216,40.788257,-77.838518,University Dr
762,40.786289,-77.869719,W Beaver Ave/S Buckhout St
160,41.021635,-77.934948,T874/T883
185,40.732818,-77.885620,Water St/Smith St/Butternut St
160,40.828409,-77.747037,/Old Township Rd
160,40.869830,-77.857263,Buffalo Run Rd/Old Farm Ln
160,40.860970,-77.558276,Penns Valley Pike/Shook Hollow Rd
216,40.767348,-78.038758,Ike Cir
1485,40.787831,-77.857664,S Burrowes St/Daisy Aly
185,40.998084,-77.550808,Loy St/Lisk St
276,40.815907,-77.913738,Mt Nittany Expy
185,40.817321,-77.823165,Randy Ln
216,40.776782,-77.869897,McClary Ct W/W McClary Ct
418,40.896753,-78.220394,Centre St/N Centre St
160,40.909062,-77.769178,Blanchard St/Rose Aly
216,40.913702,-77.763446,E Bishop St/Beaver Farm Ln
160,40.792920,-77.907022,Farmstead Ln/T937
216,40.834062,-77.819304,College 08 Rd/Trout Rd
185,40.811670,-77.929270,Carnegie Dr
305,40.782979,-77.769682,Andover Dr/Willowbrook Dr
362,40.786585,-77.867113,Orchard Aly/M Aly
185,40.811533,-77.929232,Ghaner Dr/Carnegie Dr
185,40.882993,-77.481138,Long Ln
418,40.911108,-77.779395,W Cherry Ln/S Spring St
1929,40.810266,-77.889678,Bergman Ct/Vairo Blvd
13776,40.792455,-77.862441,New Aly/Miller Aly
160,40.853933,-77.767865,W College Ave
2435,40.791734,-77.857362,S Allen St/E Nittany Ave/W Nittany Ave
185,40.808535,-77.913902,Hillside Ave/Hillside Cir
185,40.974624,-78.047308,I- 80/
185,40.791684,-77.836034,N Inverary Pl/S Inverary Pl/Nimitz Ave
246,40.899643,-78.210207,Halfmoon St/Half Moon St
185,40.782135,-77.808699,Boal Ave/Villa Crest Dr
160,40.909375,-77.772250,Hepburn St/Crawford Ln/Crawford St
185,40.783291,-77.774880,Earlystown Rd
160,40.889728,-77.777241,Amberleigh Ln/Farmington Ln
276,40.915279,-77.741356,/Zion Rd
472,40.811238,-77.900851,Fredricksburg Ct/Strouse Ave
160,40.847630,-77.689688,N Hoffer Ave/Irvin Aly
160,40.865247,-77.734141,on the Hill Rd
160,40.866585,-77.936341,/Railroad Ave
246,40.784514,-77.871893,W Beaver Ave/Osmond St
160,40.875950,-77.845642,Buffalo Run Rd/Spicer Ln
160,40.823345,-77.831377,Puddintown Rd
276,40.828599,-77.888465,Cricklewood Dr/Cricklewood Cir
160,40.767967,-77.884041,Gateway Dr
1329,40.803085,-77.851243,University Dr
185,40.820960,-77.807725,Jalice Cir
276,40.915352,-77.741356,/Zion Rd
216,40.890492,-77.779259,Exeter Ln
813,40.786637,-77.870197,Harley Aly/S Buckhout St
305,40.797010,-77.896247,Park Hills Ave E/Cherry Hill Rd
216,40.784631,-77.821561,Regent Ct/Radnor Rd
160,40.785445,-77.905704,Harvest Ridge
246,40.768269,-77.875181,/Stonebridge Dr
1355,40.790060,-77.870222,Old Railroad Grade/W Campus Dr
362,40.776685,-77.789625,Rockeys Aly
185,40.798996,-77.900383,Park Hills Ave E/Park Hills Ave W/T800
160,40.810271,-77.826401,Elmwood St
160,40.835664,-77.826927,Rock Rd
7134,40.793312,-77.856004,E Nittany Ave/Apple Aly
160,40.851828,-77.870396,Windtryst Ave/Kristina Cir
160,40.822825,-78.027633,Appalachian Hwy/Fetzer Ln
216,40.890621,-78.212283,Berkley St/Curtis St
216,40.895151,-78.223256,W Presqueisle St/
185,41.013056,-77.659624,Rothrock St/Black St
160,40.804128,-77.919535,School Dr/Douglas Dr
710,40.811554,-77.902218,Woodycrest St/5th Ave
305,40.896659,-78.224397,W Pine St/Railroad St
246,40.828241,-77.842479,I- 99
658,40.808484,-77.905262,Cornflower Ln
19153,40.797579,-77.867187,Curtin Rd/Fraser Rd
160,40.771573,-78.032243,Cedar Ridge
185,40.885984,-77.905535,S Eagle Valley Rd/Poor Farm Ln
216,40.872853,-77.778586,Benner Pike/Rockview Rd
160,40.777265,-77.868033,Crabapple Dr/Barley Way
160,40.944445,-77.790896,Logan St
160,40.778150,-78.049918,Darius Ln
865,40.784776,-77.853170,Piersol Ln
246,40.847665,-77.687203,Pine Aly/Pennsylvania Ave
160,41.024966,-77.911494,I- 80
579,40.897075,-78.223545,W Pine St/N Front St/E Pine St
160,40.824842,-78.097801,/28th Division Hwy
160,40.902909,-77.691304,T950/T949
276,40.786807,-77.790793,Kent Dr
246,40.901848,-77.368476,Sports Camp Dr/Lodge Dr
6062,40.802508,-77.857816,E Pollock Rd/Bigler Rd/Pollock Rd
160,40.918055,-77.856233,S Eagle Valley Rd
185,40.945007,-77.792180,Wagner St
185,40.833595,-77.826851,Trout Rd
3280,40.791076,-77.854817,C Aly/E Prospect Ave
276,40.910405,-77.775684,S Penn St/E Logan St
185,40.836248,-77.824010,Little Rock Ln
1097,40.787483,-77.869126,Shade Ln/Harley Aly/S Patterson St
160,40.907489,-77.782528,Willowbank St
2061,40.793858,-77.852519,Clover Aly/E Prospect Ave
160,40.900740,-78.220187,N 6th St/Locust St
216,40.900815,-78.215867,N 10th St/E Pine St
160,40.783386,-77.834499,Suzy Cir/Joyce Dr
160,40.903484,-77.880900,Aztec Ct
160,40.917208,-77.676594,Stony Pointe Dr/Kaystone Ln
305,40.809441,-77.922775,Galen Dr/Haverford Cir
276,40.825052,-77.845279,US Hwy 322/Park Ave/Park Ave Exd
160,40.975270,-77.742834,Curtin Rd
160,40.845121,-78.220992,Twigg Settlement Rd/Tyrone Pike
362,40.895034,-78.219241,S Centre St/E Maple St
160,40.810172,-77.816318,Mount St/Berry St
246,40.772629,-77.854153,Waupelani Dr
891,40.811205,-77.832615,Shoferd Ln
160,40.866049,-77.749257,Logan Ave/W College Ave
160,40.803807,-77.923593,Valley Vista Dr
160,40.946409,-77.795086,T668/T669
160,40.738355,-77.916519,Emory Ln/W Whitehall Rd
276,40.809538,-77.914520,Douglas Dr
185,40.781899,-77.806729,Boal Ave/Beaumont Dr/S Atherton St
216,40.939641,-77.784474,Limestone St
813,40.808343,-77.901549,Wolts Ln
160,40.829065,-77.877503,Toftrees Ave/Fox Hollow Rd
994,40.808311,-77.898679,N Atherton St/Franklin Manor Ln
160,40.860540,-78.210510,Ridgewood Dr/Oakwood Dr
160,40.834083,-77.683525,Homan Ln/Ripka St
160,40.773541,-77.850570,Wildot Dr/Kennedy St
305,40.915312,-77.740958,/Zion Rd
216,41.029289,-77.953492,3rd St/Honeysuckle St
305,40.912003,-77.774793,E Cherry Ln/S Ridge St
334,40.945177,-77.719833,I- 80/State Rte 26
160,40.907438,-77.874286,Walnut St
246,40.806530,-77.887461,Cromer Dr
246,40.890860,-77.477535,State St/W Main St
160,40.817011,-77.644110,T368/Old Fort Rd
160,40.819280,-77.835524,US Hwy 322
185,40.898220,-78.216945,E Presqueisle St
160,40.837161,-77.684004,Rogers Ave/Boone St
160,40.917767,-77.758079,Oak Ln/Woodland Dr
160,41.048386,-77.951855,Birch Run Rd
185,40.890580,-77.478290,Plum St/Plum Aly
185,40.886626,-78.220705,E St/Twin Oak St
216,40.794770,-77.833498,E Branch Rd
276,40.778984,-77.849910,Oakhurst Ln/W Whitehall Rd
160,40.841049,-77.678311,Miles Aly/Allison St
160,40.900102,-77.479131,North Rd/Birch Aly
276,40.819102,-77.814109,Rhodes Ln
216,40.808828,-77.815469,Henszey St/Mary St
185,40.822375,-77.832188,Puddintown Rd/Spring Creek Ln
185,40.737101,-77.881729,Pine Grove Rd/Osprey St
216,40.771828,-77.864880,Blue Course Dr
160,40.921689,-78.181857,Coaldale Rd/T535
160,40.734601,-77.884389,Sparrow St/Pine Grove Rd
334,40.825153,-77.845765,US Hwy 322
216,40.779434,-77.905655,Cobble Ct
216,40.809001,-77.923500,Galen Dr
160,40.772717,-77.868024,Wells Ter
160,40.879524,-78.211634,Water Line Rd
185,40.869623,-77.942276,Robison Rd
216,40.937442,-77.789916,Oaklawaha St
160,40.844233,-77.687050,Schaeffer Ave
185,40.795027,-77.900594,T951/Park Hills Ave W
216,40.805696,-77.924359,Galen Dr
390,40.793124,-77.845209,Smithfield St/Kemmerer Rd
1174,40.800120,-77.885917,Blue Course Dr/Bluebcourse Dr
216,40.806747,-77.925324,Galen Dr
160,40.900823,-78.221530,5th St
334,40.789395,-77.832780,Cliffside Dr/E Branch Rd
305,40.807131,-77.904416,Park Forest Ave/N Oak Ln
160,41.054984,-78.000813,T406
185,40.776080,-77.868406,Amelia Ave/Lillian Cir
3060,40.789610,-77.862191,W Foster Ave/S Atherton St
160,40.892171,-77.738548,Slate Ct
160,40.976156,-77.713681,Old 220 Rd
305,40.797018,-77.879757,Martin Ter/Fairway Rd
472,40.784952,-77.849907,Centre Ln/S Atherton St
216,40.940076,-77.729003,Jacksonville Rd/State Rte 26
185,40.826091,-77.814522,Shawn Cir
216,40.780811,-77.766114,Jack's Mill Dr
185,40.773738,-77.889695,Pine Hall Rd/Science Park Rd
185,40.922577,-77.722815,Musser Ln
160,40.738762,-77.887988,T334/Sunday Dr
160,40.814568,-78.086135,Flat Rock Rd
160,40.906021,-77.777829,Axemann Rd/Forge Rd
160,40.899106,-77.379331,/Fiedler Rd
6610,40.803253,-77.859671,Bigler Rd
185,40.849765,-77.685035,Crestwood Dr/E Church St
160,40.915459,-77.739512,/Zion Rd
185,40.820355,-77.836649,US Hwy 322
710,40.811361,-77.902752,Chickory Ln
246,40.808412,-77.832824,Squirrel Dr/Blue Jay Ave
185,40.795680,-77.626661,Smith Dr
185,40.792042,-77.826949,Greenbriar Dr/Haymaker Rd
185,40.891493,-77.475461,Poplar St/Maple Aly
160,41.073252,-77.635974,Rapp Rd/Marsh Creek Rd
579,40.788452,-77.848757,S Pugh St/Easterly Pkwy
2841,40.790031,-77.857575,E Aly/W Fairmount Ave
185,40.732721,-77.886215,Smith Ave/Dunlap St/Smith St
160,40.801888,-77.917295,Chateaux Cir
3868,40.792348,-77.855289,S Pugh St/E Fairmount Ave
762,40.804219,-77.885302,Northland Center/N Atherton St
185,40.888662,-78.217793,Hemlock St/B St
246,40.836356,-77.832872,I- 99
13249,40.793051,-77.859816,S Allen St/Highland Ave
185,40.771912,-77.879475,Park Center Blvd/Raven Hollow Rd
160,40.988601,-77.590876,T476/Split Pine
185,40.911970,-77.748898,Airport Rd
160,40.946683,-77.789645,State Rte 144
246,40.771390,-77.861605,Stratford Dr/Hart Cir
160,40.818837,-77.499716,Tower Trl
526,40.811508,-77.827849,Mount Nittany Expy
160,40.915601,-77.783392,W Church Ln
160,40.936691,-77.808876,S Eagle Valley Rd/
160,40.981197,-77.817883,/Moose Run Rd
185,40.818828,-77.858686,/Orchard Rd
160,40.810558,-77.838059,Puddintown Rd/Lenor Dr
390,40.786592,-77.873973,Golfview Ave
3170,40.805921,-77.864589,Bigler Rd/E Park Ave/Park Ave
788,40.788787,-77.871910,W Campus Dr/Duff Dr
246,40.775633,-77.792705,Church St/E Main St/W Main St
216,40.902392,-78.215208,N 12th St/Spruce St
216,40.847312,-78.142473,Port Matilda Hwy
160,40.852488,-77.869594,Kristina Cir
