Estimated daily crossings,Latitude,Longitude,Name
160,40.167446,-78.136908,School St/Huntington Sq
390,40.483014,-78.011438,S 4th St
418,40.493241,-78.013011,Bryan St
605,40.388360,-77.875472,E Pine St/Industrial Dr
185,40.560799,-78.104840,Canal St
185,40.427510,-78.117322,Raystown Rd
246,40.381077,-77.885103,Liberty St/Gayton St
160,40.574449,-78.047706,/Shaver St/King St
160,40.480622,-78.091179,Sr3039
160,40.453516,-77.971723,Hazel Dr
334,40.479636,-78.015482,Logging Rd 31041
216,40.401352,-78.097058,Seven Points Rd/Whitetail Dr
160,40.329159,-78.061166,Tar Kiln Rd/T391
246,40.716203,-77.894282,Mc Alevys Fort Rd
658,40.493342,-78.019193,Susquehanna Ave/13th St
160,40.437989,-77.929366,Valley St/Big Valley Pike
276,40.498182,-78.020484,/17th St
736,40.500695,-78.011055,Shadyside Ave/College Ave
334,40.380492,-77.886375,Harrison St/S Division St
246,40.241773,-77.897432,Elm St/Center St
160,40.695681,-77.758497,Stone Creek Rd
185,40.560277,-78.102881,/6th St
185,40.489769,-78.026236,Institution Dr/Pike St
160,40.238475,-77.939074,Ridge Rd
160,40.349134,-77.863400,/US Hwy 522
362,40.436082,-77.931550,Valley St/US Hwy 22
160,40.476637,-77.999498,US Hwy 22
160,40.511125,-78.018712,Autumn Wood Dr
185,40.706241,-78.089256,Lucy Ln
160,40.536590,-77.971172,Tall Timbers Rd/T484
185,40.391283,-77.938835,Donaldson St/Gayton St
499,40.385684,-77.884059,W Small St/N Jefferson St
160,40.494444,-78.045262,Huntingdon Byp/William Penn Hwy
526,40.498495,-78.018505,17th St/Mifflin St
160,40.383936,-78.171089,Cross St/Diamond St
160,40.473663,-78.038356,Hordubay Rd/Logging Rd 31034
276,40.554005,-78.102002,Hemlock St
160,40.394561,-77.937709,Oriskany Rd
160,40.432194,-78.100211,Turkey Farm Rd/Spring Dr
216,40.475680,-77.993893,Krepps Ln
390,40.385776,-77.881832,N Division St/Center St
276,40.210062,-78.004436,Hubbel Aly/Church St
185,40.241841,-77.891918,Winchester St/Ridgely St
160,40.441175,-78.107102,Walnut Hill Ln/Locust Ln
246,40.243393,-77.894669,Division St/Ashman St
160,40.494949,-78.101093,Hartslog Court Cir/Hartslog Rd
160,40.407926,-78.136664,Raystown Rd/Fluke Rd
160,40.390637,-77.936948,Holli Baugh Dr
160,40.239781,-77.891084,Water St/Erwin St
276,40.388998,-77.879113,W Chestnut St/E Chestnut St/N Division St
526,40.489789,-78.016884,10th St/Willow Aly
276,40.489843,-78.029517,S 12th St/Pennsylvania Ave
160,40.370121,-77.871753,Crawford Ave/Millers Ln
813,40.500598,-78.011418,College Ave
185,40.466563,-77.985519,US Hwy 22/B Lauver
160,40.638250,-78.151367,31058/Eden Rd
813,40.486046,-78.013253,Washington St/6th St
1123,40.479105,-78.013687,S 4th St/Huntingdon Byp
418,40.483836,-78.008894,Penn St/3rd St/Wm Smith St
185,40.441321,-77.928028,Whiskey Spring Ln
185,40.374874,-77.872404,Lloyd St/Center Ave
160,40.465079,-78.064184,Nikki Ct
160,40.213967,-77.923203,State Rte 994/T341
160,40.410609,-78.104883,T423/T 437
160,40.200849,-78.142780,Walnut St/Cedar St/Alder St
160,40.198683,-77.958285,T342
445,40.563319,-78.077430,/Juniata Valley Pike
362,40.481359,-78.014154,Huntingdon Plz/S 5th St
160,40.380715,-77.888062,Vandevender St/S Jefferson St/S Jefferson
185,40.491730,-78.034473,T562/Pennsylvania Ave
418,40.569770,-78.048999,Long St/Diamond St
160,40.568142,-78.060308,Grandview Acres
160,40.399356,-78.099746,Whitetail Dr
160,40.381962,-77.889394,Harrison St/S Washington St
160,40.465754,-78.066426,Raystown Rd
160,40.559510,-78.100701,Shelton Ave
246,40.445726,-77.948364,/T601
276,40.439366,-77.934616,Alex Dr/William Penn Hwy
185,40.554390,-78.103319,Delmar St
160,40.649554,-78.194607,Spring Hollow Rd
185,40.417256,-78.094633,Leisure Ln
160,40.188063,-78.115163,T 569/N Main St
160,40.395158,-77.924287,William Penn Hwy/Oriskany Rd
246,40.500512,-78.021760,Penn St/19th St
185,40.392584,-78.155037,Raystown Rd/Logging Rd 31036/Morningstar Dr
160,40.510470,-78.020986,Wooded Way
246,40.497839,-78.013676,16th St
185,40.387633,-77.880238,W Filbert St/N Division St
185,40.440082,-77.936346,Sugar Grove Rd/Buckstown Dr
216,40.486338,-78.026482,S 9th St/Railroad Ave
160,40.508919,-78.015768,27th St/Highland Ave
160,40.567978,-78.065105,Juniata Valley Pike
160,40.382845,-77.888621,S Washington St/Gayton St
334,40.568884,-78.046682,Petersburg Pike/King St/Hill St
185,40.560385,-78.102318,6th St
499,40.484272,-78.012488,Allegheny St/S 5th St
334,40.487761,-78.009602,/School House Ln
160,40.376849,-77.883327,S Moore Ave
160,40.245301,-77.897014,Water St/Division St
185,40.711917,-78.145999,Logging Rd 31071
185,40.376299,-77.873011,Allen Aly
160,40.214088,-78.012378,Earnhardt Dr/Old Mill Rd
